iter	Passed	Remaining
0	146	55857
1	292	55507
2	455	57495
3	625	59153
4	798	60169
5	956	59936
6	1128	60446
7	1294	60529
8	1444	59854
9	1621	60329
10	1780	60043
11	1940	59836
12	2106	59788
13	2258	59369
14	2418	59174
15	2592	59297
16	2739	58810
17	2896	58563
18	3056	58392
19	3200	57928
20	3363	57815
21	3519	57590
22	3682	57471
23	3835	57207
24	4010	57265
25	4152	56850
26	4307	56639
27	4489	56754
28	4642	56505
29	4789	56197
30	4955	56114
31	5088	55659
32	5230	55316
33	5381	55080
34	5534	54871
35	5654	54341
36	5812	54194
37	5951	53877
38	6089	53555
39	6238	53342
40	6379	53062
41	6546	52997
42	6697	52804
43	6861	52705
44	7032	52667
45	7171	52382
46	7313	52125
47	7471	51989
48	7624	51816
49	7768	51580
50	7925	51437
51	8083	51296
52	8232	51104
53	8377	50885
54	8554	50861
55	8710	50710
56	8896	50723
57	9021	50396
58	9172	50217
59	9307	49948
60	9461	49788
61	9619	49650
62	9786	49551
63	9963	49504
64	10174	49618
65	10342	49519
66	10513	49430
67	10661	49230
68	10806	49020
69	10982	48951
70	11130	48753
71	11274	48542
72	11462	48520
73	11628	48399
74	11798	48296
75	11955	48135
76	12109	47967
77	12251	47749
78	12412	47606
79	12548	47371
80	12705	47215
81	12864	47067
82	13012	46875
83	13195	46811
84	13337	46602
85	13594	46790
86	13748	46619
87	13931	46543
88	14100	46421
89	14262	46272
90	14417	46104
91	14584	45973
92	14866	46196
93	15037	46073
94	15178	45855
95	15331	45675
96	15497	45535
97	15650	45355
98	15792	45143
99	15959	45004
100	16157	44952
101	16331	44831
102	16470	44614
103	16617	44420
104	16772	44248
105	16949	44133
106	17103	43957
107	17236	43730
108	17403	43589
109	17549	43394
110	17696	43204
111	17876	43095
112	18042	42951
113	18195	42775
114	18367	42644
115	18518	42464
116	18660	42266
117	18825	42118
118	18981	41951
119	19144	41799
120	19302	41636
121	19458	41469
122	19613	41300
123	19768	41131
124	19911	40937
125	20064	40765
126	20222	40605
127	20386	40453
128	20538	40280
129	20689	40106
130	20866	39981
131	21040	39849
132	21283	39846
133	21474	39744
134	21638	39589
135	21798	39429
136	21937	39231
137	22101	39078
138	22234	38870
