time,open,high,low,close,volume
2015-06-26,3.03,3.03,3.03,3.03,500
2015-06-29,3.03,3.03,3.03,3.03,0
2015-06-30,3.03,3.03,3.03,3.03,0
2015-07-01,3.03,3.03,3.03,3.03,0
2015-07-02,3.03,3.03,3.03,3.03,0
2015-07-03,3.03,3.03,3.03,3.03,0
2015-07-06,4.7,4.7,4.7,4.7,0
2015-07-07,4.7,4.7,4.7,4.7,0
2015-07-08,3.24,3.24,3.24,3.24,1100
2015-07-09,3.24,3.24,3.24,3.24,0
2015-07-10,3.64,3.72,3.64,3.72,2800
2015-07-13,3.8,3.8,3.8,3.8,500
2015-07-14,3.8,3.8,3.8,3.8,0
2015-07-15,4.03,4.03,4.03,4.03,100
2015-07-16,4.03,4.03,4.03,4.03,100
2015-07-17,4.03,4.03,4.03,4.03,0
2015-07-20,4.03,4.03,4.03,4.03,0
2015-07-21,3.64,3.64,3.56,3.56,1500
2015-07-22,3.56,3.56,3.56,3.56,0
2015-07-23,3.56,3.56,3.56,3.56,0
2015-07-24,3.56,3.56,3.56,3.56,0
2015-07-27,3.56,3.56,3.56,3.56,0
2015-07-28,3.56,3.56,3.56,3.56,0
2015-07-29,3.56,3.56,3.56,3.56,0
2015-07-30,3.56,3.56,3.56,3.56,0
2015-07-31,3.56,3.56,3.56,3.56,0
2015-08-03,3.56,3.56,3.56,3.56,0
2015-08-04,3.56,3.56,3.56,3.56,0
2015-08-05,3.64,3.64,3.64,3.64,200
2015-08-06,3.64,3.64,3.64,3.64,100
2015-08-07,3.64,3.64,3.64,3.64,0
2015-08-10,3.64,3.64,3.64,3.64,0
2015-08-11,3.64,3.64,3.64,3.64,0
2015-08-12,3.64,3.64,3.64,3.64,0
2015-08-13,3.64,3.64,3.64,3.64,0
2015-08-14,3.64,3.64,3.64,3.64,0
2015-08-17,3.64,3.64,3.64,3.64,0
2015-08-18,3.64,3.64,3.64,3.64,0
2015-08-19,3.64,3.64,3.64,3.64,0
2015-08-20,3.12,3.12,3.12,3.12,100
2015-08-21,3.12,3.12,3.12,3.12,0
2015-08-24,3.57,3.57,3.57,3.57,5000
2015-08-25,3.32,3.32,3.32,3.32,100
2015-08-26,3.24,3.64,3.2,3.64,700
2015-08-27,3.64,3.64,3.64,3.64,0
2015-08-28,3.64,3.64,3.64,3.64,0
2015-08-31,3.4,3.4,3.4,3.4,200
2015-09-01,3.4,3.4,3.4,3.4,0
2015-09-03,3.4,3.4,3.4,3.4,100
2015-09-04,3.4,3.4,3.4,3.4,0
2015-09-07,3.4,3.4,3.4,3.4,0
2015-09-08,3.8,3.8,3.8,3.8,200
