time,open,high,low,close,volume
2015-06-26,5.29,5.29,5.29,5.29,300
2015-06-29,5.11,5.11,5.11,5.11,100
2015-06-30,5.29,5.29,5.29,5.29,100
2015-07-01,5.29,5.29,5.2,5.2,2300
2015-07-02,5.11,5.29,5.11,5.29,600
2015-07-03,5.29,5.29,5.2,5.29,900
2015-07-06,5.37,5.37,5.29,5.29,31500
2015-07-07,5.2,5.37,5.11,5.37,5100
2015-07-08,5.29,5.29,5.29,5.29,15000
2015-07-09,5.2,5.64,5.2,5.55,27300
2015-07-10,5.55,5.55,5.55,5.55,100
2015-07-13,5.46,5.64,5.29,5.64,27300
2015-07-14,5.46,5.46,5.46,5.46,100
2015-07-15,5.64,5.64,5.55,5.55,400
2015-07-16,5.55,5.55,5.55,5.55,0
2015-07-17,5.29,5.29,5.11,5.29,8300
2015-07-20,5.29,5.29,5.11,5.2,3100
2015-07-21,5.2,5.29,5.2,5.2,7800
2015-07-22,5.29,5.46,5.2,5.46,44400
2015-07-23,5.37,5.99,5.37,5.99,36900
2015-07-24,5.99,6.08,5.73,5.99,25000
2015-07-27,5.73,5.73,5.46,5.46,23000
2015-07-28,5.46,5.46,5.2,5.2,16500
2015-07-29,5.29,5.37,5.29,5.37,15700
2015-07-30,5.73,5.81,5.46,5.46,13800
2015-07-31,5.55,5.64,5.29,5.64,63220
2015-08-03,5.46,5.46,5.46,5.46,4200
2015-08-04,5.46,5.64,5.46,5.55,20600
2015-08-05,5.55,5.64,5.55,5.55,9800
2015-08-06,5.64,5.64,5.55,5.64,5900
2015-08-07,5.29,5.29,5.29,5.29,2973
2015-08-10,5.55,5.55,5.2,5.29,11383
2015-08-11,5.29,5.37,5.2,5.2,15100
2015-08-12,5.29,5.46,5.29,5.29,20100
2015-08-13,5.29,5.29,5.2,5.2,12900
2015-08-14,5.46,5.64,5.29,5.64,4802
2015-08-17,5.64,5.64,5.64,5.64,0
2015-08-18,5.55,5.55,5.29,5.29,3000
2015-08-19,5.29,5.29,5.29,5.29,10
2015-08-20,5.2,5.2,5.2,5.2,1700
2015-08-21,4.85,5.29,4.85,5.29,6900
2015-08-24,5.02,5.29,4.85,5.29,2129
2015-08-25,5.29,5.29,5.29,5.29,0
2015-08-26,5.37,5.46,5.37,5.46,300
2015-08-27,5.55,5.55,5.46,5.46,600
2015-08-28,5.46,5.46,5.29,5.29,600
2015-08-31,5.64,5.64,5.64,5.64,100
2015-09-01,5.64,5.64,5.64,5.64,0
2015-09-03,5.64,5.64,5.64,5.64,0
2015-09-04,5.64,5.64,5.64,5.64,0
2015-09-07,6.17,6.17,5.81,5.81,6810
2015-09-08,5.81,5.81,5.55,5.55,20400
2015-09-09,5.55,5.55,5.55,5.55,0
2015-09-10,5.46,5.46,5.46,5.46,1700
2015-09-11,5.46,5.46,5.46,5.46,4810
2015-09-14,5.73,5.73,5.29,5.46,500
2015-09-15,5.46,5.46,5.46,5.46,0
2015-09-16,4.93,5.55,4.93,4.93,8333
2015-09-17,4.93,4.93,4.93,4.93,0
2015-09-18,5.29,5.29,4.85,4.85,1100
2015-09-21,5.11,5.2,5.11,5.2,200
2015-09-22,5.11,5.2,4.76,5.2,2600
2015-09-23,5.2,5.2,5.2,5.2,100
2015-09-24,5.29,5.29,5.2,5.2,2000
2015-09-25,5.2,5.29,5.2,5.2,3700
2015-09-28,5.2,5.2,5.2,5.2,0
2015-09-29,5.46,5.46,5.11,5.11,400
2015-09-30,4.67,5.11,4.67,5.11,1956
2015-10-01,5.11,5.11,5.11,5.11,1900
2015-10-02,5.2,5.55,5.2,5.55,66428
2015-10-05,5.55,5.55,5.55,5.55,0
2015-10-06,5.55,5.55,5.55,5.55,0
2015-10-07,5.55,5.55,5.55,5.55,0
2015-10-08,5.55,5.55,5.55,5.55,0
2015-10-09,5.02,5.11,5.02,5.11,34500
2015-10-12,5.11,5.11,5.11,5.11,0
2015-10-13,5.11,5.11,5.11,5.11,0
2015-10-14,5.11,5.11,5.11,5.11,0
2015-10-15,5.55,5.55,5.55,5.55,100
2015-10-16,5.29,5.29,5.02,5.02,1030
