time,open,high,low,close,volume
2014-07-10,1.44,1.44,1.42,1.44,11720
2014-07-11,1.44,1.44,1.44,1.44,80
2014-07-14,1.45,1.45,1.45,1.45,20
2014-07-15,1.45,1.45,1.42,1.44,9150
2014-07-16,1.44,1.44,1.41,1.41,40040
2014-07-17,1.42,1.42,1.41,1.42,35340
2014-07-18,1.42,1.5,1.39,1.48,40700
2014-07-21,1.48,1.5,1.45,1.47,52410
2014-07-22,1.47,1.47,1.41,1.42,19000
2014-07-23,1.44,1.47,1.44,1.45,33820
2014-07-24,1.45,1.47,1.44,1.45,30750
2014-07-25,1.47,1.47,1.42,1.45,65190
2014-07-28,1.45,1.45,1.41,1.42,36900
2014-07-29,1.44,1.44,1.39,1.42,42270
2014-07-30,1.42,1.42,1.39,1.42,33720
2014-07-31,1.42,1.44,1.41,1.41,35010
2014-08-01,1.41,1.42,1.41,1.41,41000
2014-08-04,1.41,1.44,1.38,1.44,45940
2014-08-05,1.41,1.44,1.41,1.44,56080
2014-08-06,1.44,1.45,1.44,1.45,55180
2014-08-07,1.44,1.45,1.44,1.44,16610
2014-08-08,1.47,1.47,1.44,1.45,12100
2014-08-11,1.45,1.45,1.41,1.45,13230
2014-08-12,1.44,1.45,1.44,1.45,1530
2014-08-13,1.45,1.45,1.42,1.45,14000
2014-08-14,1.45,1.54,1.45,1.53,200160
2014-08-15,1.56,1.56,1.47,1.47,95220
2014-08-18,1.51,1.51,1.47,1.47,39220
2014-08-19,1.47,1.47,1.44,1.45,34150
2014-08-20,1.45,1.45,1.42,1.45,30930
2014-08-21,1.45,1.45,1.44,1.44,32620
2014-08-22,1.42,1.47,1.42,1.45,123140
2014-08-25,1.44,1.45,1.44,1.45,62220
2014-08-26,1.45,1.47,1.45,1.45,34950
2014-08-27,1.44,1.45,1.42,1.45,56250
2014-08-28,1.44,1.47,1.44,1.47,75820
2014-08-29,1.45,1.5,1.45,1.48,60570
2014-09-03,1.48,1.54,1.48,1.51,144900
2014-09-04,1.5,1.54,1.5,1.53,124210
2014-09-05,1.54,1.54,1.5,1.54,63920
2014-09-08,1.62,1.65,1.59,1.65,590230
2014-09-09,1.69,1.69,1.54,1.54,168950
2014-09-10,1.54,1.59,1.53,1.57,91860
2014-09-11,1.6,1.62,1.53,1.56,82950
2014-09-12,1.57,1.66,1.57,1.66,606790
2014-09-15,1.77,1.77,1.77,1.77,464170
2014-09-16,1.8,1.83,1.72,1.81,301360
2014-09-17,1.8,1.81,1.69,1.69,205270
2014-09-18,1.69,1.71,1.6,1.65,123360
2014-09-19,1.65,1.65,1.59,1.65,152550
2014-09-22,1.65,1.71,1.6,1.6,50550
