time,open,high,low,close,volume
2015-06-26,5.12,5.31,4.83,4.83,486700
2015-06-29,4.54,4.64,4.35,4.35,570000
2015-06-30,4.25,4.73,4.25,4.73,216300
2015-07-01,5.12,5.12,4.44,4.44,199000
2015-07-02,4.54,4.64,4.35,4.54,177200
2015-07-03,4.35,4.64,4.35,4.44,176701
2015-07-06,4.35,4.64,4.25,4.25,240100
2015-07-07,4.35,4.64,4.25,4.64,322027
2015-07-08,4.83,5.02,4.64,4.83,358500
2015-07-09,4.73,4.73,4.54,4.64,125700
2015-07-10,4.54,4.73,4.44,4.54,138900
2015-07-13,4.64,4.64,4.44,4.44,71600
2015-07-14,4.44,4.44,4.35,4.35,112400
2015-07-15,4.44,4.64,4.35,4.35,85600
2015-07-16,4.44,4.44,4.25,4.25,58800
2015-07-17,4.35,4.44,4.25,4.35,129000
2015-07-20,4.35,4.35,4.25,4.25,169800
2015-07-21,4.25,4.35,4.15,4.15,112900
2015-07-22,4.25,4.54,4.25,4.44,129800
2015-07-23,4.44,4.44,4.25,4.25,98600
2015-07-24,4.25,4.25,3.96,3.96,122292
2015-07-27,4.15,4.15,3.96,3.96,131600
2015-07-28,3.96,4.15,3.96,3.96,101608
2015-07-29,3.96,4.06,3.77,3.96,138700
2015-07-30,3.86,4.15,3.86,4.06,78100
2015-07-31,4.15,4.25,4.06,4.25,121305
2015-08-03,4.15,4.15,3.96,3.96,72400
2015-08-04,4.06,4.15,3.96,3.96,105410
2015-08-05,4.06,4.15,4.06,4.06,58900
2015-08-06,4.06,4.15,4.06,4.15,42405
2015-08-07,4.06,4.15,3.96,4.15,42600
2015-08-10,4.06,4.15,3.96,3.96,94400
2015-08-11,4.06,4.15,4.06,4.06,115100
2015-08-12,4.06,4.06,3.86,3.86,94600
2015-08-13,3.86,3.96,3.77,3.77,164200
2015-08-14,3.77,3.77,3.67,3.77,80100
2015-08-17,3.77,3.77,3.67,3.77,104300
2015-08-18,3.77,3.77,3.67,3.77,59500
2015-08-19,3.67,3.77,3.57,3.67,87800
2015-08-20,3.57,3.67,3.38,3.38,158700
2015-08-21,3.48,3.57,3.09,3.48,143100
2015-08-24,3.28,3.48,3.19,3.19,166900
2015-08-25,2.99,3.28,2.99,2.99,193100
2015-08-26,3.09,3.28,3.09,3.28,141200
2015-08-27,3.48,3.57,3.38,3.57,163700
2015-08-28,3.77,3.86,3.57,3.57,104700
2015-08-31,3.77,3.77,3.48,3.48,158220
2015-09-01,3.38,3.57,3.38,3.38,80408
2015-09-03,3.48,3.48,3.38,3.38,60200
2015-09-04,3.38,3.38,3.28,3.28,54800
2015-09-07,3.38,3.38,3.28,3.28,26100
2015-09-08,3.28,3.38,3.28,3.38,41300
2015-09-09,3.48,3.48,3.28,3.38,28500
2015-09-10,3.48,3.48,3.28,3.38,27100
2015-09-11,3.28,3.48,3.28,3.38,83400
2015-09-14,3.38,3.48,3.28,3.28,48800
2015-09-15,3.38,3.38,3.19,3.19,59400
2015-09-16,3.19,3.19,3.19,3.19,28400
2015-09-17,3.19,3.28,3.19,3.28,45600
2015-09-18,3.28,3.38,3.28,3.28,96600
2015-09-21,3.28,3.57,3.28,3.57,122200
2015-09-22,3.57,3.86,3.57,3.86,329700
2015-09-23,3.86,3.86,3.67,3.77,95400
2015-09-24,3.77,3.96,3.77,3.86,107400
2015-09-25,3.86,3.96,3.67,3.77,105000
2015-09-28,3.77,3.86,3.67,3.67,35000
2015-09-29,3.57,3.57,3.48,3.57,46600
2015-09-30,3.48,3.57,3.38,3.48,74200
2015-10-01,3.48,3.48,3.38,3.48,80100
2015-10-02,3.48,3.48,3.38,3.48,35800
2015-10-05,3.38,3.48,3.38,3.48,64900
2015-10-06,3.48,3.57,3.38,3.48,76600
