time,open,high,low,close,volume
2013-03-04,4.23,4.23,4.23,4.23,0
2013-03-05,4.64,4.64,4.64,4.64,100
2013-03-06,4.64,4.64,4.64,4.64,0
2013-03-07,4.64,4.64,4.64,4.64,0
2013-03-08,4.64,4.64,4.64,4.64,500
2013-03-11,4.64,4.64,4.64,4.64,0
2013-03-12,4.64,4.64,4.64,4.64,0
2013-03-13,4.64,4.64,4.64,4.64,0
2013-03-14,4.64,4.64,4.64,4.64,0
2013-03-15,4.64,4.64,4.64,4.64,0
2013-03-18,4.64,4.64,4.64,4.64,0
2013-03-19,4.64,4.64,4.64,4.64,0
2013-03-20,4.64,4.64,4.64,4.64,0
2013-03-21,4.64,4.64,4.64,4.64,0
2013-03-22,4.64,4.64,4.64,4.64,0
2013-03-25,4.74,4.74,4.74,4.74,1000
2013-03-26,4.74,4.74,4.74,4.74,0
2013-03-27,4.74,4.74,4.74,4.74,0
2013-03-28,4.74,4.74,4.74,4.74,0
2013-03-29,4.74,4.74,4.74,4.74,0
2013-04-01,4.74,4.74,4.74,4.74,0
2013-04-02,4.74,4.74,4.74,4.74,0
2013-04-03,4.74,4.74,4.74,4.74,0
2013-04-04,5.1,5.1,5.1,5.1,100
2013-04-05,5.1,5.1,5.1,5.1,1600
2013-04-08,4.64,4.64,4.64,4.64,15000
2013-04-09,4.64,4.64,4.64,4.64,0
2013-04-10,4.64,4.64,4.64,4.64,0
2013-04-11,4.38,4.38,4.38,4.38,500
2013-04-12,4.38,4.38,4.38,4.38,0
2013-04-15,4.38,4.38,4.38,4.38,1000
2013-04-16,4.38,4.38,4.38,4.38,0
2013-04-17,4.38,4.38,4.38,4.38,0
2013-04-18,4.64,4.64,4.64,4.64,1000
2013-04-22,4.64,4.64,4.64,4.64,500
2013-04-23,4.64,4.64,4.64,4.64,0
2013-04-24,4.69,4.69,4.69,4.69,1500
2013-04-25,5.15,5.15,5.15,5.15,200
2013-04-26,5.15,5.15,5.15,5.15,0
2013-05-02,5.15,5.15,5.15,5.15,0
2013-05-03,4.69,5.15,4.69,5.15,12100
2013-05-06,5.15,5.15,5.15,5.15,0
2013-05-07,5.15,5.15,5.15,5.15,0
2013-05-08,5.15,5.15,5.15,5.15,0
2013-05-09,5.15,5.15,5.15,5.15,0
2013-05-10,5.15,5.15,5.15,5.15,0
2013-05-13,5.15,5.15,5.15,5.15,0
2013-05-14,5.15,5.15,5.15,5.15,0
2013-05-15,5.57,5.57,5.57,5.57,100
2013-05-16,5.57,5.57,5.57,5.57,0
2013-05-17,5.57,5.57,5.57,5.57,0
2013-05-20,5.57,5.57,5.57,5.57,100
2013-05-21,5.57,5.57,5.57,5.57,0
2013-05-22,5.46,5.62,5.46,5.62,600
2013-05-23,5.57,5.57,5.57,5.57,500
2013-05-24,5.57,5.57,5.57,5.57,0
2013-05-27,5.57,5.57,5.57,5.57,0
2013-05-28,5.57,5.57,5.57,5.57,0
2013-05-29,5.57,5.57,5.57,5.57,0
2013-05-30,5.57,5.57,5.57,5.57,0
2013-05-31,5.57,5.57,5.57,5.57,0
2013-06-03,5.05,5.77,5.05,5.77,500
2013-06-04,5.77,5.77,5.77,5.77,0
2013-06-05,5.77,5.77,5.77,5.77,0
2013-06-06,5.88,5.88,5.88,5.88,100
2013-06-07,5.88,5.88,5.88,5.88,0
2013-06-10,5.88,5.88,5.88,5.88,0
2013-06-11,5.31,5.31,5.31,5.31,200
2013-06-12,5.31,5.31,5.31,5.31,0
2013-06-13,5.31,5.31,5.31,5.31,0
2013-06-14,5.31,5.31,5.31,5.31,0
2013-06-17,5.31,5.31,5.31,5.31,0
2013-06-18,5.31,5.31,5.31,5.31,0
2013-06-19,5.31,5.31,5.31,5.31,0
2013-06-20,4.9,5.15,4.9,5.15,1000
2013-06-21,5.15,5.15,5.15,5.15,2000
2013-06-24,5.15,5.15,5.15,5.15,0
2013-06-25,4.9,4.9,4.9,4.9,200
2013-06-26,4.79,4.79,4.79,4.79,700
2013-06-27,4.79,4.79,4.79,4.79,0
2013-06-28,4.79,4.79,4.79,4.79,200
2013-07-01,5.5,5.5,5.5,5.5,0
2013-07-02,5.27,5.27,5.27,5.27,300
2013-07-03,5.27,5.27,5.27,5.27,0
2013-07-04,5.27,5.27,5.27,5.27,0
2013-07-05,5.27,5.27,5.27,5.27,0
2013-07-08,5.27,5.27,5.27,5.27,0
2013-07-09,5.27,5.27,5.27,5.27,0
2013-07-10,5.62,5.62,5.62,5.62,5000
2013-07-11,5.62,5.62,5.62,5.62,0
2013-07-12,5.62,5.62,5.62,5.62,0
2013-07-15,5.62,5.62,5.62,5.62,0
2013-07-16,5.8,5.8,5.8,5.8,100
2013-07-17,5.8,5.92,5.8,5.92,3500
2013-07-18,5.92,5.92,5.92,5.92,0
2013-07-19,5.92,5.92,5.92,5.92,0
2013-07-22,5.92,5.92,5.92,5.92,0
2013-07-23,5.92,5.92,5.92,5.92,0
2013-07-24,5.92,5.92,5.92,5.92,0
2013-07-25,5.92,5.92,5.92,5.92,0
2013-07-26,5.92,5.92,5.92,5.92,0
2013-07-29,5.92,5.92,5.92,5.92,0
2013-07-30,5.92,5.92,5.92,5.92,200
2013-07-31,5.92,5.92,5.92,5.92,0
2013-08-01,5.92,5.92,5.92,5.92,0
2013-08-02,5.92,5.92,5.92,5.92,0
2013-08-05,5.92,5.92,5.92,5.92,0
2013-08-06,5.62,5.62,5.62,5.62,1000
2013-08-07,5.62,5.62,5.62,5.62,0
2013-08-08,5.62,5.62,5.62,5.62,0
2013-08-09,5.62,5.62,5.62,5.62,0
2013-08-12,5.62,5.62,5.62,5.62,0
2013-08-13,5.62,5.62,5.62,5.62,0
2013-08-14,5.62,5.62,5.62,5.62,0
2013-08-15,5.62,5.62,5.62,5.62,0
2013-08-16,5.62,5.62,5.62,5.62,0
2013-08-19,5.62,5.62,5.62,5.62,0
2013-08-20,5.62,5.62,5.62,5.62,0
2013-08-21,5.62,5.62,5.62,5.62,0
2013-08-22,5.62,5.62,5.62,5.62,0
2013-08-23,5.62,5.62,5.62,5.62,0
2013-08-26,5.62,5.62,5.62,5.62,0
2013-08-27,5.62,5.62,5.62,5.62,0
2013-08-28,5.62,5.62,5.62,5.62,0
2013-08-29,5.62,5.62,5.62,5.62,0
2013-08-30,5.62,5.62,5.62,5.62,2000
2013-09-03,5.62,5.62,5.62,5.62,2000
2013-09-04,5.56,5.62,5.56,5.62,600
2013-09-05,5.33,5.33,5.33,5.33,100
2013-09-06,5.62,5.62,5.62,5.62,400
2013-09-09,5.62,5.62,5.62,5.62,0
2013-09-10,5.62,5.62,5.62,5.62,0
2013-09-11,5.62,5.68,5.62,5.68,3200
2013-09-12,5.62,5.62,5.62,5.62,2900
2013-09-13,5.62,5.62,5.62,5.62,0
2013-09-16,5.62,5.62,5.62,5.62,0
2013-09-17,5.62,5.62,5.62,5.62,0
2013-09-18,5.62,5.62,5.62,5.62,0
2013-09-19,5.62,5.62,5.62,5.62,0
2013-09-20,5.62,5.62,5.62,5.62,0
2013-09-23,5.62,5.62,5.62,5.62,0
2013-09-24,5.8,5.8,5.8,5.8,2100
2013-09-25,5.8,5.8,5.8,5.8,0
2013-09-26,5.92,5.92,5.92,5.92,400
2013-09-27,5.92,5.92,5.92,5.92,0
2013-09-30,5.92,5.92,5.92,5.92,0
2013-10-01,5.92,5.92,5.92,5.92,0
2013-10-02,5.92,5.92,5.92,5.92,0
2013-10-03,5.92,5.92,5.92,5.92,0
2013-10-04,5.92,5.92,5.92,5.92,0
2013-10-07,5.92,5.92,5.92,5.92,0
