time,open,high,low,close,volume
2014-06-30,49.52,49.52,48.31,49.12,810
2014-07-01,48.71,49.12,48.71,49.12,5640
2014-07-02,48.31,48.31,48.31,48.31,380
2014-07-03,48.31,48.31,46.7,48.31,380
2014-07-04,46.7,48.31,46.7,48.31,530
2014-07-07,48.31,48.31,45.09,46.7,8190
2014-07-08,47.91,48.71,45.89,46.7,10320
2014-07-09,47.5,47.5,45.89,45.89,1160
2014-07-10,46.7,46.7,46.7,46.7,2060
2014-07-11,45.89,47.1,43.88,46.7,1990
2014-07-14,46.7,46.7,45.09,46.3,540
2014-07-15,45.89,46.3,45.49,46.3,1970
2014-07-16,45.89,45.89,45.09,45.89,650
2014-07-17,43.48,46.7,43.48,45.09,3990
2014-07-18,44.69,44.69,42.67,43.08,2760
2014-07-21,42.27,43.88,41.87,43.08,18780
2014-07-22,43.48,45.09,43.48,43.48,7460
2014-07-23,45.09,45.09,42.67,42.67,2790
2014-07-24,44.69,44.69,44.28,44.28,1020
2014-07-25,44.28,44.28,43.08,44.28,360
2014-07-28,43.08,45.09,43.08,44.28,10440
2014-07-29,43.88,45.09,43.88,45.09,10980
2014-07-30,45.49,45.49,42.27,45.49,3550
2014-07-31,45.89,46.3,43.48,45.49,4400
2014-08-01,46.3,46.3,45.49,45.49,1910
2014-08-04,45.49,45.49,44.69,44.69,1150
2014-08-05,43.48,44.69,41.87,41.87,1220
2014-08-06,43.08,43.88,43.08,43.88,1120
2014-08-07,45.09,45.89,43.48,43.48,1110
2014-08-08,44.28,44.28,43.88,44.28,710
2014-08-11,43.08,45.49,43.08,45.49,2290
2014-08-12,45.49,45.89,44.28,44.28,1660
2014-08-13,45.89,46.7,45.89,45.89,110
2014-08-14,47.5,47.5,45.89,46.3,310
2014-08-15,46.3,46.3,46.3,46.3,60
2014-08-18,46.3,49.12,45.49,46.3,4120
2014-08-19,46.3,46.3,45.09,45.49,2510
2014-08-20,44.69,45.49,44.28,45.49,590
2014-08-21,46.3,46.3,44.69,45.09,4800
2014-08-22,44.28,45.09,44.28,45.09,2430
2014-08-25,46.3,46.3,42.27,45.49,6850
2014-08-26,42.67,45.09,42.67,45.09,3820
2014-08-27,46.39,46.39,42.73,42.73,520
2014-08-28,44.76,45.58,44.76,45.58,5650
2014-08-29,45.58,47.2,44.36,47.2,3350
2014-09-03,47.2,48.02,45.58,48.02,5950
2014-09-04,47.61,48.43,47.2,48.43,9960
2014-09-05,46.8,50.46,46.8,50.46,9740
2014-09-08,51.27,51.27,50.46,50.46,230
2014-09-09,47.2,50.46,47.2,49.65,5440
2014-09-10,49.65,49.65,47.2,47.2,5790
2014-09-11,47.2,48.02,47.2,47.61,1310
2014-09-12,48.02,48.02,47.61,48.02,7130
2014-09-15,47.2,48.83,47.2,48.83,630
2014-09-16,46.39,48.43,46.39,48.43,40
2014-09-17,46.39,46.39,46.39,46.39,260
2014-09-18,48.02,48.02,44.36,46.8,650
2014-09-19,44.36,48.02,43.95,48.02,3610
2014-09-22,45.17,47.61,45.17,45.58,310
2014-09-23,45.58,47.61,45.58,47.61,20
2014-09-24,47.61,47.61,47.61,47.61,0
2014-09-25,47.2,48.43,46.39,48.43,24210
2014-09-26,46.39,48.02,46.39,48.02,50
2014-09-29,47.2,47.61,46.39,47.61,1210
2014-09-30,48.02,48.02,45.98,45.98,210
2014-10-01,46.39,47.2,46.39,47.2,1060
2014-10-02,46.8,46.8,45.98,45.98,520
2014-10-03,46.8,46.8,45.98,46.39,1220
2014-10-06,46.39,46.39,45.98,45.98,860
2014-10-07,45.98,45.98,45.58,45.58,120
2014-10-08,47.2,47.2,46.39,46.39,2600
2014-10-09,45.58,45.98,45.17,45.17,430
2014-10-10,45.58,48.02,44.76,48.02,560
2014-10-13,48.43,48.43,47.2,47.2,1210
2014-10-14,47.2,47.2,47.2,47.2,400
2014-10-15,44.76,47.2,44.76,46.8,3400
2014-10-16,44.76,44.76,44.76,44.76,1610
