time,open,high,low,close,volume
2025-06-06,20.0,20.0,19.5,20.0,284000
2025-06-09,22.6,22.8,22.6,22.8,25000
2025-06-10,26.2,26.2,19.4,24.0,57700
2025-06-11,24.0,26.0,24.0,26.0,10200
2025-06-12,25.0,26.5,24.6,25.0,11900
2025-06-13,25.0,25.3,23.1,25.0,8800
2025-06-16,24.0,24.7,24.0,24.5,4600
2025-06-17,25.0,25.0,24.1,24.8,2900
2025-06-18,24.6,24.9,21.0,21.0,6000
2025-06-19,23.0,23.6,23.0,23.6,1400
2025-06-20,23.6,23.6,23.6,23.6,600
2025-06-23,23.5,23.6,23.5,23.6,9100
2025-06-24,23.5,23.5,23.5,23.5,2100
2025-06-25,23.6,23.7,23.6,23.7,600
2025-06-26,23.6,23.6,23.6,23.6,900
