time,open,high,low,close,volume
2014-02-26,5.73,5.91,5.73,5.82,46800
2014-02-27,5.91,6.0,5.82,5.91,62900
2014-02-28,5.82,5.91,5.73,5.82,57700
2014-03-03,5.91,6.27,5.91,6.18,89800
2014-03-04,6.0,6.09,5.82,6.09,30400
2014-03-05,6.09,6.36,6.09,6.27,48400
2014-03-06,6.0,6.27,6.0,6.18,39100
2014-03-07,6.27,6.27,6.18,6.27,18900
2014-03-10,6.18,6.36,6.09,6.36,31600
2014-03-11,6.27,6.45,6.27,6.45,39200
2014-03-12,6.55,6.55,6.36,6.45,34100
2014-03-13,6.45,6.45,6.27,6.45,18700
2014-03-14,6.36,6.55,6.18,6.55,69600
2014-03-17,6.55,6.82,6.55,6.82,97600
2014-03-18,6.82,7.45,6.73,7.45,157000
2014-03-19,7.73,8.18,7.73,8.18,158600
2014-03-20,8.27,8.64,7.91,8.18,78800
2014-03-21,8.0,8.0,7.82,7.91,91740
2014-03-24,7.91,8.09,7.91,8.0,62400
2014-03-25,8.09,8.09,7.64,7.91,93230
2014-03-26,8.0,8.45,7.73,7.82,86700
2014-03-27,7.73,7.73,7.09,7.64,71100
2014-03-28,7.64,7.73,7.36,7.36,65000
2014-03-31,7.0,7.36,7.0,7.09,19600
2014-04-01,7.09,7.09,6.64,6.91,35600
2014-04-02,6.82,6.82,6.45,6.82,54800
2014-04-03,7.0,7.0,6.73,7.0,52600
2014-04-04,6.73,6.91,6.64,6.91,24500
2014-04-07,6.64,6.91,6.64,6.91,2900
2014-04-08,6.82,6.91,6.73,6.91,46700
2014-04-10,6.91,6.91,6.64,6.82,21300
2014-04-11,6.82,6.82,6.64,6.82,1600
2014-04-14,6.82,6.91,6.82,6.91,5500
2014-04-15,6.73,6.73,6.73,6.73,1000
2014-04-16,6.45,6.82,6.27,6.82,16100
2014-04-17,6.55,6.64,6.36,6.45,24700
2014-04-18,6.64,6.64,6.18,6.18,6400
2014-04-21,6.18,6.18,6.18,6.18,0
2014-04-22,6.18,6.18,6.18,6.18,0
2014-04-23,6.18,6.18,6.18,6.18,0
2014-04-24,6.18,6.18,6.18,6.18,0
2014-04-25,5.64,6.18,5.64,5.91,88200
2014-04-28,5.91,5.91,5.91,5.91,0
2014-04-29,5.91,5.91,5.91,5.91,0
2014-05-05,5.91,5.91,5.91,5.91,0
2014-05-06,5.91,5.91,5.91,5.91,0
2014-05-07,5.91,5.91,5.91,5.91,0
2014-05-08,5.91,5.91,5.91,5.91,0
2014-05-09,5.55,5.73,5.36,5.36,48500
2014-05-12,5.36,5.36,5.36,5.36,0
2014-05-13,5.36,5.36,5.36,5.36,0
2014-05-14,5.36,5.36,5.36,5.36,0
2014-05-15,5.36,5.36,5.36,5.36,0
2014-05-16,5.64,5.73,5.36,5.45,2200
2014-05-19,5.45,5.45,5.45,5.45,0
2014-05-20,5.45,5.45,5.45,5.45,0
2014-05-21,5.45,5.45,5.45,5.45,0
2014-05-22,5.45,5.45,5.45,5.45,0
2014-05-23,5.18,5.27,5.09,5.18,6500
2014-05-26,5.18,5.18,5.18,5.18,0
2014-05-27,5.18,5.18,5.18,5.18,0
2014-05-28,5.18,5.18,5.18,5.18,0
2014-05-29,5.18,5.18,5.18,5.18,0
2014-05-30,5.0,5.09,4.73,4.73,43600
2014-06-02,4.73,4.73,4.73,4.73,0
2014-06-03,4.73,4.73,4.73,4.73,0
2014-06-04,4.73,4.73,4.73,4.73,0
2014-06-05,4.73,4.73,4.73,4.73,0
2014-06-06,5.0,5.0,5.0,5.0,100
2014-06-09,5.0,5.0,5.0,5.0,0
2014-06-10,5.0,5.0,5.0,5.0,0
2014-06-11,5.0,5.0,5.0,5.0,0
2014-06-12,5.0,5.0,5.0,5.0,0
2014-06-13,5.27,5.27,4.64,4.73,49300
2014-06-16,4.73,4.73,4.73,4.73,0
2014-06-17,4.73,4.73,4.73,4.73,0
2014-06-18,4.73,4.73,4.73,4.73,0
2014-06-19,4.73,4.73,4.73,4.73,0
2014-06-20,4.73,5.0,4.64,4.64,21700
2014-06-23,4.64,4.64,4.64,4.64,0
2014-06-24,4.64,4.64,4.64,4.64,0
2014-06-25,4.64,4.64,4.64,4.64,0
2014-06-26,4.64,4.64,4.64,4.64,0
2014-06-27,4.64,4.73,4.64,4.64,19100
2014-06-30,4.64,4.64,4.64,4.64,0
2014-07-01,4.64,4.64,4.64,4.64,0
2014-07-02,4.64,4.64,4.64,4.64,0
2014-07-03,4.64,4.64,4.64,4.64,0
2014-07-04,4.64,4.73,4.55,4.55,39400
2014-07-07,4.55,4.55,4.55,4.55,0
2014-07-08,4.55,4.55,4.55,4.55,0
2014-07-09,4.55,4.55,4.55,4.55,0
2014-07-10,4.55,4.55,4.55,4.55,0
2014-07-11,4.64,4.64,4.55,4.64,37300
2014-07-14,4.64,4.64,4.64,4.64,0
2014-07-15,4.64,4.64,4.64,4.64,0
2014-07-16,4.64,4.64,4.64,4.64,0
2014-07-17,4.64,4.64,4.64,4.64,0
2014-07-18,4.73,4.82,4.64,4.64,65700
2014-07-21,4.64,4.64,4.64,4.64,0
2014-07-22,4.64,4.64,4.64,4.64,0
2014-07-23,4.64,4.64,4.64,4.64,0
2014-07-24,4.64,4.64,4.64,4.64,0
2014-07-25,4.64,4.73,4.55,4.73,32200
2014-07-28,4.73,4.73,4.73,4.73,0
2014-07-29,4.73,4.73,4.73,4.73,0
2014-07-30,4.73,4.73,4.73,4.73,0
2014-07-31,4.73,4.73,4.73,4.73,0
2014-08-01,5.18,5.18,5.18,5.18,28100
2014-08-04,5.18,5.18,5.18,5.18,0
2014-08-05,5.18,5.18,5.18,5.18,0
2014-08-06,5.18,5.18,5.18,5.18,0
2014-08-07,5.18,5.18,5.18,5.18,0
2014-08-08,5.64,5.64,5.36,5.64,58300
2014-08-11,5.64,5.64,5.64,5.64,0
2014-08-12,5.64,5.64,5.64,5.64,0
2014-08-13,5.64,5.64,5.64,5.64,0
2014-08-14,5.64,5.64,5.64,5.64,0
2014-08-15,6.09,6.18,6.0,6.18,218300
2014-08-18,6.18,6.18,6.18,6.18,0
2014-08-19,6.18,6.18,6.18,6.18,0
2014-08-20,6.18,6.18,6.18,6.18,0
2014-08-21,6.18,6.18,6.18,6.18,0
2014-08-22,6.18,6.73,6.0,6.73,114400
2014-08-25,6.73,6.73,6.73,6.73,0
2014-08-26,6.73,6.73,6.73,6.73,0
2014-08-27,6.73,6.73,6.73,6.73,0
2014-08-28,6.73,6.73,6.73,6.73,0
2014-08-29,6.73,6.73,6.45,6.73,40300
2014-09-03,6.73,6.73,6.73,6.73,0
2014-09-04,6.73,6.73,6.73,6.73,0
2014-09-05,6.73,6.82,6.36,6.64,29700
2014-09-08,6.64,6.64,6.64,6.64,0
2014-09-09,6.64,6.64,6.64,6.64,0
2014-09-10,6.64,6.64,6.64,6.64,0
2014-09-11,6.64,6.64,6.64,6.64,0
2014-09-12,6.0,7.0,6.0,6.91,77100
2014-09-15,6.91,6.91,6.91,6.91,0
2014-09-16,6.91,6.91,6.91,6.91,0
2014-09-17,6.91,6.91,6.91,6.91,0
2014-09-18,6.91,6.91,6.91,6.91,0
2014-09-19,6.64,6.91,6.45,6.45,21000
2014-09-22,6.45,6.45,6.45,6.45,0
2014-09-23,6.45,6.45,6.45,6.45,0
2014-09-24,6.45,6.45,6.45,6.45,0
2014-09-25,6.45,6.45,6.45,6.45,0
2014-09-26,6.55,6.82,6.55,6.73,61940
2014-09-29,6.73,6.73,6.73,6.73,0
2014-09-30,6.73,6.73,6.73,6.73,0
2014-10-01,6.73,6.73,6.73,6.73,0
2014-10-02,6.73,6.73,6.73,6.73,0
2014-10-03,7.09,7.27,6.73,6.91,52200
2014-10-06,6.91,6.91,6.91,6.91,0
2014-10-07,6.91,6.91,6.91,6.91,0
2014-10-08,6.91,6.91,6.91,6.91,0
2014-10-09,6.91,6.91,6.91,6.91,0
2014-10-10,6.73,7.09,6.73,6.82,65600
2014-10-13,6.82,6.82,6.82,6.82,0
2014-10-14,6.82,6.82,6.82,6.82,0
2014-10-15,6.82,6.82,6.82,6.82,0
2014-10-16,6.82,6.82,6.82,6.82,0
2014-10-17,6.45,6.73,6.36,6.64,27000
2014-10-20,6.64,6.64,6.64,6.64,0
2014-10-21,6.64,6.64,6.64,6.64,0
2014-10-22,6.64,6.64,6.64,6.64,0
2014-10-23,6.64,6.64,6.64,6.64,0
2014-10-24,6.36,6.36,6.09,6.36,50000
2014-10-27,6.36,6.36,6.36,6.36,0
2014-10-28,6.36,6.36,6.36,6.36,0
2014-10-29,6.36,6.36,6.36,6.36,0
2014-10-30,6.36,6.36,6.36,6.36,0
2014-10-31,6.36,6.55,6.27,6.45,42600
2014-11-03,6.45,6.45,6.45,6.45,0
2014-11-04,6.45,6.45,6.45,6.45,0
2014-11-05,6.45,6.45,6.45,6.45,0
2014-11-06,6.45,6.45,6.45,6.45,0
2014-11-07,6.64,7.0,6.45,7.0,131900
2014-11-10,7.0,7.0,7.0,7.0,0
2014-11-11,7.0,7.0,7.0,7.0,0
2014-11-12,7.0,7.0,7.0,7.0,0
2014-11-13,7.0,7.0,7.0,7.0,0
2014-11-14,7.0,7.64,7.0,7.64,141000
2014-11-17,7.64,7.64,7.64,7.64,0
2014-11-18,7.64,7.64,7.64,7.64,0
2014-11-19,7.64,7.64,7.64,7.64,0
2014-11-20,7.64,7.64,7.64,7.64,0
2014-11-21,7.64,8.36,7.64,8.36,180300
2014-11-24,8.36,8.36,8.36,8.36,0
2014-11-25,8.36,8.36,8.36,8.36,0
2014-11-26,8.36,8.36,8.36,8.36,0
2014-11-27,8.36,8.36,8.36,8.36,0
2014-11-28,8.64,8.64,7.91,7.91,63900
2014-12-01,7.91,7.91,7.91,7.91,0
2014-12-02,7.91,7.91,7.91,7.91,0
2014-12-03,7.91,7.91,7.91,7.91,0
2014-12-04,7.91,7.91,7.91,7.91,0
2014-12-05,7.91,8.0,7.82,7.91,91102
2014-12-08,7.91,7.91,7.91,7.91,0
2014-12-09,7.91,7.91,7.91,7.91,0
2014-12-10,7.91,7.91,7.91,7.91,0
2014-12-11,7.91,7.91,7.91,7.91,0
2014-12-12,7.91,7.91,7.91,7.91,0
2014-12-15,7.91,7.91,7.91,7.91,0
2014-12-16,7.91,7.91,7.91,7.91,0
2014-12-17,7.91,7.91,7.91,7.91,0
2014-12-18,7.91,7.91,7.91,7.91,0
2014-12-19,7.91,7.91,7.91,7.91,0
2014-12-22,7.91,7.91,7.91,7.91,0
2014-12-23,7.91,7.91,7.91,7.91,0
2014-12-24,7.91,7.91,7.91,7.91,0
2014-12-25,7.91,7.91,7.91,7.91,0
2014-12-26,7.91,7.91,7.91,7.91,0
2014-12-29,7.91,7.91,7.91,7.91,0
2014-12-30,7.91,7.91,7.91,7.91,0
2014-12-31,7.91,7.91,7.91,7.91,0
2015-01-05,7.91,7.91,7.91,7.91,0
2015-01-06,7.91,7.91,7.91,7.91,0
2015-01-07,7.91,7.91,7.91,7.91,0
2015-01-08,7.91,7.91,7.91,7.91,0
2015-01-09,7.91,7.91,7.73,7.73,43100
2015-01-12,7.73,7.73,7.73,7.73,0
2015-01-13,7.73,7.73,7.73,7.73,0
2015-01-14,7.73,7.73,7.73,7.73,0
2015-01-15,7.73,7.73,7.73,7.73,0
2015-01-16,7.45,7.64,7.27,7.36,51700
2015-01-19,7.36,7.36,7.36,7.36,0
2015-01-20,7.36,7.36,7.36,7.36,0
2015-01-21,7.36,7.36,7.36,7.36,0
2015-01-22,7.36,7.36,7.36,7.36,0
2015-01-23,7.45,7.45,7.0,7.09,89600
2015-01-26,7.09,7.09,7.09,7.09,0
2015-01-27,7.09,7.09,7.09,7.09,0
2015-01-28,7.09,7.09,7.09,7.09,0
2015-01-29,7.09,7.09,7.09,7.09,0
2015-01-30,7.0,7.18,6.82,7.0,35300
2015-02-02,7.0,7.0,7.0,7.0,0
