time,open,high,low,close,volume
2015-06-26,6.49,6.49,6.37,6.45,13380
2015-06-29,6.37,6.45,6.37,6.45,9050
2015-06-30,6.45,6.49,6.45,6.49,31500
2015-07-01,6.37,6.37,6.37,6.37,1100
2015-07-02,6.34,6.49,6.3,6.49,5710
2015-07-03,6.41,6.57,6.41,6.57,12880
2015-07-06,6.57,6.99,6.57,6.88,75740
2015-07-07,6.95,7.34,6.95,7.34,385910
2015-07-08,7.19,7.69,6.95,7.22,144560
2015-07-09,6.88,7.22,6.88,6.88,82990
2015-07-10,6.95,7.34,6.95,7.34,66740
2015-07-13,7.84,7.84,7.84,7.84,38350
2015-07-14,8.38,8.38,8.38,8.38,46610
2015-07-15,8.96,8.96,8.73,8.85,859120
2015-07-16,8.89,9.46,8.81,9.46,699300
2015-07-17,9.46,10.08,9.46,10.08,463770
2015-07-20,9.62,10.24,9.58,9.81,340130
2015-07-21,9.62,9.7,9.16,9.16,205540
2015-07-22,8.54,9.27,8.54,9.27,550150
2015-07-23,9.39,9.74,9.27,9.27,232490
2015-07-24,9.27,9.27,8.96,8.96,130950
2015-07-27,8.61,9.19,8.61,8.73,223540
2015-07-28,8.73,8.89,8.65,8.85,231210
2015-07-29,8.81,9.19,8.58,8.69,74680
2015-07-30,8.89,8.89,8.58,8.85,108070
2015-07-31,8.89,8.89,8.54,8.54,82140
2015-08-03,8.04,8.31,7.96,7.96,191320
2015-08-04,7.96,8.07,7.88,7.92,61810
2015-08-05,7.92,8.31,7.92,8.27,32970
2015-08-06,8.27,8.27,7.84,7.88,80800
2015-08-07,7.88,8.23,7.73,7.96,61860
2015-08-10,8.11,8.5,8.11,8.5,106770
2015-08-11,9.04,9.08,8.92,9.08,318180
2015-08-12,9.08,9.08,8.73,8.89,95690
2015-08-13,8.69,8.81,8.27,8.34,107550
2015-08-14,8.11,8.58,8.11,8.5,61910
2015-08-17,8.5,8.96,7.96,8.07,102930
2015-08-18,7.92,8.42,7.92,8.38,60560
2015-08-19,8.38,8.61,8.11,8.58,85210
2015-08-20,8.65,9.0,8.54,8.92,123480
2015-08-21,8.42,8.81,8.31,8.81,111240
2015-08-24,8.5,8.69,8.23,8.23,128780
2015-08-25,7.73,8.5,7.73,8.5,70150
2015-08-26,8.58,8.61,8.31,8.58,59370
2015-08-27,8.58,8.81,8.58,8.65,128070
2015-08-28,8.69,8.85,8.65,8.73,151260
2015-08-31,8.89,9.08,8.85,9.0,252390
2015-09-01,9.0,9.12,8.85,8.85,79500
2015-09-03,8.69,8.69,8.34,8.38,93660
2015-09-04,8.38,8.65,8.38,8.5,136980
2015-09-07,8.5,8.73,8.34,8.38,62250
2015-09-08,8.67,8.92,8.5,8.88,88570
2015-09-09,8.88,9.09,8.8,8.8,52370
2015-09-10,8.58,8.8,8.58,8.63,87760
2015-09-11,8.58,8.84,8.58,8.63,72840
2015-09-14,8.58,8.58,8.16,8.2,175250
2015-09-15,8.2,8.33,8.2,8.29,35700
2015-09-16,8.24,8.33,8.16,8.2,27590
2015-09-17,8.2,8.29,8.2,8.2,7790
2015-09-18,8.37,8.46,8.24,8.37,36800
2015-09-21,8.46,8.71,8.41,8.67,56770
2015-09-22,8.71,8.8,8.58,8.67,93810
2015-09-23,8.58,8.71,8.54,8.71,43020
2015-09-24,8.75,8.97,8.71,8.88,255990
2015-09-25,8.84,8.88,8.71,8.88,37100
2015-09-28,9.09,9.09,8.5,8.5,86100
2015-09-29,8.5,8.5,8.29,8.37,139750
2015-09-30,8.54,8.67,8.5,8.5,21100
2015-10-01,8.41,8.46,8.29,8.41,31590
2015-10-02,8.29,8.5,8.29,8.29,94730
2015-10-05,8.29,8.46,8.29,8.46,70710
2015-10-06,8.67,9.01,8.54,9.01,193990
2015-10-07,9.26,9.56,8.92,8.92,262890
2015-10-08,8.92,9.52,8.92,9.52,415710
2015-10-09,9.56,9.69,9.31,9.35,134210
2015-10-12,9.35,9.69,9.14,9.22,72360
2015-10-13,9.14,9.31,8.92,9.05,261420
2015-10-14,9.65,9.65,9.65,9.65,200880
2015-10-15,9.77,10.11,9.69,9.94,341790
2015-10-16,9.82,10.03,9.65,9.77,224240
2015-10-19,9.86,10.2,9.77,10.03,271060
2015-10-20,10.03,10.71,9.82,10.71,404990
2015-10-21,10.71,11.26,10.71,11.18,305160
2015-10-22,10.96,11.77,10.84,11.6,496140
2015-10-23,11.77,11.94,11.39,11.43,288670
2015-10-26,11.43,11.47,11.13,11.3,199540
2015-10-27,11.05,11.22,10.84,10.84,298480
2015-10-28,10.84,11.22,10.75,10.75,320110
2015-10-29,10.84,11.26,10.75,11.26,283950
2015-10-30,11.39,11.6,11.3,11.39,258690
2015-11-02,11.3,11.6,10.88,11.05,229930
2015-11-03,11.39,11.52,10.92,11.52,243590
2015-11-04,11.6,11.6,11.22,11.22,214640
2015-11-05,11.13,11.98,11.09,11.98,724740
2015-11-06,11.73,11.9,11.47,11.64,387150
2015-11-09,11.64,11.64,11.39,11.47,132870
2015-11-10,11.47,11.47,11.05,11.26,307090
2015-11-11,11.13,11.35,10.88,10.88,245340
2015-11-12,11.01,11.47,10.92,11.47,234410
2015-11-13,11.47,11.77,11.22,11.47,261600
2015-11-16,11.3,11.64,11.3,11.3,227220
2015-11-17,11.26,11.73,11.26,11.3,319170
2015-11-18,11.26,11.39,11.13,11.18,134710
2015-11-19,11.26,11.35,11.13,11.26,159550
2015-11-20,11.18,11.35,11.09,11.09,243790
2015-11-23,11.09,11.13,10.96,11.01,171170
2015-11-24,10.92,11.13,10.79,10.92,180210
2015-11-25,11.01,11.01,10.79,10.88,121370
2015-11-26,10.92,10.92,10.62,10.62,172840
2015-11-27,10.62,10.79,10.45,10.45,92950
2015-11-30,10.28,10.41,10.11,10.2,185960
2015-12-01,10.2,10.41,10.2,10.24,107240
2015-12-02,10.33,10.41,10.2,10.28,94210
2015-12-03,10.24,10.33,10.2,10.24,35540
2015-12-04,10.24,10.28,10.2,10.24,119500
2015-12-07,10.24,10.24,10.16,10.2,62270
2015-12-08,10.2,10.88,10.2,10.88,165310
2015-12-09,10.88,11.43,10.67,10.71,162460
2015-12-10,10.62,11.05,10.62,10.92,84720
2015-12-11,10.62,11.01,10.62,10.71,69170
2015-12-14,10.96,10.96,10.58,10.71,35530
2015-12-15,10.54,10.92,10.41,10.71,26900
2015-12-16,10.71,10.88,10.67,10.67,33560
2015-12-17,10.88,11.05,10.71,11.05,79810
2015-12-18,11.01,11.3,10.96,11.26,214180
2015-12-21,11.26,11.26,10.92,11.09,47020
2015-12-22,11.09,11.26,10.88,10.92,27080
2015-12-23,11.01,11.01,10.62,10.92,33890
2015-12-24,10.75,11.13,10.75,11.05,35190
2015-12-25,11.05,11.13,10.84,11.05,45590
2015-12-28,10.84,11.05,10.28,10.71,94330
2015-12-29,10.62,11.01,10.62,11.01,41160
2015-12-30,11.13,11.13,10.88,11.05,23430
2015-12-31,11.05,11.05,10.71,10.71,35820
2016-01-04,10.71,10.92,10.67,10.88,71850
2016-01-05,10.79,10.96,10.75,10.88,67400
2016-01-06,10.88,10.92,10.71,10.79,38110
2016-01-07,10.88,10.88,10.45,10.45,50820
2016-01-08,10.37,10.45,10.2,10.2,95700
2016-01-11,9.94,10.2,9.94,9.99,56360
2016-01-12,9.99,10.54,9.99,10.37,28250
2016-01-13,10.62,10.62,10.16,10.5,14970
2016-01-14,10.33,10.41,10.11,10.37,66220
2016-01-15,10.37,10.37,9.99,10.07,72770
2016-01-18,9.99,10.71,9.6,10.2,254120
2016-01-19,10.2,10.2,10.07,10.07,63390
2016-01-20,9.99,10.2,9.9,10.03,108170
2016-01-21,9.94,10.03,9.73,9.94,136850
2016-01-22,9.77,10.2,9.77,10.2,32460
2016-01-25,10.2,10.71,10.2,10.67,64880
2016-01-26,10.67,10.67,10.2,10.58,63300
2016-01-27,10.58,10.58,10.33,10.54,12380
2016-01-28,10.28,10.41,9.82,10.2,15790
2016-01-29,10.2,10.41,10.07,10.41,52590
2016-02-01,10.33,10.33,10.2,10.2,20060
2016-02-02,10.2,10.2,9.99,10.2,19210
2016-02-03,10.11,10.16,10.11,10.16,9110
2016-02-04,10.16,10.24,9.99,10.24,25560
2016-02-05,10.2,10.71,9.99,10.24,30010
2016-02-15,10.16,10.37,10.16,10.37,1040
2016-02-16,10.2,10.5,10.2,10.5,26450
2016-02-17,10.54,10.54,10.28,10.54,18590
2016-02-18,10.54,10.84,10.54,10.67,114930
2016-02-19,10.71,10.92,10.71,10.92,102880
2016-02-22,11.05,11.05,10.88,10.92,50780
2016-02-23,10.92,10.96,10.37,10.37,86440
2016-02-24,10.28,10.71,10.28,10.67,69310
2016-02-25,10.67,10.79,10.62,10.62,90430
2016-02-26,10.62,10.71,10.54,10.71,14840
2016-02-29,10.54,10.58,10.37,10.37,31360
2016-03-01,10.45,10.71,10.37,10.58,38870
2016-03-02,10.71,11.18,10.5,11.05,213000
2016-03-03,11.05,11.13,10.62,10.84,146790
2016-03-04,10.84,11.47,10.84,11.13,313800
2016-03-07,11.13,11.18,10.96,10.96,164160
2016-03-08,10.75,11.05,10.75,11.05,123430
2016-03-09,11.05,11.05,10.71,10.71,102160
2016-03-10,10.88,11.01,10.75,11.01,85740
2016-03-11,10.96,11.05,10.96,11.05,149260
2016-03-14,11.05,11.13,11.05,11.05,184000
2016-03-15,11.13,11.13,10.79,10.79,152260
2016-03-16,10.84,10.96,10.84,10.92,37210
2016-03-17,11.05,11.05,10.79,10.79,85260
2016-03-18,10.79,10.96,10.62,10.84,104530
2016-03-21,10.79,10.96,10.71,10.84,53820
2016-03-22,10.84,10.84,10.54,10.71,67510
2016-03-23,10.54,10.75,10.54,10.71,28300
2016-03-24,10.71,10.79,10.5,10.58,42570
2016-03-25,10.62,10.75,10.58,10.67,26630
2016-03-28,10.45,10.67,10.45,10.54,135280
2016-03-29,10.75,10.75,10.41,10.5,61130
2016-03-30,10.41,10.5,10.37,10.5,46670
2016-03-31,10.5,10.5,10.33,10.41,43380
2016-04-01,10.24,10.37,10.16,10.37,12530
2016-04-04,10.41,10.41,10.03,10.33,18920
2016-04-05,10.33,10.33,10.11,10.33,4810
