time,open,high,low,close,volume
2024-12-26,17.2,20.7,16.1,20.7,51400
2024-12-27,21.7,21.7,20.0,21.7,11400
2024-12-30,21.7,21.7,18.2,21.5,16800
2024-12-31,19.0,19.5,18.3,18.3,2200
2025-01-02,17.0,19.9,17.0,19.7,11600
2025-01-03,18.0,19.0,17.1,18.4,5400
2025-01-06,17.5,18.0,17.5,18.0,1300
2025-01-07,18.0,18.0,17.0,17.0,4200
2025-01-08,17.2,18.0,17.2,17.5,1200
2025-01-09,17.2,17.2,17.2,17.2,1700
2025-01-10,15.5,17.0,14.7,17.0,12700
2025-01-13,16.6,16.6,15.1,16.2,2700
2025-01-14,16.0,16.4,15.0,16.0,3100
2025-01-15,15.8,16.0,14.7,16.0,11900
2025-01-16,15.5,16.0,15.5,15.9,5100
2025-01-17,15.2,16.0,15.2,16.0,2300
2025-01-20,15.5,17.0,15.5,16.9,1600
2025-01-21,16.8,17.2,14.5,16.8,29600
2025-01-22,16.6,16.6,14.6,16.2,4100
2025-01-23,16.0,16.0,15.5,15.9,3600
2025-01-24,16.0,16.0,15.9,16.0,4200
2025-02-03,16.5,16.5,15.2,15.8,7600
2025-02-04,15.3,15.3,15.3,15.3,300
2025-02-05,17.0,17.0,16.0,16.0,600
2025-02-06,16.0,16.0,15.5,16.0,3300
2025-02-07,15.0,16.2,15.0,16.1,3300
2025-02-10,15.8,16.5,15.8,16.5,1900
2025-02-11,16.5,16.7,16.5,16.5,700
2025-02-12,16.4,16.4,15.0,16.1,6800
2025-02-13,16.2,16.2,15.3,15.3,1100
2025-02-14,15.9,15.9,15.8,15.9,500
2025-02-17,15.8,16.3,15.8,16.3,10400
2025-02-18,16.0,16.1,15.3,16.1,4300
2025-02-19,16.0,16.0,15.6,16.0,400
2025-02-20,16.2,16.9,16.0,16.2,2200
2025-02-21,16.2,16.2,16.2,16.2,100
2025-02-24,17.0,17.0,15.4,15.5,1000
2025-02-25,15.3,15.9,15.1,15.8,8700
2025-02-26,15.3,16.0,15.3,16.0,1700
2025-02-27,16.0,16.0,15.5,15.7,2400
2025-02-28,15.8,15.8,15.8,15.8,1500
2025-03-03,15.0,16.1,15.0,15.8,900
2025-03-04,16.0,16.0,15.7,15.9,1800
2025-03-05,15.9,16.0,15.3,15.9,10000
2025-03-06,15.0,15.9,15.0,15.9,3700
2025-03-07,15.6,15.8,15.4,15.6,2900
2025-03-10,15.8,15.9,15.4,15.7,14600
2025-03-11,15.9,15.9,15.4,15.9,3000
2025-03-12,15.8,15.9,15.6,15.9,8800
2025-03-13,15.7,15.9,15.6,15.6,1300
2025-03-14,15.9,15.9,15.9,15.9,2100
2025-03-17,15.5,15.9,15.4,15.9,4900
2025-03-18,15.6,15.6,15.6,15.6,100
2025-03-19,15.4,15.9,15.4,15.9,500
2025-03-21,15.6,16.1,15.6,16.1,2700
2025-03-24,15.7,15.9,15.7,15.7,2400
2025-03-25,15.7,15.7,15.3,15.3,9100
2025-03-26,15.4,15.4,15.4,15.4,2600
2025-03-27,15.4,15.8,15.4,15.8,2100
2025-03-28,15.8,16.5,15.3,16.0,2100
2025-03-31,15.7,15.7,15.3,15.7,1800
2025-04-01,15.6,15.7,15.6,15.7,1800
2025-04-02,15.7,15.7,15.3,15.3,500
2025-04-03,16.5,16.5,15.3,15.3,2000
2025-04-04,16.1,16.1,15.5,15.5,1900
2025-04-09,15.5,15.5,13.9,13.9,800
2025-04-10,14.0,16.0,14.0,16.0,1600
2025-04-11,16.8,16.8,14.0,15.9,1500
2025-04-14,14.1,15.7,14.1,15.7,700
2025-04-15,15.6,15.6,15.1,15.1,300
2025-04-16,15.4,15.4,15.4,15.4,100
2025-04-18,15.0,15.7,15.0,15.7,3400
2025-04-21,15.7,15.7,15.7,15.7,400
2025-04-23,15.0,15.7,15.0,15.7,300
2025-04-24,15.0,15.0,13.5,13.5,2500
2025-04-25,15.6,15.6,13.5,15.5,1400
2025-04-28,15.7,15.7,15.6,15.6,900
2025-04-29,15.8,15.8,15.8,15.8,500
2025-05-05,15.0,15.0,14.5,14.9,1200
2025-05-06,16.3,16.3,14.5,15.8,300
2025-05-07,16.5,16.5,15.5,15.9,400
2025-05-08,16.5,17.8,15.0,17.2,2400
2025-05-12,15.5,16.2,15.5,16.2,1400
2025-05-14,16.0,16.0,16.0,16.0,100
2025-05-16,16.2,16.2,16.2,16.2,100
2025-05-19,16.2,16.5,16.2,16.5,1800
2025-05-20,16.6,16.6,14.5,16.6,700
2025-05-21,16.5,16.5,15.5,15.7,2000
2025-05-22,15.6,16.0,14.7,16.0,9200
2025-05-23,15.5,16.0,15.5,16.0,1600
2025-05-26,15.8,15.8,15.6,15.6,200
2025-05-27,15.5,15.7,15.5,15.6,11500
2025-05-28,15.5,15.8,15.5,15.8,6800
2025-05-29,16.8,16.8,16.8,16.8,3300
2025-06-02,16.7,16.8,16.7,16.8,200
2025-06-03,16.8,16.8,16.8,16.8,500
2025-06-04,15.2,16.7,15.2,16.7,700
2025-06-05,14.6,15.9,14.1,15.9,12000
2025-06-06,16.4,16.4,16.4,16.4,500
2025-06-09,16.4,16.4,14.4,15.7,6300
2025-06-10,15.7,15.8,15.7,15.8,300
2025-06-11,15.6,15.6,15.6,15.6,700
2025-06-12,15.0,15.3,15.0,15.0,5300
2025-06-13,15.3,15.3,15.0,15.1,900
