time,open,high,low,close,volume
2014-05-23,5.28,5.54,5.28,5.54,900
2014-05-26,5.28,5.59,5.28,5.59,1900
2014-05-27,5.59,5.59,5.59,5.59,0
2014-05-28,5.49,5.54,5.49,5.54,4000
2014-05-29,5.54,5.54,5.54,5.54,0
2014-05-30,5.28,5.28,5.28,5.28,500
2014-06-02,5.38,5.38,5.28,5.28,6800
2014-06-03,5.54,5.54,5.54,5.54,100
2014-06-04,5.43,5.49,5.43,5.49,3700
2014-06-05,5.49,5.49,5.49,5.49,1000
2014-06-06,5.49,5.49,5.49,5.49,500
2014-06-09,5.49,5.49,5.49,5.49,2200
2014-06-10,5.54,5.8,5.49,5.49,7600
2014-06-11,5.49,5.49,5.49,5.49,0
2014-06-12,5.59,5.8,5.59,5.8,4800
2014-06-13,5.75,5.75,5.75,5.75,100
2014-06-16,5.75,5.75,5.75,5.75,0
2014-06-17,5.75,5.75,5.75,5.75,0
2014-06-18,5.75,5.75,5.75,5.75,0
2014-06-19,5.75,5.75,5.75,5.75,0
2014-06-20,5.54,5.7,5.54,5.7,3700
2014-06-23,5.7,5.7,5.7,5.7,2700
2014-06-24,5.54,5.54,5.54,5.54,100
2014-06-25,5.65,5.7,5.65,5.7,3000
2014-06-26,5.7,5.7,5.7,5.7,5000
2014-06-27,5.65,5.65,5.65,5.65,100
2014-06-30,5.7,5.75,5.7,5.75,4000
2014-07-01,5.75,5.75,5.75,5.75,0
2014-07-02,5.65,6.02,5.65,5.91,7000
2014-07-03,5.91,5.91,5.91,5.91,0
2014-07-04,5.86,5.86,5.86,5.86,1000
2014-07-07,5.86,6.02,5.86,6.02,1300
2014-07-08,6.02,6.02,6.02,6.02,600
2014-07-09,6.02,6.02,6.02,6.02,0
2014-07-10,6.02,6.02,6.02,6.02,0
2014-07-11,6.02,6.02,6.02,6.02,0
2014-07-14,6.02,6.02,6.02,6.02,0
2014-07-15,6.02,6.12,6.02,6.12,300
2014-07-16,6.12,6.12,6.12,6.12,0
2014-07-17,6.12,6.12,6.12,6.12,0
2014-07-18,6.12,6.12,6.07,6.07,1600
2014-07-21,6.07,6.07,6.07,6.07,7700
2014-07-22,6.12,6.17,6.12,6.17,1100
2014-07-23,6.17,6.17,6.17,6.17,400
2014-07-24,6.17,6.23,6.12,6.12,300
2014-07-25,6.23,6.28,6.23,6.28,1000
2014-07-28,6.23,6.23,6.12,6.12,3600
2014-07-29,6.23,6.33,5.96,6.12,1600
2014-07-30,6.23,6.23,6.23,6.23,100
2014-07-31,6.33,6.33,6.33,6.33,2600
2014-08-01,6.02,6.28,6.02,6.28,26900
2014-08-04,6.28,6.28,6.28,6.28,700
2014-08-05,6.07,6.07,6.07,6.07,600
2014-08-06,6.28,6.28,6.07,6.28,900
2014-08-07,6.28,6.28,6.28,6.28,0
2014-08-08,6.33,6.33,6.33,6.33,100
2014-08-11,6.33,6.33,6.33,6.33,0
2014-08-12,6.17,6.28,6.17,6.28,500
2014-08-13,6.12,6.28,6.12,6.28,2200
2014-08-14,6.12,6.28,6.12,6.28,14100
2014-08-15,6.33,6.33,6.28,6.28,300
2014-08-18,6.33,6.33,6.33,6.33,2600
2014-08-19,6.07,6.12,6.07,6.12,4100
2014-08-20,6.28,6.28,6.23,6.23,3800
2014-08-21,6.33,6.33,6.33,6.33,1600
2014-08-22,6.33,6.44,6.33,6.44,3600
2014-08-25,6.49,6.6,6.44,6.6,2800
2014-08-26,6.6,6.6,6.6,6.6,0
2014-08-27,6.6,6.6,6.6,6.6,0
2014-08-28,6.49,6.49,6.49,6.49,2000
2014-08-29,6.49,6.54,6.44,6.54,13200
2014-09-03,6.44,6.54,6.44,6.54,2600
2014-09-04,6.6,6.6,6.54,6.54,300
2014-09-05,6.65,6.65,6.65,6.65,300
2014-09-08,6.75,6.75,6.75,6.75,100
2014-09-09,6.65,6.65,6.38,6.6,1700
2014-09-10,6.65,6.65,6.65,6.65,100
2014-09-11,6.6,6.75,6.6,6.75,800
2014-09-12,6.49,6.6,6.49,6.6,1600
2014-09-15,6.54,6.65,6.54,6.65,1000
2014-09-16,6.6,6.6,6.6,6.6,500
2014-09-17,6.6,6.6,6.6,6.6,4000
2014-09-18,6.6,6.6,6.6,6.6,1000
2014-09-19,6.6,6.6,6.54,6.54,1400
2014-09-22,6.6,6.7,6.6,6.7,800
2014-09-23,6.6,6.6,6.6,6.6,1000
2014-09-24,6.44,6.54,6.44,6.54,3300
2014-09-25,6.54,6.54,6.54,6.54,1800
2014-09-26,6.44,6.75,6.44,6.65,3100
2014-09-29,6.49,6.49,6.38,6.38,2000
2014-09-30,6.44,6.49,6.33,6.49,3200
2014-10-01,6.54,6.65,6.49,6.65,22200
2014-10-02,6.75,6.75,6.6,6.6,9200
2014-10-03,6.65,6.75,6.54,6.54,1300
2014-10-06,6.65,6.75,6.54,6.54,700
2014-10-07,6.6,6.6,6.54,6.6,11500
2014-10-08,6.6,6.6,6.6,6.6,0
2014-10-09,6.6,6.6,6.54,6.54,5900
2014-10-10,6.75,6.75,6.75,6.75,500
2014-10-13,6.75,6.75,6.75,6.75,0
2014-10-14,6.75,6.75,6.75,6.75,0
2014-10-15,6.54,6.54,6.38,6.54,22700
2014-10-16,6.49,6.49,6.17,6.38,8300
2014-10-17,6.38,6.38,6.38,6.38,0
2014-10-20,6.28,6.44,6.28,6.44,200
2014-10-21,6.38,6.38,6.38,6.38,700
2014-10-22,6.17,6.38,6.17,6.38,200
2014-10-23,6.38,6.38,6.38,6.38,0
2014-10-24,6.28,6.28,6.28,6.28,4000
2014-10-27,6.28,6.28,6.28,6.28,0
2014-10-28,6.28,6.33,6.28,6.33,5500
2014-10-29,6.33,6.33,6.33,6.33,2400
2014-10-30,6.33,6.33,6.33,6.33,0
2014-10-31,6.38,6.38,6.38,6.38,7900
2014-11-03,6.7,6.7,6.7,6.7,100
2014-11-04,6.7,6.7,6.7,6.7,0
2014-11-05,6.44,6.49,6.44,6.44,3200
2014-11-06,6.44,6.44,6.44,6.44,0
2014-11-07,6.54,6.7,6.38,6.44,1700
2014-11-10,6.7,6.75,6.7,6.75,200
2014-11-11,6.49,6.6,6.49,6.6,1000
2014-11-12,6.49,6.49,6.33,6.33,17100
2014-11-13,6.44,6.54,6.38,6.38,5900
2014-11-14,6.33,6.44,6.28,6.44,2300
2014-11-17,6.44,6.44,6.44,6.44,3000
2014-11-18,6.7,6.7,6.44,6.44,1300
2014-11-19,6.44,6.44,6.33,6.33,4000
2014-11-20,6.65,6.65,6.65,6.65,500
2014-11-21,6.54,6.54,6.54,6.54,500
2014-11-24,6.49,6.49,6.49,6.49,300
2014-11-25,6.49,6.49,6.49,6.49,0
2014-11-26,6.49,6.49,6.49,6.49,0
2014-11-27,6.49,6.49,6.49,6.49,0
2014-11-28,6.49,6.49,6.49,6.49,0
2014-12-01,6.44,6.7,6.44,6.7,8900
2014-12-02,6.6,6.6,6.6,6.6,2000
2014-12-03,6.49,6.49,6.49,6.49,3000
2014-12-04,6.44,6.49,6.44,6.49,1100
2014-12-05,6.33,6.49,6.33,6.49,3200
2014-12-08,6.49,6.7,6.49,6.7,3000
2014-12-09,6.54,6.54,6.38,6.38,6300
2014-12-10,6.44,6.49,6.44,6.49,300
2014-12-11,6.7,6.7,6.44,6.6,2400
2014-12-12,6.49,6.49,6.49,6.49,300
2014-12-15,6.54,6.6,6.33,6.6,300
2014-12-16,6.6,6.6,6.6,6.6,0
2014-12-17,6.07,6.6,5.96,6.6,13300
2014-12-18,6.6,6.6,6.6,6.6,0
2014-12-19,6.33,6.33,6.02,6.28,4900
2014-12-22,6.02,6.38,6.02,6.38,6720
2014-12-23,6.38,6.38,6.38,6.38,0
2014-12-24,6.38,6.38,6.38,6.38,0
2014-12-25,6.23,6.38,6.12,6.38,980
2014-12-26,6.33,6.33,6.33,6.33,900
2014-12-29,6.44,6.44,6.33,6.33,600
2014-12-30,6.33,6.33,6.33,6.33,10
2014-12-31,6.28,6.33,6.28,6.28,400
2015-01-05,6.12,6.6,6.12,6.49,1200
2015-01-06,6.49,6.49,6.49,6.49,0
2015-01-07,6.54,6.54,6.54,6.54,100
2015-01-08,6.33,6.33,6.28,6.28,2300
2015-01-09,6.54,6.54,6.28,6.33,2100
2015-01-12,6.54,6.6,6.33,6.6,2100
2015-01-13,6.6,6.6,6.6,6.6,0
2015-01-14,6.6,6.6,6.6,6.6,0
2015-01-15,6.6,6.6,6.6,6.6,0
2015-01-16,6.6,6.6,6.6,6.6,0
2015-01-19,6.28,6.54,6.28,6.54,200
2015-01-20,6.54,6.54,6.54,6.54,0
2015-01-21,6.54,6.54,6.54,6.54,0
2015-01-22,6.38,6.65,6.38,6.6,2200
2015-01-23,6.6,6.65,6.6,6.65,4000
2015-01-26,6.54,6.7,6.54,6.6,3900
2015-01-27,6.65,6.7,6.6,6.7,800
2015-01-28,6.7,6.7,6.7,6.7,300
2015-01-29,6.6,6.75,6.6,6.75,3200
2015-01-30,6.81,6.81,6.81,6.81,100
2015-02-02,6.81,6.81,6.7,6.7,1500
2015-02-03,6.65,6.65,6.65,6.65,100
2015-02-04,6.65,6.86,6.65,6.86,4400
2015-02-05,6.65,6.86,6.65,6.86,4300
2015-02-06,6.7,6.91,6.65,6.91,2500
2015-02-09,6.91,6.91,6.91,6.91,0
2015-02-10,6.86,6.86,6.86,6.86,800
2015-02-11,6.86,6.86,6.86,6.86,0
2015-02-12,6.86,6.86,6.86,6.86,0
2015-02-13,6.91,6.91,6.91,6.91,200
2015-02-24,6.91,6.91,6.91,6.91,0
2015-02-25,6.75,6.75,6.75,6.75,1300
2015-02-26,6.86,6.96,6.86,6.96,2500
2015-02-27,6.96,6.96,6.96,6.96,0
2015-03-02,6.96,6.96,6.96,6.96,100
2015-03-03,6.86,6.86,6.81,6.81,300
2015-03-04,6.86,7.02,6.86,7.02,1000
2015-03-05,6.96,7.07,6.96,7.02,1200
2015-03-06,7.02,7.18,7.02,7.18,1900
2015-03-09,7.12,7.12,7.12,7.12,100
2015-03-10,7.18,7.28,7.18,7.28,810
2015-03-11,7.12,7.28,6.91,7.28,3600
2015-03-12,7.28,7.28,7.28,7.28,0
2015-03-13,7.28,7.28,7.28,7.28,300
2015-03-16,7.28,7.28,7.28,7.28,0
2015-03-17,7.28,7.28,7.28,7.28,1000
2015-03-18,7.33,7.44,7.23,7.39,12900
2015-03-19,7.39,7.39,7.39,7.39,0
2015-03-20,7.39,7.44,7.39,7.44,1000
2015-03-23,7.44,7.49,7.39,7.39,12200
2015-03-24,7.44,7.44,7.28,7.28,13700
2015-03-25,7.12,7.28,7.12,7.28,1300
2015-03-26,7.91,7.97,7.23,7.28,3500
2015-03-27,7.18,7.23,7.12,7.23,3300
2015-03-30,7.02,7.39,7.02,7.18,900
2015-03-31,7.69,7.86,7.69,7.86,700
2015-04-01,7.92,7.92,7.92,7.92,200
2015-04-02,8.66,8.66,8.2,8.2,400
2015-04-03,8.83,8.83,8.09,8.09,200
2015-04-06,7.52,7.52,7.52,7.52,100
2015-04-07,7.86,7.86,7.8,7.8,200
2015-04-08,7.46,7.46,7.46,7.46,100
2015-04-09,7.4,7.4,7.18,7.18,21400
2015-04-10,7.75,7.75,7.18,7.35,7300
2015-04-13,7.35,7.46,7.35,7.46,500
2015-04-14,7.46,7.46,7.46,7.46,0
2015-04-15,7.46,7.46,7.46,7.46,0
2015-04-16,7.46,7.46,7.29,7.29,1200
2015-04-17,7.57,7.57,7.57,7.57,100
2015-04-20,7.4,7.57,7.4,7.57,6300
2015-04-21,7.57,7.57,7.57,7.57,0
2015-04-22,7.57,7.57,7.57,7.57,0
2015-04-23,7.12,7.12,6.95,6.95,5900
2015-04-24,7.12,7.12,7.12,7.12,100
2015-04-27,7.12,7.12,7.12,7.12,0
2015-05-04,6.72,6.72,6.61,6.61,12500
2015-05-05,6.61,6.61,6.61,6.61,0
2015-05-06,7.12,7.12,7.12,7.12,100
2015-05-07,7.12,7.12,7.12,7.12,0
2015-05-08,7.12,7.12,7.12,7.12,0
2015-05-11,7.12,7.12,7.12,7.12,0
2015-05-12,6.55,6.55,6.55,6.55,100
2015-05-13,7.18,7.18,7.18,7.18,100
2015-05-14,7.18,7.18,7.18,7.18,0
2015-05-15,6.55,6.55,6.55,6.55,100
2015-05-18,6.55,6.55,6.55,6.55,10600
2015-05-19,7.0,7.0,7.0,7.0,100
2015-05-20,7.0,7.0,7.0,7.0,20
2015-05-21,7.12,7.12,7.12,7.12,200
2015-05-22,7.12,7.12,7.12,7.12,100
2015-05-25,7.12,7.12,7.12,7.12,0
2015-05-26,6.83,7.29,6.83,7.29,1300
2015-05-27,7.29,7.29,7.29,7.29,0
2015-05-28,7.29,7.29,7.29,7.29,0
2015-05-29,7.29,7.29,7.29,7.29,0
2015-06-01,7.29,7.29,7.29,7.29,0
2015-06-02,7.29,7.29,7.29,7.29,0
2015-06-03,7.29,7.35,7.29,7.35,1000
2015-06-04,7.35,7.35,7.35,7.35,0
2015-06-05,7.35,7.35,7.35,7.35,0
2015-06-08,7.35,7.35,7.35,7.35,0
2015-06-09,7.4,7.4,7.4,7.4,500
2015-06-10,7.4,7.4,7.4,7.4,0
2015-06-11,7.4,7.4,7.4,7.4,0
2015-06-12,7.4,7.4,7.4,7.4,0
2015-06-15,7.4,7.4,7.4,7.4,0
2015-06-16,7.4,7.4,7.4,7.4,0
2015-06-17,7.4,7.4,7.4,7.4,0
2015-06-18,7.4,7.4,7.4,7.4,0
2015-06-19,7.4,7.4,7.4,7.4,0
2015-06-22,7.4,7.4,7.4,7.4,0
2015-06-23,6.83,7.29,6.83,7.29,300
2015-06-24,7.29,7.29,7.29,7.29,0
2015-06-25,7.29,7.29,7.29,7.29,0
2015-06-26,7.29,7.29,7.29,7.29,200
2015-06-29,7.29,7.29,7.29,7.29,0
2015-06-30,7.29,7.29,7.29,7.29,0
2015-07-01,7.29,7.29,7.29,7.29,0
2015-07-02,7.29,7.29,7.29,7.29,0
2015-07-03,7.4,7.4,7.4,7.4,100
2015-07-06,7.4,7.4,7.4,7.4,0
2015-07-07,7.46,7.46,7.46,7.46,2000
2015-07-08,7.4,7.4,7.29,7.29,500
2015-07-09,7.29,7.29,7.29,7.29,0
2015-07-10,7.29,7.29,7.29,7.29,0
2015-07-13,7.29,7.29,7.29,7.29,0
2015-07-14,7.0,7.0,7.0,7.0,500
2015-07-15,7.35,7.35,7.35,7.35,100
2015-07-16,7.35,7.35,7.35,7.35,0
2015-07-17,7.35,7.35,7.35,7.35,0
2015-07-20,7.35,7.35,7.35,7.35,0
2015-07-21,7.35,7.35,7.35,7.35,0
2015-07-22,7.35,7.35,7.35,7.35,0
2015-07-23,7.35,7.35,7.35,7.35,0
2015-07-24,7.12,7.35,7.12,7.35,2100
2015-07-27,7.35,7.35,7.35,7.35,0
2015-07-28,7.35,7.35,7.35,7.35,0
2015-07-29,7.35,7.35,7.35,7.35,0
2015-07-30,7.35,7.35,7.35,7.35,0
2015-07-31,7.4,7.4,7.4,7.4,2500
2015-08-03,7.4,7.4,7.4,7.4,0
2015-08-04,7.4,7.4,7.4,7.4,0
2015-08-05,7.4,7.4,7.4,7.4,0
2015-08-06,7.4,7.4,7.4,7.4,0
2015-08-07,7.4,7.4,7.4,7.4,0
2015-08-10,7.4,7.4,7.4,7.4,0
2015-08-11,7.4,7.4,7.4,7.4,0
2015-08-12,7.4,7.4,7.4,7.4,0
2015-08-13,7.4,7.4,7.4,7.4,0
2015-08-14,7.4,7.4,7.4,7.4,0
2015-08-17,7.23,7.23,7.23,7.23,4100
2015-08-18,7.23,7.23,6.95,6.95,700
2015-08-19,6.95,6.95,6.89,6.95,2500
2015-08-20,6.95,6.95,6.95,6.95,0
2015-08-21,6.95,6.95,6.95,6.95,0
2015-08-24,6.95,6.95,6.95,6.95,0
2015-08-25,6.95,6.95,6.95,6.95,0
2015-08-26,6.95,6.95,6.95,6.95,0
2015-08-27,6.95,6.95,6.95,6.95,49000
2015-08-28,7.52,7.52,7.18,7.18,600
2015-08-31,7.18,7.18,7.18,7.18,0
2015-09-01,7.12,7.12,7.12,7.12,200
2015-09-03,7.12,7.12,7.12,7.12,0
2015-09-04,7.12,7.12,7.0,7.0,400
2015-09-07,7.0,7.0,7.0,7.0,0
2015-09-08,7.0,7.0,7.0,7.0,0
2015-09-09,7.0,7.0,7.0,7.0,0
2015-09-10,7.0,7.0,7.0,7.0,0
2015-09-11,7.0,7.0,7.0,7.0,0
2015-09-14,7.0,7.0,7.0,7.0,0
2015-09-15,7.0,7.0,7.0,7.0,0
2015-09-16,7.0,7.0,7.0,7.0,0
2015-09-17,7.0,7.0,7.0,7.0,0
2015-09-18,7.0,7.0,7.0,7.0,0
2015-09-21,7.0,7.0,6.72,6.72,4000
2015-09-22,6.72,6.72,6.72,6.72,0
2015-09-23,6.95,7.06,6.89,7.06,1700
2015-09-24,7.06,7.06,7.06,7.06,3700
2015-09-25,7.06,7.06,7.06,7.06,0
2015-09-28,7.06,7.06,7.06,7.06,500
2015-09-29,7.06,7.06,7.06,7.06,0
2015-09-30,6.72,7.18,6.72,7.12,2400
2015-10-01,7.29,7.29,7.12,7.29,500
2015-10-02,7.29,7.29,7.29,7.29,0
2015-10-05,7.29,7.29,7.29,7.29,0
2015-10-06,7.12,7.12,7.12,7.12,300
2015-10-07,7.12,7.8,7.06,7.12,4000
2015-10-08,7.18,7.18,7.12,7.12,700
2015-10-09,7.12,7.12,7.12,7.12,0
2015-10-12,7.12,7.12,7.12,7.12,0
2015-10-13,7.18,7.18,7.18,7.18,100
2015-10-14,7.18,7.18,7.18,7.18,0
2015-10-15,7.12,7.12,7.12,7.12,300
2015-10-16,7.29,7.29,7.12,7.12,600
2015-10-19,7.12,7.12,7.12,7.12,0
2015-10-20,7.23,7.35,7.06,7.06,1500
2015-10-21,7.29,7.4,7.29,7.35,4500
2015-10-22,7.4,7.46,7.4,7.46,300
2015-10-23,7.46,7.46,7.46,7.46,0
2015-10-26,7.46,7.46,7.46,7.46,0
2015-10-27,7.46,7.46,7.46,7.46,0
2015-10-28,7.46,7.46,7.46,7.46,0
2015-10-29,7.12,7.29,7.12,7.29,800
2015-10-30,7.29,7.29,7.29,7.29,0
2015-11-02,7.18,7.18,7.18,7.18,17000
2015-11-03,7.29,7.29,7.18,7.18,4600
2015-11-04,7.23,7.29,7.18,7.18,10100
2015-11-05,7.29,7.29,7.29,7.29,500
2015-11-06,7.29,7.29,7.29,7.29,0
2015-11-09,7.18,7.29,7.06,7.29,3100
2015-11-10,7.29,7.29,7.29,7.29,0
2015-11-11,7.23,7.23,7.12,7.12,8500
2015-11-12,7.12,7.23,7.0,7.12,17900
2015-11-13,7.12,7.12,7.12,7.12,0
2015-11-16,7.12,7.4,7.12,7.4,1300
2015-11-17,7.18,7.18,6.89,6.89,300
2015-11-18,6.89,6.89,6.89,6.89,0
2015-11-19,7.4,7.4,7.4,7.4,100
2015-11-20,7.06,7.06,7.06,7.06,100
2015-11-23,6.83,7.12,6.83,7.12,3200
2015-11-24,7.12,7.12,7.12,7.12,0
2015-11-25,7.12,7.12,7.12,7.12,0
2015-11-26,7.12,7.35,7.12,7.35,11100
2015-11-27,7.35,7.35,7.35,7.35,0
2015-11-30,7.4,7.4,7.4,7.4,100
2015-12-01,7.4,7.4,7.4,7.4,0
2015-12-02,7.4,7.4,7.4,7.4,0
2015-12-03,7.06,7.06,7.06,7.06,600
2015-12-04,7.06,7.06,7.06,7.06,0
2015-12-07,7.06,7.06,7.06,7.06,3800
2015-12-08,7.06,7.06,6.89,6.89,4800
2015-12-09,7.0,7.0,7.0,7.0,1500
2015-12-10,7.0,7.0,6.95,7.0,6200
2015-12-11,7.0,7.12,7.0,7.12,1800
2015-12-14,7.0,7.0,7.0,7.0,500
2015-12-15,7.0,7.0,7.0,7.0,0
2015-12-16,7.12,7.12,7.06,7.06,200
2015-12-17,7.06,7.12,7.06,7.12,4000
2015-12-18,7.12,7.12,7.12,7.12,0
2015-12-21,7.12,7.12,7.12,7.12,0
2015-12-22,7.12,7.18,7.12,7.12,3700
2015-12-23,7.12,7.12,7.12,7.12,0
2015-12-24,7.12,7.12,7.12,7.12,0
2015-12-25,7.12,7.12,7.12,7.12,0
2015-12-28,7.12,7.12,7.12,7.12,0
2015-12-29,7.12,7.12,7.12,7.12,0
2015-12-30,7.12,7.12,7.12,7.12,0
2015-12-31,7.12,7.12,7.12,7.12,0
2016-01-04,7.12,7.12,7.12,7.12,0
2016-01-05,7.18,7.18,7.18,7.18,700
2016-01-06,7.23,7.23,7.12,7.12,200
2016-01-07,7.12,7.12,7.12,7.12,0
2016-01-08,7.06,7.06,7.06,7.06,1400
2016-01-11,7.06,7.18,7.06,7.18,2510
2016-01-12,7.06,7.06,7.06,7.06,190
2016-01-13,7.06,7.06,7.06,7.06,900
2016-01-14,7.06,7.06,7.06,7.06,0
2016-01-15,7.06,7.06,7.06,7.06,0
2016-01-18,6.78,6.83,6.78,6.83,10000
2016-01-19,7.06,7.06,7.06,7.06,100
2016-01-20,7.06,7.06,7.06,7.06,0
2016-01-21,7.12,7.12,6.89,7.06,8300
2016-01-22,6.83,6.95,6.83,6.95,8100
2016-01-25,7.12,7.12,7.0,7.0,300
2016-01-26,7.12,7.12,7.12,7.12,200
2016-01-27,7.12,7.12,7.0,7.0,3700
2016-01-28,7.12,7.12,7.0,7.06,7300
2016-01-29,7.06,7.06,7.06,7.06,0
2016-02-01,7.12,7.12,7.12,7.12,200
2016-02-02,7.06,7.12,7.06,7.12,7000
2016-02-03,7.12,7.12,7.12,7.12,4200
2016-02-04,7.12,7.18,7.12,7.18,3100
2016-02-05,7.18,7.18,7.18,7.18,0
2016-02-15,7.23,7.23,7.18,7.23,6000
2016-02-16,7.23,7.29,7.23,7.29,1100
2016-02-17,7.29,7.35,7.29,7.35,1600
2016-02-18,7.4,7.46,7.4,7.46,6700
2016-02-19,7.4,7.4,7.4,7.4,2900
2016-02-22,7.4,7.4,7.4,7.4,2500
