time,open,high,low,close,volume
2016-11-09,6.51,6.87,6.51,6.87,6100
2016-11-10,6.87,6.87,6.87,6.87,0
2016-11-11,7.48,7.48,7.48,7.48,200
2016-11-14,6.67,6.67,6.67,6.67,2000
2016-11-15,6.71,6.71,6.71,6.71,3800
2016-11-16,6.71,6.71,6.71,6.71,0
2016-11-17,6.71,6.71,6.71,6.71,0
2016-11-18,6.87,7.27,6.87,6.87,16400
2016-11-21,6.87,6.87,6.87,6.87,0
2016-11-22,6.87,6.87,6.87,6.87,0
2016-11-23,6.87,6.87,6.87,6.87,0
2016-11-24,6.87,6.87,6.87,6.87,0
2016-11-25,6.83,6.83,6.83,6.83,10000
2016-11-28,6.79,6.79,6.79,6.79,3800
2016-11-29,6.79,6.79,6.79,6.79,0
2016-11-30,6.67,6.67,6.67,6.67,400
2016-12-01,6.67,6.67,6.67,6.67,0
2016-12-02,6.67,6.67,6.67,6.67,0
2016-12-05,6.67,6.67,6.67,6.67,0
2016-12-06,6.67,6.67,6.67,6.67,0
2016-12-07,6.67,6.67,6.67,6.67,0
2016-12-08,6.67,6.67,6.67,6.67,0
2016-12-09,6.67,6.67,6.67,6.67,0
2016-12-12,6.67,6.67,6.67,6.67,0
2016-12-13,6.67,6.67,6.67,6.67,0
2016-12-14,6.67,6.67,6.67,6.67,0
2016-12-15,6.67,6.67,6.67,6.67,0
2016-12-16,6.67,6.67,6.67,6.67,0
2016-12-19,7.48,7.48,7.48,7.48,1000
2016-12-20,7.48,7.48,7.48,7.48,0
2016-12-21,7.27,7.27,7.27,7.27,3500
2016-12-22,7.27,7.27,7.27,7.27,0
2016-12-23,7.27,7.27,7.27,7.27,0
2016-12-26,7.27,7.27,7.27,7.27,0
2016-12-27,7.27,7.27,7.27,7.27,0
2016-12-28,7.27,7.27,7.27,7.27,0
2016-12-29,6.47,6.47,6.47,6.47,100
2016-12-30,6.47,6.47,6.47,6.47,0
2017-01-03,6.47,6.47,6.47,6.47,0
2017-01-04,6.47,6.47,6.47,6.47,0
2017-01-05,7.35,7.35,7.35,7.35,100
2017-01-06,7.35,7.35,7.35,7.35,0
2017-01-09,7.35,7.35,7.35,7.35,0
2017-01-10,7.35,7.35,7.35,7.35,0
2017-01-11,7.35,7.35,7.35,7.35,0
2017-01-12,7.35,7.35,7.35,7.35,0
2017-01-13,7.35,7.35,7.35,7.35,0
2017-01-16,7.48,7.48,7.48,7.48,100
2017-01-17,7.52,7.52,7.52,7.52,300
2017-01-18,7.52,7.52,7.52,7.52,0
2017-01-19,7.52,7.52,7.52,7.52,0
2017-01-20,7.52,7.52,7.52,7.52,0
2017-01-23,7.52,7.52,7.52,7.52,0
2017-01-24,7.27,7.48,7.27,7.48,5100
2017-01-25,7.27,7.27,7.27,7.27,500
2017-02-02,7.27,7.27,7.27,7.27,0
2017-02-03,7.27,7.27,7.27,7.27,0
2017-02-06,7.27,7.27,7.27,7.27,0
2017-02-07,7.27,7.27,7.27,7.27,0
2017-02-08,7.48,7.48,7.48,7.48,500
2017-02-09,7.48,7.48,7.48,7.48,0
2017-02-10,7.48,7.48,7.48,7.48,0
2017-02-13,7.48,7.48,7.48,7.48,0
2017-02-14,7.48,7.48,7.48,7.48,0
2017-02-15,7.48,7.48,7.48,7.48,0
2017-02-16,7.48,7.48,7.48,7.48,0
2017-02-17,7.48,7.48,7.48,7.48,16
2017-02-20,7.48,7.48,7.48,7.48,0
2017-02-21,7.48,7.48,7.48,7.48,0
2017-02-22,7.48,7.48,7.48,7.48,0
2017-02-23,7.48,7.48,7.48,7.48,0
2017-02-24,7.48,7.48,7.48,7.48,0
2017-02-27,7.48,7.48,7.48,7.48,0
2017-02-28,7.48,7.48,7.48,7.48,0
2017-03-01,7.48,7.48,7.48,7.48,0
2017-03-02,7.48,7.48,7.48,7.48,0
2017-03-03,7.48,7.48,7.48,7.48,0
2017-03-06,7.48,7.48,7.48,7.48,0
2017-03-07,7.48,7.48,7.48,7.48,0
2017-03-08,7.48,7.48,7.48,7.48,0
2017-03-09,7.48,7.48,7.48,7.48,0
2017-03-10,6.38,6.38,6.38,6.38,7600
2017-03-13,6.38,6.38,6.38,6.38,0
2017-03-14,6.38,6.38,6.38,6.38,0
2017-03-15,6.38,6.38,6.38,6.38,0
2017-03-16,6.38,6.38,6.38,6.38,0
2017-03-17,6.38,6.38,6.38,6.38,0
2017-03-20,6.38,6.38,6.38,6.38,0
2017-03-21,6.38,6.38,6.38,6.38,0
2017-03-22,6.38,6.38,6.38,6.38,0
2017-03-23,7.31,7.31,7.31,7.31,100
2017-03-24,7.31,7.31,7.31,7.31,0
2017-03-27,7.31,7.31,7.31,7.31,0
2017-03-28,7.31,7.31,7.31,7.31,0
2017-03-29,7.31,7.31,7.31,7.31,0
