time,open,high,low,close,volume
2012-02-08,6.0,6.0,6.0,6.0,0
2012-02-09,6.0,6.0,6.0,6.0,0
2012-02-10,6.4,6.4,6.4,6.4,100
2012-02-13,6.4,6.4,6.4,6.4,0
2012-02-14,6.4,6.4,6.4,6.4,0
2012-02-15,6.4,6.4,6.4,6.4,0
2012-02-16,6.4,6.4,6.4,6.4,0
2012-02-17,6.4,6.4,6.4,6.4,0
2012-02-20,6.4,6.4,6.4,6.4,0
2012-02-21,6.4,6.4,6.4,6.4,0
2012-02-22,6.4,6.4,6.4,6.4,0
2012-02-23,6.4,6.4,6.4,6.4,0
2012-02-24,6.4,6.4,6.4,6.4,0
2012-02-27,6.4,6.4,6.4,6.4,0
2012-02-28,6.4,6.4,6.4,6.4,0
2012-02-29,6.4,6.4,6.4,6.4,0
2012-03-01,5.92,5.92,5.92,5.92,100
2012-03-02,5.51,5.51,5.51,5.51,100
2012-03-05,5.15,5.27,5.15,5.21,11500
2012-03-06,4.8,4.8,4.8,4.8,6200
2012-03-07,4.5,4.5,4.5,4.5,1700
2012-03-08,4.21,4.21,4.21,4.21,8000
2012-03-09,4.38,4.38,4.21,4.21,3100
2012-03-12,4.56,4.56,4.56,4.56,4400
2012-03-13,4.86,4.86,4.86,4.86,1000
2012-03-14,4.62,4.62,4.56,4.56,2600
2012-03-15,4.56,4.56,4.56,4.56,1000
2012-03-16,4.62,4.62,4.62,4.62,2000
2012-03-19,4.62,4.62,4.62,4.62,0
2012-03-20,4.32,4.74,4.32,4.68,1600
2012-03-21,4.32,4.38,4.32,4.32,4600
2012-03-22,4.5,4.5,4.5,4.5,200
2012-03-23,4.56,4.56,4.21,4.21,8400
2012-03-26,4.38,4.5,4.21,4.5,7700
2012-03-27,4.5,4.5,4.5,4.5,0
2012-03-28,4.26,4.44,4.26,4.44,400
2012-03-29,4.21,4.32,4.21,4.32,600
2012-03-30,4.32,4.32,4.32,4.32,0
2012-04-03,4.21,4.32,4.21,4.32,1400
2012-04-04,4.03,4.03,4.03,4.03,7300
2012-04-05,3.79,3.79,3.79,3.79,6000
2012-04-06,3.55,3.55,3.55,3.55,900
2012-04-09,3.32,3.79,3.32,3.79,18700
2012-04-10,3.55,3.67,3.55,3.67,1700
2012-04-11,3.91,3.91,3.44,3.91,5000
2012-04-12,3.67,3.85,3.67,3.85,500
2012-04-13,3.85,3.85,3.73,3.73,1800
2012-04-16,3.55,3.67,3.49,3.67,5800
2012-04-17,3.55,3.67,3.55,3.67,2200
