time,open,high,low,close,volume
2015-06-26,10.23,10.23,10.23,10.23,12500
2015-06-29,10.17,10.17,10.17,10.17,100
2015-06-30,9.17,10.11,9.17,10.11,2100
2015-07-01,9.98,9.98,9.98,0.0,100
2015-07-02,10.04,10.04,10.04,10.04,1020
2015-07-03,10.04,10.04,10.04,10.04,0
2015-07-06,8.55,10.29,8.55,10.29,1600
2015-07-07,10.29,10.29,10.29,10.29,0
2015-07-08,10.17,10.17,10.17,10.17,200
2015-07-09,10.17,10.17,10.17,10.17,500
2015-07-10,8.73,10.04,8.73,10.04,600
2015-07-13,9.98,9.98,9.98,9.98,500
2015-07-14,9.98,9.98,9.98,9.98,200
2015-07-15,9.98,9.98,9.98,9.98,0
2015-07-16,9.98,9.98,9.98,9.98,0
2015-07-17,9.92,9.92,9.92,9.92,100
2015-07-20,9.92,9.92,9.92,9.92,0
2015-07-21,9.98,9.98,9.98,9.98,1000
2015-07-22,8.8,8.8,8.8,8.8,100
2015-07-23,8.8,8.8,8.8,8.8,0
2015-07-24,9.98,9.98,9.98,9.98,100
2015-07-27,9.98,9.98,9.98,9.98,0
2015-07-28,8.55,9.86,8.55,9.86,2300
2015-07-29,10.54,10.54,10.54,10.54,100
2015-07-30,9.79,9.79,9.79,9.79,3700
2015-07-31,10.54,10.54,9.79,9.79,7500
2015-08-03,10.54,10.54,10.54,10.54,100
2015-08-04,11.54,11.54,11.54,11.54,100
2015-08-05,9.86,11.48,9.86,9.98,2200
2015-08-06,9.98,9.98,9.98,9.98,5000
2015-08-07,9.98,9.98,9.98,9.98,0
2015-08-10,9.98,9.98,9.98,9.98,0
2015-08-11,9.86,9.86,9.86,9.86,5000
2015-08-12,9.79,9.79,9.79,9.79,6600
2015-08-13,9.79,9.79,9.79,9.79,0
2015-08-14,9.79,9.79,9.79,9.79,0
2015-08-17,9.73,9.73,9.67,9.67,1600
2015-08-18,9.67,9.67,9.67,9.67,0
2015-08-19,9.67,9.67,9.67,9.67,0
2015-08-20,9.67,9.67,9.67,9.67,0
2015-08-21,9.67,9.67,9.67,9.67,0
2015-08-24,8.23,8.23,8.23,8.23,100
2015-08-25,9.36,9.36,9.36,9.36,100
2015-08-26,9.36,9.36,9.36,9.36,0
2015-08-27,9.42,9.42,9.42,9.42,300
2015-08-28,10.23,10.23,10.23,10.23,100
2015-08-31,8.73,8.73,8.73,8.73,100
2015-09-01,8.73,8.73,8.73,8.73,0
2015-09-03,8.73,8.73,8.73,8.73,0
2015-09-04,9.48,9.48,9.48,9.48,200
2015-09-07,8.23,10.29,8.23,10.29,200
2015-09-08,10.29,10.29,10.29,10.29,100
2015-09-09,10.29,10.29,10.29,10.29,0
2015-09-10,11.79,11.79,11.79,11.79,100
2015-09-11,10.04,10.04,10.04,10.04,200
2015-09-14,10.04,10.04,10.04,10.04,0
2015-09-15,10.92,10.92,10.92,10.92,100
2015-09-16,9.29,9.29,9.29,9.29,100
2015-09-17,9.29,9.29,9.29,9.29,0
2015-09-18,10.54,10.54,10.54,10.54,100
2015-09-21,9.92,9.92,9.92,9.92,100
2015-09-22,9.92,9.98,9.92,9.98,500
2015-09-23,9.98,9.98,9.98,9.98,0
2015-09-24,9.98,9.98,9.98,9.98,0
2015-09-25,9.86,9.86,9.86,9.86,100
2015-09-28,9.86,9.86,9.86,9.86,0
2015-09-29,9.86,9.86,9.86,9.86,0
2015-09-30,9.86,9.86,9.86,9.86,0
2015-10-01,9.48,9.48,9.36,9.36,5500
2015-10-02,9.36,9.36,9.36,9.36,0
2015-10-05,9.36,9.36,9.36,9.36,0
2015-10-06,9.36,9.36,9.36,9.36,0
2015-10-07,9.36,9.36,9.36,9.36,0
2015-10-08,9.36,9.36,9.36,9.36,0
2015-10-09,9.42,9.42,9.36,9.36,2000
2015-10-12,9.36,9.36,9.36,9.36,0
2015-10-13,9.36,9.36,9.36,9.36,0
2015-10-14,9.36,9.36,9.36,9.36,0
2015-10-15,9.36,9.36,9.36,9.36,0
2015-10-16,9.36,9.36,9.36,9.36,0
2015-10-19,9.36,9.36,9.36,9.36,0
2015-10-20,9.61,9.61,9.61,9.61,500
2015-10-21,9.67,9.67,9.67,9.67,200
2015-10-22,9.67,9.67,9.67,9.67,0
2015-10-23,9.54,9.86,9.54,9.86,3100
2015-10-26,9.86,9.86,9.86,9.86,0
2015-10-27,9.54,9.54,9.54,9.54,1300
2015-10-28,9.54,9.54,9.54,9.54,0
2015-10-29,9.54,9.54,9.54,9.54,0
2015-10-30,9.54,9.54,9.54,9.54,0
2015-11-02,9.67,9.67,9.67,9.67,100
2015-11-03,9.67,9.67,9.67,9.67,0
2015-11-04,10.29,10.29,10.29,10.29,100
2015-11-05,10.29,10.29,10.29,10.29,0
2015-11-06,10.29,10.29,10.29,10.29,0
2015-11-09,10.29,10.29,10.29,10.29,0
2015-11-10,10.29,10.29,10.29,10.29,0
2015-11-11,10.29,10.29,10.29,10.29,0
2015-11-12,10.29,10.29,10.29,10.29,0
2015-11-13,10.29,10.29,10.29,10.29,0
2015-11-16,10.29,10.29,10.29,10.29,0
2015-11-17,10.29,10.29,10.29,10.29,600
2015-11-18,10.29,10.29,10.29,10.29,0
2015-11-19,10.29,10.29,10.29,10.29,0
2015-11-20,10.29,10.29,10.29,10.29,0
