time,open,high,low,close,volume
2015-06-26,9.86,9.86,9.86,9.86,0
2015-06-29,9.86,9.86,9.86,9.86,800
2015-06-30,9.86,9.86,8.91,8.91,2800
2015-07-01,8.07,8.13,8.07,8.13,9300
2015-07-02,8.91,8.91,8.91,8.91,100
2015-07-03,8.91,8.91,8.91,8.91,0
2015-07-06,8.91,8.91,8.91,8.91,0
2015-07-07,9.74,9.74,9.74,9.74,100
2015-07-08,9.74,9.74,9.74,9.74,0
2015-07-09,8.79,9.74,8.79,9.74,1800
2015-07-10,9.86,9.86,9.86,9.86,100
2015-07-13,9.86,9.86,9.86,9.86,0
2015-07-14,9.86,9.86,9.86,9.86,0
2015-07-15,9.92,9.92,9.92,9.92,500
2015-07-16,9.92,9.92,9.92,9.92,0
2015-07-17,9.92,9.92,9.92,9.92,0
2015-07-20,9.56,9.56,9.56,9.56,100
2015-07-21,9.56,10.16,9.56,10.16,500
2015-07-22,10.16,10.16,10.16,10.16,0
2015-07-23,10.16,10.16,10.16,10.16,0
2015-07-24,10.16,10.16,10.16,10.16,200
2015-07-27,9.14,9.14,9.14,9.14,200
2015-07-28,8.25,8.67,8.25,8.25,7600
2015-07-29,7.47,9.02,7.47,7.47,3000
2015-07-30,7.47,7.47,7.17,7.17,3000
2015-07-31,7.17,7.17,7.17,7.17,0
2015-08-03,7.17,7.17,7.17,7.17,0
2015-08-04,7.17,7.17,7.17,7.17,0
2015-08-05,7.17,7.17,7.17,7.17,0
2015-08-06,7.17,7.17,7.17,7.17,0
2015-08-07,6.87,6.87,6.87,6.87,2000
2015-08-10,6.87,6.87,6.87,6.87,0
2015-08-11,6.87,6.87,6.87,6.87,0
2015-08-12,7.39,7.39,7.39,7.39,0
2015-08-13,7.39,7.39,7.39,7.39,0
2015-08-14,7.39,7.39,7.39,7.39,0
2015-08-17,7.39,7.39,7.39,7.39,0
2015-08-18,7.39,7.39,7.39,7.39,0
2015-08-19,6.23,6.23,6.23,6.23,1000
2015-08-20,6.23,6.23,6.23,6.23,0
2015-08-21,6.81,6.81,6.81,6.81,1000
2015-08-24,7.45,7.45,7.45,7.45,1000
2015-08-25,6.75,8.16,6.75,8.16,43100
2015-08-26,7.39,7.77,7.39,7.39,129900
2015-08-27,7.07,8.03,6.68,8.03,5000
2015-08-28,8.8,8.8,8.8,8.8,1000
2015-08-31,8.03,8.8,7.97,8.8,7000
2015-09-01,7.97,7.97,7.97,7.97,3500
2015-09-03,8.67,8.67,8.67,8.67,1000
2015-09-04,8.03,8.99,8.03,8.99,66000
2015-09-07,8.99,8.99,8.99,8.99,28400
2015-09-08,8.99,8.99,8.67,8.67,5000
2015-09-09,9.31,9.51,9.31,9.51,1300
2015-09-10,9.96,9.96,9.96,9.96,11300
2015-09-11,10.28,10.28,10.28,10.28,1000
2015-09-14,10.6,10.6,10.6,10.6,10000
2015-09-15,10.6,10.6,10.6,10.6,0
2015-09-16,10.79,10.92,10.6,10.6,2500
2015-09-17,9.64,11.05,9.57,11.05,2200
2015-09-18,11.05,11.05,11.05,11.05,0
2015-09-21,11.05,11.05,11.05,11.05,0
2015-09-22,11.05,11.05,11.05,11.05,0
2015-09-23,11.05,11.05,11.05,11.05,0
2015-09-24,11.05,11.05,11.05,11.05,300
2015-09-25,9.96,11.05,9.96,11.05,10100
2015-09-28,11.05,11.05,11.05,11.05,0
2015-09-29,11.05,11.05,11.05,11.05,0
2015-09-30,11.05,11.05,11.05,11.05,0
2015-10-01,11.05,11.05,11.05,11.05,0
2015-10-02,9.96,9.96,9.96,9.96,1000
2015-10-05,9.96,10.15,9.31,10.15,1850
2015-10-06,9.19,9.19,9.19,9.19,300
2015-10-07,8.42,8.42,8.42,8.42,100
2015-10-08,8.42,8.42,8.42,8.42,0
2015-10-09,8.42,8.42,8.42,8.42,0
2015-10-12,9.12,9.12,8.03,8.03,3000
2015-10-13,7.77,7.77,7.77,7.77,1000
2015-10-14,8.29,8.29,7.07,7.07,7000
2015-10-15,7.07,7.07,7.07,7.07,0
2015-10-16,7.07,7.07,7.07,7.07,0
2015-10-19,7.77,7.77,7.13,7.13,5100
2015-10-20,7.84,7.84,6.55,6.55,4600
2015-10-21,7.19,7.19,7.19,7.19,200
2015-10-22,7.9,7.9,7.9,7.9,100
2015-10-23,8.48,8.54,7.26,7.26,15100
2015-10-26,7.97,7.97,7.97,7.97,17700
2015-10-27,8.03,8.74,7.32,8.74,61000
2015-10-28,8.03,8.03,7.97,7.97,9000
2015-10-29,8.22,8.22,7.39,7.39,700
2015-10-30,8.09,8.09,8.09,8.09,100
2015-11-02,8.09,8.09,8.09,8.09,0
2015-11-03,8.74,8.8,8.74,8.8,1500
2015-11-04,8.8,8.8,8.8,8.8,0
2015-11-05,8.8,8.8,8.8,8.8,0
2015-11-06,8.8,8.8,8.8,8.8,0
2015-11-09,8.8,8.8,8.8,8.8,100
2015-11-10,8.8,8.8,8.8,8.8,0
2015-11-11,8.8,8.8,8.8,8.8,0
2015-11-12,8.8,8.8,8.8,8.8,0
2015-11-13,8.8,8.8,8.8,8.8,0
2015-11-16,8.8,8.8,8.8,8.8,0
2015-11-17,8.8,8.8,8.8,8.8,0
2015-11-18,7.97,7.97,7.97,7.97,100
2015-11-19,7.32,7.97,7.19,7.97,3100
2015-11-20,7.97,7.97,7.97,7.97,0
2015-11-23,7.97,7.97,7.97,7.97,0
2015-11-24,8.61,8.67,8.61,8.67,800
2015-11-25,8.67,8.67,8.67,8.67,0
2015-11-26,8.67,8.67,8.67,8.67,0
2015-11-27,8.67,8.67,8.67,8.67,0
2015-11-30,8.67,8.67,8.67,8.67,0
2015-12-01,8.67,8.67,8.67,8.67,0
2015-12-02,8.67,8.67,8.67,8.67,1000
2015-12-03,8.67,8.67,8.67,8.67,0
2015-12-04,8.67,8.67,8.67,8.67,0
2015-12-07,8.67,8.67,8.67,8.67,0
2015-12-08,9.51,9.51,9.51,9.51,1000
2015-12-09,9.51,9.51,9.51,9.51,0
2015-12-10,10.41,10.41,10.41,10.41,1000
2015-12-11,9.38,9.38,9.38,9.38,500
2015-12-14,9.38,9.38,9.38,9.38,0
2015-12-15,9.38,9.38,9.38,9.38,0
2015-12-16,9.38,9.38,9.38,9.38,0
2015-12-17,9.38,9.38,9.38,9.38,0
2015-12-18,9.38,9.38,9.38,9.38,0
2015-12-21,9.38,9.38,9.38,9.38,0
2015-12-22,9.38,9.38,9.38,9.38,0
2015-12-23,10.28,10.28,10.28,10.28,300
2015-12-24,11.05,11.05,11.05,11.05,100
2015-12-25,11.05,11.05,11.05,11.05,0
2015-12-28,11.05,11.05,11.05,11.05,1000
2015-12-29,11.05,11.05,11.05,11.05,0
2015-12-30,11.05,11.05,11.05,11.05,0
2015-12-31,11.05,11.05,11.05,11.05,0
2016-01-04,11.05,11.05,11.05,11.05,0
2016-01-05,11.05,11.05,11.05,11.05,0
2016-01-06,11.05,11.05,11.05,11.05,0
2016-01-07,10.79,10.79,10.79,10.79,1000
2016-01-08,11.05,11.05,11.05,11.05,1000
2016-01-11,11.05,11.24,11.05,11.05,2400
2016-01-12,11.05,11.05,11.05,11.05,4600
2016-01-13,11.05,11.05,11.05,11.05,0
2016-01-14,11.05,11.05,11.05,11.05,0
2016-01-15,11.05,11.05,11.05,11.05,0
2016-01-18,11.05,11.05,11.05,11.05,200
2016-01-19,11.05,11.05,11.05,11.05,0
2016-01-20,11.11,11.11,11.11,11.11,3000
2016-01-21,11.11,11.11,11.11,11.11,0
2016-01-22,11.11,11.11,11.11,11.11,0
2016-01-25,11.11,11.11,11.11,11.11,36000
2016-01-26,11.11,11.11,11.11,11.11,0
2016-01-27,11.11,11.11,11.11,11.11,0
2016-01-28,11.11,11.11,11.11,11.11,0
2016-01-29,11.11,11.11,11.11,11.11,0
2016-02-01,11.11,11.11,11.11,11.11,0
2016-02-02,11.11,11.11,11.11,11.11,0
2016-02-03,11.11,11.11,11.11,11.11,0
2016-02-04,11.11,11.11,11.11,11.11,0
2016-02-05,11.11,11.11,11.11,11.11,0
2016-02-15,11.11,11.11,11.11,11.11,0
2016-02-16,10.02,12.21,10.02,12.21,1100
2016-02-17,12.21,12.21,12.21,12.21,0
2016-02-18,12.21,12.21,12.21,12.21,0
2016-02-19,12.21,12.21,12.21,12.21,0
2016-02-22,12.21,12.21,12.21,12.21,0
2016-02-23,12.21,12.21,12.21,12.21,0
2016-02-24,12.21,12.21,12.21,12.21,0
2016-02-25,12.21,12.21,12.21,12.21,0
2016-02-26,12.21,12.21,12.21,12.21,0
2016-02-29,12.21,12.21,12.21,12.21,0
2016-03-01,12.21,12.21,12.21,12.21,0
2016-03-02,12.21,12.21,12.21,12.21,0
2016-03-03,12.21,12.21,12.21,12.21,0
2016-03-04,12.21,12.21,12.21,12.21,0
2016-03-07,12.21,12.21,12.21,12.21,0
2016-03-08,12.21,12.21,12.21,12.21,0
2016-03-09,12.21,12.21,12.21,12.21,0
2016-03-10,12.53,12.53,12.53,12.53,5000
2016-03-11,11.31,11.31,11.31,11.31,2000
2016-03-14,11.31,11.31,11.31,11.31,0
2016-03-15,11.31,11.31,11.31,11.31,0
2016-03-16,11.31,11.31,11.31,11.31,0
2016-03-17,11.31,11.31,11.31,11.31,0
2016-03-18,11.31,11.31,11.31,11.31,0
2016-03-21,11.31,11.31,11.31,11.31,0
2016-03-22,11.31,11.31,11.31,11.31,0
2016-03-23,11.31,11.31,11.31,11.31,0
2016-03-24,11.31,11.31,11.31,11.31,0
2016-03-25,11.31,11.31,11.31,11.31,0
2016-03-28,11.31,11.31,11.31,11.31,0
2016-03-29,11.31,11.31,11.31,11.31,0
2016-03-30,11.31,11.31,11.31,11.31,0
2016-03-31,11.31,11.31,11.31,11.31,0
2016-04-01,11.31,11.31,11.31,11.31,0
2016-04-04,11.31,11.31,11.31,11.31,0
2016-04-05,11.31,11.31,11.31,11.31,0
