time,open,high,low,close,volume
2019-12-26,11.18,11.18,10.7,10.7,3000
2019-12-27,9.42,9.42,9.42,9.42,700
2019-12-30,9.42,9.42,9.42,9.42,0
2019-12-31,8.13,8.13,8.06,8.06,700
2020-01-02,6.91,6.91,6.91,6.91,1100
2020-01-03,6.1,6.1,5.89,5.89,2100
2020-01-06,5.08,5.08,5.08,5.08,1300
2020-01-07,4.34,4.34,4.34,4.34,2200
2020-01-08,3.73,3.73,3.73,3.73,2200
2020-01-09,3.39,3.39,3.18,3.32,14800
2020-01-10,3.25,3.32,3.32,3.32,0
2020-01-13,3.32,3.73,3.32,3.73,2500
2020-01-14,4.06,4.06,4.06,4.06,700
2020-01-15,4.13,4.13,3.46,4.06,25600
2020-01-16,3.93,3.93,3.93,3.93,100
2020-01-17,3.93,4.2,3.93,4.2,2400
2020-01-20,4.13,4.13,4.13,4.13,2100
2020-01-21,4.61,4.61,4.61,4.61,300
2020-01-22,5.28,5.28,5.08,5.08,300
2020-01-30,5.42,5.76,5.42,5.62,600
2020-01-31,6.3,6.3,6.3,6.3,100
2020-02-03,6.3,6.3,6.3,6.3,0
2020-02-04,6.84,6.84,6.84,6.84,100
2020-02-05,6.98,6.98,5.83,6.98,1300
2020-02-06,5.22,5.22,5.22,5.22,100
2020-02-07,4.47,4.47,4.47,4.47,100
2020-02-10,3.86,4.06,3.86,4.06,6900
2020-02-11,3.86,3.86,3.86,3.86,300
2020-02-12,3.86,3.86,3.86,3.86,0
2020-02-13,3.86,3.86,3.86,3.86,0
2020-02-14,3.32,3.39,3.32,3.39,2100
2020-02-17,3.39,3.39,3.39,3.39,0
2020-02-18,3.39,3.39,3.39,3.39,0
2020-02-19,3.39,3.39,3.39,3.39,0
2020-02-20,3.39,3.39,3.39,3.39,0
2020-02-21,3.86,3.86,3.86,3.86,1100
2020-02-24,3.86,3.86,3.86,3.86,0
2020-02-25,4.4,4.4,4.4,4.4,100
2020-02-26,5.01,5.01,5.01,5.01,800
2020-02-27,5.01,5.01,5.01,5.01,0
2020-02-28,5.56,5.56,5.56,5.56,500
2020-03-02,5.76,5.76,5.76,5.76,400
2020-03-03,4.95,6.1,4.95,6.1,2800
2020-03-04,5.42,5.83,5.42,5.76,10000
2020-03-05,6.1,6.44,6.1,6.44,1300
2020-03-06,6.23,6.77,6.23,6.77,3500
2020-03-09,6.44,6.77,5.49,5.76,3100
2020-03-10,5.76,6.77,5.76,6.77,4800
2020-03-11,5.76,5.76,5.76,5.76,500
2020-03-12,5.76,5.76,5.76,5.76,0
2020-03-13,5.76,5.76,5.76,5.76,0
2020-03-16,5.76,5.76,5.76,5.76,0
2020-03-17,5.42,5.42,5.42,5.42,1000
2020-03-18,5.42,5.42,5.42,5.42,1100
2020-03-19,6.23,6.23,5.89,5.89,7100
2020-03-20,5.42,6.1,5.42,6.1,4000
2020-03-23,5.42,6.1,5.42,5.42,3400
2020-03-24,6.1,6.1,5.89,5.89,1600
2020-03-25,5.42,5.42,5.42,5.42,1000
2020-03-26,5.42,5.42,5.42,5.42,0
2020-03-27,5.08,5.42,5.08,5.42,1000
2020-03-30,5.28,5.28,5.28,5.28,1000
2020-03-31,4.54,4.54,4.54,4.54,1000
2020-04-01,4.54,4.54,4.54,4.54,0
2020-04-03,3.93,3.93,3.86,3.86,7300
2020-04-06,3.86,3.86,3.86,3.86,0
2020-04-07,3.86,3.86,3.86,3.86,0
2020-04-08,3.86,3.86,3.86,3.86,0
2020-04-09,3.86,3.86,3.86,3.86,0
2020-04-10,3.86,3.86,3.86,3.86,0
2020-04-13,4.4,4.4,4.4,4.4,100
2020-04-14,5.01,5.01,5.01,5.01,100
2020-04-15,5.56,5.76,5.56,5.76,200
2020-04-16,5.69,6.5,5.69,6.44,2200
2020-04-17,7.11,7.38,6.44,7.38,12310
2020-04-20,7.32,7.38,7.38,7.38,0
2020-04-21,6.77,6.77,6.77,6.77,1000
2020-04-22,6.77,6.77,6.77,6.77,3500
2020-04-23,6.77,6.77,6.77,6.77,0
2020-04-24,7.38,7.38,6.77,6.77,2000
2020-04-27,7.11,6.77,6.77,6.77,0
2020-04-28,7.11,6.77,6.77,6.77,0
2020-04-29,7.11,6.77,6.77,6.77,0
2020-05-04,7.45,7.45,7.45,7.45,2500
2020-05-05,7.45,7.45,7.45,7.45,0
2020-05-06,7.45,7.45,7.45,7.45,4000
2020-05-07,7.38,7.38,7.38,7.38,1400
2020-05-08,7.38,7.38,7.38,7.38,0
2020-05-11,7.38,7.38,7.38,7.38,0
2020-05-12,7.38,7.38,7.38,7.38,0
2020-05-13,6.44,6.44,6.44,6.44,5010
2020-05-14,6.1,6.1,6.1,6.1,2200
2020-05-15,6.1,6.1,6.1,6.1,0
2020-05-18,6.44,6.44,6.44,6.44,2000
2020-05-19,6.44,6.44,6.44,6.44,2000
2020-05-20,5.96,6.1,5.96,6.03,8100
2020-05-21,5.96,6.03,5.96,6.03,1900
2020-05-22,5.89,5.89,5.89,5.89,1000
2020-05-25,5.76,5.89,5.76,5.76,9000
2020-05-26,5.62,5.69,5.56,5.69,9300
2020-05-27,5.56,5.56,5.42,5.42,17300
2020-05-28,5.35,5.42,5.35,5.42,1000
2020-05-29,5.42,5.42,5.42,5.42,29000
2020-06-01,5.42,5.42,5.42,5.42,0
2020-06-02,5.42,5.42,5.42,5.42,1500
2020-06-03,4.61,4.61,4.61,4.61,100
2020-06-04,5.28,5.28,5.28,5.28,2600
2020-06-05,5.35,5.35,5.35,5.35,6200
2020-06-08,5.96,6.1,5.01,5.89,23000
2020-06-09,5.22,5.35,5.22,5.35,15600
2020-06-10,5.35,5.35,5.35,5.35,2100
2020-06-11,4.74,5.35,4.74,5.35,1900
2020-06-12,4.95,5.35,5.35,5.35,0
2020-06-15,5.01,5.08,5.01,5.08,6900
2020-06-16,5.08,5.08,5.08,5.08,100
2020-06-17,5.08,5.08,5.08,5.08,0
2020-06-18,5.08,5.08,5.08,5.08,0
2020-06-19,5.15,5.22,5.15,5.22,7000
2020-06-22,5.15,5.15,5.15,5.15,2300
2020-06-23,5.15,5.15,5.15,5.15,0
2020-06-24,5.15,5.15,5.15,5.15,0
2020-06-25,5.08,5.08,5.08,5.08,1600
2020-06-26,5.08,5.08,4.88,4.88,4700
2020-06-29,4.88,4.88,4.88,4.88,0
2020-06-30,4.88,4.88,4.88,4.88,2000
2020-07-01,4.88,4.88,4.88,4.88,0
2020-07-02,4.88,4.88,4.88,4.88,0
2020-07-03,4.88,4.88,4.74,4.74,1800
2020-07-06,4.74,4.74,4.74,4.74,0
2020-07-07,4.74,4.74,4.74,4.74,2000
2020-07-08,4.74,4.74,4.74,4.74,0
2020-07-09,4.06,4.06,4.06,4.06,100
2020-07-10,4.67,4.67,4.67,4.67,100
2020-07-13,4.67,4.67,4.67,4.67,0
2020-07-14,4.67,4.67,4.67,4.67,0
2020-07-15,5.28,5.35,5.28,5.35,7100
2020-07-16,5.35,5.35,5.35,5.35,0
2020-07-17,5.35,5.35,5.35,5.35,0
2020-07-20,5.08,5.08,5.08,5.08,1100
2020-07-21,4.88,4.88,4.88,4.88,2000
2020-07-22,5.49,5.56,5.49,5.56,7000
2020-07-23,5.56,5.56,5.56,5.56,0
2020-07-24,5.56,5.56,5.56,5.56,0
2020-07-27,4.74,4.74,4.74,4.74,7100
2020-07-28,4.74,4.74,4.74,4.74,0
2020-07-29,4.74,4.74,4.74,4.74,0
2020-07-30,4.74,4.74,4.74,4.74,0
2020-07-31,4.74,4.74,4.74,4.74,0
2020-08-03,4.74,4.74,4.74,4.74,0
2020-08-04,4.74,4.74,4.74,4.74,0
2020-08-05,5.35,5.42,5.35,5.42,3000
2020-08-06,5.42,5.42,5.42,5.42,6200
2020-08-07,5.42,6.23,5.42,6.23,36000
2020-08-10,6.23,6.57,6.1,6.57,38300
2020-08-11,6.77,6.77,6.1,6.1,6300
2020-08-12,6.1,6.1,6.1,6.1,5000
2020-08-13,5.42,6.1,5.42,6.1,2500
2020-08-14,6.1,6.1,6.1,6.1,6000
2020-08-17,6.1,6.1,6.1,6.1,0
2020-08-18,6.1,6.1,6.1,6.1,0
2020-08-19,6.1,6.1,6.1,6.1,0
2020-08-20,6.1,6.1,6.1,6.1,0
2020-08-21,6.1,6.1,6.1,6.1,0
2020-08-24,6.1,6.1,6.1,6.1,0
2020-08-25,6.1,6.1,6.1,6.1,0
2020-08-26,6.1,6.1,6.1,6.1,0
2020-08-27,6.1,6.1,6.1,6.1,0
2020-08-28,5.28,5.28,5.28,5.28,100
2020-08-31,5.28,5.28,5.28,5.28,0
2020-09-01,6.03,6.03,6.03,6.03,10000
