time,open,high,low,close,volume
2015-06-26,5.17,5.17,5.17,5.17,10
2015-06-29,5.52,5.52,5.17,5.17,1010
2015-06-30,5.17,5.17,5.17,5.17,0
2015-07-01,5.17,5.17,5.17,5.17,0
2015-07-02,5.17,5.17,5.17,5.17,0
2015-07-03,5.26,5.26,5.21,5.21,700
2015-07-06,5.39,5.39,5.17,5.17,970
2015-07-07,5.04,5.3,5.04,5.04,1020
2015-07-08,5.17,5.17,5.17,5.17,1000
2015-07-09,5.17,5.17,5.17,5.17,0
2015-07-10,5.26,5.26,5.26,5.26,500
2015-07-13,5.26,5.26,5.26,5.26,990
2015-07-14,5.26,5.26,5.08,5.08,1020
2015-07-15,5.39,5.39,5.08,5.08,2010
2015-07-16,5.08,5.08,5.08,5.08,0
2015-07-17,5.08,5.08,5.08,5.08,0
2015-07-20,4.95,4.95,4.95,4.95,20
2015-07-21,4.83,5.3,4.83,4.83,2020
2015-07-22,4.83,4.83,4.83,4.83,0
2015-07-23,5.13,5.13,5.13,5.13,1020
2015-07-24,5.47,5.47,5.47,5.47,2100
2015-07-27,5.47,5.47,5.47,5.47,0
2015-07-28,5.82,5.82,5.82,5.82,200
2015-07-29,6.16,6.16,6.16,6.16,10
2015-07-30,6.16,6.16,6.16,6.16,0
2015-07-31,5.73,6.16,5.73,6.16,10010
2015-08-03,6.16,6.16,6.16,6.16,0
2015-08-04,6.16,6.16,6.16,6.16,10
2015-08-05,6.16,6.16,6.16,6.16,0
2015-08-06,6.38,6.38,6.38,6.38,10
2015-08-07,6.03,6.03,6.03,6.03,10
2015-08-10,5.63,5.67,5.63,5.67,1080
2015-08-11,5.36,6.03,5.36,5.45,11120
2015-08-12,5.45,5.45,5.45,5.45,0
2015-08-13,5.49,5.49,5.49,5.49,90
2015-08-14,5.49,5.49,5.49,5.49,100
2015-08-17,5.27,5.27,5.27,5.27,10
2015-08-18,5.27,5.27,5.27,5.27,0
2015-08-19,5.27,5.27,5.27,5.27,0
2015-08-20,5.27,5.27,5.27,5.27,0
2015-08-21,5.36,5.36,4.96,4.96,2160
2015-08-24,4.69,4.82,4.69,4.82,3020
2015-08-25,4.91,4.91,4.91,4.91,10
2015-08-26,4.69,4.69,4.69,4.69,10
2015-08-27,4.69,4.69,4.69,4.69,0
2015-08-28,4.91,4.91,4.91,4.91,10
2015-08-31,4.91,4.91,4.91,4.91,0
2015-09-01,4.91,4.91,4.91,4.91,0
2015-09-03,5.22,5.22,4.82,4.82,2010
2015-09-04,4.82,4.82,4.82,4.82,0
2015-09-07,4.82,4.82,4.82,4.82,0
2015-09-08,4.82,4.82,4.82,4.82,10
2015-09-09,4.91,4.91,4.91,4.91,250
2015-09-10,5.22,5.22,4.82,4.82,2860
2015-09-11,5.05,5.13,5.05,5.13,12500
2015-09-14,5.49,5.49,4.78,5.49,1030
2015-09-15,5.8,5.8,5.13,5.76,2020
2015-09-16,5.36,6.07,5.36,6.07,1820
2015-09-17,5.67,6.03,5.67,6.03,20
2015-09-18,6.03,6.03,6.03,6.03,20
2015-09-21,6.03,6.16,5.63,6.03,2420
2015-09-22,6.03,6.07,5.63,5.63,2680
2015-09-23,5.49,5.49,5.49,5.49,710
2015-09-24,5.18,5.18,5.13,5.13,20
2015-09-25,5.13,5.13,5.13,5.13,0
2015-09-28,5.13,5.13,5.13,5.13,0
2015-09-29,5.49,5.49,5.05,5.05,1010
2015-09-30,5.05,5.05,5.05,5.05,0
2015-10-01,5.36,5.36,5.36,5.36,40010
2015-10-02,5.36,5.36,5.36,5.36,0
2015-10-05,5.36,5.72,5.13,5.13,2220
2015-10-06,5.13,5.13,5.13,5.13,0
2015-10-07,5.13,5.13,5.13,5.13,0
2015-10-08,5.13,5.13,5.13,5.13,0
2015-10-09,5.13,5.13,5.13,5.13,0
2015-10-12,5.49,5.49,5.49,5.49,15000
2015-10-13,5.8,5.85,5.18,5.85,68920
2015-10-14,5.85,6.25,5.85,6.25,20
2015-10-15,6.25,6.25,6.25,6.25,15050
2015-10-16,6.25,6.25,6.25,6.25,500
2015-10-19,6.03,6.21,6.03,6.21,12000
2015-10-20,6.21,6.21,6.21,6.21,0
2015-10-21,6.21,6.21,6.21,6.21,1970
2015-10-22,6.21,6.21,6.21,6.21,0
2015-10-23,6.21,6.21,6.21,6.21,0
2015-10-26,6.47,6.47,6.47,6.47,550
2015-10-27,6.47,6.47,6.47,6.47,0
2015-10-28,6.47,6.47,6.47,6.47,0
2015-10-29,6.47,6.47,6.47,6.47,10
2015-10-30,6.47,6.47,6.47,6.47,500
2015-11-02,6.47,6.47,6.47,6.47,0
2015-11-03,6.47,6.47,6.47,6.47,0
2015-11-04,6.47,6.47,6.47,6.47,0
2015-11-05,6.38,6.38,6.38,6.38,10
2015-11-06,6.43,6.43,6.43,6.43,40
2015-11-09,6.43,6.43,6.43,6.43,0
2015-11-10,6.43,6.43,6.43,6.43,40
2015-11-11,6.43,6.43,6.43,6.43,0
2015-11-12,6.43,6.43,6.43,6.43,0
2015-11-13,6.43,6.43,6.43,6.43,70
2015-11-16,6.43,6.43,6.43,6.43,0
2015-11-17,6.43,6.43,6.43,6.43,0
2015-11-18,6.47,6.47,6.25,6.25,560
2015-11-19,6.03,6.03,6.03,6.03,20
2015-11-20,5.98,5.98,5.8,5.8,70
2015-11-23,5.8,5.8,5.8,5.8,0
2015-11-24,5.76,5.76,5.76,5.76,10
2015-11-25,5.76,5.76,5.76,5.76,0
2015-11-26,5.76,5.76,5.76,5.76,0
2015-11-27,5.76,5.76,5.76,5.76,940
2015-11-30,6.16,6.16,6.16,6.16,50
2015-12-01,5.76,5.76,5.76,5.76,75000
