time,open,high,low,close,volume
2014-07-10,1.69,1.69,1.62,1.64,310150
2014-07-11,1.64,1.67,1.62,1.67,86420
2014-07-14,1.64,1.69,1.64,1.69,28280
2014-07-15,1.67,1.72,1.67,1.67,58230
2014-07-16,1.69,1.72,1.67,1.67,93590
2014-07-17,1.67,1.67,1.62,1.64,92650
2014-07-18,1.64,1.67,1.62,1.64,58230
2014-07-21,1.67,1.69,1.64,1.64,28770
2014-07-22,1.64,1.64,1.59,1.62,49040
2014-07-23,1.62,1.62,1.59,1.59,17000
2014-07-24,1.62,1.64,1.59,1.62,72130
2014-07-25,1.62,1.62,1.59,1.59,12520
2014-07-28,1.59,1.59,1.52,1.54,133710
2014-07-29,1.54,1.54,1.52,1.54,19410
2014-07-30,1.54,1.57,1.52,1.52,20800
2014-07-31,1.52,1.54,1.52,1.54,12280
2014-08-01,1.54,1.54,1.52,1.52,28600
2014-08-04,1.52,1.59,1.52,1.59,61370
2014-08-05,1.59,1.62,1.59,1.62,38970
2014-08-06,1.64,1.64,1.57,1.57,50350
2014-08-07,1.59,1.62,1.54,1.62,6320
2014-08-08,1.62,1.67,1.59,1.62,52270
2014-08-11,1.62,1.67,1.59,1.62,38050
2014-08-12,1.62,1.64,1.59,1.62,87000
2014-08-13,1.64,1.72,1.64,1.69,141670
2014-08-14,1.72,1.74,1.69,1.72,156070
2014-08-15,1.74,1.81,1.74,1.81,383390
2014-08-18,1.89,1.94,1.86,1.86,201020
2014-08-19,1.84,1.89,1.79,1.86,111530
2014-08-20,1.86,1.86,1.79,1.81,134250
2014-08-21,1.84,1.94,1.81,1.91,370340
2014-08-22,1.94,1.94,1.86,1.89,75380
2014-08-25,1.89,1.94,1.86,1.86,113290
2014-08-26,1.86,1.89,1.81,1.84,155610
2014-08-27,1.86,1.86,1.81,1.86,111260
2014-08-28,1.79,1.86,1.79,1.86,82920
2014-08-29,1.81,1.91,1.81,1.89,208190
2014-09-03,1.96,1.99,1.91,1.94,43890
2014-09-04,1.96,1.96,1.86,1.89,86200
2014-09-05,1.94,1.94,1.86,1.91,197440
2014-09-08,1.91,1.96,1.89,1.94,166740
2014-09-09,1.91,1.96,1.81,1.84,300960
2014-09-10,1.86,1.86,1.74,1.84,121980
2014-09-11,1.79,1.89,1.79,1.86,141110
2014-09-12,1.89,1.89,1.84,1.86,67780
2014-09-15,1.91,1.91,1.86,1.89,72980
2014-09-16,1.84,1.89,1.84,1.89,116070
2014-09-17,1.91,2.01,1.91,1.94,340950
2014-09-18,2.06,2.06,1.96,2.06,683910
2014-09-19,2.01,2.11,2.01,2.04,133640
2014-09-22,2.16,2.16,2.16,2.16,516820
2014-09-23,2.18,2.3,2.16,2.3,641070
2014-09-24,2.3,2.3,2.23,2.28,274850
2014-09-25,2.28,2.43,2.23,2.43,357020
2014-09-26,2.28,2.48,2.28,2.4,259850
2014-09-29,2.4,2.55,2.33,2.55,734810
2014-09-30,2.6,2.72,2.55,2.72,716040
2014-10-01,2.72,2.89,2.7,2.87,360030
2014-10-02,2.75,2.94,2.72,2.92,439690
2014-10-03,2.89,3.02,2.84,2.94,362480
2014-10-06,3.02,3.14,3.02,3.14,305530
2014-10-07,3.14,3.19,3.04,3.14,222800
2014-10-08,3.16,3.16,2.94,2.94,510050
2014-10-09,2.8,2.89,2.75,2.77,742430
2014-10-10,2.89,2.94,2.82,2.87,426170
2014-10-13,2.84,2.87,2.77,2.8,47350
2014-10-14,2.81,2.83,2.78,2.78,140160
2014-10-15,2.68,2.81,2.6,2.81,367700
2014-10-16,2.81,2.81,2.63,2.68,103660
2014-10-17,2.63,2.7,2.55,2.65,95740
2014-10-20,2.63,2.7,2.63,2.68,57780
2014-10-21,2.68,2.7,2.6,2.63,40650
2014-10-22,2.63,2.65,2.57,2.65,53460
2014-10-23,2.6,2.6,2.5,2.57,183240
2014-10-24,2.6,2.6,2.45,2.52,70710
2014-10-27,2.42,2.47,2.37,2.37,102950
2014-10-28,2.37,2.37,2.29,2.37,54190
2014-10-29,2.34,2.47,2.34,2.47,82110
2014-10-30,2.37,2.5,2.37,2.39,42340
2014-10-31,2.32,2.52,2.32,2.52,67330
2014-11-03,2.63,2.68,2.57,2.68,245350
2014-11-04,2.81,2.86,2.73,2.86,581770
2014-11-05,2.91,2.91,2.75,2.78,120060
2014-11-06,2.73,2.83,2.73,2.73,103120
2014-11-07,2.78,2.81,2.73,2.78,88900
2014-11-10,2.78,2.86,2.7,2.7,88840
2014-11-11,2.68,2.78,2.68,2.78,128960
2014-11-12,2.7,2.78,2.7,2.75,49510
2014-11-13,2.81,2.81,2.73,2.78,101730
2014-11-14,2.75,2.75,2.68,2.73,120610
2014-11-17,2.7,2.78,2.65,2.7,27420
2014-11-18,2.68,2.73,2.65,2.65,86120
2014-11-19,2.68,2.7,2.57,2.63,119240
2014-11-20,2.65,2.65,2.6,2.63,68880
2014-11-21,2.63,2.63,2.55,2.55,85610
2014-11-24,2.57,2.57,2.45,2.52,7540
2014-11-25,2.5,2.63,2.47,2.63,75680
2014-11-26,2.57,2.6,2.52,2.55,42110
2014-11-27,2.47,2.55,2.47,2.55,3150
2014-11-28,2.47,2.65,2.45,2.63,70800
2014-12-01,2.63,2.63,2.57,2.63,39780
2014-12-02,2.63,2.63,2.57,2.63,6410
2014-12-03,2.57,2.63,2.57,2.63,43750
2014-12-04,2.63,2.63,2.57,2.6,10120
2014-12-05,2.55,2.6,2.42,2.57,1840
2014-12-08,2.57,2.57,2.47,2.55,35790
2014-12-09,2.5,2.55,2.42,2.42,54880
2014-12-10,2.5,2.57,2.42,2.5,45650
2014-12-11,2.42,2.52,2.42,2.47,17390
2014-12-12,2.52,2.55,2.5,2.55,45580
2014-12-15,2.57,2.65,2.55,2.55,21880
2014-12-16,2.55,2.6,2.47,2.52,36280
2014-12-17,2.47,2.55,2.37,2.42,60510
2014-12-18,2.42,2.47,2.42,2.47,41840
2014-12-19,2.42,2.45,2.37,2.37,22600
2014-12-22,2.5,2.5,2.39,2.39,5930
2014-12-23,2.45,2.45,2.37,2.37,4670
2014-12-24,2.42,2.45,2.37,2.39,9250
2014-12-25,2.39,2.47,2.39,2.39,24800
2014-12-26,2.39,2.42,2.39,2.39,5600
2014-12-29,2.37,2.37,2.24,2.24,76320
2014-12-30,2.24,2.24,2.21,2.24,27100
2014-12-31,2.39,2.39,2.27,2.39,41960
2015-01-05,2.45,2.47,2.45,2.47,660
2015-01-06,2.42,2.5,2.34,2.47,13810
2015-01-07,2.47,2.55,2.45,2.55,102410
2015-01-08,2.55,2.55,2.5,2.5,1610
2015-01-09,2.47,2.5,2.39,2.47,8320
2015-01-12,2.39,2.47,2.37,2.47,13720
2015-01-13,2.42,2.45,2.39,2.42,26280
