time,open,high,low,close,volume
2015-06-26,5.77,5.77,5.64,5.64,510700
2015-06-29,5.64,5.73,5.55,5.69,407200
2015-06-30,5.64,5.69,5.55,5.55,867600
2015-07-01,5.55,5.6,5.47,5.55,566800
2015-07-02,5.51,5.64,5.51,5.64,664100
2015-07-03,5.69,5.69,5.55,5.6,1000210
2015-07-06,5.64,5.64,5.6,5.6,752974
2015-07-07,5.64,5.77,5.6,5.69,1160110
2015-07-08,5.69,5.73,5.55,5.6,852400
2015-07-09,5.55,5.91,5.55,5.91,2328458
2015-07-10,5.95,6.04,5.86,5.91,1025616
2015-07-13,5.91,6.48,5.91,6.39,2730520
2015-07-14,6.39,6.61,6.26,6.35,2674088
2015-07-15,6.35,6.48,6.17,6.17,2249100
2015-07-16,6.13,6.17,5.99,6.08,1019800
2015-07-17,5.99,6.13,5.99,6.04,837878
2015-07-20,6.04,6.13,5.91,5.99,844112
2015-07-21,6.08,6.08,5.95,5.95,629100
2015-07-22,5.95,6.22,5.91,6.22,862130
2015-07-23,6.26,6.35,6.13,6.13,894004
2015-07-24,6.13,6.17,6.08,6.08,580100
2015-07-27,6.04,6.17,5.99,6.13,617600
2015-07-28,6.17,6.22,6.08,6.08,785030
2015-07-29,6.13,6.13,5.99,5.99,418800
2015-07-30,5.95,6.13,5.95,6.04,402728
2015-07-31,6.08,6.17,5.99,5.99,403600
2015-08-03,5.95,5.99,5.82,5.91,878200
2015-08-04,5.91,6.04,5.91,5.99,737146
2015-08-05,5.95,6.08,5.95,6.08,357800
2015-08-06,6.13,6.13,5.95,5.95,380900
2015-08-07,5.95,6.04,5.91,6.04,439710
2015-08-10,6.04,6.39,6.04,6.26,1580124
2015-08-11,6.26,6.35,6.22,6.22,970600
2015-08-12,6.17,6.22,5.91,5.99,1082300
2015-08-13,5.99,6.13,5.86,5.99,1123104
2015-08-14,5.99,6.08,5.91,6.08,706800
2015-08-17,6.08,6.13,5.91,5.95,1316000
2015-08-18,5.99,6.08,5.95,6.04,894500
2015-08-19,6.04,6.08,5.95,5.99,710500
2015-08-20,5.99,6.04,5.91,5.95,544900
2015-08-21,5.95,5.95,5.6,5.91,1501800
