time,open,high,low,close,volume
2013-03-18,11.18,11.18,11.18,11.18,1000
2013-03-19,11.27,11.27,11.18,11.18,700
2013-03-20,11.27,11.27,11.27,11.27,100
2013-03-21,11.27,11.27,11.23,11.23,700
2013-03-22,11.18,11.27,11.18,11.23,1200
2013-03-25,11.23,11.23,11.23,11.23,0
2013-03-26,10.88,10.88,10.84,10.88,1300
2013-03-27,10.88,10.88,10.88,10.88,0
2013-03-28,10.88,10.88,10.88,10.88,0
2013-03-29,10.88,10.88,10.88,10.88,0
2013-04-01,10.88,10.88,10.88,10.88,0
2013-04-02,10.88,10.88,10.88,10.88,0
2013-04-03,10.88,10.88,10.88,10.88,0
2013-04-04,10.88,10.88,10.88,10.88,0
2013-04-05,10.88,10.88,10.88,10.88,0
2013-04-08,10.88,10.88,10.88,10.88,0
2013-04-09,10.4,10.4,10.4,10.4,300
2013-04-10,10.4,10.4,10.4,10.4,0
2013-04-11,10.4,10.4,10.4,10.4,0
2013-04-12,10.4,10.4,10.4,10.4,0
2013-04-15,10.4,10.4,10.4,10.4,0
2013-04-16,10.4,10.4,10.4,10.4,0
2013-04-17,9.97,10.19,9.97,10.19,2300
2013-04-18,10.19,10.19,10.19,10.19,0
2013-04-22,10.14,10.14,10.14,10.14,200
2013-04-23,10.14,10.14,10.14,10.14,100
2013-04-24,10.14,10.14,10.14,10.14,0
2013-04-25,10.14,10.14,10.14,10.14,0
2013-04-26,10.14,10.14,10.14,10.14,0
2013-05-02,10.14,10.14,10.14,10.14,0
2013-05-03,10.14,10.14,10.14,10.14,0
2013-05-06,10.14,10.14,10.14,10.14,0
2013-05-07,10.14,10.14,10.14,10.14,0
2013-05-08,10.14,10.14,10.14,10.14,0
2013-05-09,10.14,10.14,10.14,10.14,0
2013-05-10,9.15,9.15,9.15,9.15,500
2013-05-13,9.15,9.15,9.15,9.15,0
2013-05-14,8.24,8.28,8.24,8.28,600
2013-05-15,8.28,8.28,8.28,8.28,0
2013-05-16,8.28,8.28,8.28,8.28,0
2013-05-17,8.28,8.28,8.28,8.28,0
2013-05-20,8.28,8.28,8.28,8.28,0
2013-05-21,8.28,8.28,8.28,8.28,0
2013-05-22,8.67,8.67,8.67,8.67,200
2013-05-23,8.67,8.67,8.67,8.67,0
2013-05-24,9.54,9.54,9.54,8.67,200
2013-05-27,10.49,10.49,10.49,10.49,200
2013-05-28,10.49,10.49,10.49,10.49,200
2013-05-29,10.49,10.49,10.49,10.49,0
2013-05-30,10.49,10.49,10.49,10.49,0
2013-05-31,10.49,10.49,10.49,10.49,0
2013-06-03,11.23,11.23,11.23,11.23,100
2013-06-04,11.23,11.23,11.23,11.23,0
2013-06-05,11.23,11.23,11.23,11.23,0
2013-06-06,11.23,11.23,11.23,11.23,0
2013-06-07,11.23,11.23,11.23,11.23,0
2013-06-10,11.23,11.23,11.23,11.23,0
2013-06-11,11.23,11.23,11.23,11.23,0
2013-06-12,10.4,10.4,10.4,10.4,500
2013-06-13,10.4,10.4,10.4,10.4,0
2013-06-14,11.35,11.35,11.35,11.35,0
2013-06-17,11.35,11.35,11.35,11.35,0
2013-06-18,11.35,11.35,11.35,11.35,0
2013-06-19,11.35,11.35,11.35,11.35,0
2013-06-20,11.35,11.35,11.35,11.35,0
2013-06-21,10.4,10.4,10.4,10.4,0
2013-06-24,11.35,11.35,11.35,11.35,0
2013-06-25,11.35,11.35,11.35,11.35,0
2013-06-26,11.35,11.35,11.35,11.35,0
2013-06-27,11.35,11.35,11.35,11.35,0
2013-06-28,11.35,11.35,11.35,11.35,0
2013-07-01,11.35,11.35,11.35,11.35,0
2013-07-02,11.35,11.35,11.35,11.35,0
2013-07-03,11.35,11.35,11.35,11.35,0
2013-07-04,11.35,11.35,11.35,11.35,0
2013-07-05,11.35,11.35,11.35,11.35,0
2013-07-08,11.35,11.35,11.35,11.35,0
2013-07-09,11.35,11.35,11.35,11.35,0
2013-07-10,11.35,11.35,11.35,11.35,0
2013-07-11,11.35,11.35,11.35,11.35,0
2013-07-12,11.35,11.35,11.35,11.35,0
2013-07-15,11.35,11.35,11.35,11.35,0
2013-07-16,11.35,11.35,11.35,11.35,0
2013-07-17,11.35,11.35,11.35,11.35,0
2013-07-18,11.35,11.35,11.35,11.35,0
2013-07-19,9.46,9.46,9.46,9.46,5500
2013-07-22,9.46,9.46,9.46,9.46,0
2013-07-23,9.46,9.46,9.46,9.46,0
2013-07-24,9.46,9.46,9.46,9.46,0
