time,open,high,low,close,volume
2014-07-08,9.69,9.99,8.96,9.99,5000
2014-07-09,9.99,9.99,9.99,9.99,0
2014-07-10,9.75,9.75,9.69,9.75,6110
2014-07-11,9.69,9.87,9.69,9.87,1030
2014-07-14,9.87,9.87,9.87,9.87,0
2014-07-15,9.87,9.87,9.87,9.87,5150
2014-07-16,9.87,9.87,9.87,9.87,480
2014-07-17,9.87,9.87,9.87,9.87,950
2014-07-18,9.87,9.87,9.87,9.87,10
2014-07-21,9.87,9.87,9.87,9.87,0
2014-07-22,9.87,9.87,9.87,9.87,0
2014-07-23,9.87,9.87,9.87,9.87,0
2014-07-24,9.87,9.87,9.87,9.87,200
2014-07-25,9.93,9.93,9.93,9.93,200
2014-07-28,9.69,9.69,9.69,9.69,20
2014-07-29,9.69,9.69,9.21,9.21,810
2014-07-30,9.33,9.33,9.33,9.33,10
2014-07-31,9.33,9.33,9.33,9.33,0
2014-08-01,9.21,9.21,9.21,9.21,800
2014-08-04,9.21,9.21,9.21,9.21,0
2014-08-05,9.81,9.81,9.81,9.81,10
2014-08-06,9.81,9.81,9.39,9.39,110
2014-08-07,9.39,9.81,9.39,9.81,140
2014-08-08,9.81,9.81,9.69,9.75,1800
2014-08-11,9.75,9.75,9.75,9.75,0
2014-08-12,9.81,9.81,9.81,9.81,460
2014-08-13,9.87,9.87,9.87,9.87,300
2014-08-14,9.87,9.87,9.87,9.87,0
2014-08-15,9.87,9.87,9.87,9.87,0
2014-08-18,9.39,9.99,9.39,9.99,2010
2014-08-19,9.87,9.87,9.87,9.87,400
2014-08-20,9.87,9.87,9.87,9.87,810
2014-08-21,9.87,9.87,9.63,9.63,1700
2014-08-22,9.63,9.63,9.63,9.63,0
2014-08-25,9.63,9.69,9.63,9.69,9840
2014-08-26,9.69,9.69,9.69,9.69,0
2014-08-27,9.69,9.69,9.69,9.69,550
2014-08-28,9.69,9.69,9.69,9.69,0
2014-08-29,9.81,9.93,9.69,9.69,5060
2014-09-03,9.69,9.69,9.69,9.69,0
2014-09-04,9.69,9.69,9.69,9.69,1950
2014-09-05,9.39,9.81,9.39,9.81,13010
2014-09-08,9.81,9.87,9.81,9.87,600
2014-09-09,9.93,9.93,9.57,9.63,10350
2014-09-10,9.63,9.63,9.63,9.63,1000
2014-09-11,9.57,9.69,9.51,9.69,12520
2014-09-12,9.51,9.51,9.51,9.51,20
2014-09-15,9.08,9.69,9.02,9.63,12460
2014-09-16,9.63,9.63,9.63,9.63,0
2014-09-17,9.39,9.63,9.39,9.63,4120
2014-09-18,9.63,9.63,9.45,9.51,3050
2014-09-19,9.57,9.57,9.57,9.57,1960
2014-09-22,9.45,9.63,9.45,9.63,2920
2014-09-23,9.63,9.63,9.39,9.39,7000
2014-09-24,9.39,9.39,9.39,9.39,0
2014-09-25,9.63,9.63,9.45,9.45,1770
2014-09-26,9.33,9.45,9.33,9.45,2200
2014-09-29,9.69,9.69,9.69,9.69,20
2014-09-30,9.57,9.57,9.51,9.51,1250
2014-10-01,9.51,9.51,9.51,9.51,0
2014-10-02,9.51,9.51,9.51,9.51,760
2014-10-03,9.51,9.51,9.45,9.51,26820
2014-10-06,9.45,9.45,9.45,9.45,4990
2014-10-07,9.45,9.45,9.45,9.45,0
2014-10-08,9.39,9.39,9.39,9.39,5000
2014-10-09,9.81,9.81,9.57,9.57,1070
2014-10-10,9.57,9.57,9.57,9.57,0
2014-10-13,9.57,9.57,9.57,9.57,2000
2014-10-14,9.39,9.39,9.39,9.39,30
2014-10-15,9.75,9.75,9.75,9.75,30
2014-10-16,9.99,9.99,9.69,9.69,65000
2014-10-17,9.69,9.75,9.69,9.69,30020
2014-10-20,9.69,9.69,9.69,9.69,1710
2014-10-21,9.81,9.81,9.21,9.21,1990
2014-10-22,9.57,9.57,9.57,9.57,10
2014-10-23,9.57,9.57,9.57,9.57,0
2014-10-24,9.99,10.17,9.57,10.11,3260
2014-10-27,10.11,10.17,10.11,10.11,7100
2014-10-28,10.11,10.11,10.11,10.11,10010
2014-10-29,10.11,10.11,10.11,10.11,6810
2014-10-30,10.11,10.11,10.11,10.11,1000
2014-10-31,10.78,10.78,10.11,10.17,7730
2014-11-03,10.17,10.17,10.17,10.17,0
2014-11-04,10.17,10.17,10.17,10.17,130
2014-11-05,10.17,10.17,10.17,10.17,1800
2014-11-06,10.17,10.17,10.17,10.17,0
2014-11-07,10.17,10.17,10.17,10.17,0
2014-11-10,10.17,10.17,10.17,10.17,0
2014-11-11,10.17,10.17,10.17,10.17,0
2014-11-12,10.17,10.17,10.17,10.17,0
2014-11-13,10.17,10.17,10.17,10.17,4260
2014-11-14,10.17,10.17,10.17,10.17,500
2014-11-17,9.75,10.17,9.75,9.75,30
2014-11-18,9.75,9.75,9.75,9.75,10
2014-11-19,9.99,10.11,9.99,10.11,2000
2014-11-20,10.11,10.11,10.11,10.11,7060
2014-11-21,10.17,10.17,10.17,10.17,10
2014-11-24,9.81,9.81,9.81,9.81,500
2014-11-25,9.81,9.81,9.81,9.81,0
2014-11-26,9.81,9.81,9.81,9.81,0
2014-11-27,9.81,9.81,9.81,9.81,4280
2014-11-28,9.81,9.81,9.81,9.81,0
2014-12-01,9.81,9.81,9.81,9.81,0
2014-12-02,9.81,9.81,9.81,9.81,1500
2014-12-03,9.81,9.81,9.81,9.81,0
2014-12-04,9.81,9.81,9.81,9.81,0
2014-12-05,9.81,9.81,9.81,9.81,0
2014-12-08,9.81,9.81,9.81,9.81,10000
2014-12-09,9.81,9.81,9.81,9.81,600
2014-12-10,10.05,10.23,10.05,10.23,5830
2014-12-11,10.23,10.23,10.23,10.23,0
2014-12-12,10.23,10.23,10.23,10.23,0
2014-12-15,9.81,9.81,9.81,9.81,600
2014-12-16,9.51,9.51,9.51,9.51,10
2014-12-17,9.51,9.51,9.51,9.51,0
2014-12-18,9.51,9.51,9.51,9.51,0
2014-12-19,9.51,9.51,9.51,9.51,0
2014-12-22,9.51,9.51,9.51,9.51,0
2014-12-23,9.51,9.51,9.51,9.51,0
2014-12-24,9.51,9.51,9.51,9.51,0
2014-12-25,9.51,9.51,9.51,9.51,0
2014-12-26,9.51,9.99,8.96,9.99,1180
2014-12-29,9.99,9.99,9.99,9.99,0
2014-12-30,9.99,9.99,9.99,9.99,0
2014-12-31,9.99,9.99,9.99,9.99,0
2015-01-05,9.99,9.99,9.99,9.99,0
2015-01-06,9.99,9.99,9.99,9.99,0
2015-01-07,9.63,9.75,9.63,9.75,3200
2015-01-08,9.75,9.75,9.75,9.75,0
2015-01-09,9.75,9.75,9.75,9.75,500
2015-01-12,9.75,9.75,9.75,9.75,0
2015-01-13,9.75,9.75,9.75,9.75,10
2015-01-14,9.75,9.75,9.75,9.75,0
2015-01-15,9.93,9.93,9.93,9.93,1190
2015-01-16,10.3,10.3,10.3,10.3,60
2015-01-19,10.3,10.6,10.3,10.6,320
2015-01-20,10.6,10.6,10.6,10.6,0
2015-01-21,10.6,10.6,10.6,10.6,0
2015-01-22,10.6,10.6,10.6,10.6,0
2015-01-23,10.6,10.6,10.6,10.6,0
2015-01-26,10.6,10.6,10.6,10.6,0
2015-01-27,9.99,9.99,9.99,9.99,500
2015-01-28,9.99,9.99,9.99,9.99,0
2015-01-29,9.99,9.99,9.99,9.99,0
2015-01-30,9.75,9.75,9.75,9.75,10
2015-02-02,9.75,9.75,9.75,9.75,0
2015-02-03,9.75,9.75,9.75,9.75,0
2015-02-04,9.75,9.75,9.75,9.75,0
2015-02-05,9.75,9.75,9.75,9.75,0
2015-02-06,9.21,9.21,9.21,9.21,10
2015-02-09,9.08,9.81,9.08,9.81,220
2015-02-10,10.42,10.42,10.3,10.3,400
2015-02-11,9.69,9.69,9.69,9.69,1700
2015-02-12,10.3,10.3,9.99,9.99,2040
2015-02-13,9.99,9.99,9.99,9.99,0
2015-02-24,10.66,10.66,10.6,10.6,140
2015-02-25,10.6,10.6,10.6,10.6,260
