time,open,high,low,close,volume
2015-06-26,1.14,1.14,1.14,1.14,100
2015-06-29,1.08,1.08,1.08,1.08,100
2015-06-30,1.02,1.02,1.02,1.02,1800
2015-07-01,0.96,0.96,0.9,0.9,2500
2015-07-02,0.9,0.9,0.9,0.9,0
2015-07-03,0.9,0.9,0.9,0.9,0
2015-07-06,0.84,0.84,0.84,0.84,400
2015-07-07,0.78,0.78,0.78,0.78,1000
2015-07-08,0.78,0.78,0.78,0.78,0
2015-07-09,0.78,0.78,0.78,0.78,0
2015-07-10,0.78,0.78,0.78,0.78,0
2015-07-13,0.84,0.84,0.84,0.84,100
2015-07-14,0.84,0.84,0.84,0.84,0
2015-07-15,0.96,0.96,0.96,0.96,2000
2015-07-16,0.96,0.96,0.96,0.96,2300
2015-07-17,0.96,0.96,0.96,0.96,0
2015-07-20,0.96,0.96,0.96,0.96,100
2015-07-21,0.96,0.96,0.96,0.96,0
2015-07-22,0.9,0.9,0.9,0.9,200
2015-07-23,1.02,1.02,1.02,1.02,1000
2015-07-24,1.02,1.02,1.02,1.02,0
2015-07-27,1.02,1.02,1.02,1.02,0
2015-07-28,0.96,0.96,0.96,0.96,200
2015-07-29,0.96,0.96,0.96,0.96,0
2015-07-30,0.96,0.96,0.96,0.96,0
2015-07-31,0.96,0.96,0.96,0.96,500
2015-08-03,0.96,0.96,0.96,0.96,0
2015-08-04,0.96,0.96,0.96,0.96,0
2015-08-05,1.02,1.08,1.02,1.08,600
2015-08-06,1.14,1.14,1.14,1.14,100
2015-08-07,1.14,1.14,1.14,1.14,0
2015-08-10,1.14,1.14,1.14,1.14,0
2015-08-11,1.14,1.14,1.14,1.14,0
2015-08-12,1.14,1.14,1.14,1.14,0
2015-08-13,1.14,1.14,1.14,1.14,0
2015-08-14,1.14,1.14,1.14,1.14,0
2015-08-17,1.14,1.14,1.14,1.14,0
2015-08-18,1.14,1.14,1.14,1.14,0
2015-08-19,1.26,1.26,1.08,1.08,3100
2015-08-20,1.08,1.08,1.08,1.08,0
2015-08-21,1.08,1.08,1.08,1.08,1000
2015-08-24,1.08,1.08,1.08,1.08,0
2015-08-25,1.08,1.08,1.08,1.08,2600
2015-08-26,1.08,1.08,1.08,1.08,0
2015-08-27,0.96,0.96,0.96,0.96,1400
2015-08-28,0.96,0.96,0.96,0.96,0
2015-08-31,0.96,0.96,0.96,0.96,0
2015-09-01,0.84,0.84,0.84,0.84,21100
2015-09-03,0.84,0.84,0.84,0.84,0
2015-09-04,0.84,0.84,0.84,0.84,0
2015-09-07,0.84,0.84,0.84,0.84,0
2015-09-08,0.84,0.84,0.84,0.84,0
2015-09-09,0.84,0.84,0.84,0.84,0
2015-09-10,0.84,0.84,0.84,0.84,0
2015-09-11,0.84,0.84,0.84,0.84,0
2015-09-14,0.84,0.84,0.84,0.84,0
2015-09-15,0.84,0.84,0.84,0.84,0
2015-09-16,0.84,0.84,0.84,0.84,0
2015-09-17,0.84,0.84,0.84,0.84,0
2015-09-18,0.84,0.84,0.84,0.84,0
2015-09-21,0.84,0.84,0.84,0.84,0
2015-09-22,0.84,0.84,0.84,0.84,0
2015-09-23,0.84,0.84,0.84,0.84,0
2015-09-24,0.84,0.84,0.84,0.84,0
2015-09-25,0.84,0.84,0.84,0.84,0
2015-09-28,0.84,0.84,0.84,0.84,0
2015-09-29,0.84,0.84,0.84,0.84,0
2015-09-30,0.84,0.84,0.84,0.84,0
2015-10-01,0.84,0.84,0.84,0.84,0
2015-10-02,0.84,0.84,0.84,0.84,0
2015-10-05,0.84,0.84,0.84,0.84,0
2015-10-06,0.84,0.84,0.84,0.84,100
2015-10-07,0.9,0.9,0.9,0.9,300
2015-10-08,0.9,0.9,0.9,0.9,0
2015-10-09,0.9,0.9,0.9,0.9,0
2015-10-12,0.9,0.9,0.9,0.9,0
2015-10-13,0.9,0.9,0.9,0.9,0
2015-10-14,0.78,0.78,0.78,0.78,700
2015-10-15,0.78,0.84,0.78,0.78,3100
2015-10-16,0.78,0.78,0.78,0.78,0
2015-10-19,0.78,0.78,0.72,0.72,2000
2015-10-20,0.84,0.84,0.72,0.72,4100
2015-10-21,0.72,0.72,0.72,0.72,0
2015-10-22,0.72,0.72,0.72,0.72,0
2015-10-23,0.72,0.72,0.72,0.72,2200
2015-10-26,0.72,0.72,0.72,0.72,0
2015-10-27,0.72,0.72,0.72,0.72,0
2015-10-28,0.72,0.72,0.72,0.72,800
2015-10-29,0.66,0.66,0.66,0.66,2200
2015-10-30,0.66,0.66,0.66,0.66,0
2015-11-02,0.6,0.6,0.6,0.6,7200
2015-11-03,0.6,0.6,0.6,0.6,0
2015-11-04,0.6,0.6,0.6,0.6,1100
2015-11-05,0.66,0.66,0.66,0.66,1000
2015-11-06,0.66,0.66,0.66,0.66,0
2015-11-09,0.66,0.66,0.66,0.66,500
2015-11-10,0.66,0.66,0.66,0.66,0
2015-11-11,0.66,0.66,0.66,0.66,0
2015-11-12,0.66,0.66,0.6,0.6,500
2015-11-13,0.6,0.6,0.54,0.54,68000
2015-11-16,0.54,0.54,0.54,0.54,0
2015-11-17,0.6,0.6,0.6,0.6,1000
2015-11-18,0.6,0.6,0.6,0.6,500
2015-11-19,0.54,0.66,0.54,0.54,15100
2015-11-20,0.6,0.6,0.6,0.6,100
2015-11-23,0.6,0.6,0.6,0.6,1400
2015-11-24,0.54,0.54,0.54,0.54,1500
2015-11-25,0.54,0.54,0.54,0.54,0
2015-11-26,0.48,0.6,0.48,0.6,9500
2015-11-27,0.48,0.48,0.48,0.48,300
2015-11-30,0.48,0.48,0.48,0.48,0
2015-12-01,0.54,0.54,0.54,0.54,2600
2015-12-02,0.54,0.54,0.54,0.54,0
2015-12-03,0.54,0.54,0.54,0.54,0
2015-12-04,0.6,0.6,0.6,0.6,100
2015-12-07,0.54,0.54,0.54,0.54,3000
2015-12-08,0.54,0.54,0.54,0.54,300
2015-12-09,0.54,0.54,0.54,0.54,12800
2015-12-10,0.54,0.54,0.54,0.54,0
2015-12-11,0.6,0.6,0.6,0.6,100
2015-12-14,0.54,0.6,0.54,0.6,3900
2015-12-15,0.6,0.6,0.6,0.6,0
2015-12-16,0.6,0.6,0.6,0.6,0
2015-12-17,0.6,0.6,0.6,0.6,200
2015-12-18,0.6,0.6,0.6,0.6,0
2015-12-21,0.6,0.6,0.6,0.6,0
2015-12-22,0.6,0.6,0.6,0.6,0
2015-12-23,0.54,0.6,0.54,0.54,600
2015-12-24,0.54,0.54,0.54,0.54,0
2015-12-25,0.54,0.54,0.54,0.54,0
2015-12-28,0.6,0.6,0.6,0.6,500
2015-12-29,0.66,0.66,0.6,0.6,1300
2015-12-30,0.66,0.66,0.66,0.66,600
2015-12-31,0.66,0.72,0.66,0.72,3800
2016-01-04,0.72,0.72,0.72,0.72,1600
2016-01-05,0.78,0.78,0.78,0.78,2300
2016-01-06,0.84,0.84,0.84,0.84,7400
2016-01-07,0.84,0.9,0.84,0.84,1300
2016-01-08,0.84,0.84,0.84,0.84,0
2016-01-11,0.9,0.9,0.84,0.9,800
2016-01-12,0.96,0.96,0.9,0.96,1100
2016-01-13,0.96,0.96,0.96,0.96,0
2016-01-14,0.96,0.96,0.96,0.96,0
2016-01-15,0.96,0.96,0.96,0.96,0
2016-01-18,0.96,0.96,0.96,0.96,0
2016-01-19,0.96,0.96,0.96,0.96,0
2016-01-20,0.96,0.96,0.96,0.96,0
2016-01-21,0.84,0.84,0.84,0.84,2000
2016-01-22,0.72,0.72,0.72,0.72,100
2016-01-25,0.66,0.66,0.66,0.66,100
2016-01-26,0.6,0.6,0.6,0.6,5100
2016-01-27,0.54,0.54,0.54,0.54,13500
2016-01-28,0.48,0.48,0.48,0.48,10700
2016-01-29,0.48,0.48,0.48,0.48,0
2016-02-01,0.48,0.48,0.48,0.48,0
2016-02-02,0.54,0.54,0.54,0.54,3400
2016-02-03,0.48,0.48,0.48,0.48,5000
2016-02-04,0.54,0.54,0.54,0.54,100
2016-02-05,0.54,0.54,0.54,0.54,0
2016-02-15,0.54,0.54,0.54,0.54,1000
2016-02-16,0.54,0.54,0.54,0.54,0
2016-02-17,0.54,0.54,0.54,0.54,600
2016-02-18,0.48,0.6,0.48,0.6,11200
2016-02-19,0.66,0.66,0.66,0.66,100
2016-02-22,0.66,0.66,0.66,0.66,0
2016-02-23,0.66,0.66,0.6,0.6,2400
2016-02-24,0.6,0.6,0.6,0.6,2000
2016-02-25,0.6,0.6,0.6,0.6,1000
2016-02-26,0.6,0.6,0.6,0.6,15100
2016-02-29,0.66,0.66,0.66,0.66,300
2016-03-01,0.66,0.72,0.66,0.72,2300
2016-03-02,0.72,0.72,0.72,0.72,200
2016-03-03,0.72,0.72,0.72,0.72,0
2016-03-04,0.72,0.72,0.72,0.72,0
2016-03-07,0.72,0.72,0.72,0.72,0
2016-03-08,0.72,0.72,0.72,0.72,0
2016-03-09,0.72,0.72,0.72,0.72,0
2016-03-10,0.72,0.72,0.72,0.72,0
2016-03-11,0.66,0.66,0.66,0.66,100
2016-03-14,0.6,0.6,0.6,0.6,2000
2016-03-15,0.54,0.54,0.54,0.54,1900
2016-03-16,0.54,0.54,0.54,0.54,0
2016-03-17,0.54,0.54,0.54,0.54,0
2016-03-18,0.54,0.54,0.54,0.54,1100
2016-03-21,0.54,0.6,0.54,0.6,5700
2016-03-22,0.6,0.6,0.6,0.6,500
2016-03-23,0.66,0.66,0.66,0.66,7300
2016-03-24,0.72,0.72,0.72,0.72,13012
2016-03-25,0.78,0.78,0.78,0.78,8600
2016-03-28,0.72,0.84,0.72,0.84,10300
2016-03-29,0.78,0.84,0.72,0.84,7700
2016-03-30,0.84,0.84,0.84,0.84,500
2016-03-31,0.96,0.96,0.96,0.96,3100
2016-04-01,1.08,1.08,0.84,1.08,29600
2016-04-04,1.2,1.2,1.2,1.2,9700
2016-04-05,1.38,1.38,1.38,1.38,35100
2016-04-06,1.56,1.56,1.56,1.56,6510
2016-04-07,1.62,1.74,1.62,1.74,7800
2016-04-08,1.92,1.92,1.74,1.92,53620
2016-04-11,2.1,2.1,2.1,2.1,4320
2016-04-12,2.4,2.4,2.4,2.4,11310
2016-04-13,2.76,2.76,2.76,2.76,17800
2016-04-14,3.12,3.12,3.12,3.12,3577
2016-04-15,3.54,3.54,2.7,3.12,105080
2016-04-19,2.88,2.88,2.88,2.88,1830
2016-04-20,2.46,2.46,2.46,2.46,100
2016-04-21,2.1,2.1,2.1,2.1,100
2016-04-22,1.8,2.1,1.8,1.8,99760
2016-04-25,1.8,1.8,1.56,1.56,3400
2016-04-26,1.38,1.74,1.38,1.38,5700
2016-04-27,1.26,1.62,1.26,1.26,78300
2016-04-28,1.44,1.44,1.38,1.44,7300
2016-04-29,1.62,1.62,1.62,1.62,7900
2016-05-04,1.74,1.74,1.38,1.44,20900
2016-05-05,1.5,1.5,1.38,1.38,1500
2016-05-06,1.5,1.5,1.26,1.32,25700
2016-05-09,1.38,1.38,1.14,1.26,600
2016-05-10,1.44,1.44,1.26,1.26,4605
2016-05-11,1.44,1.44,1.32,1.32,2000
2016-05-12,1.5,1.5,1.38,1.38,4910
2016-05-13,1.56,1.56,1.38,1.38,6200
2016-05-16,1.56,1.56,1.26,1.26,6800
2016-05-17,1.44,1.44,1.26,1.26,12612
2016-05-18,1.2,1.32,1.2,1.32,2500
2016-05-19,1.26,1.26,1.26,1.26,400
2016-05-20,1.32,1.32,1.08,1.08,18600
2016-05-23,1.02,1.02,0.96,0.96,13620
2016-05-24,1.08,1.08,1.08,1.08,105
2016-05-25,1.02,1.02,1.02,1.02,300
2016-05-26,0.9,0.96,0.9,0.9,900
2016-05-27,1.02,1.02,1.02,1.02,100
2016-05-30,0.9,1.02,0.9,1.02,800
2016-05-31,1.02,1.08,1.02,1.08,5200
2016-06-01,1.08,1.08,1.08,1.08,500
2016-06-02,0.96,1.02,0.96,1.02,2720
2016-06-03,0.96,1.02,0.96,1.02,400
2016-06-06,1.02,1.02,1.02,1.02,0
2016-06-07,1.02,1.02,0.96,0.96,4800
2016-06-08,0.96,0.96,0.96,0.96,0
2016-06-09,0.84,0.9,0.84,0.84,13900
2016-06-10,0.96,0.96,0.96,0.96,3900
2016-06-13,0.84,0.9,0.84,0.9,3000
2016-06-14,0.84,0.84,0.78,0.84,2400
2016-06-15,0.84,0.84,0.72,0.72,930
2016-06-16,0.72,0.84,0.72,0.84,3500
2016-06-17,0.84,0.96,0.84,0.96,8500
2016-06-20,0.96,0.96,0.96,0.96,600
2016-06-21,0.96,0.96,0.96,0.96,0
2016-06-22,0.84,0.96,0.84,0.96,6900
2016-06-23,0.96,0.96,0.96,0.96,12800
2016-06-24,0.84,0.84,0.84,0.84,6800
2016-06-27,0.78,0.84,0.78,0.78,6500
2016-06-28,0.72,0.84,0.72,0.72,8700
2016-06-29,0.72,0.72,0.72,0.72,300
2016-06-30,0.78,0.78,0.78,0.78,3600
2016-07-01,0.84,0.84,0.84,0.84,2200
2016-07-04,0.96,0.96,0.9,0.96,7900
2016-07-05,0.84,1.02,0.78,1.02,12500
2016-07-06,1.02,1.02,1.02,1.02,0
2016-07-07,0.9,0.9,0.9,0.9,7100
2016-07-08,0.9,0.9,0.9,0.9,2500
2016-07-11,0.9,0.9,0.9,0.9,1100
2016-07-12,0.9,1.02,0.9,1.02,2700
2016-07-13,1.02,1.02,1.02,1.02,0
2016-07-14,1.02,1.02,1.02,1.02,0
2016-07-15,0.96,0.96,0.9,0.9,10800
2016-07-18,0.84,0.96,0.84,0.84,12500
2016-07-19,0.84,0.84,0.84,0.84,0
