time,open,high,low,close,volume
2014-06-12,7.91,7.91,7.91,7.91,2000
2014-06-13,7.91,7.91,7.91,7.91,6000
2014-06-16,7.91,7.91,7.91,7.91,3000
2014-06-17,7.91,7.91,7.44,7.91,4100
2014-06-18,7.87,7.87,7.83,7.83,5000
2014-06-19,7.83,7.87,7.83,7.83,5300
2014-06-20,7.83,7.83,7.83,7.83,6000
2014-06-23,7.83,7.83,7.83,7.83,3200
2014-06-24,7.83,7.83,7.24,7.83,11100
2014-06-25,7.83,7.83,7.36,7.79,9100
2014-06-26,7.79,7.79,7.47,7.63,9900
2014-06-27,7.63,7.63,7.59,7.63,4000
2014-06-30,7.63,7.63,7.4,7.51,7200
2014-07-01,7.51,7.51,7.51,7.51,5000
2014-07-02,7.71,7.71,7.63,7.63,3200
2014-07-03,7.63,7.67,7.63,7.67,7000
2014-07-04,7.63,7.67,7.63,7.63,1224
2014-07-07,7.63,7.67,7.63,7.67,1730
2014-07-08,7.67,7.79,7.63,7.79,3244
2014-07-09,7.83,7.83,7.75,7.75,5841
2014-07-10,7.71,7.71,7.71,7.71,3000
2014-07-11,7.71,7.71,7.71,7.71,2300
2014-07-14,7.71,7.71,7.71,7.71,0
2014-07-15,7.71,7.71,7.71,7.71,5100
2014-07-16,7.71,7.71,7.71,7.71,10000
2014-07-17,7.75,7.75,7.75,7.75,2000
2014-07-18,7.71,7.71,7.71,7.71,3574
2014-07-21,7.71,7.71,7.71,7.71,500
2014-07-22,7.44,7.71,7.44,7.71,4000
2014-07-23,7.71,7.71,7.71,7.71,3000
2014-07-24,7.71,7.75,7.67,7.75,3200
2014-07-25,7.75,7.79,7.71,7.75,6800
2014-07-28,7.47,7.83,7.44,7.83,2200
2014-07-29,7.63,7.71,7.44,7.71,7000
2014-07-30,7.63,7.75,7.4,7.75,7100
2014-07-31,7.63,7.83,7.63,7.83,2474
2014-08-01,7.83,7.83,7.83,7.83,0
2014-08-04,7.83,7.83,7.71,7.83,8500
2014-08-05,7.79,7.83,7.79,7.83,4000
2014-08-06,7.83,7.83,7.83,7.83,4000
2014-08-07,7.83,7.87,7.83,7.87,11000
2014-08-08,7.87,7.91,7.83,7.91,4200
2014-08-11,8.02,8.41,8.02,8.41,600
2014-08-12,7.83,8.49,7.83,8.49,400
2014-08-13,7.94,7.94,7.94,7.94,2100
2014-08-14,7.91,8.22,7.91,8.22,1100
2014-08-15,8.22,8.22,8.22,8.22,0
2014-08-18,8.22,8.22,8.22,8.22,0
2014-08-19,8.34,8.41,8.34,8.41,3200
2014-08-20,8.22,8.41,8.22,8.41,4500
2014-08-21,8.41,8.41,7.63,8.38,14500
2014-08-22,8.41,8.41,8.14,8.14,5900
2014-08-25,7.98,8.38,7.83,7.83,7400
2014-08-26,7.83,7.83,7.83,7.83,10010
2014-08-27,7.83,7.83,7.83,7.83,10000
2014-08-28,7.83,8.02,7.83,7.94,4210
2014-08-29,7.83,7.98,7.83,7.98,1500
2014-09-03,8.02,8.06,8.02,8.06,2900
2014-09-04,8.18,8.18,8.06,8.06,5015
2014-09-05,8.22,8.34,8.22,8.34,800
2014-09-08,8.34,8.34,8.34,8.34,0
2014-09-09,7.83,7.83,7.83,7.83,1300
2014-09-10,8.18,8.18,7.83,7.83,1100
2014-09-11,8.02,8.02,8.02,8.02,100
2014-09-12,8.14,8.14,8.14,8.14,100
2014-09-15,8.22,8.22,8.14,8.14,900
2014-09-16,8.14,8.14,8.14,8.14,1000
2014-09-17,8.18,8.41,8.14,8.41,7115
2014-09-18,8.41,8.41,7.94,7.94,600
2014-09-19,8.3,8.3,8.3,8.3,100
2014-09-22,8.38,8.38,7.94,7.94,200
2014-09-23,8.34,8.34,8.34,8.34,224
2014-09-24,8.34,8.34,8.34,8.34,0
2014-09-25,8.41,8.41,8.41,8.41,100
2014-09-26,8.22,8.22,8.22,8.22,400
2014-09-29,8.38,8.38,8.38,8.38,185
2014-09-30,8.22,8.34,8.22,8.34,200
2014-10-01,8.34,8.34,8.34,8.34,0
2014-10-02,8.34,8.34,8.34,8.34,0
2014-10-03,8.57,8.57,8.57,8.57,100
2014-10-06,8.53,8.81,8.53,8.81,24920
2014-10-07,8.81,8.88,8.81,8.88,1850
2014-10-08,8.92,9.71,8.92,9.71,23966
2014-10-09,9.74,9.78,9.71,9.71,1600
2014-10-10,9.78,9.78,9.08,9.63,7150
2014-10-13,9.0,9.2,9.0,9.0,9800
2014-10-14,9.35,9.35,9.35,9.35,100
2014-10-15,9.35,9.35,9.35,9.35,0
2014-10-16,9.67,9.67,9.55,9.55,200
2014-10-17,9.55,9.55,9.55,9.55,21
2014-10-20,9.71,9.71,9.71,9.71,100
2014-10-21,10.14,10.14,10.14,10.14,100
2014-10-22,10.14,10.14,10.14,10.14,29
2014-10-23,10.14,10.14,10.14,10.14,0
2014-10-24,9.16,9.16,9.16,9.16,400
2014-10-27,8.61,9.16,8.61,9.16,400
2014-10-28,9.35,9.39,9.35,9.39,3500
2014-10-29,9.39,9.39,9.39,9.39,0
2014-10-30,9.39,9.39,9.39,9.39,75
2014-10-31,9.39,9.39,9.39,9.39,0
2014-11-03,9.39,9.39,9.39,9.39,25
2014-11-04,9.39,9.39,9.39,9.39,0
2014-11-05,9.39,9.39,9.39,9.39,0
2014-11-06,9.39,9.39,9.39,9.39,0
2014-11-07,9.39,9.39,9.39,9.39,0
2014-11-10,9.39,9.39,9.39,9.39,0
2014-11-11,9.39,9.39,9.39,9.39,0
2014-11-12,8.49,9.28,8.45,9.28,3300
2014-11-13,9.28,9.28,9.28,9.28,0
2014-11-14,9.28,9.28,9.28,9.28,0
2014-11-17,8.61,8.96,8.61,8.96,6600
2014-11-18,8.61,9.12,8.61,9.12,800
2014-11-19,8.61,8.92,8.61,8.92,1005
2014-11-20,8.92,8.92,8.92,8.92,0
2014-11-21,8.92,8.92,8.92,8.92,0
2014-11-24,9.12,9.12,9.12,9.12,100
2014-11-25,9.12,9.12,9.12,9.12,35
2014-11-26,9.12,9.12,9.12,9.12,0
