time,open,high,low,close,volume
2015-06-26,12.28,12.34,11.85,11.85,3404590
2015-06-29,11.6,11.97,11.6,11.97,2102880
2015-06-30,11.85,12.1,11.79,11.85,1842780
2015-07-01,11.73,11.85,11.42,11.6,3646570
2015-07-02,11.48,12.34,11.48,12.22,4173150
2015-07-03,12.34,12.9,12.34,12.41,4068250
2015-07-06,12.47,12.65,12.34,12.53,3852320
2015-07-07,12.53,13.27,12.28,12.84,5002440
2015-07-08,12.96,13.39,12.59,13.08,5140610
2015-07-09,12.9,13.15,12.71,12.96,2720190
2015-07-10,13.15,13.76,13.08,13.76,5603650
2015-07-13,13.76,14.38,13.64,14.2,3761920
2015-07-14,14.2,14.32,13.7,14.01,3737550
2015-07-15,14.01,14.2,13.58,13.58,8953790
2015-07-16,13.33,13.52,13.15,13.33,5208580
2015-07-17,13.39,13.7,13.33,13.45,2211460
2015-07-20,13.27,13.76,13.15,13.7,3056220
2015-07-21,13.7,14.01,13.58,13.7,4134150
2015-07-22,13.7,14.2,13.58,14.2,3956220
2015-07-23,14.26,14.5,14.07,14.07,5116250
2015-07-24,14.01,14.13,13.89,14.01,2210800
2015-07-27,13.95,14.38,13.95,14.2,2852930
2015-07-28,14.2,14.44,14.2,14.2,4370370
2015-07-29,14.2,14.32,13.89,13.89,3538220
2015-07-30,13.95,14.13,13.76,14.07,2077440
2015-07-31,14.26,14.26,13.89,13.89,2175520
2015-08-03,13.76,13.89,13.45,13.64,3681980
2015-08-04,13.64,13.76,13.45,13.45,1873320
2015-08-05,13.52,13.76,13.52,13.64,1402730
2015-08-06,13.76,13.76,13.27,13.33,1634990
2015-08-07,13.33,13.39,13.15,13.27,1793590
2015-08-10,13.27,13.58,13.27,13.52,1107160
2015-08-11,13.58,13.95,13.45,13.58,2263780
2015-08-12,13.52,13.58,13.27,13.39,1848380
2015-08-13,13.39,13.39,12.9,13.02,2008760
2015-08-14,12.96,13.08,12.65,12.78,1259280
2015-08-17,12.71,12.84,11.91,11.91,3234770
2015-08-18,11.85,12.34,11.85,12.34,2154410
2015-08-19,12.22,12.59,12.04,12.22,1156260
2015-08-20,12.16,12.28,11.91,11.91,1576460
2015-08-21,11.66,11.73,11.11,11.6,4507110
2015-08-24,11.54,11.54,10.8,10.8,4033750
2015-08-25,10.62,11.11,10.62,11.05,2225480
2015-08-26,11.05,11.54,10.99,11.54,2015290
2015-08-27,11.54,12.34,11.54,11.97,3333470
2015-08-28,12.28,12.34,12.04,12.28,2698450
2015-08-31,12.34,12.34,11.91,11.91,2893780
2015-09-01,12.04,12.04,11.73,11.79,1983550
2015-09-03,11.73,11.91,11.66,11.85,2262090
2015-09-04,11.85,12.04,11.85,11.91,1022830
2015-09-07,11.97,12.16,11.91,11.97,1195190
2015-09-08,11.97,12.65,11.91,12.59,5622950
2015-09-09,12.96,13.02,12.65,12.65,2742100
2015-09-10,12.41,12.71,12.41,12.53,1936800
2015-09-11,12.53,12.59,12.22,12.28,1932700
2015-09-14,12.53,12.84,12.34,12.34,2589220
2015-09-15,12.34,12.59,12.28,12.28,2118080
2015-09-16,12.28,12.34,12.04,12.16,1387360
2015-09-17,12.16,12.22,11.91,11.91,1488950
2015-09-18,12.28,12.41,12.16,12.34,2477510
2015-09-21,12.34,12.53,12.34,12.47,2274340
2015-09-22,12.47,12.59,12.28,12.34,1240520
2015-09-23,12.28,12.47,12.22,12.47,1477530
2015-09-24,12.53,12.78,12.53,12.59,4264220
2015-09-25,12.65,12.65,12.41,12.53,1390470
2015-09-28,12.47,12.53,12.34,12.34,1428010
2015-09-29,11.97,12.22,11.97,12.16,2922080
2015-09-30,12.22,12.28,12.1,12.1,780510
2015-10-01,12.16,12.16,12.04,12.1,626890
2015-10-02,12.16,12.16,11.97,12.1,675770
