time,open,high,low,close,volume
2015-06-26,3.8,4.0,3.8,4.0,1500
2015-06-29,3.9,3.9,3.8,3.8,2990
2015-06-30,3.9,3.9,3.6,3.8,1430
2015-07-01,3.8,3.8,3.8,3.8,0
2015-07-02,4.0,4.0,3.8,3.9,1110
2015-07-03,4.1,4.1,4.1,4.1,40
2015-07-06,3.9,3.9,3.9,3.9,370
2015-07-07,4.0,4.0,4.0,4.0,10
2015-07-08,3.9,3.9,3.9,3.9,2000
2015-07-09,4.0,4.0,3.9,3.9,310
2015-07-10,3.9,4.0,3.8,3.9,3060
2015-07-13,4.0,4.0,4.0,4.0,10
2015-07-14,4.0,4.0,4.0,4.0,0
2015-07-15,3.8,3.8,3.8,3.8,100
2015-07-16,4.0,4.0,3.8,4.0,60
2015-07-17,4.0,4.0,4.0,4.0,0
2015-07-20,4.1,4.1,3.8,3.8,40
2015-07-21,3.8,3.8,3.8,3.8,200
2015-07-22,4.0,4.0,4.0,4.0,10
2015-07-23,4.0,4.0,4.0,4.0,0
2015-07-24,4.0,4.0,4.0,4.0,0
2015-07-27,4.0,4.0,4.0,4.0,0
2015-07-28,4.0,4.0,4.0,4.0,300
2015-07-29,4.0,4.0,4.0,4.0,0
2015-07-30,4.0,4.0,4.0,4.0,0
2015-07-31,3.8,3.8,3.8,3.8,10
2015-08-03,3.6,3.6,3.6,3.6,2790
2015-08-04,3.4,3.4,3.4,3.4,200
2015-08-05,3.6,3.6,3.6,3.6,600
2015-08-06,3.4,3.4,3.4,3.4,1460
2015-08-07,3.2,3.6,3.2,3.6,40
2015-08-10,3.5,3.5,3.5,3.5,400
2015-08-11,3.4,3.7,3.4,3.7,1510
2015-08-12,3.8,3.8,3.8,3.8,10
2015-08-13,3.9,3.9,3.9,3.9,10
2015-08-14,3.7,3.7,3.7,3.7,10
2015-08-17,3.5,3.7,3.5,3.7,210
2015-08-18,3.7,3.7,3.7,3.7,0
2015-08-19,3.7,3.7,3.7,3.7,0
2015-08-20,3.7,3.7,3.7,3.7,0
2015-08-21,3.7,3.7,3.7,3.7,0
2015-08-24,3.5,3.5,3.5,3.5,10
2015-08-25,3.6,3.6,3.6,3.6,10
2015-08-26,3.6,3.6,3.6,3.6,0
2015-08-27,3.4,3.6,3.4,3.6,790
2015-08-28,3.6,3.6,3.4,3.6,310
2015-08-31,3.4,3.7,3.4,3.7,80
2015-09-01,3.7,3.7,3.7,3.7,10
2015-09-03,3.5,3.5,3.5,3.5,100
2015-09-04,3.5,3.5,3.5,3.5,1000
2015-09-07,3.6,3.6,3.6,3.6,10
2015-09-08,3.7,3.7,3.7,3.7,10
2015-09-09,3.7,3.7,3.7,3.7,0
2015-09-10,3.7,3.7,3.7,3.7,0
2015-09-11,3.7,3.7,3.7,3.7,0
2015-09-14,3.7,3.7,3.7,3.7,0
2015-09-15,3.6,3.6,3.6,3.6,10
2015-09-16,3.6,3.6,3.6,3.6,0
2015-09-17,3.6,3.6,3.6,3.6,0
2015-09-18,3.5,3.7,3.5,3.7,490
2015-09-21,3.8,3.8,3.8,3.8,10
2015-09-22,3.8,3.8,3.8,3.8,0
2015-09-23,3.6,3.6,3.6,3.6,20
2015-09-24,3.4,3.4,3.4,3.4,60
2015-09-25,3.6,3.6,3.2,3.2,1510
2015-09-28,3.1,3.4,3.1,3.4,1190
2015-09-29,3.2,3.2,3.2,3.2,5000
2015-09-30,3.2,3.2,3.2,3.2,0
2015-10-01,3.4,3.4,3.4,3.4,10
2015-10-02,3.5,3.5,3.5,3.5,10
2015-10-05,3.6,3.6,3.3,3.3,2110
2015-10-06,3.5,3.5,3.5,3.5,10
2015-10-07,3.7,3.7,3.7,3.7,10
2015-10-08,3.7,3.7,3.7,3.7,0
2015-10-09,3.7,3.7,3.7,3.7,0
2015-10-12,3.7,3.7,3.7,3.7,0
2015-10-13,3.5,3.6,3.5,3.6,1110
