time,open,high,low,close,volume
2015-06-26,4.26,4.29,4.22,4.22,8420
2015-06-29,4.33,4.33,4.33,4.33,10
2015-06-30,4.26,4.33,4.26,4.33,3870
2015-07-01,4.35,4.35,4.33,4.33,1120
2015-07-02,4.33,4.33,4.33,4.33,1270
2015-07-03,4.33,4.33,4.33,4.33,4340
2015-07-06,4.4,4.4,4.4,4.4,10
2015-07-07,4.33,4.33,4.33,4.33,1000
2015-07-08,4.33,4.33,4.33,4.33,0
2015-07-09,4.33,4.33,4.33,4.33,1110
2015-07-10,4.37,4.4,4.37,4.4,2900
2015-07-13,4.37,4.37,4.37,4.37,2000
2015-07-14,4.37,4.37,4.33,4.37,2400
2015-07-15,4.35,4.4,4.33,4.4,5010
2015-07-16,4.33,4.33,4.33,4.33,3300
2015-07-17,4.33,4.33,4.33,4.33,690
2015-07-20,4.29,4.29,4.29,4.29,3000
2015-07-21,4.51,4.51,4.51,4.51,100
2015-07-22,4.33,4.33,4.33,4.33,140
2015-07-23,4.33,4.33,4.33,4.33,0
2015-07-24,4.33,4.33,4.33,4.33,520
2015-07-27,4.4,4.4,4.4,4.4,10
2015-07-28,4.4,4.4,4.4,4.4,0
2015-07-29,4.68,4.68,4.4,4.4,2050
2015-07-30,4.4,4.46,4.4,4.46,3820
2015-07-31,4.43,4.43,4.4,4.4,1870
2015-08-03,4.4,4.4,4.4,4.4,5200
2015-08-04,4.4,4.61,4.4,4.61,3210
2015-08-05,4.4,4.4,4.4,4.4,2000
2015-08-06,4.4,4.4,4.4,4.4,3200
2015-08-07,4.4,4.4,4.4,4.4,0
2015-08-10,4.4,4.4,4.4,4.4,2880
2015-08-11,4.4,4.47,4.39,4.4,4030
2015-08-12,4.39,4.39,4.37,4.37,4510
2015-08-13,4.47,4.47,4.4,4.4,4200
2015-08-14,4.39,4.39,4.39,4.39,1410
2015-08-17,4.69,4.69,4.39,4.39,5510
2015-08-18,4.39,4.54,4.39,4.54,10380
2015-08-19,4.31,4.39,4.31,4.39,10200
2015-08-20,4.39,4.39,4.39,4.39,0
2015-08-21,4.31,4.33,4.26,4.33,6620
2015-08-24,4.26,4.33,4.03,4.03,8070
2015-08-25,4.26,4.26,4.26,4.26,10
