time,open,high,low,close,volume
2014-07-10,1.76,1.78,1.7,1.73,1210
2014-07-11,1.7,1.72,1.7,1.72,3000
2014-07-14,1.76,1.76,1.73,1.75,1100
2014-07-15,1.76,1.79,1.76,1.79,1000
2014-07-16,1.71,1.71,1.71,1.71,500
2014-07-17,1.73,1.73,1.73,1.73,100
2014-07-18,1.73,1.73,1.73,1.73,200
2014-07-21,1.73,1.74,1.73,1.73,5700
2014-07-22,1.73,1.73,1.73,1.73,2000
2014-07-23,1.73,1.81,1.7,1.81,4700
2014-07-24,1.79,1.81,1.79,1.79,2010
2014-07-25,1.76,1.79,1.68,1.79,618
2014-07-28,1.73,1.73,1.73,1.73,730
2014-07-29,1.76,1.76,1.65,1.73,800
2014-07-30,1.73,1.74,1.7,1.74,800
2014-07-31,1.88,1.88,1.74,1.74,2700
2014-08-01,1.72,1.72,1.68,1.68,2000
2014-08-04,1.7,1.74,1.7,1.74,200
2014-08-05,1.67,1.81,1.67,1.68,2200
2014-08-06,1.7,1.7,1.68,1.7,7600
2014-08-07,1.7,1.76,1.68,1.73,800
2014-08-08,1.69,1.69,1.69,1.69,2500
2014-08-11,1.72,1.72,1.69,1.71,6210
2014-08-12,1.7,1.74,1.7,1.74,1600
2014-08-13,1.7,1.73,1.68,1.73,1800
2014-08-14,1.76,1.76,1.71,1.75,2600
2014-08-15,1.76,1.76,1.71,1.74,3400
2014-08-18,1.74,1.76,1.7,1.73,5600
2014-08-19,1.75,1.76,1.71,1.74,2210
2014-08-20,1.88,1.88,1.75,1.85,17000
2014-08-21,1.88,2.0,1.83,1.87,5600
2014-08-22,1.86,1.87,1.82,1.85,5900
2014-08-25,1.85,1.91,1.85,1.9,16200
2014-08-26,1.88,1.9,1.85,1.9,10100
2014-08-27,1.86,1.94,1.86,1.91,3350
2014-08-28,1.91,2.07,1.91,2.0,7300
2014-08-29,2.06,2.06,1.94,2.04,5500
2014-09-03,2.05,2.05,1.94,2.02,6000
2014-09-04,1.97,2.02,1.97,2.02,5400
2014-09-05,2.02,2.18,1.96,2.05,6500
2014-09-08,2.07,2.07,2.0,2.05,8300
2014-09-09,2.05,2.05,1.98,2.04,11500
2014-09-10,2.02,2.02,2.02,2.02,300
2014-09-11,2.02,2.02,2.02,2.02,0
2014-09-12,1.99,2.0,1.94,1.97,4200
2014-09-15,1.98,1.98,1.98,1.98,100
2014-09-16,1.92,2.0,1.9,2.0,36700
2014-09-17,2.0,2.06,1.94,2.04,6100
2014-09-18,2.07,2.13,1.94,1.94,15500
2014-09-19,2.0,2.0,1.94,1.98,3100
2014-09-22,2.07,2.07,1.9,1.94,13800
2014-09-23,2.0,2.07,1.9,1.9,19000
2014-09-24,1.94,1.97,1.9,1.9,3400
2014-09-25,1.93,2.0,1.93,1.97,5800
2014-09-26,1.97,1.97,1.96,1.97,1500
2014-09-29,1.96,1.97,1.88,1.94,1400
2014-09-30,1.88,2.0,1.88,2.0,3000
2014-10-01,2.0,2.0,2.0,2.0,0
2014-10-02,2.0,2.0,2.0,2.0,0
2014-10-03,1.88,1.97,1.88,1.97,1100
2014-10-06,1.97,1.97,1.97,1.97,0
2014-10-07,1.91,1.96,1.9,1.96,5800
2014-10-08,1.96,1.96,1.96,1.96,0
2014-10-09,1.98,2.0,1.94,1.99,4100
2014-10-10,2.0,2.0,1.88,1.98,1496
2014-10-13,1.91,1.91,1.91,1.91,1100
2014-10-14,2.0,2.0,1.97,1.97,1200
2014-10-15,1.97,1.97,1.97,1.97,0
2014-10-16,1.94,1.94,1.91,1.91,4400
2014-10-17,1.94,1.94,1.91,1.93,2900
2014-10-20,1.94,2.0,1.94,1.97,5100
2014-10-21,1.91,1.97,1.91,1.97,200
2014-10-22,2.02,2.16,1.97,2.0,1400
2014-10-23,1.94,1.97,1.94,1.97,1183
2014-10-24,1.94,1.97,1.94,1.97,1100
2014-10-27,1.97,1.97,1.88,1.97,1617
2014-10-28,1.94,2.0,1.89,1.96,3200
2014-10-29,1.96,2.15,1.96,2.15,28400
2014-10-30,2.14,2.15,2.13,2.13,5700
2014-10-31,2.19,2.19,2.13,2.14,3200
2014-11-03,2.07,2.13,2.07,2.12,3400
2014-11-04,2.12,2.12,2.07,2.08,5400
2014-11-05,2.02,2.13,2.0,2.07,7700
2014-11-06,2.0,2.07,2.0,2.0,800
2014-11-07,2.1,2.1,2.0,2.05,5300
2014-11-10,2.05,2.05,2.0,2.03,11002
2014-11-11,1.98,2.01,1.98,2.01,3300
2014-11-12,2.0,2.02,2.0,2.02,2400
2014-11-13,2.02,2.08,2.02,2.08,3000
2014-11-14,2.04,2.07,1.97,2.07,5000
2014-11-17,2.18,2.18,1.97,2.0,8200
2014-11-18,2.02,2.09,1.98,2.04,8200
2014-11-19,2.0,2.04,2.0,2.04,6300
2014-11-20,2.07,2.07,1.99,2.06,13900
2014-11-21,2.1,2.1,2.0,2.03,600
2014-11-24,2.0,2.05,1.99,2.05,15700
2014-11-25,2.04,2.04,2.0,2.0,1800
2014-11-26,2.02,2.04,2.01,2.04,4420
2014-11-27,2.04,2.08,2.0,2.08,4700
2014-11-28,2.13,2.25,2.11,2.11,6300
2014-12-01,2.13,2.18,2.13,2.13,10510
2014-12-02,2.22,2.25,2.14,2.15,7000
2014-12-03,2.14,2.14,2.13,2.13,11200
2014-12-04,2.04,2.16,2.04,2.13,3200
2014-12-05,2.16,2.16,2.13,2.16,500
2014-12-08,2.16,2.16,2.13,2.13,1220
2014-12-09,2.12,2.14,2.04,2.04,6600
2014-12-10,2.07,2.11,2.05,2.11,3200
2014-12-11,2.11,2.17,2.11,2.17,9300
2014-12-12,2.17,2.17,2.15,2.17,4900
2014-12-15,2.13,2.17,2.13,2.17,600
2014-12-16,2.13,2.17,2.13,2.13,5672
2014-12-17,2.16,2.26,2.08,2.15,13900
2014-12-18,2.15,2.15,2.06,2.14,700
2014-12-19,2.1,2.1,2.06,2.06,2000
2014-12-22,2.15,2.19,2.01,2.06,6800
2014-12-23,2.11,2.11,2.11,2.11,800
2014-12-24,2.11,2.13,2.11,2.13,200
2014-12-25,2.13,2.13,2.13,2.13,27
2014-12-26,2.13,2.13,2.13,2.13,0
2014-12-29,2.13,2.13,2.13,2.13,200
2014-12-30,2.03,2.14,2.0,2.14,700
2014-12-31,2.29,2.29,2.29,2.29,100
2015-01-05,2.08,2.12,2.06,2.12,1100
2015-01-06,2.03,2.15,2.02,2.15,400
2015-01-07,2.15,2.15,2.15,2.15,0
2015-01-08,2.13,2.13,2.13,2.13,100
2015-01-09,2.06,2.13,2.06,2.13,1100
2015-01-12,2.1,2.13,2.1,2.13,600
2015-01-13,2.13,2.13,2.13,2.13,100
2015-01-14,2.13,2.13,2.13,2.13,0
2015-01-15,2.1,2.1,2.1,2.1,100
2015-01-16,2.1,2.12,2.07,2.12,1500
2015-01-19,2.12,2.12,2.12,2.12,0
2015-01-20,2.13,2.16,2.13,2.13,7700
2015-01-21,2.13,2.13,2.13,2.13,0
2015-01-22,2.08,2.26,2.08,2.13,900
2015-01-23,2.11,2.11,2.11,2.11,1710
2015-01-26,2.06,2.11,2.06,2.11,6300
2015-01-27,2.11,2.12,2.09,2.12,4800
2015-01-28,2.11,2.11,2.06,2.11,8600
2015-01-29,2.11,2.11,2.06,2.08,7000
2015-01-30,2.13,2.19,2.12,2.19,1300
2015-02-02,2.07,2.07,2.04,2.04,4600
2015-02-03,2.04,2.1,2.04,2.1,1500
2015-02-04,2.1,2.1,2.1,2.1,800
2015-02-05,2.1,2.1,2.0,2.08,6100
2015-02-06,2.04,2.06,1.97,2.06,7900
2015-02-09,2.06,2.06,2.04,2.04,3000
2015-02-10,2.05,2.08,2.04,2.08,1156
2015-02-11,2.06,2.08,2.06,2.08,8100
2015-02-12,2.06,2.1,2.06,2.1,2700
2015-02-13,2.06,2.08,2.06,2.08,2400
2015-02-24,2.07,2.09,2.06,2.09,17100
2015-02-25,2.1,2.13,2.06,2.13,1300
2015-02-26,2.1,2.1,2.07,2.1,4900
2015-02-27,2.06,2.08,2.06,2.08,21900
2015-03-02,2.05,2.08,2.04,2.08,13500
2015-03-03,2.08,2.11,2.08,2.11,4900
2015-03-04,2.1,2.1,2.1,2.1,1000
2015-03-05,2.08,2.1,2.08,2.1,1600
2015-03-06,2.1,2.1,2.1,2.1,500
2015-03-09,2.06,2.06,2.06,2.06,1000
2015-03-10,2.06,2.1,2.06,2.1,4500
2015-03-11,2.09,2.09,2.09,2.09,300
2015-03-12,2.09,2.09,2.09,2.09,1300
2015-03-13,2.07,2.09,2.07,2.08,8900
2015-03-16,2.09,2.09,2.09,2.09,1500
2015-03-17,2.1,2.15,2.07,2.07,2900
2015-03-18,2.07,2.1,2.07,2.1,700
2015-03-19,2.1,2.1,2.08,2.08,300
2015-03-20,2.11,2.11,2.11,2.11,100
2015-03-23,2.0,2.1,2.0,2.1,200
2015-03-24,2.1,2.12,2.1,2.12,600
2015-03-25,2.06,2.1,2.06,2.1,1700
2015-03-26,2.1,2.1,2.1,2.1,6500
2015-03-27,2.1,2.1,2.1,2.1,0
