time,open,high,low,close,volume
2015-06-26,5.09,5.17,5.05,5.05,805260
2015-06-29,5.05,5.13,5.01,5.13,578870
2015-06-30,5.05,5.17,5.01,5.01,1624500
2015-07-01,4.96,5.05,4.88,4.96,920720
2015-07-02,4.96,5.09,4.96,5.05,412170
2015-07-03,5.13,5.13,5.01,5.05,885160
2015-07-06,5.09,5.26,5.01,5.21,1914770
2015-07-07,5.21,5.3,5.13,5.17,1279680
2015-07-08,5.17,5.21,5.05,5.09,953660
2015-07-09,5.05,5.17,5.01,5.17,1314540
2015-07-10,5.17,5.26,5.13,5.17,1569300
2015-07-13,5.21,5.38,5.17,5.34,2067280
2015-07-14,5.34,5.55,5.34,5.42,1994050
2015-07-15,5.46,5.46,5.26,5.26,1154290
2015-07-16,5.17,5.3,5.17,5.17,901940
2015-07-17,5.17,5.26,5.17,5.17,807790
2015-07-20,5.13,5.13,5.01,5.13,742810
2015-07-21,5.13,5.17,5.01,5.05,456310
2015-07-22,5.01,5.21,5.01,5.21,777320
2015-07-23,5.21,5.26,5.05,5.09,650280
2015-07-24,5.05,5.13,5.05,5.09,652870
2015-07-27,5.09,5.13,5.01,5.01,1279480
2015-07-28,5.05,5.21,5.05,5.13,991410
2015-07-29,5.17,5.17,5.09,5.09,555830
2015-07-30,5.13,5.13,5.05,5.09,359880
2015-07-31,5.09,5.13,5.01,5.01,447160
2015-08-03,4.96,4.96,4.84,4.88,640660
2015-08-04,4.88,4.96,4.84,4.88,525990
2015-08-05,4.88,5.09,4.88,5.09,539350
2015-08-06,5.09,5.09,4.96,5.01,446400
2015-08-07,5.01,5.01,4.96,5.01,172590
2015-08-10,4.96,5.01,4.96,5.01,245890
2015-08-11,5.01,5.05,4.92,4.92,389570
2015-08-12,4.92,4.96,4.88,4.88,613250
2015-08-13,4.92,4.96,4.8,4.84,636070
2015-08-14,4.8,4.88,4.71,4.84,515860
2015-08-17,4.88,4.88,4.67,4.67,410530
