time,open,high,low,close,volume
2013-03-21,5.64,5.64,5.15,5.15,4000
2013-03-22,5.41,5.41,5.41,5.41,0
2013-03-25,5.41,5.41,5.41,5.41,0
2013-03-26,5.54,5.54,5.54,5.54,100
2013-03-27,5.54,5.54,5.54,5.54,0
2013-03-28,5.54,5.54,5.54,5.54,0
2013-03-29,5.15,5.15,5.15,5.15,2500
2013-04-01,5.15,5.15,5.15,5.15,0
2013-04-02,5.15,5.15,5.15,5.15,0
2013-04-03,5.67,5.67,5.67,5.67,100
2013-04-04,5.67,5.67,5.67,5.67,0
2013-04-05,5.67,5.67,5.67,5.67,0
2013-04-08,5.35,5.67,5.35,5.67,4100
2013-04-09,5.8,5.93,5.8,5.93,2000
2013-04-10,5.93,5.93,5.93,5.93,0
2013-04-11,5.6,5.67,5.6,5.67,10000
2013-04-12,5.67,5.67,5.67,5.67,0
2013-04-15,5.67,5.67,5.67,5.67,0
2013-04-16,5.67,5.67,5.67,5.67,0
2013-04-17,5.67,5.67,5.67,5.67,0
2013-04-18,5.15,5.15,5.15,5.15,100
2013-04-22,5.15,5.15,5.15,5.15,0
2013-04-23,5.15,5.15,5.15,5.15,0
2013-04-24,5.15,5.15,5.15,5.15,0
2013-04-25,5.15,5.15,5.15,5.15,0
2013-04-26,5.15,5.15,5.15,5.15,0
2013-05-02,5.15,5.15,5.15,5.15,0
2013-05-03,5.15,5.15,5.15,5.15,0
2013-05-06,5.15,5.15,5.15,5.15,0
2013-05-07,5.15,5.15,5.15,5.15,0
2013-05-08,6.04,6.04,6.04,6.04,0
2013-05-09,6.04,6.04,6.04,6.04,0
2013-05-10,6.04,6.04,6.04,6.04,0
2013-05-13,6.04,6.04,6.04,6.04,0
2013-05-14,5.89,5.89,5.89,5.89,400
2013-05-15,5.89,5.89,5.89,5.89,0
2013-05-16,5.89,5.89,5.89,5.89,0
2013-05-17,5.59,5.59,5.59,5.59,800
2013-05-20,5.59,5.59,5.59,5.59,0
2013-05-21,5.59,5.59,5.59,5.59,0
2013-05-22,5.59,5.59,5.59,5.59,0
2013-05-23,5.59,5.59,5.59,5.59,0
2013-05-24,5.29,5.29,5.29,5.59,1000
2013-05-27,5.29,5.29,5.29,5.29,0
2013-05-28,5.81,5.81,5.81,5.81,100
2013-05-29,6.27,6.27,6.27,6.27,100
2013-05-30,6.27,6.27,6.27,6.27,0
2013-05-31,6.27,6.27,6.27,6.27,0
2013-06-03,6.27,6.27,6.27,6.27,0
2013-06-04,6.27,6.27,6.27,6.27,0
2013-06-05,6.04,6.04,6.04,6.04,1000
2013-06-06,6.64,6.64,6.64,6.64,100
2013-06-07,6.64,6.64,6.64,6.64,0
2013-06-10,6.64,6.64,6.64,6.64,0
2013-06-11,6.64,6.64,6.64,6.64,0
2013-06-12,6.64,6.64,6.64,6.64,0
2013-06-13,6.64,6.64,6.64,6.64,0
2013-06-14,6.64,6.64,6.64,6.64,0
2013-06-17,6.04,6.04,6.04,6.04,300
2013-06-18,6.04,6.04,6.04,6.04,0
2013-06-19,6.04,6.04,6.04,6.04,0
2013-06-20,6.04,6.04,6.04,6.04,0
2013-06-21,6.04,6.04,6.04,6.04,0
2013-06-24,6.04,6.04,6.04,6.04,0
2013-06-25,6.04,6.04,6.04,6.04,0
2013-06-26,6.04,6.04,6.04,6.04,0
2013-06-27,6.04,6.04,6.04,6.04,0
2013-06-28,5.51,5.51,5.44,5.44,3000
2013-07-01,5.44,5.44,5.44,5.44,0
2013-07-02,5.59,5.59,5.13,5.13,1800
2013-07-03,5.13,5.13,5.13,5.13,0
2013-07-04,5.13,5.13,5.13,5.13,0
2013-07-05,5.13,5.13,5.13,5.13,0
2013-07-08,5.13,5.13,5.13,5.13,0
2013-07-09,5.13,5.13,5.13,5.13,0
2013-07-10,5.13,5.13,5.13,5.13,0
2013-07-11,5.13,5.13,5.13,5.13,0
2013-07-12,5.13,5.13,5.13,5.13,0
2013-07-15,5.13,5.13,5.13,5.13,0
2013-07-16,4.76,4.76,4.76,4.76,1000
2013-07-17,4.76,4.76,4.76,4.76,0
2013-07-18,4.76,4.76,4.76,4.76,0
2013-07-19,4.76,4.76,4.76,4.76,500
2013-07-22,4.76,4.76,4.76,4.76,0
2013-07-23,4.76,4.76,4.76,4.76,0
2013-07-24,5.21,5.21,5.21,5.21,100
2013-07-25,4.83,4.83,4.83,4.83,100
2013-07-26,4.83,4.83,4.83,4.83,0
2013-07-29,4.83,4.83,4.83,4.83,0
2013-07-30,4.83,4.83,4.83,4.83,0
2013-07-31,4.83,4.83,4.83,4.83,0
2013-08-01,4.83,4.83,4.83,4.83,0
2013-08-02,4.83,4.83,4.83,4.83,0
2013-08-05,4.83,4.83,4.83,4.83,0
2013-08-06,4.83,4.83,4.83,4.83,0
2013-08-07,4.83,4.83,4.83,4.83,0
2013-08-08,4.83,4.83,4.83,4.83,0
2013-08-09,4.83,4.83,4.83,4.83,0
2013-08-12,4.83,4.83,4.83,4.83,0
2013-08-13,4.83,4.83,4.83,4.83,0
2013-08-14,4.83,4.83,4.83,4.83,0
2013-08-15,4.83,4.83,4.83,4.83,0
2013-08-16,4.91,4.91,4.91,4.91,200
2013-08-19,5.36,5.36,5.36,5.36,100
2013-08-20,4.91,4.91,4.91,4.91,600
2013-08-21,4.91,4.91,4.91,4.91,0
2013-08-22,4.91,4.91,4.91,4.91,0
2013-08-23,4.91,4.91,4.91,4.91,700
2013-08-26,4.91,4.91,4.91,4.91,0
2013-08-27,4.91,4.91,4.91,4.91,0
2013-08-28,4.91,4.91,4.91,4.91,0
2013-08-29,4.91,4.91,4.91,4.91,0
2013-08-30,4.91,4.91,4.91,4.91,0
2013-09-03,4.91,4.91,4.91,4.91,0
2013-09-04,4.91,4.91,4.91,4.91,0
2013-09-05,4.91,4.91,4.91,4.91,0
2013-09-06,4.91,4.91,4.91,4.91,0
2013-09-09,4.91,4.91,4.91,4.91,0
2013-09-10,4.91,4.91,4.91,4.91,0
2013-09-11,4.91,4.91,4.91,4.91,0
2013-09-12,4.91,4.91,4.91,4.91,0
2013-09-13,4.91,4.91,4.91,4.91,0
2013-09-16,4.91,4.91,4.91,4.91,0
2013-09-17,4.91,4.91,4.91,4.91,0
2013-09-18,5.21,5.21,5.21,5.21,100
2013-09-19,5.21,5.21,5.21,5.21,0
2013-09-20,5.21,5.21,5.21,5.21,0
2013-09-23,5.21,5.21,5.21,5.21,0
2013-09-24,5.21,5.21,5.21,5.21,0
2013-09-25,5.21,5.21,5.21,5.21,0
2013-09-26,5.21,5.21,5.21,5.21,0
2013-09-27,5.21,5.21,5.21,5.21,0
2013-09-30,5.21,5.21,5.21,5.21,0
2013-10-01,5.21,5.21,5.21,5.21,0
2013-10-02,5.21,5.21,5.21,5.21,0
2013-10-03,5.21,5.21,5.21,5.21,0
2013-10-04,5.21,5.21,5.21,5.21,0
2013-10-07,5.21,5.21,5.21,5.21,0
2013-10-08,5.21,5.21,5.21,5.21,0
2013-10-09,5.66,5.66,5.66,5.66,100
2013-10-10,5.66,5.66,5.66,5.66,0
2013-10-11,5.66,5.66,5.66,5.66,0
2013-10-14,5.66,5.66,5.66,5.66,0
2013-10-15,5.66,5.66,5.66,5.66,0
2013-10-16,5.66,5.66,5.66,5.66,0
2013-10-17,5.66,5.66,5.66,5.66,0
2013-10-18,5.66,5.66,5.66,5.66,0
2013-10-21,5.66,5.66,5.66,5.66,0
2013-10-22,5.66,5.66,5.66,5.66,0
2013-10-23,5.66,5.66,5.66,5.66,0
2013-10-24,5.66,5.66,5.66,5.66,0
2013-10-25,5.13,5.13,5.13,5.13,100
2013-10-28,4.68,4.68,4.68,4.68,1800
2013-10-29,4.68,4.68,4.68,4.68,1000
2013-10-30,4.68,4.68,4.68,4.68,0
2013-10-31,4.68,4.68,4.68,4.68,0
2013-11-01,4.68,4.68,4.68,4.68,0
2013-11-04,4.68,4.68,4.68,4.68,90
2013-11-05,4.83,4.83,4.83,4.83,100
2013-11-06,4.91,4.91,4.91,4.91,600
2013-11-07,4.91,4.91,4.91,4.91,0
2013-11-08,4.91,4.91,4.91,4.91,0
2013-11-11,4.91,4.91,4.91,4.91,0
2013-11-12,4.91,4.91,4.91,4.91,100
2013-11-13,4.91,4.91,4.91,4.91,2000
2013-11-14,4.91,4.91,4.91,4.91,10
2013-11-15,4.91,4.91,4.91,4.91,0
2013-11-18,4.53,4.53,4.53,4.53,900
2013-11-19,4.53,4.53,4.53,4.53,3600
2013-11-20,4.53,4.53,4.53,4.53,0
2013-11-21,4.53,4.53,4.53,4.53,0
2013-11-22,4.53,4.53,4.53,4.53,0
2013-11-25,4.98,4.98,4.98,4.98,1000
2013-11-26,4.98,4.98,4.98,4.98,0
2013-11-27,4.98,4.98,4.98,4.98,0
2013-11-28,4.98,4.98,4.98,4.98,0
2013-11-29,4.98,4.98,4.98,4.98,0
2013-12-02,4.98,4.98,4.98,4.98,0
2013-12-03,4.98,4.98,4.98,4.98,0
2013-12-04,4.98,4.98,4.98,4.98,0
2013-12-05,4.98,4.98,4.98,4.98,0
2013-12-06,4.98,4.98,4.98,4.98,0
2013-12-09,4.53,4.53,4.53,4.53,100
2013-12-10,4.91,4.91,4.91,4.91,800
2013-12-11,4.91,4.91,4.91,4.91,0
2013-12-12,4.91,4.91,4.91,4.91,0
2013-12-13,4.91,4.91,4.91,4.91,0
2013-12-16,4.91,4.91,4.91,4.91,0
2013-12-17,4.91,4.91,4.91,4.91,0
2013-12-18,4.91,4.91,4.91,4.91,0
2013-12-19,4.91,4.91,4.91,4.91,0
2013-12-20,4.53,4.53,4.53,4.53,300
2013-12-23,4.53,4.53,4.53,4.53,0
2013-12-24,4.53,4.53,4.53,4.53,0
2013-12-25,4.91,4.91,4.91,4.91,100
2013-12-26,5.36,5.36,5.36,5.36,100
2013-12-27,5.89,5.89,5.89,5.89,100
2013-12-30,5.89,5.89,5.89,5.89,0
2013-12-31,6.42,6.42,6.42,6.42,100
2014-01-02,6.42,6.42,6.42,6.42,0
2014-01-03,6.42,6.42,6.42,6.42,0
2014-01-06,6.42,6.42,6.42,6.42,0
2014-01-07,6.42,6.42,6.42,6.42,0
2014-01-08,6.42,6.42,6.42,6.42,0
2014-01-09,6.42,6.42,6.42,6.42,0
2014-01-10,6.42,6.42,6.42,6.42,0
2014-01-13,5.81,5.81,5.81,5.81,100
2014-01-14,5.81,5.81,5.81,5.81,0
2014-01-15,5.81,5.81,5.81,5.81,0
2014-01-16,5.81,5.81,5.81,5.81,0
2014-01-17,5.29,5.29,5.29,5.29,300
2014-01-20,4.76,4.76,4.76,4.76,400
2014-01-21,5.06,5.06,5.06,5.06,200
2014-01-22,4.61,4.61,4.61,4.61,100
2014-01-23,4.61,4.61,4.61,4.61,0
2014-01-24,4.61,4.61,4.61,4.61,0
2014-01-27,4.3,4.3,4.23,4.23,1400
2014-02-06,4.23,4.23,4.23,4.23,0
2014-02-07,4.53,4.61,4.53,4.61,700
2014-02-10,4.23,4.23,4.23,4.23,100
2014-02-11,4.0,4.0,4.0,4.0,100
2014-02-12,3.85,3.85,3.85,3.85,100
2014-02-13,3.85,3.85,3.85,3.85,0
2014-02-14,4.23,4.23,4.23,4.23,100
2014-02-17,4.53,4.53,4.53,4.53,100
2014-02-18,4.53,4.53,4.53,4.53,0
2014-02-19,4.91,4.91,4.91,4.91,1100
2014-02-20,5.29,5.29,5.29,5.29,200
2014-02-21,5.44,5.81,5.44,5.81,2100
2014-02-24,5.81,5.81,5.81,5.81,0
2014-02-25,5.29,5.29,5.29,5.29,100
2014-02-26,4.83,4.83,4.83,4.83,100
2014-02-27,4.83,4.83,4.83,4.83,0
2014-02-28,5.13,5.29,4.68,4.68,600
2014-03-03,4.76,4.76,4.76,4.76,0
2014-03-04,4.76,4.76,4.76,4.76,0
2014-03-05,4.76,4.76,4.76,4.76,0
2014-03-06,4.22,4.22,4.22,4.22,100
2014-03-07,4.22,4.22,4.22,4.22,0
2014-03-10,4.22,4.22,4.22,4.22,0
2014-03-11,4.6,4.6,4.6,4.6,100
2014-03-12,5.06,5.06,5.06,5.06,100
2014-03-13,5.06,5.06,5.06,5.06,0
2014-03-14,5.53,5.53,5.53,5.53,100
2014-03-17,5.53,5.99,5.53,5.99,1200
2014-03-18,5.99,5.99,5.99,5.99,200
2014-03-19,6.14,6.37,6.14,6.37,2400
2014-03-20,6.52,6.98,6.52,6.98,600
2014-03-21,7.06,7.06,7.06,7.06,200
2014-03-24,7.06,7.06,7.06,7.06,300
2014-03-25,7.14,7.14,7.06,7.06,1300
2014-03-26,6.98,6.98,6.45,6.45,300
2014-03-27,6.29,6.29,6.29,6.29,200
2014-03-28,5.99,5.99,5.99,5.99,1900
2014-03-31,5.99,5.99,5.99,5.99,0
2014-04-01,5.99,5.99,5.99,5.99,0
2014-04-02,6.06,6.06,6.06,6.06,1000
2014-04-03,6.06,6.06,6.06,6.06,0
2014-04-04,6.06,6.06,6.06,6.06,0
2014-04-07,6.06,6.06,6.06,6.06,0
2014-04-08,6.06,6.06,6.06,6.06,0
2014-04-10,6.06,6.06,6.06,6.06,0
2014-04-11,6.06,6.06,6.06,6.06,0
2014-04-14,6.06,6.06,6.06,6.06,0
2014-04-15,6.06,6.06,6.06,6.06,0
2014-04-16,6.06,6.06,6.06,6.06,0
2014-04-17,6.06,6.06,6.06,6.06,0
2014-04-18,6.06,6.06,6.06,6.06,0
2014-04-21,6.06,6.06,6.06,6.06,0
2014-04-22,6.06,6.6,6.06,6.6,25000
2014-04-23,6.14,6.14,6.14,6.14,200
2014-04-24,6.14,6.14,6.14,6.14,0
2014-04-25,6.14,6.14,6.14,6.14,0
2014-04-28,6.22,6.22,5.53,5.53,4300
2014-04-29,6.06,6.06,5.53,5.53,4000
2014-05-05,6.06,6.06,6.06,6.06,8300
2014-05-06,6.06,6.06,6.06,6.06,0
2014-05-07,6.06,6.6,5.53,6.6,7000
2014-05-08,6.6,6.6,6.6,6.6,0
2014-05-09,6.6,6.6,6.6,6.6,0
2014-05-12,6.6,6.6,6.6,6.6,0
2014-05-13,6.6,6.6,6.6,6.6,0
2014-05-14,6.6,6.6,6.6,6.6,0
2014-05-15,7.21,7.21,7.21,7.21,100
2014-05-16,7.21,7.21,7.21,7.21,0
2014-05-19,7.21,7.21,7.21,7.21,0
2014-05-20,7.21,7.21,7.21,7.21,0
2014-05-21,7.21,7.21,7.21,7.21,0
2014-05-22,7.21,7.21,7.21,7.21,0
2014-05-23,6.52,6.52,6.52,6.52,5000
2014-05-26,6.14,6.14,5.91,5.91,5100
2014-05-27,6.22,6.22,6.22,6.22,100
2014-05-28,5.83,5.91,5.83,5.91,200
2014-05-29,5.76,5.91,5.76,5.83,700
