time,open,high,low,close,volume
2015-06-26,22.58,23.13,22.58,22.69,19400
2015-06-29,22.69,23.08,22.69,23.08,18960
2015-06-30,23.08,23.41,22.85,22.85,4870
2015-07-01,22.91,22.97,22.58,22.8,4100
2015-07-02,23.02,23.13,22.74,22.91,10580
2015-07-03,22.85,22.85,22.52,22.85,9010
2015-07-06,22.47,22.85,22.47,22.58,14760
2015-07-07,22.58,23.08,22.58,22.91,14840
2015-07-08,23.13,23.13,23.02,23.08,4000
2015-07-09,22.8,23.02,22.58,22.91,7270
2015-07-10,23.68,23.68,23.13,23.13,6330
2015-07-13,22.85,23.08,22.85,22.91,6890
2015-07-14,22.97,22.97,22.69,22.91,3340
2015-07-15,22.85,22.85,22.69,22.69,4760
2015-07-16,22.47,22.8,22.36,22.69,3350
2015-07-17,22.69,22.69,22.41,22.69,4830
2015-07-20,22.69,22.69,21.97,22.47,9510
2015-07-21,22.58,22.58,22.14,22.58,140
2015-07-22,23.08,23.08,22.52,22.58,1610
2015-07-23,22.58,22.8,22.36,22.58,13970
2015-07-24,22.74,23.41,22.69,23.24,51630
2015-07-27,23.52,24.18,23.52,23.9,57280
2015-07-28,23.68,23.96,23.41,23.68,18770
2015-07-29,22.8,23.57,22.58,23.13,7150
2015-07-30,22.63,23.13,22.58,23.02,3400
2015-07-31,22.41,23.08,22.41,22.52,12340
2015-08-03,22.58,22.58,22.3,22.52,5610
2015-08-04,22.36,22.85,22.36,22.85,1900
2015-08-05,22.47,22.47,22.47,22.47,500
2015-08-06,22.69,22.8,22.3,22.69,3420
2015-08-07,22.58,22.74,22.36,22.74,9900
2015-08-10,22.74,22.8,22.74,22.8,2860
2015-08-11,22.47,22.74,22.47,22.47,15440
2015-08-12,22.47,22.58,22.3,22.47,13700
2015-08-13,22.47,22.47,21.48,22.41,19050
2015-08-14,22.41,22.41,22.03,22.3,220
2015-08-17,22.36,22.36,22.36,22.36,120
2015-08-18,22.3,22.3,22.3,22.3,260
2015-08-19,22.03,22.3,21.75,22.3,3430
2015-08-20,22.03,22.03,21.53,22.03,2170
2015-08-21,21.48,22.03,21.42,21.75,33310
2015-08-24,21.2,21.48,20.43,20.43,12130
2015-08-25,19.83,21.7,19.83,21.7,3240
2015-08-26,21.7,21.7,21.48,21.7,30280
2015-08-27,22.03,22.03,21.48,21.7,3270
2015-08-28,21.81,21.81,21.59,21.59,5520
2015-08-31,22.52,22.52,21.48,21.48,4540
2015-09-01,21.53,21.75,21.48,21.75,7750
2015-09-03,22.47,22.47,21.92,21.92,60
2015-09-04,21.53,21.92,21.53,21.92,60
2015-09-07,21.86,21.92,21.81,21.92,1650
2015-09-08,22.3,22.3,21.75,21.75,2450
2015-09-09,22.32,22.49,21.98,22.26,7030
2015-09-10,22.04,22.04,21.98,21.98,560
2015-09-11,22.04,22.26,21.75,21.75,2470
2015-09-14,22.04,22.04,21.47,21.47,2990
2015-09-15,22.04,22.04,21.47,21.87,5520
2015-09-16,21.75,22.15,21.47,21.47,7450
2015-09-17,21.75,21.75,21.75,21.75,10
2015-09-18,21.98,21.98,21.75,21.75,750
2015-09-21,21.75,21.75,21.53,21.53,5370
2015-09-22,21.53,21.75,21.47,21.75,2640
2015-09-23,21.75,21.75,21.75,21.75,14970
2015-09-24,21.75,21.75,21.75,21.75,0
2015-09-25,21.98,21.98,21.75,21.81,8820
2015-09-28,21.75,21.98,21.75,21.98,25840
2015-09-29,21.81,22.04,21.75,21.98,15390
2015-09-30,21.98,23.5,21.98,23.5,102490
2015-10-01,24.3,24.75,23.5,23.67,62270
2015-10-02,24.01,24.01,23.67,23.67,15630
