time,open,high,low,close,volume
2015-06-26,3.1,3.1,3.1,3.1,0
2015-06-29,3.1,3.1,3.1,3.1,0
2015-06-30,3.1,3.1,3.1,3.1,0
2015-07-01,3.1,3.1,3.1,3.1,0
2015-07-02,3.1,3.1,3.1,3.1,0
2015-07-03,3.1,3.1,3.1,3.1,0
2015-07-06,3.1,3.1,3.1,3.1,0
2015-07-07,3.1,3.1,3.1,3.1,0
2015-07-08,3.1,3.1,3.1,3.1,0
2015-07-09,3.1,3.1,3.1,3.1,0
2015-07-10,3.1,3.1,3.1,3.1,0
2015-07-13,3.1,3.1,3.1,3.1,0
2015-07-14,3.1,3.1,3.1,3.1,0
2015-07-15,3.1,3.1,3.1,3.1,0
2015-07-16,3.1,3.1,3.1,3.1,0
2015-07-17,2.8,2.8,2.8,2.8,100
2015-07-20,2.8,2.8,2.8,2.8,0
2015-07-21,2.8,2.8,2.8,2.8,0
2015-07-22,2.8,2.8,2.8,2.8,0
2015-07-23,2.8,2.8,2.8,2.8,0
2015-07-24,2.8,2.8,2.8,2.8,0
2015-07-27,2.8,2.8,2.8,2.8,0
2015-07-28,2.8,2.8,2.8,2.8,0
2015-07-29,2.8,2.8,2.8,2.8,0
2015-07-30,2.8,2.8,2.8,2.8,0
2015-07-31,2.8,2.8,2.8,2.8,0
2015-08-03,2.8,2.8,2.8,2.8,0
2015-08-04,2.8,2.8,2.8,2.8,0
2015-08-05,2.8,2.8,2.8,2.8,0
2015-08-06,2.8,2.8,2.8,2.8,0
2015-08-07,2.8,2.8,2.8,2.8,0
2015-08-10,2.8,2.8,2.8,2.8,0
2015-08-11,2.8,2.8,2.8,2.8,0
2015-08-12,2.8,2.8,2.8,2.8,0
2015-08-13,2.8,2.8,2.8,2.8,0
2015-08-14,2.8,2.8,2.8,2.8,0
2015-08-17,2.54,2.54,2.54,2.54,600
2015-08-18,2.29,2.29,2.29,2.29,1000
2015-08-19,2.29,2.29,2.29,2.29,0
2015-08-20,2.29,2.29,2.29,2.29,0
2015-08-21,2.29,2.29,2.29,2.29,0
2015-08-24,2.29,2.29,2.29,2.29,0
2015-08-25,2.29,2.29,2.29,2.29,0
2015-08-26,2.29,2.29,2.29,2.29,0
2015-08-27,2.29,2.29,2.29,2.29,0
2015-08-28,2.29,2.29,2.29,2.29,0
2015-08-31,2.29,2.29,2.29,2.29,0
2015-09-01,2.29,2.29,2.29,2.29,0
2015-09-03,2.29,2.29,2.29,2.29,0
2015-09-04,2.29,2.29,2.29,2.29,0
2015-09-07,2.29,2.29,2.29,2.29,0
2015-09-08,2.29,2.29,2.29,2.29,0
2015-09-09,2.29,2.29,2.29,2.29,0
2015-09-10,2.29,2.29,2.29,2.29,0
2015-09-11,2.29,2.29,2.29,2.29,0
2015-09-14,2.29,2.29,2.29,2.29,0
2015-09-15,2.29,2.29,2.29,2.29,0
2015-09-16,2.29,2.29,2.29,2.29,0
2015-09-17,2.29,2.29,2.29,2.29,0
2015-09-18,2.52,2.52,2.52,2.52,2000
2015-09-21,2.52,2.52,2.52,2.52,0
2015-09-22,2.52,2.52,2.52,2.52,0
2015-09-23,2.52,2.52,2.52,2.52,0
2015-09-24,2.52,2.52,2.52,2.52,0
2015-09-25,2.52,2.52,2.52,2.52,0
2015-09-28,2.52,2.52,2.52,2.52,0
2015-09-29,2.52,2.52,2.52,2.52,0
2015-09-30,2.52,2.52,2.52,2.52,0
2015-10-01,2.52,2.52,2.52,2.52,0
2015-10-02,2.52,2.52,2.52,2.52,0
2015-10-05,2.52,2.52,2.52,2.52,0
2015-10-06,2.52,2.52,2.52,2.52,0
2015-10-07,2.52,2.52,2.52,2.52,0
2015-10-08,2.52,2.52,2.52,2.52,0
2015-10-09,2.52,2.52,2.52,2.52,0
2015-10-12,2.52,2.52,2.52,2.52,0
2015-10-13,2.52,2.52,2.52,2.52,0
2015-10-14,2.52,2.52,2.52,2.52,0
2015-10-15,2.52,2.52,2.52,2.52,0
2015-10-16,2.52,2.52,2.52,2.52,0
2015-10-19,2.52,2.52,2.52,2.52,0
2015-10-20,2.52,2.52,2.52,2.52,0
2015-10-21,2.52,2.52,2.52,2.52,0
2015-10-22,2.77,2.77,2.77,2.77,600
2015-10-23,2.77,2.77,2.77,2.77,0
2015-10-26,2.77,2.77,2.77,2.77,0
2015-10-27,2.77,2.77,2.77,2.77,0
2015-10-28,2.77,2.77,2.77,2.77,0
2015-10-29,2.77,2.77,2.77,2.77,0
