time,open,high,low,close,volume
2015-06-26,21.27,21.27,20.85,20.85,12900
2015-06-29,20.76,21.27,20.76,21.27,37960
2015-06-30,21.27,22.32,20.98,22.32,96400
2015-07-01,22.32,22.53,21.9,22.11,46500
2015-07-02,22.11,22.32,21.9,22.32,14750
2015-07-03,21.69,22.32,21.69,22.32,14190
2015-07-06,22.32,22.32,21.69,22.11,23810
2015-07-07,22.11,22.32,21.9,22.32,24110
2015-07-08,22.32,22.32,21.69,21.9,28650
2015-07-09,21.69,21.9,21.48,21.9,16540
2015-07-10,21.9,21.9,21.48,21.9,51330
2015-07-13,21.69,22.11,21.69,22.11,8020
2015-07-14,22.11,22.11,21.9,22.11,8660
2015-07-15,22.11,22.11,21.48,21.48,38060
2015-07-16,21.9,21.9,20.98,21.06,111290
2015-07-17,21.06,21.48,20.89,21.06,82020
2015-07-20,21.06,21.9,20.85,20.93,69090
2015-07-21,20.93,21.06,20.72,20.85,73650
2015-07-22,20.85,21.27,20.85,21.06,154850
2015-07-23,21.06,21.06,20.01,20.93,117380
2015-07-24,20.93,20.93,20.05,20.76,214990
2015-07-27,20.81,21.9,20.81,21.9,120170
2015-07-28,21.69,21.69,20.85,21.48,93000
2015-07-29,21.48,21.48,20.64,20.98,43080
2015-07-30,20.98,21.06,20.68,20.68,87340
2015-07-31,20.68,21.02,20.6,21.02,56810
2015-08-03,20.68,20.98,20.47,20.93,13810
2015-08-04,20.93,20.93,20.47,20.85,12770
2015-08-05,20.89,21.69,20.85,21.06,136760
2015-08-06,21.06,21.48,20.89,21.06,12180
2015-08-07,21.06,21.06,21.02,21.06,1530
2015-08-10,21.06,21.06,20.64,21.02,13000
2015-08-11,20.72,21.06,20.72,20.98,26180
2015-08-12,20.93,20.93,20.64,20.81,18820
2015-08-13,20.64,20.76,20.47,20.72,50580
2015-08-14,20.72,20.72,20.47,20.72,24830
2015-08-17,20.72,20.72,20.43,20.72,54560
2015-08-18,20.43,20.76,20.43,20.76,16370
2015-08-19,20.76,20.76,20.47,20.72,7970
2015-08-20,20.64,20.68,20.47,20.6,71980
2015-08-21,20.51,20.51,20.01,20.43,36950
2015-08-24,19.8,20.22,19.04,19.04,132250
2015-08-25,17.82,20.01,17.77,20.01,195500
2015-08-26,20.01,20.01,18.95,19.71,155050
2015-08-27,19.96,19.96,19.12,19.75,46030
2015-08-28,19.42,19.71,19.21,19.67,41950
2015-08-31,19.67,19.67,19.04,19.37,206010
2015-09-01,19.5,20.22,19.29,20.13,34670
2015-09-03,19.42,20.18,19.42,20.18,61120
2015-09-04,20.18,20.55,19.92,20.55,31880
2015-09-07,20.55,20.64,20.13,20.55,27200
2015-09-08,20.18,20.43,20.13,20.43,6270
2015-09-09,20.43,20.43,19.8,20.18,19150
2015-09-10,20.13,20.18,19.63,19.88,9500
2015-09-11,19.75,20.18,19.71,20.18,19310
2015-09-14,19.92,19.92,18.79,18.95,222930
2015-09-15,18.95,18.95,18.53,18.91,76250
2015-09-16,18.91,18.91,18.66,18.7,11570
2015-09-17,18.7,18.91,18.53,18.91,19210
2015-09-18,19.08,19.59,18.74,18.74,1470460
2015-09-21,19.16,19.54,19.16,19.46,11990
2015-09-22,19.54,20.26,19.54,20.26,81070
2015-09-23,20.01,20.13,19.5,20.13,258170
2015-09-24,20.13,20.13,19.8,19.8,55510
2015-09-25,19.8,19.8,19.54,19.63,78670
2015-09-28,19.59,19.59,19.08,19.16,66400
2015-09-29,18.95,19.12,18.95,19.04,37140
2015-09-30,18.95,19.5,18.95,19.5,65030
2015-10-01,19.37,19.5,19.33,19.37,13110
2015-10-02,19.37,19.42,19.33,19.37,80660
2015-10-05,19.33,19.5,19.29,19.5,48290
2015-10-06,19.59,20.22,19.59,20.05,114110
2015-10-07,20.13,20.13,19.67,19.67,45010
2015-10-08,19.37,20.22,19.37,20.09,69150
2015-10-09,20.18,20.85,20.13,20.76,235810
2015-10-12,20.64,21.02,20.6,20.85,63720
2015-10-13,20.64,20.98,20.64,20.98,39510
2015-10-14,21.02,21.02,20.22,20.26,52400
2015-10-15,20.64,20.64,20.26,20.3,80670
2015-10-16,20.34,20.34,20.01,20.34,104980
2015-10-19,20.34,20.43,20.13,20.34,59300
2015-10-20,20.43,20.43,20.13,20.18,39140
2015-10-21,20.18,20.22,19.71,19.71,146870
2015-10-22,19.63,20.18,19.63,19.96,64850
2015-10-23,19.96,19.96,19.59,19.67,95680
2015-10-26,19.59,19.59,19.42,19.42,61640
2015-10-27,19.37,19.37,19.0,19.04,140200
2015-10-28,19.16,19.16,18.91,19.0,137550
2015-10-29,19.0,19.37,18.95,19.37,72770
2015-10-30,19.37,19.46,19.16,19.46,12200
2015-11-02,19.46,19.46,19.16,19.29,28670
2015-11-03,19.16,19.37,18.95,19.37,24440
2015-11-04,19.54,19.54,19.16,19.29,2510
2015-11-05,19.08,19.25,19.0,19.08,136150
2015-11-06,19.29,19.29,18.87,18.87,138660
2015-11-09,18.74,19.08,18.62,18.95,57370
2015-11-10,18.95,18.95,18.57,18.79,47770
2015-11-11,18.83,18.83,18.62,18.83,47180
2015-11-12,18.74,18.91,18.62,18.91,15840
2015-11-13,18.91,18.91,18.53,18.87,43460
2015-11-16,18.91,19.63,18.91,19.21,40430
2015-11-17,19.21,19.21,19.0,19.21,24240
2015-11-18,19.08,19.16,19.04,19.16,12770
2015-11-19,19.16,19.29,18.83,19.16,39280
2015-11-20,19.16,19.29,19.16,19.21,11700
2015-11-23,19.25,19.25,19.16,19.16,33930
2015-11-24,19.16,19.21,19.12,19.12,46860
2015-11-25,19.04,19.16,18.95,19.16,12120
2015-11-26,19.16,19.21,19.0,19.0,30190
2015-11-27,19.0,19.0,18.74,18.91,27540
2015-11-30,18.53,18.91,18.53,18.91,22430
2015-12-01,18.87,18.91,18.57,18.87,36280
2015-12-02,18.74,18.87,18.62,18.62,41270
2015-12-03,18.7,18.87,18.53,18.74,16370
2015-12-04,18.57,18.91,18.57,18.87,4770
2015-12-07,19.04,19.04,18.83,18.95,7230
2015-12-08,19.08,19.08,18.91,18.95,29440
2015-12-09,18.95,19.16,18.95,18.95,9530
