time,open,high,low,close,volume
2025-04-22,25.2,25.2,18.0,19.0,255200
2025-04-23,19.1,20.0,18.6,18.6,2200
2025-04-24,18.9,19.0,16.3,16.3,54100
2025-04-25,16.9,17.0,14.4,14.4,58300
2025-04-28,14.4,15.2,12.7,14.5,59300
2025-04-29,14.2,14.5,13.0,14.0,26700
2025-05-05,13.5,13.7,13.4,13.7,1700
2025-05-06,14.8,15.0,13.2,14.5,28900
2025-05-07,14.8,14.8,13.9,14.0,3700
2025-05-08,14.0,14.5,13.9,14.1,4800
2025-05-09,14.1,14.9,13.9,14.0,4000
2025-05-12,13.6,14.3,13.2,14.0,4300
2025-05-13,12.5,13.9,12.5,13.3,2700
2025-05-14,13.9,14.9,12.7,13.3,10800
2025-05-15,12.9,13.6,12.9,13.5,9600
2025-05-16,14.3,14.9,13.7,13.8,21200
2025-05-19,14.8,15.0,14.0,14.5,3500
2025-05-20,14.8,14.8,13.9,14.0,1400
2025-05-21,14.0,14.2,13.6,14.1,6900
2025-05-22,14.0,14.0,14.0,14.0,400
2025-05-23,14.0,14.0,14.0,14.0,1000
2025-05-26,14.7,14.8,14.0,14.0,14600
2025-05-27,14.5,14.6,14.5,14.5,2500
2025-05-28,14.5,14.5,14.1,14.1,6700
2025-05-30,13.1,14.4,13.1,14.4,10800
2025-06-02,15.0,15.9,14.9,15.9,46100
2025-06-03,17.9,17.9,16.1,17.7,25000
2025-06-04,16.0,17.0,15.9,16.0,9900
2025-06-05,17.0,17.0,16.0,16.0,6400
2025-06-06,16.0,17.0,16.0,17.0,90800
2025-06-09,17.7,17.8,17.0,17.5,25200
2025-06-10,17.8,17.8,16.9,16.9,19200
2025-06-11,16.7,16.7,16.6,16.7,2500
2025-06-12,17.0,17.2,17.0,17.2,700
2025-06-13,15.5,17.0,15.5,17.0,1200
2025-06-16,16.5,17.0,16.1,17.0,2600
2025-06-17,16.1,16.9,16.1,16.9,2300
2025-06-18,16.5,17.0,16.2,17.0,52200
2025-06-19,16.2,16.7,16.2,16.7,1300
2025-06-20,16.2,16.6,16.2,16.6,1100
2025-06-23,16.6,16.6,16.4,16.5,16200
2025-06-24,17.4,17.4,16.2,16.7,7500
2025-06-25,16.7,16.8,16.7,16.8,6000
2025-06-26,16.0,16.6,14.3,16.5,42600
