time,open,high,low,close,volume
2020-06-18,8.59,8.59,8.59,8.59,0
2020-06-19,8.59,8.59,8.59,8.59,0
2020-06-22,8.59,8.59,8.59,8.59,0
2020-06-23,8.59,8.59,8.59,8.59,0
2020-06-24,8.59,8.59,8.59,8.59,0
2020-06-25,8.59,8.59,8.59,8.59,0
2020-06-26,8.59,8.59,8.59,8.59,0
2020-06-29,8.59,8.59,8.59,8.59,0
2020-06-30,8.59,8.59,8.59,8.59,0
2020-07-01,8.59,8.59,8.59,8.59,0
2020-07-02,8.59,8.59,8.59,8.59,0
2020-07-03,8.59,8.59,8.59,8.59,0
2020-07-06,8.59,8.59,8.59,8.59,0
2020-07-07,8.59,8.59,8.59,8.59,0
2020-07-08,8.59,8.59,8.59,8.59,0
2020-07-09,11.99,12.02,11.95,11.95,6000
2020-07-10,12.21,12.77,12.21,12.77,1100
2020-07-13,14.08,14.08,14.08,14.08,100
2020-07-14,16.17,16.17,16.17,16.17,3500
2020-07-15,18.3,18.33,18.22,18.22,1815
2020-07-16,18.33,18.33,18.33,18.33,900
2020-07-17,18.33,18.33,18.33,18.33,0
2020-07-20,15.61,15.61,15.61,15.61,100
2020-07-21,15.61,15.61,15.61,15.61,100
2020-07-22,15.61,15.61,15.61,15.61,0
2020-07-23,15.31,15.5,15.31,15.5,200
2020-07-24,13.44,13.44,13.14,13.26,1600
2020-07-27,13.33,13.26,13.26,13.26,0
2020-07-28,13.44,13.44,13.44,13.44,900
2020-07-29,14.94,14.94,14.94,14.94,100
2020-07-30,14.94,14.94,14.94,14.94,0
2020-07-31,14.9,14.9,14.9,14.9,200
2020-08-03,14.86,14.86,14.86,14.86,300
2020-08-04,14.86,14.86,14.86,14.86,0
2020-08-05,14.75,14.75,14.75,14.75,200
2020-08-06,14.75,14.75,14.75,14.75,0
2020-08-07,12.7,12.92,12.7,12.92,200
2020-08-10,12.81,12.81,12.81,12.81,100
2020-08-11,12.81,12.81,12.81,12.81,0
2020-08-12,12.81,12.81,12.81,12.81,0
2020-08-13,12.81,12.81,12.81,12.81,0
2020-08-14,11.95,12.32,11.95,12.32,200
2020-08-17,11.13,11.13,11.13,11.13,100
2020-08-18,11.35,11.35,11.35,11.35,100
2020-08-19,11.61,11.95,11.61,11.95,200
2020-08-20,11.28,11.28,11.28,11.28,100
2020-08-21,11.28,11.28,11.28,11.28,0
2020-08-24,11.28,11.28,11.28,11.28,0
2020-08-25,11.5,11.54,11.5,11.54,1400
2020-08-26,11.65,11.95,11.65,11.95,200
2020-08-27,10.04,13.55,10.04,11.43,700
2020-08-28,11.09,13.07,11.09,13.07,900
2020-08-31,13.07,13.07,13.07,13.07,200
2020-09-01,13.44,13.44,13.41,13.41,200
2020-09-03,13.44,13.44,13.41,13.41,200
2020-09-04,13.44,13.44,13.41,13.44,500
2020-09-07,12.32,12.51,12.32,12.32,2300
2020-09-08,12.32,12.32,12.32,12.32,200
2020-09-09,12.36,12.36,12.36,12.36,100
2020-09-10,12.51,12.7,12.4,12.7,3700
2020-09-11,12.43,12.7,12.43,12.7,2000
2020-09-14,12.73,12.73,12.73,12.73,100
2020-09-15,12.77,12.77,12.73,12.73,400
2020-09-16,12.77,12.77,12.73,12.73,900
2020-09-17,12.7,12.7,12.7,12.7,500
2020-09-18,12.7,12.7,12.66,12.66,1400
2020-09-21,12.51,12.66,12.43,12.66,3000
2020-09-22,12.62,12.7,12.62,12.7,3300
2020-09-23,12.55,12.55,12.55,12.55,200
2020-09-24,12.55,12.58,12.55,12.55,700
2020-09-25,12.55,12.55,12.55,12.55,0
2020-09-28,12.51,12.51,12.47,12.47,200
2020-09-29,12.51,12.47,12.47,12.47,0
2020-09-30,12.51,12.47,12.47,12.47,0
2020-10-01,12.32,12.32,12.14,12.14,900
2020-10-02,12.14,12.14,11.95,11.95,400
2020-10-05,11.95,11.95,11.95,11.95,100
2020-10-06,11.95,11.95,11.95,11.95,0
2020-10-07,11.95,11.95,11.95,11.95,0
2020-10-08,11.95,11.95,11.95,11.95,0
2020-10-09,11.95,11.95,11.95,11.95,0
2020-10-12,11.95,11.95,11.95,11.95,0
2020-10-13,11.95,11.95,11.95,11.95,0
2020-10-14,11.95,11.95,11.95,11.95,300
2020-10-15,11.95,11.95,11.95,11.95,0
2020-10-16,11.95,11.95,11.95,11.95,0
2020-10-19,11.95,11.95,11.95,11.95,1800
2020-10-20,12.36,12.36,12.36,12.36,100
2020-10-21,12.29,12.32,12.29,12.32,300
2020-10-22,12.32,12.36,12.32,12.36,400
2020-10-23,11.95,12.88,11.95,12.88,1200
2020-10-26,12.73,12.88,12.88,12.88,0
2020-10-27,12.73,12.88,12.88,12.88,0
2020-10-28,12.73,12.88,12.88,12.88,0
2020-10-29,12.73,12.88,12.88,12.88,0
2020-10-30,12.73,12.88,12.88,12.88,0
2020-11-02,12.73,12.88,12.88,12.88,0
2020-11-03,12.73,12.88,12.88,12.88,0
2020-11-04,12.88,12.88,12.88,12.88,1100
2020-11-05,12.7,12.7,12.7,12.7,500
2020-11-06,12.7,12.7,12.7,12.7,0
2020-11-09,12.7,12.7,12.7,12.7,0
2020-11-10,12.7,12.7,12.7,12.7,100
2020-11-11,12.88,12.88,12.88,12.88,200
2020-11-12,12.88,12.88,12.88,12.88,0
2020-11-13,12.88,12.88,12.88,12.88,0
2020-11-16,13.07,13.07,13.07,13.07,500
2020-11-17,12.99,13.07,12.99,13.07,1600
2020-11-18,13.03,13.07,13.07,13.07,0
2020-11-19,13.07,13.07,13.07,13.07,100
2020-11-20,13.07,13.07,13.07,13.07,0
2020-11-23,13.07,13.07,13.07,13.07,0
2020-11-24,13.07,13.07,13.07,13.07,200
2020-11-25,13.07,13.07,12.32,12.32,300
2020-11-26,12.81,12.32,12.32,12.32,0
2020-11-27,11.95,11.95,11.95,11.95,300
2020-11-30,11.95,11.95,11.95,11.95,0
2020-12-01,11.95,11.95,11.95,11.95,0
2020-12-02,12.99,12.99,12.7,12.7,700
2020-12-03,12.88,12.88,12.88,12.88,700
2020-12-04,13.03,13.07,12.99,13.07,2200
2020-12-07,13.07,14.38,13.07,14.38,2800
2020-12-08,14.94,16.17,14.94,16.17,7900
2020-12-09,14.94,15.31,14.94,15.31,2900
2020-12-10,16.43,16.43,15.31,15.31,200
2020-12-11,16.8,16.8,16.43,16.43,4600
2020-12-14,16.8,16.8,16.8,16.8,600
2020-12-15,16.8,16.8,16.8,16.8,0
2020-12-16,14.6,15.68,14.34,15.68,3400
2020-12-17,16.8,17.18,16.8,17.18,6800
2020-12-18,17.18,17.18,17.18,17.18,300
2020-12-21,17.92,17.92,17.92,17.92,100
2020-12-22,17.92,19.42,17.92,19.42,5000
2020-12-23,19.42,19.42,18.67,18.67,3300
2020-12-24,17.18,17.18,16.06,16.06,400
2020-12-25,18.67,18.67,17.92,17.92,1200
2020-12-28,16.84,17.92,16.8,16.8,3000
2020-12-29,16.06,19.6,16.06,19.6,1000
2020-12-30,17.55,17.96,16.8,17.92,4000
2020-12-31,16.8,18.67,16.8,18.6,300
2021-01-04,17.92,18.48,17.92,18.48,2100
2021-01-05,18.48,18.48,18.3,18.3,800
2021-01-06,18.48,18.48,18.48,18.48,100
2021-01-07,18.52,18.6,18.52,18.6,800
2021-01-08,18.56,18.56,18.11,18.11,200
2021-01-11,18.33,18.6,18.33,18.6,1500
2021-01-12,18.6,18.67,18.6,18.67,700
2021-01-13,18.48,18.48,18.48,18.48,100
2021-01-14,17.92,17.92,17.92,17.92,100
2021-01-15,18.6,19.42,18.6,19.04,13100
2021-01-18,19.04,19.04,18.67,18.86,1900
2021-01-19,18.86,18.86,18.86,18.86,0
2021-01-20,18.75,19.04,18.75,19.04,6700
2021-01-21,19.01,19.04,18.97,19.01,2700
2021-01-22,18.97,18.97,18.71,18.86,2000
2021-01-25,18.82,18.86,18.86,18.86,0
2021-01-26,18.3,18.3,18.3,18.3,500
2021-01-27,18.3,18.3,18.3,18.3,0
2021-01-28,18.3,18.3,18.3,18.3,100
2021-01-29,16.8,16.8,16.8,16.8,100
2021-02-01,18.3,18.67,18.3,18.67,500
2021-02-02,18.6,18.67,18.67,18.67,0
2021-02-03,18.6,18.67,18.67,18.67,0
2021-02-04,18.3,18.67,18.3,18.67,700
2021-02-05,18.63,18.67,18.67,18.67,0
2021-02-08,18.63,18.67,18.67,18.67,0
2021-02-09,18.63,18.67,18.67,18.67,0
2021-02-17,17.92,18.86,17.92,18.86,2300
2021-02-18,18.75,19.42,18.75,19.42,21200
2021-02-19,19.04,19.79,18.67,19.53,8600
2021-02-22,19.72,20.91,19.72,20.91,15200
2021-02-23,21.06,21.66,20.54,21.47,9500
2021-02-24,21.84,21.84,21.25,21.28,4300
2021-02-25,21.32,22.4,21.32,21.55,4200
2021-02-26,21.36,21.4,19.04,20.84,2500
2021-03-01,20.61,20.95,20.57,20.95,5700
2021-03-02,20.95,21.66,20.95,21.28,1800
2021-03-03,21.21,21.21,21.21,21.21,600
2021-03-04,20.84,20.84,20.54,20.61,1200
2021-03-05,20.65,20.61,20.61,20.61,0
2021-03-08,19.79,20.01,19.79,19.87,1300
2021-03-09,19.98,21.28,19.6,21.28,1100
2021-03-10,19.79,21.28,21.28,21.28,0
2021-03-11,21.28,21.66,20.91,20.91,5600
2021-03-12,22.33,22.4,22.33,22.4,5900
2021-03-15,22.59,23.52,22.59,23.52,7000
2021-03-16,26.74,26.74,26.51,26.74,400
2021-03-17,28.38,28.38,28.3,28.3,2200
2021-03-18,28.3,28.3,27.93,27.93,1300
2021-03-19,26.89,28.75,26.14,28.75,19600
2021-03-22,25.77,31.14,25.77,31.14,27000
2021-03-23,31.14,33.31,26.92,31.78,22000
2021-03-24,36.59,36.59,30.99,30.99,2800
2021-03-25,32.3,32.3,29.91,32.11,4000
2021-03-26,31.74,31.85,31.74,31.85,10700
2021-03-29,31.85,33.61,31.85,33.61,15400
2021-03-30,33.61,37.56,33.61,37.56,11801
2021-03-31,41.07,42.57,38.65,38.65,400
2021-04-01,38.65,38.65,37.71,38.09,1639
2021-04-02,37.83,37.83,37.71,37.71,600
2021-04-05,37.34,39.21,37.34,38.83,1901
2021-04-06,38.09,39.58,38.09,38.09,1600
2021-04-07,38.46,38.83,38.42,38.46,3498
2021-04-08,39.21,39.58,37.71,37.71,700
2021-04-09,37.45,37.45,37.34,37.34,6102
2021-04-12,37.34,37.34,36.97,37.34,1000
2021-04-13,36.59,36.97,36.59,36.97,500
2021-04-14,36.59,36.59,36.03,36.03,700
2021-04-15,36.03,36.03,35.51,35.51,1000
2021-04-16,35.66,35.66,32.49,34.35,1800
2021-04-19,34.35,36.97,33.61,33.61,400
2021-04-20,33.61,33.61,33.61,33.61,100
2021-04-22,31.37,31.37,28.75,28.94,700
2021-04-23,34.73,34.73,31.74,31.74,1100
2021-04-26,32.86,32.86,32.86,32.86,100
2021-04-27,29.87,30.25,27.93,29.84,12935
2021-04-28,26.18,30.58,26.14,30.58,1101
2021-04-29,29.87,30.51,29.87,30.51,20364
2021-05-04,30.25,30.25,29.13,29.5,10400
2021-05-05,29.87,30.43,28.75,30.43,13800
2021-05-06,31.37,33.61,29.5,29.91,6409
2021-05-07,29.87,29.95,29.5,29.95,7700
2021-05-10,34.35,34.35,32.49,32.49,4700
2021-05-11,28.75,32.3,28.75,32.3,4655
2021-05-12,31.93,31.93,29.87,29.87,500
2021-05-13,30.25,30.25,30.25,30.25,100
2021-05-14,29.87,29.87,29.09,29.09,607
2021-05-17,28.98,29.24,28.98,29.2,2500
2021-05-18,31.55,31.55,28.98,28.98,1700
2021-05-19,29.31,29.69,28.64,28.64,1900
2021-05-20,29.87,29.87,29.87,29.87,4000
2021-05-21,29.87,29.87,29.87,29.87,0
2021-05-24,29.87,29.87,28.94,29.13,1700
2021-05-25,29.13,29.13,28.38,28.38,1400
2021-05-26,26.89,28.75,24.83,28.75,1500
2021-05-27,26.51,28.75,28.75,28.75,0
2021-05-28,25.02,26.55,25.02,26.55,1200
2021-05-31,27.45,29.13,27.45,29.13,500
2021-06-01,25.39,27.63,25.39,27.63,509
2021-06-02,26.14,26.14,25.77,26.14,2600
2021-06-03,26.14,26.14,26.14,26.14,300
2021-06-04,27.63,27.63,27.59,27.63,5300
2021-06-07,27.63,28.01,24.64,24.64,900
2021-06-08,28.01,28.01,26.89,27.26,1000
2021-06-09,27.07,27.07,25.98,25.98,900
2021-06-10,28.2,28.2,24.44,24.55,3100
2021-06-11,25.0,25.57,25.0,25.57,2500
2021-06-14,26.51,26.51,26.28,26.51,809
2021-06-15,26.28,27.07,26.24,27.07,1700
2021-06-16,27.78,27.78,27.78,27.78,100
2021-06-17,25.49,25.49,25.45,25.45,400
2021-06-18,27.75,27.75,27.75,27.75,100
2021-06-21,27.75,27.75,27.75,27.75,0
2021-06-22,27.03,27.07,27.03,27.07,200
2021-06-23,26.32,26.32,26.32,26.32,800
2021-06-24,26.32,26.32,26.32,26.32,2000
2021-06-25,26.32,26.32,26.32,26.32,1
2021-06-28,26.32,26.32,23.8,26.28,5900
2021-06-29,23.99,23.99,23.99,23.99,600
2021-06-30,24.36,24.36,23.99,23.99,1000
2021-07-01,25.57,25.57,25.57,25.57,208
2021-07-02,22.86,25.57,22.86,25.53,1400
2021-07-05,25.57,25.57,25.53,25.53,500
2021-07-06,24.63,24.63,24.51,24.51,7100
2021-07-07,24.63,24.63,24.44,24.44,1300
2021-07-08,24.48,24.44,24.44,24.44,0
2021-07-09,24.48,24.44,24.44,24.44,0
2021-07-12,23.91,23.91,23.31,23.31,1200
2021-07-13,22.75,24.4,22.75,23.5,2000
2021-07-14,21.09,24.36,21.09,23.31,900
2021-07-15,23.31,24.06,23.31,24.06,800
2021-07-16,23.35,23.35,23.35,23.35,100
2021-07-19,23.31,23.69,22.93,23.69,600
2021-07-20,23.38,23.69,23.38,23.69,3800
2021-07-21,23.69,24.74,23.69,24.74,5500
2021-07-22,23.05,25.15,23.05,25.15,200
2021-07-23,24.06,24.44,23.87,23.87,1500
2021-07-26,24.1,23.87,23.87,23.87,0
2021-07-27,24.06,24.06,22.56,22.78,2700
2021-07-28,22.9,22.9,22.56,22.56,1200
2021-07-29,22.97,24.06,22.97,24.06,2000
2021-07-30,23.99,24.81,23.99,24.44,4000
2021-08-02,24.81,27.45,24.81,27.45,1600
2021-08-03,24.44,27.45,23.69,27.45,4500
2021-08-04,25.19,27.07,25.19,27.07,2700
2021-08-05,26.32,27.63,26.32,27.45,6600
2021-08-06,27.07,27.07,27.07,27.07,900
2021-08-09,27.07,28.2,27.07,28.2,12900
2021-08-10,27.26,27.26,27.26,27.26,100
2021-08-11,27.82,28.12,27.07,28.12,400
2021-08-12,27.07,27.07,26.69,27.07,3800
2021-08-13,26.66,26.69,26.32,26.32,4500
2021-08-16,26.32,26.32,26.32,26.32,5300
2021-08-17,25.23,27.45,25.19,25.19,3600
2021-08-18,27.45,27.45,25.19,25.19,18008
2021-08-19,27.45,27.45,26.32,26.32,200
2021-08-20,26.28,26.28,24.81,24.81,3101
2021-08-23,25.94,25.94,24.63,24.81,2308
2021-08-24,25.57,26.69,24.59,24.59,3700
