time,open,high,low,close,volume
2013-03-05,3.56,4.0,3.56,4.0,1400
2013-03-06,4.21,4.21,4.21,4.21,100
2013-03-07,3.85,4.07,3.85,4.07,4700
2013-03-08,4.0,4.07,4.0,4.0,20400
2013-03-11,4.0,4.07,4.0,4.0,5200
2013-03-12,4.14,4.14,3.63,3.78,23600
2013-03-13,4.0,4.07,4.0,4.07,1100
2013-03-14,4.07,4.07,4.07,4.07,0
2013-03-15,3.92,4.0,3.85,4.0,1900
2013-03-18,3.63,3.92,3.63,3.92,5800
2013-03-19,4.0,4.0,3.7,3.7,3200
2013-03-20,3.92,3.92,3.92,3.92,100
2013-03-21,3.63,3.92,3.63,3.92,1400
2013-03-22,3.63,3.63,3.56,3.56,2500
2013-03-25,3.56,3.78,3.56,3.78,900
2013-03-26,3.41,3.78,3.41,3.41,1300
2013-03-27,3.7,3.7,3.27,3.27,1900
2013-03-28,3.41,3.41,3.41,3.41,700
2013-03-29,3.7,3.7,3.12,3.7,500
2013-04-01,3.85,3.85,3.85,3.85,100
2013-04-02,4.0,4.0,3.56,3.56,2000
2013-04-03,3.27,3.78,3.27,3.78,700
2013-04-04,3.41,3.78,3.41,3.78,1300
2013-04-05,3.41,3.56,3.41,3.56,12600
2013-04-08,3.63,3.63,3.63,3.63,500
2013-04-09,3.78,3.78,3.63,3.7,2500
2013-04-10,3.7,3.7,3.7,3.7,2400
2013-04-11,3.34,3.7,3.34,3.7,5100
2013-04-12,3.34,3.34,3.34,3.34,1700
2013-04-15,3.12,3.49,3.05,3.49,9300
2013-04-16,3.2,3.56,3.2,3.49,1800
2013-04-17,3.63,3.63,3.2,3.27,900
2013-04-18,2.98,3.49,2.98,3.49,2100
2013-04-22,3.63,3.63,3.2,3.2,11600
2013-04-23,3.05,3.41,2.98,3.41,1200
2013-04-24,3.34,3.49,3.34,3.49,1800
2013-04-25,3.49,3.56,3.49,3.56,1100
2013-04-26,3.27,3.56,3.27,3.56,4600
2013-05-02,3.56,3.63,3.56,3.63,1100
2013-05-03,3.63,3.63,3.63,3.63,0
2013-05-06,3.56,3.56,3.27,3.27,2100
2013-05-07,3.56,3.56,3.12,3.12,17100
2013-05-08,3.12,3.41,3.05,3.41,6300
2013-05-09,3.12,3.41,3.12,3.41,12900
2013-05-10,3.12,3.41,3.12,3.41,5100
2013-05-13,3.12,3.2,3.12,3.12,6400
2013-05-14,3.27,3.27,3.27,3.27,100
