time,open,high,low,close,volume
2015-06-26,8.5,8.5,8.3,8.3,4400
2015-06-29,8.3,8.5,8.3,8.5,2900
2015-06-30,8.2,8.5,8.2,8.3,8700
2015-07-01,8.3,8.4,8.3,8.4,11000
2015-07-02,8.4,8.5,8.4,8.5,10500
2015-07-03,8.3,8.3,8.3,8.3,200
2015-07-06,8.4,8.5,8.4,8.5,20700
2015-07-07,8.3,8.3,8.3,8.3,100
2015-07-08,8.3,8.4,8.3,8.4,5500
2015-07-09,8.4,8.6,8.4,8.5,37700
2015-07-10,8.6,8.7,8.6,8.7,14100
2015-07-13,8.7,8.8,8.7,8.8,110700
2015-07-14,8.0,8.7,8.0,8.7,20900
2015-07-15,8.7,8.8,8.7,8.7,25600
2015-07-16,8.7,8.9,8.7,8.9,32200
2015-07-17,8.5,8.9,8.5,8.9,6800
2015-07-20,8.5,8.9,8.5,8.9,14700
2015-07-21,8.9,8.9,8.9,8.9,5800
2015-07-22,8.9,9.0,8.9,9.0,7200
2015-07-23,9.0,9.1,9.0,9.0,8000
2015-07-24,9.0,9.0,9.0,9.0,15100
2015-07-27,9.0,9.1,8.7,9.1,4400
2015-07-28,9.1,9.1,9.1,9.1,0
2015-07-29,8.9,8.9,8.9,8.9,3000
2015-07-30,8.7,8.8,8.7,8.7,9000
2015-07-31,8.7,8.7,8.4,8.4,41100
2015-08-03,8.3,8.3,8.3,8.3,100
2015-08-04,8.1,8.6,8.0,8.5,25300
2015-08-05,8.1,8.5,8.1,8.4,4300
2015-08-06,8.3,8.6,8.3,8.6,600
2015-08-07,8.5,8.5,8.4,8.5,36800
2015-08-10,8.7,8.7,8.4,8.4,26500
2015-08-11,8.5,8.5,8.5,8.5,1200
2015-08-12,8.1,8.5,7.8,8.5,6500
2015-08-13,8.5,8.6,8.2,8.5,4200
2015-08-14,8.5,8.5,8.4,8.5,49600
2015-08-17,8.7,8.7,8.7,8.7,100
2015-08-18,8.7,8.7,8.7,8.7,0
2015-08-19,8.5,8.6,8.5,8.6,1400
2015-08-20,8.4,8.4,8.4,8.4,800
2015-08-21,8.4,8.5,8.4,8.4,5200
2015-08-24,8.2,8.4,8.2,8.4,300
2015-08-25,8.2,8.4,8.2,8.2,14100
2015-08-26,8.2,8.3,7.4,7.4,17900
2015-08-27,8.1,8.1,8.1,8.1,3200
2015-08-28,8.3,8.7,7.3,7.3,61900
2015-08-31,7.9,8.0,7.3,7.4,52000
2015-09-01,8.0,8.1,8.0,8.1,27910
2015-09-03,8.2,8.9,8.0,8.0,81200
2015-09-04,8.2,8.6,8.1,8.6,30100
2015-09-07,8.7,8.7,8.2,8.2,6100
2015-09-08,8.5,8.5,8.2,8.2,1200
2015-09-09,8.1,8.4,8.0,8.4,1000
2015-09-10,8.4,8.6,8.1,8.4,44400
2015-09-11,8.4,8.4,8.4,8.4,0
2015-09-14,8.7,8.7,8.7,8.7,100
2015-09-15,8.9,8.9,8.1,8.7,600
