time,open,high,low,close,volume
2018-11-01,8.17,0.0,0.0,0.0,0
2018-11-02,8.17,8.17,8.17,8.17,0
2018-11-05,8.17,8.17,8.17,8.17,0
2018-11-06,11.42,11.42,11.42,11.42,100
2018-11-07,13.13,13.13,13.13,13.13,500
2018-11-08,15.09,15.09,15.09,15.09,100
2018-11-09,17.31,17.31,17.31,17.31,300
2018-11-12,19.9,19.9,19.9,19.9,100
2018-11-13,16.95,19.9,16.95,16.95,1600
2018-11-14,14.63,17.05,14.63,17.05,5100
2018-11-15,14.47,17.57,14.47,15.56,6700
2018-11-16,14.52,17.05,14.52,17.05,1400
2018-11-19,14.94,14.94,12.71,14.94,100
2018-11-20,12.71,12.71,12.71,12.71,1000
2018-11-21,14.57,14.57,14.57,14.57,100
2018-11-22,12.45,16.74,12.45,16.74,11848
2018-11-23,16.49,16.49,12.97,12.97,1500
2018-11-26,14.16,12.97,12.97,12.97,0
2018-11-27,12.4,12.4,12.4,12.4,100
2018-11-28,12.4,12.4,12.4,12.4,35
2018-11-29,12.4,12.4,12.4,12.4,0
2018-11-30,14.26,14.26,14.26,14.26,100
2018-12-03,16.38,16.38,16.38,16.38,2800
2018-12-04,13.95,18.81,13.95,18.6,8948
2018-12-05,15.81,15.81,15.81,15.81,100
2018-12-06,15.56,18.14,13.8,16.07,1400
2018-12-07,19.07,19.07,16.64,19.07,4200
2018-12-10,16.07,16.07,16.07,16.07,1010
2018-12-11,14.57,14.57,14.57,14.57,100
2018-12-12,14.57,14.57,14.57,14.57,0
2018-12-13,14.57,14.57,14.57,14.57,3
2018-12-14,16.02,16.74,13.85,13.85,2400
2018-12-17,15.5,13.85,13.85,13.85,0
2018-12-18,15.5,15.5,15.5,13.85,10
2018-12-19,17.83,17.83,15.76,15.76,700
2018-12-20,19.12,19.12,19.12,19.12,28740
2018-12-21,19.17,19.28,19.17,19.28,4400
2018-12-24,16.33,19.22,16.33,19.22,10010
2018-12-25,19.12,19.33,19.12,19.28,20000
2018-12-26,19.28,19.28,18.09,18.09,6000
2018-12-27,18.97,19.38,18.86,19.12,17200
2018-12-28,18.76,19.12,18.76,19.12,15000
2019-01-02,18.14,18.14,18.14,18.14,100
2019-01-03,16.02,16.02,16.02,16.02,100
2019-01-04,18.4,18.4,14.06,14.06,300
2019-01-07,14.47,14.47,14.47,14.47,140
2019-01-08,14.47,14.47,14.47,14.47,0
2019-01-09,14.47,14.47,14.47,14.47,0
2019-01-10,14.47,14.47,14.47,14.47,0
2019-01-11,14.47,14.47,14.47,14.47,0
2019-01-14,14.47,14.47,14.47,14.47,0
2019-01-15,14.47,14.47,14.47,14.47,0
2019-01-16,14.47,14.47,14.47,14.47,0
2019-01-17,14.47,14.47,14.47,14.47,0
2019-01-18,14.47,14.47,14.47,14.47,0
2019-01-21,14.47,14.47,14.47,14.47,100
2019-01-22,14.47,14.47,14.47,14.47,0
2019-01-23,14.47,14.47,14.47,14.47,0
2019-01-24,16.64,16.64,16.64,16.64,200
2019-01-25,19.12,19.12,19.12,19.12,1700
2019-01-28,19.12,19.12,19.12,19.12,0
2019-01-29,19.12,19.12,19.12,19.12,0
2019-01-30,16.54,16.54,16.54,16.54,100
2019-01-31,16.54,16.54,16.54,16.54,0
