time,open,high,low,close,volume
2015-06-26,9.3,9.88,9.3,9.55,4210260
2015-06-29,9.65,9.84,9.59,9.65,935540
2015-06-30,9.55,9.63,9.55,9.57,1048220
2015-07-01,9.57,9.71,9.51,9.65,737610
2015-07-02,9.63,9.78,9.61,9.73,1090220
2015-07-03,9.78,9.78,9.67,9.69,758500
2015-07-06,9.71,9.8,9.69,9.8,979490
2015-07-07,9.78,9.98,9.73,9.82,1132850
2015-07-08,9.82,9.86,9.61,9.63,1420160
2015-07-09,9.59,9.67,9.53,9.63,999820
2015-07-10,9.63,9.69,9.57,9.61,835670
2015-07-13,9.61,9.8,9.59,9.67,489440
2015-07-14,9.67,9.73,9.61,9.67,395670
2015-07-15,9.69,9.69,9.57,9.57,654910
2015-07-16,9.53,9.57,9.45,9.57,611060
2015-07-17,9.55,9.67,9.53,9.57,315540
2015-07-20,9.57,9.57,9.47,9.53,419830
2015-07-21,9.49,9.51,9.36,9.4,876450
2015-07-22,9.4,9.59,9.38,9.59,455030
2015-07-23,9.57,9.88,9.57,9.69,2140450
2015-07-24,9.73,9.86,9.73,9.82,1217830
2015-07-27,9.88,10.21,9.86,10.11,1865720
2015-07-28,10.11,10.11,9.94,9.94,634450
2015-07-29,9.94,10.04,9.84,9.88,1119080
2015-07-30,9.88,9.9,9.75,9.75,938320
2015-07-31,9.84,9.86,9.75,9.75,541330
2015-08-03,9.69,9.69,9.57,9.59,1136670
2015-08-04,9.67,9.78,9.61,9.69,526180
2015-08-05,9.73,9.78,9.67,9.78,312920
2015-08-06,9.78,9.82,9.65,9.65,561120
2015-08-07,9.69,9.8,9.63,9.75,546600
2015-08-10,9.8,10.0,9.8,10.0,1180730
2015-08-11,10.0,10.11,9.9,9.96,861370
2015-08-12,9.9,9.9,9.75,9.82,1257050
2015-08-13,9.82,9.82,9.65,9.69,1573130
2015-08-14,9.67,9.75,9.59,9.65,702440
2015-08-17,9.65,9.71,9.49,9.53,816140
2015-08-18,9.53,9.63,9.49,9.61,751710
2015-08-19,9.67,9.8,9.59,9.72,860750
2015-08-20,9.74,9.74,9.57,9.59,384210
2015-08-21,9.51,9.53,9.27,9.53,1184950
2015-08-24,9.36,9.4,8.92,8.94,2107920
2015-08-25,8.85,9.17,8.85,9.04,1302560
2015-08-26,9.06,9.38,9.06,9.29,960660
2015-08-27,9.29,9.4,9.27,9.34,701980
2015-08-28,9.4,9.44,9.34,9.42,883560
2015-08-31,9.38,9.44,9.29,9.32,383640
2015-09-01,9.36,9.36,9.25,9.29,319590
2015-09-03,9.25,9.29,9.21,9.21,361300
2015-09-04,9.21,9.29,9.19,9.23,200160
2015-09-07,9.27,9.27,9.15,9.19,143530
2015-09-08,9.17,9.29,9.17,9.25,195100
2015-09-09,9.34,9.36,9.29,9.29,351700
2015-09-10,9.29,9.32,9.25,9.32,228830
2015-09-11,9.36,9.36,9.27,9.27,178370
2015-09-14,9.27,9.27,9.21,9.21,213260
2015-09-15,9.19,9.25,9.17,9.21,91140
2015-09-16,9.21,9.25,9.19,9.21,123720
2015-09-17,9.21,9.27,9.21,9.23,121980
2015-09-18,9.4,9.46,9.29,9.4,743610
2015-09-21,9.38,9.59,9.38,9.59,548700
2015-09-22,9.59,9.61,9.51,9.53,289410
2015-09-23,9.51,9.57,9.46,9.46,447860
2015-09-24,9.44,9.55,9.44,9.51,287470
2015-09-25,9.53,9.53,9.44,9.46,259280
2015-09-28,9.46,9.48,9.38,9.38,267580
2015-09-29,9.38,9.38,9.34,9.38,260100
2015-09-30,9.44,9.44,9.34,9.38,159670
2015-10-01,9.38,9.42,9.36,9.4,179470
2015-10-02,9.4,9.44,9.38,9.44,136870
2015-10-05,9.42,9.51,9.4,9.48,382440
2015-10-06,9.61,9.74,9.57,9.7,923920
2015-10-07,9.74,9.74,9.48,9.53,337650
2015-10-08,9.53,9.65,9.53,9.65,331030
2015-10-09,9.7,9.78,9.65,9.65,778950
2015-10-12,9.63,9.67,9.63,9.65,414610
2015-10-13,9.65,9.65,9.57,9.59,298120
2015-10-14,9.91,10.1,9.82,9.84,3076790
2015-10-15,9.88,9.88,9.8,9.82,426740
2015-10-16,9.84,9.88,9.84,9.84,548620
2015-10-19,9.84,10.07,9.84,9.93,1396480
2015-10-20,9.93,10.1,9.91,9.97,1968330
2015-10-21,10.03,10.03,9.91,9.91,703530
2015-10-22,9.86,9.93,9.86,9.88,473620
2015-10-23,9.95,9.99,9.91,9.93,719680
2015-10-26,10.01,10.22,10.01,10.03,2631100
2015-10-27,9.99,10.18,9.99,10.12,1345230
2015-10-28,10.14,10.31,10.14,10.29,2673100
2015-10-29,10.39,10.48,10.35,10.39,1846600
2015-10-30,10.41,10.43,10.31,10.39,982600
2015-11-02,10.41,10.75,10.39,10.43,2790190
2015-11-03,10.54,11.07,10.52,11.07,3798850
2015-11-04,11.17,11.28,10.96,10.96,1772170
2015-11-05,10.85,11.28,10.85,11.28,2727690
2015-11-06,11.28,11.49,10.96,11.07,3164790
2015-11-09,10.96,11.07,10.85,10.85,2035350
2015-11-10,10.85,10.96,10.64,10.75,2049910
2015-11-11,10.64,10.96,10.64,10.64,1790510
2015-11-12,10.75,11.28,10.64,11.17,3514400
2015-11-13,11.17,11.49,11.07,11.49,2759580
2015-11-16,11.38,11.59,11.17,11.38,2413900
2015-11-17,11.28,11.38,10.96,10.96,2136990
2015-11-18,10.85,11.17,10.85,10.96,1366870
2015-11-19,10.96,11.17,10.85,10.85,1096120
2015-11-20,10.75,10.96,10.75,10.75,1196900
2015-11-23,10.75,10.85,10.43,10.43,2054830
2015-11-24,10.48,10.48,10.2,10.35,2817650
2015-11-25,10.39,10.64,10.22,10.54,1309410
2015-11-26,10.5,10.54,10.33,10.33,746390
2015-11-27,10.37,10.52,10.31,10.31,1520660
2015-11-30,10.33,10.33,10.18,10.18,1116850
2015-12-01,10.24,10.29,10.14,10.16,623880
2015-12-02,10.16,10.26,10.16,10.2,675930
2015-12-03,10.22,10.26,10.18,10.22,343540
2015-12-04,10.22,10.22,10.05,10.1,861320
2015-12-07,10.07,10.12,10.01,10.01,892260
2015-12-08,9.97,10.35,9.93,10.33,1117670
2015-12-09,10.33,10.41,10.16,10.16,735460
2015-12-10,10.16,10.24,10.07,10.07,610110
2015-12-11,10.05,10.22,10.05,10.12,558390
2015-12-14,10.1,10.16,10.07,10.07,434710
2015-12-15,10.07,10.22,10.07,10.22,527780
2015-12-16,10.26,10.39,10.26,10.29,1252650
2015-12-17,10.37,10.43,10.33,10.37,916420
2015-12-18,10.37,10.39,10.31,10.31,825670
2015-12-21,10.31,10.31,10.18,10.22,540360
2015-12-22,10.22,10.26,10.14,10.14,537270
2015-12-23,10.18,10.2,10.07,10.1,606040
2015-12-24,10.14,10.16,10.07,10.07,474020
2015-12-25,10.12,10.12,10.05,10.07,339400
