time,open,high,low,close,volume
2023-09-07,36.9,36.9,29.87,30.48,780400
2023-09-08,31.71,31.71,29.34,30.31,371170
2023-09-11,30.31,31.54,27.5,27.5,155717
2023-09-12,28.11,28.11,24.69,26.27,352580
2023-09-13,26.27,26.36,25.04,25.21,301621
2023-09-14,25.13,25.13,22.84,23.46,323985
2023-09-15,21.96,24.16,21.96,23.19,144686
2023-09-18,23.19,24.95,23.19,24.42,152902
2023-09-19,24.51,24.6,23.72,23.81,73913
2023-09-20,24.42,24.6,23.98,24.51,74802
2023-09-21,24.69,24.77,24.25,24.33,141353
2023-09-22,24.33,24.33,23.28,23.28,133249
2023-09-25,23.28,23.28,21.17,21.35,128345
2023-09-26,21.61,22.23,19.77,20.91,212833
2023-09-27,20.82,21.08,20.56,21.08,68901
2023-09-28,20.91,21.96,20.82,21.79,89156
2023-09-29,21.96,21.96,21.26,21.26,28330
2023-10-02,21.52,22.4,21.17,21.35,121600
2023-10-03,21.26,21.35,20.65,21.0,58600
2023-10-04,20.65,20.91,20.56,20.73,27800
2023-10-05,21.0,22.31,21.0,21.7,120200
2023-10-06,21.79,21.79,21.44,21.61,25700
2023-10-09,21.61,21.88,21.52,21.79,23601
2023-10-10,21.7,22.4,21.7,22.23,156000
2023-10-11,22.23,22.67,22.23,22.67,105200
2023-10-12,22.49,22.58,22.14,22.23,52400
2023-10-13,21.88,21.88,21.08,21.88,27400
2023-10-16,21.61,22.31,21.52,21.52,32000
2023-10-17,21.88,22.4,20.29,20.65,70001
2023-10-18,21.35,21.35,20.47,20.73,54501
2023-10-19,20.56,20.56,19.42,19.42,98514
2023-10-20,19.85,20.65,19.42,20.56,35003
2023-10-23,20.29,20.73,20.03,20.12,35802
2023-10-24,20.29,20.56,20.12,20.56,20300
2023-10-25,20.21,20.47,20.21,20.47,47000
2023-10-26,20.21,20.21,19.33,19.33,93100
2023-10-27,19.59,20.21,19.06,19.42,20400
2023-10-30,19.33,20.38,19.33,19.59,195555
2023-10-31,20.21,20.21,19.33,19.94,15900
2023-11-01,19.5,19.68,19.33,19.68,47200
2023-11-02,19.68,20.21,19.59,20.21,46800
2023-11-03,20.29,20.82,19.85,20.12,123705
2023-11-06,20.29,20.56,20.03,20.38,83200
2023-11-07,20.91,21.96,20.65,21.08,72024
2023-11-08,21.08,21.61,20.91,21.52,69202
2023-11-09,21.88,22.4,21.88,22.14,267614
2023-11-10,22.31,22.31,21.61,21.88,154237
2023-11-13,21.96,22.84,21.96,22.14,99142
2023-11-14,22.31,22.49,22.14,22.49,166830
2023-11-15,22.31,23.19,21.88,22.05,50435
2023-11-16,22.31,22.31,21.52,21.88,43075
2023-11-17,22.31,22.4,21.61,21.7,71427
2023-11-20,21.79,21.79,21.44,21.52,52679
2023-11-21,21.96,22.23,21.7,22.14,98342
2023-11-22,22.14,22.14,21.88,22.05,124253
2023-11-23,22.33,22.33,21.69,21.69,139931
2023-11-24,22.05,22.05,21.51,21.6,43500
2023-11-27,21.6,21.87,21.23,21.23,27900
2023-11-28,21.23,21.23,20.59,21.23,47306
2023-11-29,21.41,21.69,21.23,21.51,198010
2023-11-30,21.78,21.96,21.51,21.6,36790
2023-12-01,21.69,21.78,21.41,21.6,84414
2023-12-04,21.6,22.24,21.6,22.15,88100
2023-12-05,22.15,22.15,21.51,21.78,81410
