time,open,high,low,close,volume
2014-07-10,10.43,10.43,10.07,10.13,120080
2014-07-11,10.13,10.19,10.07,10.16,66310
2014-07-14,10.13,10.25,10.1,10.13,47510
2014-07-15,10.1,10.22,10.1,10.13,43330
2014-07-16,10.28,10.37,10.25,10.34,220910
2014-07-17,10.34,10.34,10.28,10.31,102100
2014-07-18,10.31,10.43,10.22,10.43,140590
2014-07-21,10.37,10.43,10.28,10.28,178820
2014-07-22,10.25,10.31,10.25,10.28,42590
2014-07-23,10.28,10.31,10.13,10.28,46040
2014-07-24,10.16,10.31,10.16,10.25,65140
2014-07-25,10.34,10.81,10.34,10.43,322410
2014-07-28,10.46,10.46,10.13,10.25,74050
2014-07-29,10.28,10.31,10.16,10.25,84190
2014-07-30,10.16,10.25,10.16,10.25,44830
2014-07-31,10.25,10.37,10.19,10.37,78100
2014-08-01,10.4,10.4,10.19,10.19,95030
2014-08-04,10.19,10.31,10.13,10.31,78320
2014-08-05,10.31,10.46,10.31,10.46,147710
2014-08-06,10.46,10.51,10.34,10.34,130160
2014-08-07,10.28,10.49,10.28,10.49,184280
2014-08-08,10.49,10.54,10.31,10.43,140590
2014-08-11,10.31,10.37,10.25,10.31,94360
2014-08-12,10.28,10.43,10.25,10.4,62520
2014-08-13,10.4,10.87,10.37,10.87,384970
2014-08-14,10.87,10.93,10.72,10.84,207590
2014-08-15,11.17,11.5,11.17,11.2,1396240
2014-08-18,11.32,11.44,11.26,11.26,431210
2014-08-19,11.26,11.32,11.14,11.17,192820
2014-08-20,11.14,11.2,10.96,11.02,346240
2014-08-21,10.96,11.11,10.93,10.93,416180
2014-08-22,10.93,11.08,10.93,10.99,183590
2014-08-25,11.02,11.2,10.99,11.14,501880
2014-08-26,11.14,11.17,10.84,10.93,753420
2014-08-27,10.75,10.87,10.34,10.4,1063200
2014-08-28,10.4,10.87,10.34,10.66,411260
2014-08-29,10.75,10.75,10.43,10.54,202390
2014-09-03,10.46,10.46,10.31,10.34,554110
2014-09-04,10.19,10.31,10.04,10.1,352120
2014-09-05,9.98,10.04,9.89,9.95,476930
2014-09-08,9.95,10.37,9.92,10.25,861250
2014-09-09,10.28,10.54,10.13,10.34,425880
2014-09-10,10.22,10.28,10.01,10.28,254220
2014-09-11,10.28,10.31,10.13,10.28,306640
2014-09-12,10.16,10.28,10.07,10.16,355480
2014-09-15,10.07,10.13,10.04,10.13,426240
2014-09-16,10.07,10.34,10.07,10.31,1232870
2014-09-17,10.43,10.63,10.34,10.43,1897860
2014-09-18,10.43,10.49,10.28,10.31,449530
2014-09-19,10.31,10.6,10.31,10.46,7051090
2014-09-22,10.72,10.78,10.49,10.6,1190650
2014-09-23,10.6,10.69,10.49,10.51,435870
2014-09-24,10.46,10.54,10.37,10.4,870180
2014-09-25,10.43,10.63,10.34,10.54,1096130
2014-09-26,10.6,10.9,10.49,10.57,1665870
2014-09-29,10.6,10.84,10.54,10.72,1017450
2014-09-30,10.69,10.75,10.6,10.63,663500
2014-10-01,10.72,11.05,10.63,10.87,1788090
2014-10-02,10.93,11.23,10.9,11.14,1878970
2014-10-03,11.23,11.23,10.93,11.02,1058410
2014-10-06,11.08,11.11,10.96,10.99,974900
2014-10-07,10.99,10.99,10.75,10.78,1306650
2014-10-08,10.72,10.93,10.72,10.81,889340
2014-10-09,10.81,10.99,10.72,10.72,797060
2014-10-10,10.72,10.78,10.6,10.63,1007940
2014-10-13,10.63,10.63,10.51,10.57,580200
2014-10-14,10.57,10.87,10.49,10.54,718540
2014-10-15,10.46,10.51,10.28,10.31,834130
2014-10-16,10.4,10.4,9.98,10.1,778200
2014-10-17,10.1,10.25,9.98,10.19,670090
2014-10-20,10.22,10.28,10.1,10.13,248030
2014-10-21,10.13,10.16,10.01,10.13,258550
2014-10-22,10.13,10.34,10.13,10.34,346240
2014-10-23,10.34,10.34,10.1,10.13,504100
2014-10-24,10.13,10.16,10.01,10.04,372190
2014-10-27,10.01,10.04,9.56,9.56,553770
2014-10-28,9.53,9.71,9.5,9.68,362870
2014-10-29,9.8,10.07,9.77,10.07,231090
2014-10-30,10.07,10.07,9.92,10.04,283480
2014-10-31,10.19,10.43,10.19,10.28,607290
2014-11-03,10.4,10.4,10.16,10.22,232600
2014-11-04,10.22,10.43,10.16,10.22,159640
2014-11-05,10.19,10.31,10.07,10.13,280870
2014-11-06,10.13,10.22,10.1,10.1,197960
2014-11-07,10.22,10.22,10.07,10.13,180410
2014-11-10,10.19,10.31,10.13,10.22,187530
2014-11-11,10.22,10.49,10.19,10.31,280360
2014-11-12,10.31,10.31,10.22,10.25,243060
2014-11-13,10.31,10.43,10.25,10.28,265040
2014-11-14,10.34,10.34,10.16,10.28,270200
2014-11-17,10.19,10.49,10.19,10.28,564920
2014-11-18,10.25,10.37,10.07,10.07,310260
2014-11-19,10.19,10.28,10.01,10.04,315990
2014-11-20,10.04,10.1,10.01,10.04,189970
2014-11-21,10.1,10.1,9.89,9.89,291640
2014-11-24,9.77,9.98,9.56,9.71,182850
2014-11-25,9.62,9.83,9.62,9.68,171260
2014-11-26,9.68,9.83,9.53,9.53,526470
2014-11-27,9.53,9.65,9.47,9.53,136730
2014-11-28,9.53,9.62,9.53,9.53,329640
2014-12-01,9.56,9.65,9.53,9.56,188950
2014-12-02,9.59,9.8,9.59,9.74,299870
2014-12-03,9.77,9.89,9.71,9.71,210360
2014-12-04,9.83,9.83,9.62,9.62,241210
2014-12-05,9.65,9.68,9.56,9.56,111420
2014-12-08,9.59,9.65,9.23,9.23,413260
2014-12-09,9.2,9.68,8.64,9.68,801180
2014-12-10,9.14,9.5,9.09,9.44,156520
2014-12-11,9.6,9.6,9.29,9.47,156790
2014-12-12,9.54,9.54,9.35,9.41,120240
2014-12-15,9.41,9.6,9.38,9.54,120690
2014-12-16,9.44,9.54,9.26,9.26,154340
2014-12-17,9.26,9.29,8.64,8.64,492610
2014-12-18,8.79,8.92,8.76,8.85,193100
2014-12-19,8.89,8.89,8.7,8.76,103800
2014-12-22,8.85,8.95,8.67,8.95,160680
2014-12-23,8.95,8.98,8.7,8.73,136140
2014-12-24,8.92,8.92,8.76,8.79,46170
2014-12-25,8.7,8.79,8.61,8.7,119070
2014-12-26,8.67,8.67,8.51,8.51,188430
2014-12-29,8.55,8.7,8.36,8.48,100080
2014-12-30,8.48,8.67,8.33,8.67,82550
2014-12-31,8.7,8.98,8.67,8.95,172910
2015-01-05,8.95,9.04,8.85,8.85,150040
2015-01-06,8.64,9.13,8.64,9.1,278890
2015-01-07,9.1,9.38,9.1,9.23,281560
2015-01-08,9.16,9.44,9.13,9.29,351060
2015-01-09,9.32,9.54,9.32,9.41,222210
2015-01-12,9.41,9.44,9.16,9.16,148200
2015-01-13,9.1,9.47,9.1,9.32,244100
2015-01-14,9.29,9.32,9.16,9.2,192400
2015-01-15,9.29,9.35,9.2,9.29,177640
2015-01-16,9.29,9.38,9.2,9.2,211150
2015-01-19,9.2,9.23,9.1,9.2,168910
2015-01-20,9.2,9.2,9.04,9.13,69040
2015-01-21,9.2,9.23,9.1,9.13,96040
2015-01-22,9.16,9.2,9.1,9.13,197140
2015-01-23,9.13,9.26,9.13,9.2,195730
2015-01-26,9.1,9.29,9.1,9.23,331120
2015-01-27,9.29,9.47,9.23,9.38,802450
2015-01-28,9.38,9.38,9.23,9.23,180230
2015-01-29,9.23,9.23,9.07,9.2,234150
2015-01-30,9.16,9.16,8.98,9.07,263060
2015-02-02,9.04,9.07,8.79,8.79,152930
2015-02-03,8.89,8.89,8.67,8.67,119950
2015-02-04,8.64,8.79,8.61,8.64,114710
2015-02-05,8.73,8.76,8.61,8.67,58330
2015-02-06,8.67,8.73,8.61,8.67,52490
2015-02-09,8.7,8.7,8.51,8.55,77450
2015-02-10,8.55,8.64,8.51,8.61,43340
2015-02-11,8.76,8.76,8.61,8.73,77470
2015-02-12,8.79,8.79,8.67,8.76,66810
2015-02-13,8.76,8.79,8.73,8.79,63080
2015-02-24,8.85,8.85,8.7,8.79,88100
2015-02-25,8.79,8.98,8.79,8.79,138980
2015-02-26,8.92,8.92,8.73,8.79,89980
2015-02-27,8.89,8.89,8.73,8.79,93370
2015-03-02,8.82,8.82,8.73,8.82,51490
2015-03-03,8.76,8.92,8.76,8.92,229060
2015-03-04,8.92,9.13,8.92,9.13,450750
2015-03-05,9.2,9.29,9.13,9.16,328970
2015-03-06,9.2,9.2,9.1,9.13,130410
2015-03-09,9.13,9.13,8.92,8.92,125840
2015-03-10,8.89,8.92,8.82,8.89,158070
2015-03-11,8.82,8.92,8.82,8.85,117020
2015-03-12,8.89,8.89,8.79,8.89,130680
2015-03-13,8.85,8.89,8.82,8.82,79060
2015-03-16,8.79,8.85,8.79,8.79,127050
2015-03-17,8.79,8.85,8.79,8.82,107110
2015-03-18,8.82,8.98,8.82,8.95,170110
2015-03-19,8.89,9.04,8.85,8.89,50350
2015-03-20,8.85,8.92,8.85,8.92,44790
2015-03-23,8.92,8.95,8.79,8.79,92550
2015-03-24,8.79,8.82,8.73,8.79,122000
2015-03-25,8.79,8.79,8.7,8.7,65150
2015-03-26,8.67,8.73,8.51,8.51,195020
2015-03-27,8.51,8.61,8.39,8.39,166570
2015-03-30,8.45,8.48,8.24,8.24,165670
2015-03-31,8.3,8.42,8.27,8.42,68180
2015-04-01,8.42,8.48,8.24,8.24,232430
2015-04-02,8.27,8.36,8.24,8.36,49480
2015-04-03,8.51,8.51,8.36,8.48,44170
2015-04-06,8.48,8.48,8.36,8.36,14380
2015-04-07,8.36,8.48,8.3,8.48,59850
2015-04-08,8.48,8.51,8.36,8.39,24420
2015-04-09,8.39,8.55,8.39,8.48,79020
2015-04-10,8.48,8.61,8.48,8.48,49170
2015-04-13,8.51,8.55,8.48,8.55,84980
2015-04-14,8.55,8.55,8.45,8.45,47260
2015-04-15,8.51,8.51,8.42,8.48,27880
2015-04-16,8.48,8.61,8.48,8.61,134580
2015-04-17,8.61,9.2,8.61,9.2,620300
2015-04-20,9.29,9.29,9.04,9.1,284540
2015-04-21,9.07,9.1,8.89,8.89,197480
2015-04-22,8.98,9.23,8.89,9.04,238630
2015-04-23,9.04,9.2,8.89,9.16,220460
2015-04-24,9.13,9.23,9.1,9.13,166910
2015-04-27,9.13,9.16,9.07,9.13,73820
2015-05-04,9.13,9.13,8.61,8.67,386280
2015-05-05,8.7,8.92,8.61,8.92,261450
2015-05-06,8.92,9.1,8.82,9.04,350850
2015-05-07,9.04,9.57,9.04,9.47,650870
2015-05-08,9.44,9.81,9.44,9.57,467660
2015-05-11,9.35,9.54,9.35,9.38,161930
2015-05-12,9.47,9.72,9.44,9.54,639670
2015-05-13,9.54,9.69,9.54,9.57,249670
2015-05-14,9.57,9.63,9.44,9.63,211390
2015-05-15,9.57,9.6,9.44,9.44,134890
2015-05-18,9.41,9.41,8.98,8.98,215890
2015-05-19,8.98,9.2,8.95,9.1,152310
2015-05-20,9.1,9.44,9.1,9.41,237550
2015-05-21,9.44,9.5,9.35,9.5,156990
2015-05-22,9.5,9.54,9.35,9.47,133130
2015-05-25,9.44,9.78,9.44,9.75,355830
2015-05-26,9.78,9.88,9.57,9.57,342780
2015-05-27,9.47,9.66,9.47,9.57,211890
2015-05-28,9.47,9.6,9.44,9.5,245600
2015-05-29,9.47,9.5,9.38,9.5,216350
2015-06-01,9.44,9.54,9.44,9.44,112990
2015-06-02,9.41,9.44,9.32,9.32,245670
2015-06-03,9.32,9.47,9.32,9.41,110680
2015-06-04,9.35,9.47,9.35,9.44,111380
2015-06-05,9.5,9.5,9.41,9.5,113600
2015-06-08,9.75,9.81,9.6,9.6,397700
2015-06-09,9.6,9.69,9.44,9.44,154820
2015-06-10,9.5,9.72,9.44,9.63,171290
2015-06-11,9.69,9.69,9.57,9.6,146900
2015-06-12,9.6,9.63,9.57,9.6,158340
2015-06-15,9.57,9.6,9.5,9.57,120380
2015-06-16,9.57,9.57,9.47,9.54,98450
2015-06-17,9.47,9.54,9.35,9.41,88110
2015-06-18,9.6,9.6,9.44,9.44,57780
2015-06-19,9.41,9.47,9.35,9.38,176860
2015-06-22,9.38,9.47,9.35,9.38,66390
2015-06-23,9.38,9.44,9.35,9.44,65200
2015-06-24,9.54,9.66,9.5,9.5,167820
2015-06-25,9.6,9.6,9.44,9.5,57550
2015-06-26,9.54,9.88,9.5,9.6,665310
2015-06-29,9.6,9.69,9.6,9.69,192920
2015-06-30,9.63,9.69,9.6,9.63,196710
2015-07-01,9.66,9.66,9.54,9.63,161670
2015-07-02,9.66,9.72,9.6,9.72,328400
2015-07-03,9.78,9.88,9.72,9.78,347240
2015-07-06,9.85,10.28,9.81,10.28,789380
2015-07-07,10.28,10.43,10.16,10.19,336960
2015-07-08,10.19,10.19,9.91,9.91,427680
2015-07-09,9.85,10.12,9.85,10.12,301100
2015-07-10,10.22,10.22,10.06,10.06,144050
2015-07-13,10.12,10.12,9.97,10.03,169280
2015-07-14,10.0,10.06,9.88,9.91,284500
2015-07-15,9.91,10.09,9.81,9.94,258700
2015-07-16,9.94,10.0,9.88,9.94,85330
2015-07-17,10.03,10.31,9.94,10.16,477260
2015-07-20,10.19,10.22,10.0,10.12,168630
2015-07-21,10.09,10.46,10.09,10.4,574960
2015-07-22,10.37,10.77,10.37,10.77,578620
2015-07-23,10.68,10.81,10.59,10.59,221160
2015-07-24,10.59,10.74,10.53,10.68,379940
2015-07-27,10.65,11.08,10.53,10.99,573920
2015-07-28,10.87,11.05,10.87,10.99,263430
2015-07-29,10.93,11.11,10.84,10.84,501300
2015-07-30,10.74,10.87,10.71,10.74,210870
2015-07-31,10.71,10.96,10.62,10.62,161300
2015-08-03,10.46,10.56,10.25,10.4,808420
2015-08-04,10.28,10.53,10.28,10.37,205890
2015-08-05,10.34,10.59,10.34,10.59,101350
2015-08-06,10.53,10.68,10.53,10.56,265800
2015-08-07,10.56,10.65,10.46,10.53,186190
2015-08-10,10.62,10.84,10.62,10.84,286110
2015-08-11,10.84,10.96,10.74,10.74,170330
2015-08-12,10.71,10.71,10.5,10.56,340370
2015-08-13,10.62,10.62,10.4,10.4,350380
2015-08-14,10.46,10.68,10.28,10.68,284410
2015-08-17,10.77,10.77,10.5,10.5,274250
2015-08-18,10.65,10.65,10.46,10.62,80300
