time,open,high,low,close,volume
2015-06-26,7.58,7.58,7.58,7.58,100
2015-06-29,7.58,7.58,7.58,7.58,0
2015-06-30,7.16,7.16,7.16,7.16,4600
2015-07-01,7.16,7.25,7.16,7.25,6100
2015-07-02,7.25,7.25,7.16,7.25,124500
2015-07-03,7.25,7.25,7.16,7.16,2200
2015-07-06,7.16,7.16,7.16,7.16,9700
2015-07-07,7.16,7.16,7.16,7.16,3000
2015-07-08,7.16,7.16,7.08,7.16,30500
2015-07-09,6.99,7.08,6.99,6.99,10400
2015-07-10,7.08,7.16,7.08,7.16,12000
2015-07-13,7.16,7.16,7.16,7.16,1500
2015-07-14,7.16,7.16,7.16,7.16,1100
2015-07-15,7.16,7.16,7.16,7.16,0
2015-07-16,6.15,7.08,6.15,7.08,3600
2015-07-17,6.99,7.16,6.99,7.16,8900
2015-07-20,7.16,7.16,7.16,7.16,0
2015-07-21,7.08,7.25,7.08,7.16,19700
2015-07-22,7.16,7.16,7.16,7.16,60000
2015-07-23,6.32,6.32,6.32,6.32,100
2015-07-24,6.32,6.32,6.32,6.32,0
2015-07-27,6.32,6.32,6.32,6.32,0
2015-07-28,5.98,5.98,5.98,5.98,100
2015-07-29,5.98,5.98,5.98,5.98,0
2015-07-30,5.98,5.98,5.98,5.98,0
2015-07-31,6.82,6.82,6.82,6.82,1800
2015-08-03,6.07,6.07,6.07,6.07,100
2015-08-04,6.07,6.07,6.07,6.07,0
2015-08-05,6.07,6.07,6.07,6.07,0
2015-08-06,6.07,6.07,6.07,6.07,0
2015-08-07,6.91,6.91,6.91,6.91,5000
2015-08-10,5.9,7.16,5.9,7.16,13600
2015-08-11,6.15,7.16,6.15,7.16,29200
2015-08-12,7.16,7.16,7.16,7.16,36000
2015-08-13,6.15,7.16,6.15,7.16,8200
2015-08-14,7.16,7.16,7.16,7.16,4500
2015-08-17,6.99,6.99,6.99,6.99,5000
2015-08-18,6.99,6.99,6.99,6.99,0
2015-08-19,6.99,6.99,6.99,6.99,0
2015-08-20,6.99,6.99,6.99,6.99,0
2015-08-21,6.99,6.99,6.99,6.99,0
2015-08-24,6.99,6.99,6.99,6.99,0
2015-08-25,6.99,7.08,6.99,7.08,60000
2015-08-26,7.08,7.16,7.08,7.16,22000
2015-08-27,7.16,7.25,7.16,7.25,79600
2015-08-28,6.15,7.16,6.15,7.16,200
2015-08-31,7.16,7.41,7.16,7.41,10800
2015-09-01,7.41,7.41,7.41,7.41,0
2015-09-03,7.5,8.26,7.5,8.26,3400
2015-09-04,7.84,7.84,7.84,7.84,900
2015-09-07,8.34,8.34,8.34,8.34,100
2015-09-08,8.68,8.68,8.68,8.68,100
2015-09-09,8.93,8.93,8.93,8.93,100
2015-09-10,9.27,9.27,9.27,9.27,100
2015-09-11,9.27,9.27,9.27,9.27,0
2015-09-14,7.92,7.92,7.92,7.92,200
2015-09-15,6.74,7.16,6.74,7.16,200
2015-09-16,7.16,7.16,7.16,7.16,0
2015-09-17,7.92,7.92,7.92,7.92,2700
2015-09-18,9.01,9.01,9.01,9.01,900
2015-09-21,7.67,7.67,7.67,7.67,16400
2015-09-22,8.59,8.59,8.59,8.59,100
2015-09-23,9.18,9.18,8.17,8.17,600
2015-09-24,8.17,8.17,8.17,8.17,0
2015-09-25,7.5,7.58,7.41,7.58,22000
2015-09-28,8.17,8.17,8.0,8.0,169200
2015-09-29,8.09,8.09,8.09,8.09,1800
2015-09-30,8.09,8.09,8.09,8.09,0
2015-10-01,7.84,7.84,7.75,7.84,14200
2015-10-02,7.84,7.84,7.84,7.84,0
2015-10-05,7.16,7.16,7.16,7.16,14000
2015-10-06,7.84,7.84,7.58,7.84,140100
2015-10-07,7.75,8.0,7.75,7.92,43500
2015-10-08,7.75,7.75,7.75,7.75,1000
2015-10-09,8.85,8.85,8.85,8.85,100
2015-10-12,8.85,8.85,8.85,8.85,0
2015-10-13,7.58,7.58,7.58,7.58,200
2015-10-14,7.58,7.58,7.58,7.58,0
2015-10-15,6.82,6.82,6.82,6.82,100
2015-10-16,6.82,6.82,6.82,6.82,0
2015-10-19,6.82,6.82,6.82,6.82,0
2015-10-20,6.82,6.82,6.82,6.82,0
2015-10-21,7.33,7.33,7.33,7.33,1000
2015-10-22,7.33,7.33,7.33,7.33,0
2015-10-23,7.33,7.33,7.33,7.33,0
2015-10-26,7.33,7.33,7.33,7.33,0
2015-10-27,7.33,7.33,7.33,7.33,0
2015-10-28,7.33,7.33,7.33,7.33,0
2015-10-29,7.33,7.33,7.33,7.33,0
2015-10-30,7.58,7.58,7.58,7.58,800
2015-11-02,7.58,7.58,7.58,7.58,0
2015-11-03,7.58,7.58,7.58,7.58,0
2015-11-04,7.58,7.58,7.58,7.58,0
2015-11-05,7.58,7.58,7.58,7.58,600
2015-11-06,7.58,7.58,7.58,7.58,0
2015-11-09,7.58,7.58,7.58,7.58,0
2015-11-10,7.58,7.58,7.58,7.58,0
2015-11-11,7.58,7.58,7.58,7.58,0
2015-11-12,7.58,7.58,7.58,7.58,0
2015-11-13,7.58,7.58,7.58,7.58,0
2015-11-16,7.58,7.58,7.58,7.58,0
2015-11-17,7.58,7.58,7.58,7.58,0
2015-11-18,7.58,7.58,7.58,7.58,0
2015-11-19,7.58,7.58,7.58,7.58,0
2015-11-20,7.58,7.58,7.58,7.58,0
2015-11-23,7.58,7.58,7.58,7.58,0
