time,open,high,low,close,volume
2015-06-26,2.3,2.4,2.3,2.3,174840
2015-06-29,2.3,2.3,2.2,2.3,277140
2015-06-30,2.2,2.3,2.2,2.2,319220
2015-07-01,2.1,2.3,2.1,2.2,240530
2015-07-02,2.3,2.3,2.2,2.3,42840
2015-07-03,2.3,2.3,2.2,2.3,227890
2015-07-06,2.2,2.3,2.2,2.2,298030
2015-07-07,2.2,2.3,2.2,2.2,176300
2015-07-08,2.2,2.3,2.1,2.2,26320
2015-07-09,2.2,2.2,2.1,2.2,175890
2015-07-10,2.2,2.2,2.1,2.1,30020
2015-07-13,2.1,2.2,2.1,2.2,117810
2015-07-14,2.2,2.2,2.1,2.1,69180
2015-07-15,2.1,2.2,2.1,2.1,50660
2015-07-16,2.1,2.2,2.1,2.2,55560
2015-07-17,2.2,2.2,2.1,2.2,60210
2015-07-20,2.2,2.2,2.1,2.2,62100
2015-07-21,2.1,2.1,2.1,2.1,72660
2015-07-22,2.0,2.1,2.0,2.0,437810
2015-07-23,2.0,2.0,1.9,1.9,328980
2015-07-24,1.8,1.9,1.8,1.8,119290
2015-07-27,1.8,1.9,1.8,1.9,179930
2015-07-28,1.9,1.9,1.8,1.9,194320
2015-07-29,1.9,1.9,1.8,1.8,342710
2015-07-30,1.9,1.9,1.8,1.9,67440
2015-07-31,1.9,1.9,1.8,1.8,27830
2015-08-03,1.9,1.9,1.7,1.8,114130
2015-08-04,1.8,1.8,1.7,1.7,45720
2015-08-05,1.7,1.8,1.7,1.8,76200
2015-08-06,1.8,1.8,1.7,1.7,30250
2015-08-07,1.8,1.8,1.7,1.7,13410
2015-08-10,1.7,1.8,1.7,1.7,73070
2015-08-11,1.7,1.7,1.7,1.7,62900
2015-08-12,1.7,1.8,1.7,1.7,56780
2015-08-13,1.7,1.7,1.6,1.6,82370
2015-08-14,1.7,1.7,1.6,1.7,61200
2015-08-17,1.7,1.7,1.6,1.6,71460
2015-08-18,1.6,1.7,1.6,1.6,17570
2015-08-19,1.7,1.7,1.6,1.6,3030
2015-08-20,1.6,1.7,1.6,1.6,61930
2015-08-21,1.6,1.7,1.5,1.5,89210
2015-08-24,1.5,1.5,1.4,1.4,166780
2015-08-25,1.4,1.5,1.4,1.5,181910
2015-08-26,1.5,1.6,1.5,1.5,41310
2015-08-27,1.5,1.6,1.4,1.4,74870
2015-08-28,1.5,1.5,1.5,1.5,76450
2015-08-31,1.6,1.6,1.5,1.5,105730
2015-09-01,1.5,1.6,1.5,1.5,142580
2015-09-03,1.5,1.6,1.5,1.6,11090
2015-09-04,1.5,1.6,1.5,1.5,74390
2015-09-07,1.5,1.5,1.4,1.4,14330
2015-09-08,1.5,1.5,1.4,1.5,35320
2015-09-09,1.5,1.6,1.4,1.4,50360
2015-09-10,1.4,1.5,1.3,1.3,39670
2015-09-11,1.4,1.4,1.3,1.4,83970
2015-09-14,1.5,1.5,1.4,1.5,17290
2015-09-15,1.4,1.5,1.4,1.5,27860
2015-09-16,1.4,1.5,1.4,1.4,86220
2015-09-17,1.4,1.4,1.3,1.4,147450
2015-09-18,1.4,1.5,1.3,1.3,43000
2015-09-21,1.4,1.4,1.3,1.4,31410
2015-09-22,1.4,1.5,1.3,1.3,60250
2015-09-23,1.4,1.4,1.3,1.3,61580
2015-09-24,1.4,1.4,1.3,1.4,23380
2015-09-25,1.4,1.4,1.3,1.4,17050
2015-09-28,1.4,1.4,1.3,1.4,12950
2015-09-29,1.3,1.4,1.3,1.3,26240
2015-09-30,1.4,1.4,1.3,1.3,1160
2015-10-01,1.4,1.4,1.3,1.3,15100
2015-10-02,1.4,1.4,1.3,1.4,35100
2015-10-05,1.3,1.4,1.2,1.2,99920
2015-10-06,1.3,1.3,1.2,1.3,189540
2015-10-07,1.3,1.4,1.2,1.4,38640
2015-10-08,1.3,1.4,1.3,1.3,96120
2015-10-09,1.3,1.3,1.2,1.3,187940
2015-10-12,1.3,1.3,1.2,1.2,22720
2015-10-13,1.3,1.3,1.2,1.3,33610
2015-10-14,1.3,1.3,1.2,1.3,3860
2015-10-15,1.3,1.3,1.2,1.3,2650
2015-10-16,1.3,1.3,1.2,1.3,75470
2015-10-19,1.2,1.3,1.2,1.2,25850
2015-10-20,1.2,1.3,1.2,1.2,55140
2015-10-21,1.2,1.3,1.1,1.3,115020
2015-10-22,1.2,1.3,1.2,1.2,64230
2015-10-23,1.3,1.3,1.2,1.2,69120
2015-10-26,1.2,1.2,1.2,1.2,8240
2015-10-27,1.2,1.2,1.1,1.1,113700
2015-10-28,1.1,1.2,1.0,1.0,103740
2015-10-29,1.1,1.1,1.1,1.1,36010
2015-10-30,1.2,1.2,1.1,1.1,39160
2015-11-02,1.2,1.2,1.1,1.1,112490
2015-11-03,1.0,1.2,1.0,1.2,48940
2015-11-04,1.2,1.2,1.2,1.2,54290
2015-11-05,1.2,1.3,1.2,1.3,303240
2015-11-06,1.4,1.4,1.3,1.3,303940
2015-11-09,1.3,1.4,1.3,1.3,74960
2015-11-10,1.3,1.4,1.2,1.4,104500
2015-11-11,1.3,1.4,1.3,1.3,181080
2015-11-12,1.3,1.4,1.2,1.3,99480
2015-11-13,1.3,1.3,1.2,1.3,49140
2015-11-16,1.3,1.3,1.2,1.3,43670
2015-11-17,1.2,1.3,1.2,1.2,149620
2015-11-18,1.2,1.3,1.2,1.2,18590
2015-11-19,1.3,1.3,1.2,1.3,96790
2015-11-20,1.2,1.3,1.2,1.3,229490
2015-11-23,1.2,1.3,1.2,1.3,211370
2015-11-24,1.3,1.4,1.2,1.3,323740
2015-11-25,1.2,1.3,1.2,1.3,273540
2015-11-26,1.3,1.3,1.2,1.2,85750
2015-11-27,1.3,1.3,1.3,1.3,540600
2015-11-30,1.3,1.3,1.3,1.3,31410
2015-12-01,1.3,1.4,1.3,1.3,193580
2015-12-02,1.2,1.3,1.2,1.2,60620
2015-12-03,1.3,1.3,1.2,1.2,51770
2015-12-04,1.3,1.3,1.2,1.3,39260
2015-12-07,1.3,1.3,1.2,1.3,114370
2015-12-08,1.3,1.3,1.3,1.3,141680
2015-12-09,1.3,1.4,1.3,1.3,75850
2015-12-10,1.3,1.3,1.2,1.2,26160
2015-12-11,1.3,1.3,1.2,1.3,4110
2015-12-14,1.3,1.3,1.2,1.2,56620
2015-12-15,1.2,1.3,1.2,1.2,41880
2015-12-16,1.3,1.3,1.2,1.3,32730
2015-12-17,1.3,1.3,1.2,1.3,22810
2015-12-18,1.3,1.3,1.2,1.3,53320
2015-12-21,1.2,1.3,1.2,1.3,36840
2015-12-22,1.3,1.3,1.2,1.3,108330
2015-12-23,1.3,1.3,1.2,1.3,102530
2015-12-24,1.2,1.2,1.2,1.2,53700
2015-12-25,1.2,1.3,1.2,1.3,75130
2015-12-28,1.3,1.3,1.2,1.2,108440
2015-12-29,1.2,1.2,1.1,1.2,15800
2015-12-30,1.2,1.2,1.1,1.2,18280
2015-12-31,1.2,1.2,1.1,1.1,120780
2016-01-04,1.2,1.2,1.1,1.2,127470
2016-01-05,1.1,1.2,1.1,1.2,97540
2016-01-06,1.1,1.2,1.1,1.2,60450
2016-01-07,1.1,1.2,1.1,1.1,270820
2016-01-08,1.1,1.1,1.0,1.1,84610
2016-01-11,1.1,1.1,1.0,1.0,67710
2016-01-12,1.0,1.1,1.0,1.1,74800
2016-01-13,1.1,1.1,1.0,1.0,16690
2016-01-14,1.1,1.1,1.0,1.0,67060
2016-01-15,1.1,1.1,1.0,1.1,48300
2016-01-18,1.0,1.1,1.0,1.0,104970
2016-01-19,1.0,1.1,1.0,1.0,27090
2016-01-20,1.0,1.0,0.9,0.9,33560
2016-01-21,0.9,1.0,0.8,0.9,64950
2016-01-22,0.9,0.9,0.8,0.8,137440
2016-01-25,0.8,0.9,0.8,0.9,240930
2016-01-26,0.9,1.0,0.9,0.9,190170
2016-01-27,0.9,1.0,0.8,1.0,99150
2016-01-28,1.0,1.0,0.9,0.9,89170
2016-01-29,0.8,1.0,0.8,0.9,11380
2016-02-01,1.0,1.0,0.9,0.9,84560
2016-02-02,0.9,1.0,0.9,1.0,7500
2016-02-03,0.9,1.0,0.9,0.9,27360
2016-02-04,0.9,1.0,0.9,1.0,83040
2016-02-05,1.0,1.0,0.9,1.0,78300
2016-02-15,1.0,1.0,0.9,0.9,150510
2016-02-16,1.0,1.0,0.9,1.0,299360
2016-02-17,1.0,1.1,0.9,1.0,221320
2016-02-18,0.9,1.0,0.9,1.0,21240
2016-02-19,1.0,1.0,0.9,1.0,45580
2016-02-22,1.0,1.0,0.9,1.0,95380
2016-02-23,1.0,1.1,0.9,0.9,174540
2016-02-24,1.0,1.0,1.0,1.0,129790
2016-02-25,1.1,1.1,1.1,1.1,414470
2016-02-26,1.2,1.2,1.2,1.2,152350
2016-02-29,1.3,1.3,1.3,1.3,108080
2016-03-01,1.4,1.4,1.4,1.4,184580
2016-03-02,1.5,1.5,1.3,1.4,1578100
2016-03-03,1.4,1.4,1.3,1.3,362210
2016-03-04,1.2,1.3,1.2,1.2,878080
2016-03-07,1.2,1.3,1.2,1.3,589340
2016-03-08,1.3,1.3,1.2,1.2,21400
