time,open,high,low,close,volume
2015-06-26,40.04,40.04,40.04,40.04,200
2015-06-29,36.26,36.38,36.09,36.09,1000
2015-06-30,34.2,39.39,32.49,37.74,3300
2015-07-01,35.2,35.2,35.2,35.2,100
2015-07-02,37.15,37.15,37.15,37.15,200
2015-07-03,36.56,36.56,34.79,34.79,600
2015-07-06,38.15,38.15,35.38,36.32,500
2015-07-07,36.32,36.32,36.32,36.32,0
2015-07-08,35.08,35.79,35.08,35.79,800
2015-07-09,34.79,35.79,34.79,35.79,200
2015-07-10,35.2,35.38,35.2,35.38,244
2015-07-13,35.67,37.15,34.79,35.32,500
2015-07-14,34.2,34.2,33.14,34.14,900
2015-07-15,33.02,34.14,32.43,34.14,500
2015-07-16,31.96,34.08,31.96,34.08,1200
2015-07-17,35.08,35.08,31.37,31.37,1700
2015-07-20,33.61,33.61,31.43,31.84,2000
2015-07-21,33.02,34.5,33.02,34.5,300
2015-07-22,35.26,35.26,35.08,35.08,200
2015-07-23,35.08,35.08,35.08,35.08,200
2015-07-24,35.5,35.5,34.79,34.79,1300
2015-07-27,34.73,34.73,34.73,34.73,200
2015-07-28,34.91,34.91,33.91,33.91,400
2015-07-29,33.32,33.32,33.32,33.32,200
2015-07-30,34.44,34.44,34.44,34.44,500
2015-07-31,32.49,32.49,32.49,32.49,100
2015-08-03,35.32,35.32,35.32,35.32,100
2015-08-04,35.2,35.2,35.2,35.2,100
2015-08-05,35.08,35.08,35.08,35.08,100
2015-08-06,35.08,35.08,35.08,35.08,200
2015-08-07,33.96,33.96,33.96,33.96,200
2015-08-10,35.26,35.26,35.26,35.26,200
2015-08-11,35.26,35.26,35.26,35.26,0
2015-08-12,37.09,37.09,35.08,35.08,217
2015-08-13,35.08,35.08,35.08,35.08,0
2015-08-14,36.85,36.85,36.85,36.85,100
2015-08-17,33.67,33.67,33.67,33.67,100
2015-08-18,33.67,33.67,33.67,33.67,0
2015-08-19,35.14,35.14,35.14,35.14,100
2015-08-20,35.14,35.14,35.14,35.14,0
2015-08-21,35.14,35.14,35.14,35.14,0
2015-08-24,35.14,35.14,35.14,35.14,0
2015-08-25,38.33,38.33,38.33,38.33,100
2015-08-26,38.33,38.33,38.33,38.33,0
2015-08-27,38.33,38.33,38.33,38.33,0
2015-08-28,40.63,40.63,40.63,40.63,100
2015-08-31,36.62,43.05,36.62,41.87,2900
2015-09-01,41.87,41.87,41.87,41.87,0
2015-09-03,41.87,41.87,41.87,41.87,0
2015-09-04,41.87,41.87,41.87,41.87,0
2015-09-07,41.87,41.87,41.87,41.87,0
2015-09-08,41.87,41.87,41.87,41.87,0
2015-09-09,41.87,41.87,41.87,41.87,0
2015-09-10,41.87,41.87,41.87,41.87,0
2015-09-11,41.87,41.87,41.87,41.87,0
2015-09-14,37.68,37.68,37.68,37.68,100
2015-09-15,37.68,37.68,37.68,37.68,0
2015-09-16,39.51,39.51,35.38,35.38,200
2015-09-17,37.15,37.15,37.15,37.15,100
2015-09-18,35.38,38.86,33.43,38.86,1800
2015-09-21,35.08,37.74,35.08,37.74,200
2015-09-22,34.02,35.38,34.02,35.38,1200
2015-09-23,31.9,31.96,31.9,31.96,1600
2015-09-24,32.9,33.02,32.9,33.02,300
2015-09-25,33.73,33.73,33.73,33.73,100
2015-09-28,35.26,35.32,34.85,34.85,1200
2015-09-29,32.43,33.85,31.84,33.85,1500
2015-09-30,35.26,35.26,31.84,33.73,2700
2015-10-01,32.49,32.49,32.49,32.49,100
2015-10-02,33.67,34.79,33.67,34.79,1200
2015-10-05,34.79,34.79,34.79,34.79,0
2015-10-06,32.49,35.08,32.43,35.08,900
2015-10-07,34.79,34.79,34.02,34.02,300
2015-10-08,33.61,34.02,33.61,34.02,500
2015-10-09,33.61,33.79,31.49,33.79,500
2015-10-12,33.79,33.79,33.79,33.79,0
2015-10-13,32.43,33.02,32.43,33.02,300
2015-10-14,32.43,33.2,32.43,33.2,200
2015-10-15,33.02,36.32,33.02,33.02,3200
2015-10-16,33.14,35.79,33.14,35.79,200
2015-10-19,35.32,35.32,35.32,35.32,200
2015-10-20,35.32,35.32,35.32,35.32,0
2015-10-21,35.08,35.08,35.08,35.08,100
2015-10-22,35.08,35.08,35.08,35.08,0
2015-10-23,35.08,35.08,35.08,35.08,0
2015-10-26,33.32,33.32,33.32,33.32,100
2015-10-27,33.61,33.61,33.61,33.61,300
2015-10-28,32.49,33.43,32.49,33.43,300
2015-10-29,32.43,33.26,32.43,33.26,300
2015-10-30,34.79,34.79,33.55,33.55,300
2015-11-02,31.9,31.9,31.78,31.78,700
2015-11-03,32.43,32.43,32.43,32.43,100
2015-11-04,32.43,32.43,32.43,32.43,0
2015-11-05,30.96,32.43,30.96,32.43,400
2015-11-06,32.43,32.43,32.31,32.31,200
2015-11-09,32.14,32.37,31.55,32.37,5300
2015-11-10,33.32,33.32,33.32,33.32,100
2015-11-11,33.32,33.32,33.32,33.32,0
2015-11-12,33.32,33.32,33.32,33.32,0
2015-11-13,30.07,32.55,30.01,32.37,1200
2015-11-16,32.37,32.37,32.37,32.37,0
2015-11-17,33.02,34.97,33.02,33.2,500
2015-11-18,31.84,32.67,31.84,32.67,400
2015-11-19,32.43,32.43,32.43,32.43,300
2015-11-20,33.61,34.79,31.84,31.84,1700
2015-11-23,32.37,32.37,32.37,32.37,400
2015-11-24,34.44,34.44,30.07,31.25,3000
2015-11-25,33.02,33.02,32.37,32.37,500
2015-11-26,32.37,32.37,32.37,32.37,0
2015-11-27,31.84,32.31,29.66,32.31,1000
2015-11-30,33.02,34.38,30.72,32.2,2800
2015-12-01,32.96,35.38,32.67,32.67,1930
2015-12-02,32.67,32.67,32.67,32.67,310
2015-12-03,31.61,31.84,31.61,31.72,400
2015-12-04,32.67,32.67,32.67,32.67,400
2015-12-07,30.13,32.79,30.07,32.79,1100
2015-12-08,32.79,32.79,32.79,32.79,10
2015-12-09,31.25,31.66,31.25,31.66,500
2015-12-10,31.66,31.66,31.66,31.66,0
2015-12-11,31.96,31.96,31.96,31.96,500
2015-12-14,30.25,30.25,30.25,30.25,300
2015-12-15,31.61,31.61,31.61,31.61,200
2015-12-16,31.72,31.78,31.72,31.78,600
2015-12-17,31.78,31.78,31.78,31.78,100
2015-12-18,34.61,34.61,34.61,34.61,500
2015-12-21,31.25,32.43,31.25,32.02,900
2015-12-22,32.02,32.02,32.02,32.02,0
2015-12-23,32.02,32.02,32.02,32.02,0
2015-12-24,30.07,31.96,29.48,31.96,600
2015-12-25,31.96,31.96,31.96,31.96,0
2015-12-28,31.96,31.96,31.96,31.96,0
2015-12-29,32.96,32.96,32.96,32.96,200
2015-12-30,30.66,32.37,30.66,32.2,800
2015-12-31,33.61,33.61,33.61,33.61,100
2016-01-04,33.61,33.61,33.61,33.61,0
2016-01-05,33.61,33.61,33.61,33.61,0
2016-01-06,30.37,32.14,30.25,31.78,2800
2016-01-07,31.78,31.78,31.78,31.78,0
2016-01-08,31.78,31.78,31.78,31.78,0
2016-01-11,30.54,30.54,30.37,30.37,300
2016-01-12,30.37,31.08,30.37,31.08,400
2016-01-13,29.01,29.01,29.01,29.01,100
2016-01-14,31.13,31.13,31.13,31.13,100
2016-01-15,31.49,31.49,31.49,31.49,200
2016-01-18,31.49,31.49,29.66,29.66,1200
2016-01-19,30.13,32.25,30.07,32.25,1100
2016-01-20,32.25,32.25,32.25,32.25,0
2016-01-21,32.14,32.14,32.14,32.14,200
2016-01-22,29.48,32.02,29.48,32.02,700
2016-01-25,29.48,30.66,29.48,30.66,1100
2016-01-26,31.72,31.72,31.72,31.72,200
2016-01-27,31.72,31.72,31.72,31.72,0
2016-01-28,31.72,31.72,31.72,31.72,0
2016-01-29,31.72,31.72,31.72,31.72,0
2016-02-01,31.72,31.72,31.72,31.72,0
2016-02-02,31.25,31.25,30.13,30.13,1100
2016-02-03,31.49,31.49,31.43,31.43,300
2016-02-04,31.43,31.43,31.43,31.43,0
2016-02-05,31.31,32.96,31.31,32.96,1200
2016-02-15,32.96,32.96,32.96,32.96,0
2016-02-16,32.96,32.96,32.96,32.96,0
2016-02-17,31.25,31.78,31.25,31.78,200
2016-02-18,31.55,33.55,28.89,28.89,4500
2016-02-19,31.66,31.66,31.66,31.66,100
2016-02-22,33.61,33.61,33.61,33.61,100
2016-02-23,33.61,33.61,33.61,33.61,0
2016-02-24,31.61,34.02,31.55,34.02,400
2016-02-25,34.02,34.02,34.02,34.02,0
2016-02-26,33.61,37.15,33.32,37.15,3900
2016-02-29,37.15,37.15,37.15,37.15,500
2016-03-01,33.61,37.86,33.61,37.86,800
2016-03-02,37.86,39.51,37.86,39.51,200
2016-03-03,39.51,39.51,39.51,39.51,0
2016-03-04,39.51,39.51,39.51,39.51,0
2016-03-07,35.56,38.15,35.56,38.15,200
2016-03-08,38.15,38.15,38.15,38.15,0
2016-03-09,35.38,37.15,34.38,37.15,2200
2016-03-10,35.44,36.79,35.38,36.79,1000
2016-03-11,36.79,36.79,36.79,36.79,0
2016-03-14,35.32,35.32,35.32,35.32,100
2016-03-15,35.32,35.32,35.32,35.32,0
2016-03-16,34.79,35.38,34.79,35.38,1700
2016-03-17,35.38,35.38,35.38,35.38,1000
2016-03-18,35.91,35.91,35.91,35.91,100
2016-03-21,35.91,35.91,35.91,35.91,0
2016-03-22,35.91,35.91,35.91,35.91,0
2016-03-23,35.38,35.38,35.38,35.38,200
2016-03-24,31.96,35.08,31.96,35.08,300
2016-03-25,35.08,35.08,35.08,35.08,0
2016-03-28,35.08,35.08,34.79,34.79,4000
2016-03-29,37.68,37.68,37.68,37.68,100
2016-03-30,37.68,37.68,37.68,37.68,0
2016-03-31,35.97,38.21,35.97,37.62,1000
2016-04-01,34.79,37.56,33.96,36.56,600
2016-04-04,36.56,36.56,36.56,36.56,100
2016-04-05,36.56,36.56,36.56,36.56,0
2016-04-06,34.79,35.97,34.79,35.97,200
2016-04-07,35.38,35.97,35.38,35.97,2200
2016-04-08,35.97,35.97,35.97,35.97,0
2016-04-11,35.97,35.97,35.97,35.97,0
2016-04-12,34.79,37.44,34.79,37.44,800
