time,open,high,low,close,volume
2015-06-26,4.3,4.32,4.3,4.3,2200
2015-06-29,4.3,4.3,4.3,4.3,0
2015-06-30,4.32,4.32,4.3,4.32,6200
2015-07-01,4.32,4.32,4.32,4.32,4000
2015-07-02,4.3,4.32,4.28,4.32,15300
2015-07-03,4.32,4.65,4.3,4.53,16600
2015-07-06,4.46,4.6,4.46,4.6,3100
2015-07-07,4.53,4.53,4.37,4.37,1800
2015-07-08,4.63,4.63,4.37,4.53,5700
2015-07-09,4.46,4.53,4.42,4.49,9600
2015-07-10,4.58,4.58,4.49,4.49,3500
2015-07-13,4.49,4.53,4.49,4.53,300
2015-07-14,4.53,4.56,4.49,4.56,2000
2015-07-15,4.49,4.53,4.49,4.53,2800
2015-07-16,4.46,4.53,4.46,4.53,1300
2015-07-17,4.46,4.46,4.46,4.46,500
2015-07-20,4.53,4.58,4.49,4.58,6800
2015-07-21,4.63,4.77,4.63,4.77,8800
2015-07-22,4.88,5.23,4.88,5.23,37300
2015-07-23,5.7,5.7,5.25,5.46,19900
2015-07-24,5.32,5.32,5.23,5.23,2200
2015-07-27,5.23,5.32,5.11,5.32,7600
2015-07-28,5.14,5.23,5.14,5.23,600
2015-07-29,5.11,5.23,5.11,5.23,2000
2015-07-30,5.23,5.23,5.18,5.23,2300
2015-07-31,5.28,5.28,5.28,5.28,190
2015-08-03,5.14,5.16,5.14,5.16,2800
2015-08-04,5.16,5.16,5.16,5.16,7100
2015-08-05,5.28,5.28,5.18,5.28,12100
2015-08-06,5.28,5.32,5.28,5.32,600
2015-08-07,5.28,5.44,5.28,5.44,6400
2015-08-10,5.44,5.49,5.37,5.49,19300
2015-08-11,5.46,5.49,5.39,5.39,6700
2015-08-12,5.35,5.39,5.3,5.39,1500
2015-08-13,5.49,5.49,5.35,5.35,500
2015-08-14,5.35,5.35,5.35,5.35,0
2015-08-17,5.39,5.42,5.3,5.35,49200
2015-08-18,5.3,5.86,5.3,5.58,8100
2015-08-19,5.79,5.79,5.49,5.63,10700
2015-08-20,5.65,5.67,5.65,5.67,1000
2015-08-21,5.58,5.6,5.49,5.6,3453
2015-08-24,5.53,5.56,5.25,5.35,47000
2015-08-25,5.32,5.35,5.25,5.32,14200
2015-08-26,5.32,5.32,5.23,5.32,21300
2015-08-27,5.32,5.37,5.32,5.35,4400
2015-08-28,5.35,5.35,5.32,5.35,21400
2015-08-31,5.32,5.44,5.32,5.42,19114
2015-09-01,5.44,5.49,5.42,5.46,2900
2015-09-03,5.46,5.53,5.46,5.49,18500
2015-09-04,5.53,5.67,5.53,5.67,4200
2015-09-07,5.58,5.63,5.58,5.63,15400
2015-09-08,5.65,5.65,5.58,5.63,26200
2015-09-09,5.63,5.79,5.6,5.72,11750
2015-09-10,5.67,5.72,5.6,5.72,7800
2015-09-11,5.65,5.72,5.65,5.72,917
2015-09-14,5.63,5.7,5.63,5.63,21900
2015-09-15,5.63,5.67,5.63,5.63,21900
2015-09-16,5.65,5.67,5.65,5.67,500
2015-09-17,5.67,5.72,5.67,5.72,1400
2015-09-18,5.7,5.74,5.7,5.74,11700
2015-09-21,5.83,5.83,5.76,5.81,3017
2015-09-22,5.81,6.04,5.81,6.02,7000
2015-09-23,6.07,6.14,6.04,6.07,7200
2015-09-24,6.04,6.14,6.04,6.14,3100
2015-09-25,6.09,6.16,6.09,6.16,1000
2015-09-28,6.16,6.28,6.16,6.28,2100
2015-09-29,6.32,6.86,6.32,6.74,3707
2015-09-30,6.74,6.86,6.74,6.83,4373
2015-10-01,6.83,6.86,6.53,6.53,1800
2015-10-02,6.62,6.62,6.56,6.62,1700
2015-10-05,6.6,6.62,6.53,6.62,1000
2015-10-06,6.58,6.65,6.58,6.65,4900
2015-10-07,6.65,6.65,6.6,6.6,700
2015-10-08,6.6,7.09,6.58,7.09,10500
