time,open,high,low,close,volume
2015-06-26,8.11,8.11,8.11,8.11,0
2015-06-29,8.11,8.11,8.11,8.11,0
2015-06-30,8.73,8.73,8.73,8.73,100
2015-07-01,8.73,8.73,8.73,8.73,0
2015-07-02,8.73,8.73,8.73,8.73,0
2015-07-03,8.73,8.73,8.73,8.73,0
2015-07-06,8.73,8.73,8.73,8.73,0
2015-07-07,9.51,9.51,9.51,9.51,100
2015-07-08,9.51,9.51,9.51,9.51,0
2015-07-09,9.51,9.51,9.51,9.51,0
2015-07-10,9.51,9.51,9.51,9.51,0
2015-07-13,8.57,8.57,8.57,8.57,100
2015-07-14,8.57,8.57,8.57,8.57,0
2015-07-15,8.57,8.57,8.57,8.57,0
2015-07-16,8.57,8.57,8.57,8.57,0
2015-07-17,8.57,8.57,8.57,8.57,0
2015-07-20,8.57,8.57,8.57,8.57,0
2015-07-21,8.57,8.57,8.57,8.57,0
2015-07-22,8.57,8.57,8.57,8.57,0
2015-07-23,8.96,8.96,8.96,8.96,100
2015-07-24,9.12,9.66,8.11,9.66,3300
2015-07-27,8.73,8.73,8.73,8.73,500
2015-07-28,8.42,8.42,8.42,8.42,200
2015-07-29,8.42,8.42,8.42,8.42,0
2015-07-30,8.96,8.96,7.64,8.57,700
2015-07-31,8.96,8.96,8.96,8.96,100
2015-08-03,8.11,8.5,8.11,8.5,300
2015-08-04,9.04,9.04,9.04,9.04,100
2015-08-05,9.04,9.04,9.04,9.04,0
2015-08-06,9.04,9.04,9.04,9.04,0
2015-08-07,9.04,9.04,9.04,9.04,0
2015-08-10,9.04,9.04,9.04,9.04,0
2015-08-11,9.74,9.74,8.18,8.18,1300
2015-08-12,8.03,8.81,7.4,8.11,800
2015-08-13,7.33,8.18,7.33,8.18,600
2015-08-14,7.4,8.18,7.4,8.18,800
2015-08-17,8.18,8.18,8.18,8.18,0
2015-08-18,8.18,8.18,8.18,8.18,0
2015-08-19,8.18,8.18,8.18,8.18,0
2015-08-20,8.18,8.18,8.18,8.18,0
2015-08-21,8.18,8.18,8.18,8.18,0
2015-08-24,8.81,8.81,8.81,8.81,100
2015-08-25,8.18,9.43,8.18,9.43,200
2015-08-26,8.5,9.35,8.5,8.96,1000
2015-08-27,8.96,8.96,8.96,8.96,0
2015-08-28,8.11,8.11,8.11,8.11,100
2015-08-31,7.33,8.57,7.33,7.72,1600
2015-09-01,7.01,7.01,7.01,7.01,500
2015-09-03,6.39,7.4,6.39,7.4,200
2015-09-04,7.4,7.4,7.4,7.4,0
2015-09-07,6.7,7.33,6.7,7.17,5700
2015-09-08,7.17,7.17,7.17,7.17,0
2015-09-09,7.79,7.79,6.47,6.47,1100
2015-09-10,7.01,7.01,7.01,7.01,100
2015-09-11,7.64,7.64,6.47,7.56,300
2015-09-14,7.56,7.56,7.56,7.56,0
2015-09-15,7.56,7.56,7.56,7.56,0
2015-09-16,7.56,7.56,7.56,7.56,0
2015-09-17,7.01,8.18,7.01,8.18,1300
2015-09-18,8.42,8.81,8.42,8.81,200
2015-09-21,9.35,9.35,7.95,9.27,300
2015-09-22,8.42,9.2,8.42,9.2,400
2015-09-23,8.34,8.88,8.34,8.88,600
2015-09-24,8.88,8.88,8.88,8.88,0
2015-09-25,8.03,9.51,8.03,8.5,700
2015-09-28,7.72,7.72,7.72,7.72,100
2015-09-29,7.79,8.11,7.01,7.01,2400
2015-09-30,6.55,7.64,6.55,7.56,4100
2015-10-01,7.95,7.95,7.95,7.95,100
2015-10-02,7.17,8.11,7.17,7.48,2400
2015-10-05,6.94,7.87,6.94,7.87,700
2015-10-06,7.09,7.87,7.09,7.87,700
2015-10-07,7.09,7.79,7.09,7.79,800
2015-10-08,7.79,7.79,7.79,7.79,0
2015-10-09,7.01,7.4,7.01,7.4,200
2015-10-12,7.4,7.4,7.4,7.4,0
2015-10-13,7.4,7.4,7.4,7.4,0
2015-10-14,7.4,7.4,7.4,7.4,0
2015-10-15,6.86,7.17,6.7,7.17,2200
2015-10-16,6.47,7.33,6.47,7.33,1100
2015-10-19,6.62,7.95,6.62,7.95,800
2015-10-20,7.95,7.95,7.95,7.95,0
2015-10-21,7.95,7.95,7.95,7.95,0
2015-10-22,7.79,8.57,7.17,7.79,1600
2015-10-23,7.01,7.64,7.01,7.56,6300
2015-10-26,7.79,8.18,6.86,8.11,1500
2015-10-27,7.33,7.72,7.33,7.72,2100
2015-10-28,7.09,7.48,7.09,7.48,500
2015-10-29,6.78,7.79,6.78,7.79,1100
2015-10-30,7.79,8.11,7.79,8.11,600
2015-11-02,8.11,8.11,8.11,8.11,0
2015-11-03,7.33,7.95,7.33,7.72,2100
2015-11-04,7.72,7.72,7.72,7.72,1000
2015-11-05,7.72,8.11,7.72,8.11,200
2015-11-06,8.11,8.11,8.11,8.11,0
2015-11-09,7.48,7.48,7.48,7.48,100
2015-11-10,7.72,8.11,7.09,7.95,1300
2015-11-11,7.33,7.33,7.33,7.33,100
2015-11-12,7.87,7.87,6.78,7.25,1500
2015-11-13,6.62,7.95,6.55,7.95,6800
2015-11-16,8.42,8.42,7.17,7.33,1000
2015-11-17,7.72,7.72,7.72,7.72,100
2015-11-18,7.87,7.87,7.01,7.33,500
2015-11-19,7.72,7.72,7.72,7.72,200
2015-11-20,7.64,8.18,7.01,7.01,6700
2015-11-23,7.09,7.09,7.09,7.09,600
2015-11-24,7.72,7.72,7.72,7.72,100
2015-11-25,7.72,7.87,7.72,7.87,200
2015-11-26,7.79,7.95,7.17,7.72,1900
2015-11-27,7.01,7.64,7.01,7.09,1500
2015-11-30,7.72,7.72,7.56,7.56,300
2015-12-01,7.56,7.56,7.56,7.56,0
2015-12-02,7.09,7.4,7.09,7.4,500
2015-12-03,6.7,7.64,6.7,7.33,400
2015-12-04,6.62,7.33,6.62,7.33,400
2015-12-07,7.33,7.33,7.33,7.33,0
2015-12-08,6.62,7.4,6.62,7.4,500
2015-12-09,6.78,7.79,6.7,7.64,1500
2015-12-10,7.17,7.4,6.94,6.94,600
2015-12-11,7.25,7.25,6.39,7.17,2600
2015-12-14,7.01,7.48,6.7,7.25,1000
2015-12-15,6.62,7.01,6.62,7.01,400
2015-12-16,7.25,7.56,6.55,6.55,600
2015-12-17,7.01,7.01,7.01,7.01,100
2015-12-18,6.86,7.64,6.62,7.64,1100
2015-12-21,7.64,7.64,7.64,7.64,0
2015-12-22,6.94,7.72,6.94,7.01,800
2015-12-23,7.01,7.01,7.01,7.01,0
2015-12-24,7.01,7.01,7.01,7.01,100
2015-12-25,7.01,7.01,7.01,7.01,0
2015-12-28,6.78,7.25,6.78,7.01,600
2015-12-29,6.78,6.78,6.78,6.78,200
2015-12-30,6.78,6.78,6.78,6.78,200
2015-12-31,7.01,7.01,7.01,7.01,2000
2016-01-04,6.47,6.47,6.47,6.47,100
2016-01-05,6.86,6.86,6.86,6.86,100
2016-01-06,6.86,6.86,6.86,6.86,100
2016-01-07,6.86,6.86,6.86,6.86,0
2016-01-08,6.24,7.01,6.24,7.01,2400
2016-01-11,6.31,7.64,6.31,7.33,400
2016-01-12,6.62,7.25,6.62,7.25,300
2016-01-13,6.55,6.7,6.55,6.7,600
2016-01-14,6.7,6.7,6.7,6.7,0
2016-01-15,6.7,6.7,6.7,6.7,0
2016-01-18,6.7,6.7,6.7,6.7,0
2016-01-19,6.24,7.17,6.24,7.17,52500
2016-01-20,7.01,7.64,7.01,7.64,300
2016-01-21,6.94,7.17,6.94,7.17,200
2016-01-22,6.47,6.7,6.47,6.7,400
2016-01-25,6.62,6.94,6.62,6.94,200
2016-01-26,6.31,6.94,6.31,6.94,200
2016-01-27,6.78,7.4,6.47,7.09,1100
2016-01-28,6.78,7.56,6.78,7.56,500
2016-01-29,6.86,7.72,6.86,7.72,700
2016-02-01,7.01,7.25,7.01,7.25,400
2016-02-02,7.25,7.25,7.25,7.25,0
2016-02-03,6.55,7.72,6.55,7.72,600
2016-02-04,7.01,7.64,7.01,7.64,200
2016-02-05,6.94,7.72,6.94,7.64,400
2016-02-15,6.94,7.72,6.94,7.72,200
2016-02-16,7.64,7.64,7.01,7.64,300
2016-02-17,7.56,7.56,7.01,7.4,400
2016-02-18,7.09,7.09,7.09,7.09,100
2016-02-19,7.33,7.64,7.25,7.64,300
2016-02-22,7.64,8.18,7.09,8.03,400
2016-02-23,8.03,8.03,8.03,8.03,0
2016-02-24,7.25,8.34,7.25,8.34,200
2016-02-25,8.34,8.34,8.34,8.34,0
2016-02-26,7.56,8.96,7.56,7.56,900
2016-02-29,8.18,8.18,7.09,7.95,2000
2016-03-01,7.17,8.03,7.17,7.95,1500
2016-03-02,7.72,8.57,7.17,7.95,2300
2016-03-03,7.79,8.34,7.25,8.34,300
2016-03-04,8.18,8.88,7.56,7.56,1900
2016-03-07,7.48,8.18,7.48,8.18,3100
2016-03-08,8.11,8.11,7.4,8.03,3700
2016-03-09,7.95,8.26,7.95,8.26,1200
2016-03-10,8.11,8.11,7.79,7.87,300
2016-03-11,7.79,7.95,7.25,7.64,900
2016-03-14,7.56,7.87,7.09,7.79,600
2016-03-15,7.64,7.72,7.64,7.72,400
2016-03-16,7.64,8.11,7.25,8.11,800
2016-03-17,7.87,7.87,7.33,7.79,1500
2016-03-18,7.64,8.11,7.17,8.11,400
2016-03-21,8.03,8.03,7.33,7.79,1300
2016-03-22,7.72,7.72,7.72,7.72,200
2016-03-23,7.72,7.72,7.72,7.72,100
2016-03-24,8.04,8.04,8.04,8.04,100
2016-03-25,8.13,8.13,8.13,8.13,100
2016-03-28,8.13,8.13,7.55,8.13,400
2016-03-29,8.13,8.62,7.39,8.54,1700
2016-03-30,8.86,8.86,7.72,8.21,700
2016-03-31,8.54,8.54,7.39,8.45,300
2016-04-01,8.37,8.37,7.63,8.37,600
2016-04-04,8.29,8.54,7.55,8.54,300
2016-04-05,7.8,8.21,7.8,8.21,600
2016-04-06,7.55,8.54,7.55,8.54,200
2016-04-07,8.54,8.54,8.54,8.54,0
2016-04-08,8.62,9.19,7.72,9.19,4700
2016-04-11,9.19,9.44,9.03,9.44,400
2016-04-12,8.54,9.36,8.54,9.11,1800
2016-04-13,8.21,9.11,8.21,9.11,200
