time,open,high,low,close,volume
2014-07-10,3.01,3.01,2.87,3.0,5080
2014-07-11,3.16,3.16,3.16,3.16,10
2014-07-14,2.94,3.01,2.94,3.01,60
2014-07-15,2.87,3.0,2.87,3.0,6500
2014-07-16,2.86,2.98,2.79,2.98,2480
2014-07-17,2.87,2.98,2.87,2.98,5770
2014-07-18,2.87,2.87,2.8,2.8,6880
2014-07-21,2.83,2.83,2.8,2.8,1840
2014-07-22,2.74,2.74,2.74,2.74,710
2014-07-23,2.74,2.74,2.74,2.74,0
2014-07-24,2.71,2.71,2.71,2.71,1930
2014-07-25,2.74,2.74,2.72,2.72,800
2014-07-28,2.74,2.74,2.74,2.74,30
2014-07-29,2.56,2.86,2.56,2.86,4360
2014-07-30,2.74,2.74,2.74,2.74,600
2014-07-31,2.79,2.79,2.79,2.79,10
2014-08-01,2.61,2.61,2.6,2.6,1240
2014-08-04,2.54,2.74,2.54,2.74,700
2014-08-05,2.57,2.74,2.57,2.74,5310
2014-08-06,2.74,2.74,2.74,2.74,4100
2014-08-07,2.75,2.75,2.74,2.74,610
2014-08-08,2.83,2.83,2.83,2.83,10
2014-08-11,2.74,2.74,2.74,2.74,1000
2014-08-12,2.74,2.74,2.74,2.74,0
2014-08-13,2.87,2.87,2.87,2.87,20
2014-08-14,2.86,2.86,2.86,2.86,100
2014-08-15,2.86,2.86,2.86,2.86,0
2014-08-18,2.67,2.72,2.67,2.72,750
2014-08-19,2.68,2.68,2.67,2.67,670
2014-08-20,2.56,2.8,2.56,2.8,790
2014-08-21,2.8,2.8,2.8,2.8,50
2014-08-22,2.8,2.8,2.8,2.8,0
2014-08-25,2.8,2.8,2.74,2.74,6060
2014-08-26,2.74,2.93,2.74,2.86,3580
2014-08-27,2.74,2.86,2.74,2.86,20
2014-08-28,2.74,2.74,2.74,2.74,1190
2014-08-29,2.75,2.75,2.74,2.74,3350
2014-09-03,2.74,2.8,2.67,2.8,1900
2014-09-04,2.82,3.0,2.82,3.0,400
2014-09-05,3.0,3.0,2.85,2.94,7040
2014-09-08,2.94,3.15,2.9,3.12,1470
2014-09-09,3.13,3.13,3.02,3.02,9430
2014-09-10,3.01,3.08,2.86,3.08,1490
2014-09-11,3.08,3.08,3.08,3.08,0
2014-09-12,3.08,3.08,2.87,2.94,5090
2014-09-15,2.87,3.06,2.87,3.06,65870
2014-09-16,2.87,2.87,2.87,2.87,1630
2014-09-17,2.87,2.94,2.87,2.87,57570
2014-09-18,2.87,2.87,2.87,2.87,68230
2014-09-19,2.87,2.87,2.87,2.87,80700
2014-09-22,2.87,2.87,2.71,2.87,105000
2014-09-23,2.87,2.91,2.87,2.91,56150
2014-09-24,2.87,2.87,2.87,2.87,57000
2014-09-25,2.87,2.87,2.87,2.87,59060
2014-09-26,2.87,3.06,2.87,3.06,107900
2014-09-29,3.27,3.27,3.09,3.19,74980
2014-09-30,3.02,3.15,3.02,3.08,23870
2014-10-01,3.08,3.08,2.97,2.98,22020
2014-10-02,2.91,3.04,2.9,2.97,86510
2014-10-03,3.01,3.13,2.9,2.94,20730
2014-10-06,2.9,3.08,2.9,3.08,12910
2014-10-07,3.08,3.12,2.96,3.12,9800
2014-10-08,3.0,3.09,2.98,2.98,3160
2014-10-09,2.94,3.02,2.93,3.02,5630
2014-10-10,2.97,3.04,2.97,3.04,13510
2014-10-13,2.96,2.96,2.94,2.94,4930
2014-10-14,2.94,3.01,2.94,3.01,5390
2014-10-15,2.87,2.94,2.87,2.94,6720
2014-10-16,2.91,3.01,2.91,3.01,6570
2014-10-17,3.01,3.01,2.93,2.93,2810
2014-10-20,2.93,2.97,2.93,2.94,7690
2014-10-21,2.94,2.97,2.91,2.96,5430
2014-10-22,2.89,3.0,2.89,3.0,2080
2014-10-23,2.93,3.0,2.93,3.0,1010
2014-10-24,2.83,3.0,2.83,3.0,2150
2014-10-27,2.83,2.98,2.83,2.89,4400
2014-10-28,2.89,2.9,2.8,2.9,4190
2014-10-29,2.8,3.0,2.8,3.0,15350
2014-10-30,2.83,3.0,2.83,2.87,570
2014-10-31,3.01,3.01,2.87,2.87,2560
2014-11-03,2.75,3.05,2.75,2.76,1030
2014-11-04,2.7,2.94,2.7,2.78,270
2014-11-05,2.78,2.97,2.78,2.97,1150
2014-11-06,2.97,2.98,2.97,2.98,9310
2014-11-07,3.01,3.08,3.01,3.06,4920
2014-11-10,3.06,3.15,3.06,3.15,14730
2014-11-11,3.15,3.28,3.15,3.28,23400
2014-11-12,3.28,3.35,3.28,3.32,17010
2014-11-13,3.31,3.35,3.22,3.35,14290
2014-11-14,3.35,3.35,3.23,3.28,230
2014-11-17,3.22,3.3,3.22,3.27,26860
2014-11-18,3.27,3.28,3.17,3.28,3190
2014-11-19,3.28,3.28,3.16,3.27,4050
2014-11-20,3.31,3.31,3.17,3.27,1480
2014-11-21,3.23,3.23,3.2,3.23,2860
2014-11-24,3.34,3.34,3.08,3.12,970
2014-11-25,3.12,3.26,3.11,3.12,4080
2014-11-26,3.22,3.28,3.17,3.23,13220
2014-11-27,3.22,3.28,3.22,3.27,9030
2014-11-28,3.42,3.42,3.27,3.27,18610
2014-12-01,3.41,3.41,3.3,3.35,27800
2014-12-02,3.41,3.41,3.34,3.34,6240
2014-12-03,3.37,3.37,3.26,3.26,7560
2014-12-04,3.26,3.28,3.22,3.28,7670
2014-12-05,3.3,3.34,3.26,3.26,9230
2014-12-08,3.41,3.41,3.24,3.28,4060
2014-12-09,3.28,3.28,3.12,3.15,7950
2014-12-10,3.01,3.27,3.01,3.24,9190
2014-12-11,3.28,3.28,3.08,3.27,3680
2014-12-12,3.27,3.3,3.22,3.28,9700
2014-12-15,3.27,3.28,3.24,3.27,21260
2014-12-16,3.27,3.28,3.15,3.26,28980
2014-12-17,3.28,3.28,3.08,3.08,2440
2014-12-18,3.24,3.24,3.24,3.24,50
2014-12-19,3.28,3.3,3.28,3.3,30
2014-12-22,3.45,3.45,3.32,3.32,50
2014-12-23,3.1,3.28,3.1,3.2,70
2014-12-24,3.28,3.35,3.08,3.24,820
2014-12-25,3.22,3.22,3.22,3.22,620
2014-12-26,3.08,3.26,3.08,3.22,530
2014-12-29,3.08,3.28,3.08,3.08,260
2014-12-30,3.24,3.24,3.24,3.24,10
2014-12-31,3.22,3.24,3.02,3.02,3210
2015-01-05,3.08,3.08,3.0,3.02,30
2015-01-06,3.22,3.22,2.98,2.98,550
2015-01-07,2.89,2.98,2.79,2.98,2490
2015-01-08,2.98,2.98,2.81,2.89,4890
2015-01-09,2.89,3.08,2.89,2.89,4650
2015-01-12,3.08,3.08,2.89,3.04,4170
2015-01-13,3.24,3.24,3.24,3.24,510
2015-01-14,3.02,3.08,3.02,3.06,6480
2015-01-15,2.87,3.04,2.85,2.91,3160
2015-01-16,2.91,2.98,2.79,2.98,5730
2015-01-19,2.98,3.18,2.89,3.0,1270
2015-01-20,3.02,3.02,3.02,3.02,120
2015-01-21,2.87,2.87,2.81,2.87,13810
2015-01-22,3.02,3.02,2.83,2.89,140
2015-01-23,3.04,3.04,2.79,2.89,220
2015-01-26,3.0,3.0,2.81,2.83,4610
2015-01-27,2.87,2.87,2.83,2.87,7830
2015-01-28,3.04,3.04,3.04,3.04,60
2015-01-29,3.22,3.22,2.85,3.08,980
2015-01-30,2.89,2.89,2.87,2.87,1720
2015-02-02,2.98,2.98,2.79,2.85,5170
2015-02-03,2.75,2.85,2.75,2.85,2300
2015-02-04,2.98,2.98,2.77,2.83,270
2015-02-05,2.77,2.85,2.77,2.85,40
2015-02-06,2.93,2.93,2.77,2.81,3040
2015-02-09,2.98,2.98,2.67,2.67,2520
2015-02-10,2.79,2.79,2.67,2.71,10400
2015-02-11,2.87,2.87,2.87,2.87,10
2015-02-12,2.98,2.98,2.87,2.87,70
2015-02-13,2.96,3.06,2.73,2.83,2120
2015-02-24,3.0,3.0,2.77,2.87,460
2015-02-25,2.98,2.98,2.71,2.71,9870
2015-02-26,2.71,2.89,2.71,2.83,5280
2015-02-27,2.83,2.87,2.83,2.87,310
2015-03-02,2.71,2.85,2.71,2.85,2190
2015-03-03,2.75,2.83,2.73,2.83,7110
2015-03-04,2.77,2.85,2.73,2.85,5740
2015-03-05,2.89,3.04,2.83,3.04,33360
2015-03-06,3.04,3.06,2.85,2.85,8130
2015-03-09,3.0,3.04,2.91,2.93,18720
2015-03-10,2.98,3.04,2.93,3.04,5370
2015-03-11,3.04,3.08,2.96,3.08,11230
2015-03-12,2.96,3.06,2.93,3.06,2050
2015-03-13,3.06,3.08,3.04,3.08,21060
2015-03-16,2.96,3.06,2.96,3.06,1090
2015-03-17,2.93,3.04,2.93,3.04,400
2015-03-18,2.93,3.06,2.91,3.06,6860
2015-03-19,2.91,3.02,2.91,3.02,6050
2015-03-20,2.91,3.0,2.89,2.98,18840
2015-03-23,3.04,3.04,2.87,2.98,12630
2015-03-24,3.08,3.08,2.87,2.87,2370
2015-03-25,3.04,3.04,3.02,3.04,4120
2015-03-26,2.85,2.93,2.85,2.93,450
2015-03-27,3.0,3.0,2.79,2.98,250
2015-03-30,3.04,3.04,2.89,2.89,3120
2015-03-31,3.04,3.04,2.89,2.96,3120
2015-04-01,3.1,3.1,2.85,2.85,9920
