time,open,high,low,close,volume
2015-06-26,4.6,4.9,4.6,4.6,380790
2015-06-29,4.6,4.6,4.2,4.2,309500
2015-06-30,3.9,4.1,3.8,3.8,421480
2015-07-01,3.8,4.1,3.6,3.8,194690
2015-07-02,3.8,3.9,3.7,3.9,52300
2015-07-03,3.9,3.9,3.7,3.9,137400
2015-07-06,3.8,3.9,3.6,3.6,250700
2015-07-07,3.6,3.7,3.3,3.3,216100
2015-07-08,3.3,3.6,3.3,3.4,316100
2015-07-09,3.4,3.4,3.3,3.4,81500
2015-07-10,3.4,3.5,3.3,3.3,89600
2015-07-13,3.4,3.6,3.3,3.3,191300
2015-07-14,3.3,3.4,3.1,3.4,150900
2015-07-15,3.3,3.3,3.1,3.1,313900
2015-07-16,3.1,3.1,3.0,3.1,30300
2015-07-17,3.1,3.4,3.0,3.4,210100
2015-07-20,3.2,3.7,3.2,3.5,278840
2015-07-21,3.5,3.6,3.4,3.5,118500
2015-07-22,3.2,3.3,3.2,3.2,334110
2015-07-23,2.9,3.1,2.9,2.9,675800
2015-07-24,3.1,3.1,2.9,3.1,89800
2015-07-27,3.1,3.2,2.9,3.1,128540
2015-07-28,3.1,3.1,2.9,3.0,81400
2015-07-29,2.9,2.9,2.7,2.7,160300
2015-07-30,2.8,2.9,2.8,2.9,129100
2015-07-31,2.9,3.0,2.8,2.8,33500
2015-08-03,2.8,2.8,2.6,2.6,143500
2015-08-04,2.6,2.7,2.4,2.4,111020
2015-08-05,2.6,2.6,2.4,2.6,133300
2015-08-06,2.6,2.6,2.4,2.5,145320
2015-08-07,2.5,2.5,2.4,2.5,54110
2015-08-10,2.5,2.5,2.4,2.4,65340
2015-08-11,2.3,2.4,2.2,2.3,84900
2015-08-12,2.3,2.5,2.3,2.5,196500
2015-08-13,2.5,2.6,2.3,2.5,100700
2015-08-14,2.3,2.5,2.3,2.5,16800
2015-08-17,2.5,2.5,2.3,2.3,92600
2015-08-18,2.1,2.3,2.1,2.3,33500
2015-08-19,2.1,2.4,2.1,2.4,57400
2015-08-20,2.2,2.3,2.2,2.2,93500
2015-08-21,2.0,2.2,2.0,2.0,159500
2015-08-24,1.9,2.2,1.8,1.8,258550
2015-08-25,1.7,1.9,1.7,1.8,91620
2015-08-26,1.7,1.9,1.7,1.9,64800
2015-08-27,2.0,2.0,2.0,2.0,28300
2015-08-28,2.2,2.2,2.2,2.2,115400
2015-08-31,2.4,2.4,2.2,2.2,67300
2015-09-01,2.2,2.3,2.2,2.2,50600
2015-09-03,2.1,2.1,2.0,2.0,60920
2015-09-04,2.0,2.1,2.0,2.0,42730
2015-09-07,2.0,2.2,2.0,2.2,35200
2015-09-08,2.1,2.1,2.0,2.1,59310
2015-09-09,2.1,2.1,2.0,2.0,41600
2015-09-10,2.1,2.1,1.9,1.9,15900
2015-09-11,2.0,2.0,2.0,2.0,30200
2015-09-14,2.0,2.0,2.0,2.0,20000
2015-09-15,2.0,2.1,2.0,2.1,1600
2015-09-16,2.0,2.1,1.9,2.1,58179
2015-09-17,2.0,2.0,1.9,2.0,31400
2015-09-18,2.1,2.1,2.0,2.0,6820
2015-09-21,2.0,2.0,1.9,2.0,31100
2015-09-22,2.0,2.1,2.0,2.1,8400
2015-09-23,2.0,2.0,2.0,2.0,39800
2015-09-24,2.0,2.0,2.0,2.0,19800
2015-09-25,2.0,2.0,1.9,1.9,45500
2015-09-28,1.9,2.0,1.9,2.0,11500
2015-09-29,1.9,2.0,1.9,2.0,35210
2015-09-30,1.9,1.9,1.9,1.9,10700
2015-10-01,1.9,2.0,1.9,1.9,19900
2015-10-02,1.9,1.9,1.9,1.9,5500
2015-10-05,1.9,1.9,1.8,1.9,32100
2015-10-06,1.9,2.0,1.9,2.0,28300
2015-10-07,2.0,2.0,1.9,2.0,7300
2015-10-08,1.9,2.0,1.9,2.0,44300
2015-10-09,1.9,1.9,1.9,1.9,32800
2015-10-12,1.9,1.9,1.9,1.9,10400
2015-10-13,1.9,2.0,1.8,2.0,23300
2015-10-14,1.9,1.9,1.8,1.9,14800
2015-10-15,1.9,1.9,1.9,1.9,12400
2015-10-16,1.9,2.0,1.9,2.0,20300
2015-10-19,1.9,1.9,1.9,1.9,4800
2015-10-20,1.9,2.0,1.9,2.0,30600
2015-10-21,2.2,2.2,2.0,2.1,285300
2015-10-22,2.1,2.1,2.0,2.1,48980
2015-10-23,2.1,2.2,2.0,2.1,59800
2015-10-26,1.9,2.0,1.9,2.0,118000
2015-10-27,1.9,2.0,1.8,2.0,117230
2015-10-28,1.9,2.0,1.9,1.9,25700
2015-10-29,2.0,2.0,2.0,2.0,56000
2015-10-30,2.0,2.0,1.9,2.0,42900
2015-11-02,2.0,2.0,1.9,1.9,21200
2015-11-03,1.9,1.9,1.9,1.9,27400
2015-11-04,1.9,2.0,1.9,1.9,28400
2015-11-05,2.0,2.0,1.9,2.0,172000
2015-11-06,2.1,2.1,2.0,2.0,44820
2015-11-09,2.0,2.0,1.9,2.0,21300
2015-11-10,2.0,2.0,1.9,2.0,26500
2015-11-11,1.9,2.0,1.9,1.9,65600
2015-11-12,1.9,2.0,1.9,1.9,61510
2015-11-13,1.9,1.9,1.8,1.9,52200
2015-11-16,1.9,2.0,1.9,2.0,62200
2015-11-17,2.0,2.1,1.9,2.0,155100
2015-11-18,2.0,2.0,2.0,2.0,64200
2015-11-19,2.0,2.2,2.0,2.2,207450
2015-11-20,2.3,2.4,2.3,2.4,156800
2015-11-23,2.5,2.6,2.3,2.3,109600
2015-11-24,2.2,2.4,2.1,2.3,133900
2015-11-25,2.2,2.3,2.2,2.2,69100
2015-11-26,2.3,2.4,2.2,2.2,85830
2015-11-27,2.3,2.4,2.2,2.2,88300
2015-11-30,2.2,2.2,2.0,2.0,74200
2015-12-01,2.0,2.1,2.0,2.1,44900
2015-12-02,2.1,2.1,2.0,2.1,7700
2015-12-03,2.1,2.2,2.1,2.1,14600
2015-12-04,2.0,2.1,2.0,2.1,33400
2015-12-07,2.1,2.1,2.0,2.0,34200
2015-12-08,2.0,2.1,2.0,2.1,46300
2015-12-09,2.1,2.1,2.0,2.1,24310
2015-12-10,2.0,2.0,2.0,2.0,25100
2015-12-11,2.0,2.0,1.9,1.9,24000
2015-12-14,2.0,2.0,2.0,2.0,26800
2015-12-15,2.0,2.0,2.0,2.0,16000
2015-12-16,2.0,2.1,2.0,2.1,31900
2015-12-17,2.1,2.1,2.0,2.0,20110
2015-12-18,2.0,2.0,2.0,2.0,19600
2015-12-21,2.0,2.0,1.9,2.0,32840
2015-12-22,2.0,2.1,2.0,2.1,52800
2015-12-23,2.0,2.0,2.0,2.0,2700
2015-12-24,2.0,2.1,2.0,2.1,25100
2015-12-25,2.1,2.1,2.0,2.0,51700
2015-12-28,2.0,2.1,2.0,2.0,37240
2015-12-29,2.0,2.2,2.0,2.2,83800
2015-12-30,2.2,2.2,2.2,2.2,21200
2015-12-31,2.1,2.1,2.0,2.0,23600
2016-01-04,2.0,2.1,1.9,2.0,71200
2016-01-05,2.0,2.0,2.0,2.0,23960
2016-01-06,2.0,2.0,2.0,2.0,49410
2016-01-07,2.0,2.0,1.9,1.9,60600
2016-01-08,1.9,1.9,1.9,1.9,29200
2016-01-11,1.9,2.0,1.9,2.0,16300
2016-01-12,2.0,2.0,1.9,1.9,38400
2016-01-13,1.9,2.0,1.9,2.0,102400
2016-01-14,1.9,2.0,1.8,1.9,143600
2016-01-15,1.9,1.9,1.8,1.9,52300
2016-01-18,1.8,1.9,1.8,1.8,94100
2016-01-19,1.7,1.8,1.7,1.7,54400
2016-01-20,1.8,1.8,1.8,1.8,33600
2016-01-21,1.9,1.9,1.8,1.9,96900
2016-01-22,2.0,2.0,2.0,2.0,130300
2016-01-25,2.2,2.2,2.2,2.2,66400
2016-01-26,2.4,2.4,2.4,2.4,184700
2016-01-27,2.6,2.6,2.6,2.6,58010
2016-01-28,2.8,2.8,2.8,2.8,254100
2016-01-29,3.0,3.0,2.9,3.0,796710
2016-02-01,3.3,3.3,2.8,3.2,356410
2016-02-02,3.2,3.2,2.9,3.0,173800
2016-02-03,2.9,2.9,2.7,2.7,322600
2016-02-04,2.8,2.9,2.8,2.9,130300
2016-02-05,3.1,3.1,2.8,3.0,75200
2016-02-15,2.9,3.0,2.8,3.0,81500
2016-02-16,2.9,3.0,2.8,2.9,101400
2016-02-17,2.8,2.9,2.7,2.8,262600
2016-02-18,2.7,2.9,2.7,2.9,32110
2016-02-19,2.9,2.9,2.7,2.7,99220
2016-02-22,2.8,2.9,2.7,2.9,156200
2016-02-23,2.9,2.9,2.7,2.9,169000
2016-02-24,2.7,2.8,2.7,2.8,57600
2016-02-25,2.8,2.8,2.6,2.6,147500
2016-02-26,2.6,2.8,2.6,2.8,223130
2016-02-29,2.8,3.0,2.8,3.0,140000
2016-03-01,2.9,3.0,2.8,2.9,121700
2016-03-02,2.9,2.9,2.8,2.8,75500
2016-03-03,2.7,2.8,2.6,2.8,139700
2016-03-04,2.7,2.9,2.7,2.7,50300
2016-03-07,2.6,2.9,2.6,2.8,61400
2016-03-08,2.8,2.8,2.7,2.7,44900
2016-03-09,2.8,2.8,2.7,2.7,37800
2016-03-10,2.8,2.8,2.6,2.8,65756
