time,open,high,low,close,volume
2014-07-10,25.61,26.01,25.61,26.01,700
2014-07-11,25.86,25.86,25.86,25.86,1400
2014-07-14,25.86,25.86,25.86,25.86,0
2014-07-15,26.11,26.11,26.11,26.11,100
2014-07-16,26.11,26.11,26.11,26.11,0
2014-07-17,25.86,25.86,25.86,25.86,700
2014-07-18,25.61,25.61,25.61,25.61,1000
2014-07-21,25.61,25.61,25.61,25.61,2400
2014-07-22,25.61,25.61,25.36,25.41,3600
2014-07-23,25.36,25.41,25.36,25.41,3800
2014-07-24,25.61,25.61,25.41,25.41,6000
2014-07-25,25.41,25.41,25.41,25.41,0
2014-07-28,25.41,25.41,25.41,25.41,0
2014-07-29,25.41,25.41,25.36,25.36,1700
2014-07-30,25.36,25.36,25.36,25.36,1700
2014-07-31,25.36,25.36,25.36,25.36,0
2014-08-01,25.71,25.71,25.61,25.61,200
2014-08-04,25.61,25.61,25.11,25.11,4000
2014-08-05,25.36,25.36,25.36,25.36,100
2014-08-06,26.11,26.11,25.36,25.36,2900
2014-08-07,25.41,25.41,25.31,25.31,6500
2014-08-08,25.61,25.61,25.61,25.61,100
2014-08-11,25.61,25.61,25.61,25.61,2000
2014-08-12,25.16,26.11,25.11,26.11,500
2014-08-13,25.86,25.86,25.86,25.86,2100
2014-08-14,25.86,25.86,25.86,25.86,2100
2014-08-15,25.86,25.86,25.86,25.86,2600
2014-08-18,25.61,25.61,25.61,25.61,10900
2014-08-19,25.11,27.62,25.11,25.86,3400
2014-08-20,25.86,26.36,25.86,26.36,1200
2014-08-21,26.36,26.36,26.36,26.36,0
2014-08-22,27.62,27.62,27.62,27.62,500
2014-08-25,25.86,25.86,25.86,25.86,800
2014-08-26,26.63,26.63,26.38,26.63,6200
2014-08-27,26.63,26.63,26.63,26.63,4800
2014-08-28,26.38,26.38,26.38,26.38,2000
2014-08-29,26.63,26.63,26.63,26.63,4400
2014-09-03,26.63,26.63,26.63,26.63,0
2014-09-04,26.38,26.89,26.38,26.89,300
2014-09-05,26.63,26.63,26.63,26.63,400
2014-09-08,26.63,26.63,26.63,26.63,600
2014-09-09,26.63,26.63,26.38,26.63,4100
2014-09-10,26.38,26.63,26.38,26.63,2800
2014-09-11,26.63,26.63,26.63,26.63,0
2014-09-12,26.63,26.63,26.63,26.63,0
2014-09-15,26.69,26.69,26.69,26.69,100
2014-09-16,26.63,26.63,26.63,26.63,400
2014-09-17,26.63,26.63,26.63,26.63,0
2014-09-18,26.63,26.63,26.63,26.63,200
2014-09-19,26.63,26.63,26.63,26.63,0
2014-09-22,26.63,26.63,26.63,26.63,0
2014-09-23,26.63,26.63,26.63,26.63,0
2014-09-24,26.43,26.43,26.38,26.38,1000
2014-09-25,25.96,25.96,25.96,25.96,100
2014-09-26,25.96,25.96,25.96,25.96,0
2014-09-29,25.96,25.96,25.96,25.96,0
2014-09-30,26.38,26.38,26.38,26.38,400
2014-10-01,26.89,26.89,26.89,26.89,1000
2014-10-02,26.89,26.89,26.89,26.89,0
2014-10-03,26.89,26.89,26.89,26.89,0
2014-10-06,26.89,26.89,26.89,26.89,100
2014-10-07,26.63,26.63,26.63,26.63,100
2014-10-08,26.63,26.63,26.63,26.63,0
2014-10-09,24.31,26.63,24.31,26.63,300
2014-10-10,26.63,26.63,26.63,26.63,0
2014-10-13,26.63,26.63,26.63,26.63,1900
2014-10-14,26.63,26.63,26.63,26.63,0
2014-10-15,26.63,26.63,26.63,26.63,0
2014-10-16,26.63,26.63,26.63,26.63,0
2014-10-17,25.86,26.38,25.86,26.38,200
2014-10-20,26.38,26.38,26.38,26.38,0
2014-10-21,26.38,26.38,26.38,26.38,500
2014-10-22,26.12,26.12,26.12,26.12,1000
2014-10-23,25.44,25.44,25.44,25.44,200
2014-10-24,23.27,24.82,22.91,24.82,1600
2014-10-27,24.82,24.82,24.82,24.82,0
2014-10-28,24.82,24.82,24.82,24.82,3800
2014-10-29,25.86,25.86,25.86,25.86,100
2014-10-30,25.86,25.86,25.86,25.86,0
2014-10-31,23.79,23.79,23.79,23.79,100
2014-11-03,23.79,23.79,23.79,23.79,0
2014-11-04,23.79,23.79,23.79,23.79,0
2014-11-05,25.08,25.08,25.08,25.08,4100
2014-11-06,25.08,25.08,25.08,25.08,0
2014-11-07,24.82,25.13,24.82,25.13,4100
2014-11-10,25.13,25.13,25.13,25.13,0
2014-11-11,25.13,25.13,25.13,25.13,0
2014-11-12,25.13,25.13,25.13,25.13,0
2014-11-13,25.13,25.13,25.13,25.13,0
2014-11-14,24.82,24.82,24.82,24.82,900
2014-11-17,24.82,24.82,24.82,24.82,0
2014-11-18,24.82,24.82,24.31,24.31,2700
2014-11-19,24.31,24.31,24.31,24.31,8500
2014-11-20,24.31,24.31,24.31,24.31,500
2014-11-21,24.31,24.31,24.31,24.31,0
2014-11-24,24.31,24.31,24.31,24.31,3700
2014-11-25,24.31,24.31,24.31,24.31,0
2014-11-26,24.57,24.82,24.57,24.82,7300
2014-11-27,24.82,24.82,24.82,24.82,1500
2014-11-28,24.77,24.82,24.77,24.82,5000
2014-12-01,23.27,23.27,23.27,23.27,4000
2014-12-02,23.27,23.27,23.27,23.27,9700
2014-12-03,23.27,23.27,23.27,23.27,3200
2014-12-04,23.27,23.27,23.27,23.27,5000
2014-12-05,23.27,23.27,23.27,23.27,0
2014-12-08,24.82,25.08,24.82,24.82,6400
2014-12-09,23.27,24.82,23.27,24.82,2900
2014-12-10,24.82,24.88,24.82,24.88,300
2014-12-11,24.88,24.88,24.88,24.88,0
2014-12-12,24.88,24.88,24.88,24.88,0
