time,open,high,low,close,volume
2013-06-06,9.39,9.39,9.39,9.39,0
2013-06-07,9.39,9.39,9.39,9.39,0
2013-06-10,9.72,9.72,9.45,9.45,300
2013-06-11,9.45,9.67,9.45,9.67,800
2013-06-12,9.67,9.67,9.67,9.67,200
2013-06-13,10.11,10.11,10.11,10.11,100
2013-06-14,10.11,10.11,9.45,9.45,200
2013-06-17,9.39,9.39,9.39,9.39,100
2013-06-18,9.39,9.39,9.39,9.39,500
2013-06-19,9.39,9.39,9.39,9.39,100
2013-06-20,9.39,9.39,9.39,9.39,100
2013-06-21,9.39,9.39,9.39,9.39,0
2013-06-24,9.39,9.39,9.39,9.39,0
2013-06-25,9.39,9.39,9.39,9.39,0
2013-06-26,9.45,9.45,9.45,9.45,400
2013-06-27,9.89,9.94,9.89,9.94,1300
2013-06-28,9.94,9.94,9.94,9.94,1900
2013-07-01,9.89,9.94,9.89,9.94,3300
2013-07-02,9.94,9.94,9.94,9.94,0
2013-07-03,9.94,9.94,9.94,9.94,1700
2013-07-04,9.94,9.94,9.94,9.94,0
2013-07-05,9.94,9.94,9.94,9.94,0
2013-07-08,9.94,9.94,9.94,9.94,0
2013-07-09,9.94,9.94,9.94,9.94,500
2013-07-10,9.94,10.0,9.94,9.94,2600
2013-07-11,9.94,9.94,9.94,9.94,500
2013-07-12,9.94,9.94,9.94,9.94,0
2013-07-15,9.94,9.94,9.94,9.94,200
2013-07-16,9.94,9.94,9.94,9.94,1000
2013-07-17,10.22,10.27,10.11,10.22,4000
2013-07-18,10.22,10.22,10.22,10.22,800
2013-07-19,10.22,10.22,10.22,10.22,0
2013-07-22,9.94,9.94,9.22,9.22,2400
2013-07-23,9.22,9.22,9.22,9.22,0
2013-07-24,9.39,9.39,9.39,9.39,100
2013-07-25,9.39,9.39,9.39,9.39,0
2013-07-26,9.39,9.39,9.39,9.39,200
2013-07-29,9.39,9.39,9.39,9.39,0
2013-07-30,9.39,9.39,9.39,9.39,0
2013-07-31,9.39,9.39,9.39,9.39,0
2013-08-01,9.39,9.39,9.39,9.39,0
2013-08-02,9.39,9.39,9.39,9.39,1100
2013-08-05,9.39,9.39,9.39,9.39,0
2013-08-06,9.39,9.39,9.39,9.39,0
2013-08-07,9.39,9.39,9.39,9.39,0
2013-08-08,9.45,9.5,9.45,9.5,500
2013-08-09,9.5,9.5,9.5,9.5,0
2013-08-12,9.78,9.78,9.78,9.78,100
2013-08-13,9.78,9.78,9.78,9.78,0
2013-08-14,10.22,10.22,10.22,10.22,1100
2013-08-15,10.22,10.27,10.22,10.27,200
2013-08-16,10.38,10.38,10.27,10.27,1600
2013-08-19,9.39,9.39,9.39,9.39,100
2013-08-20,9.39,10.22,9.39,10.22,300
2013-08-21,10.22,10.22,10.22,10.22,0
2013-08-22,10.22,10.22,10.22,10.22,3200
2013-08-23,10.22,10.22,10.22,10.22,0
2013-08-26,10.22,10.22,10.22,10.22,0
2013-08-27,10.22,10.22,10.22,10.22,400
2013-08-28,10.22,10.22,10.22,10.22,0
2013-08-29,10.22,10.22,10.22,10.22,0
2013-08-30,10.22,10.22,10.22,10.22,0
2013-09-03,10.22,10.22,10.22,10.22,0
2013-09-04,10.22,10.22,10.22,10.22,0
2013-09-05,10.22,10.22,10.22,10.22,0
2013-09-06,10.22,10.22,10.22,10.22,0
2013-09-09,10.22,10.22,10.22,10.22,0
2013-09-10,10.22,10.22,10.22,10.22,0
2013-09-11,10.22,10.22,10.22,10.22,0
2013-09-12,10.22,10.22,10.22,10.22,0
2013-09-13,10.22,10.22,10.22,10.22,0
2013-09-16,10.22,10.22,10.22,10.22,0
2013-09-17,9.39,9.39,9.39,9.39,200
2013-09-18,9.67,9.67,9.67,9.67,1700
2013-09-19,9.94,9.94,9.94,9.94,6600
2013-09-20,9.94,9.94,9.94,9.94,0
2013-09-23,9.94,9.94,9.94,9.94,0
2013-09-24,9.94,9.94,9.94,9.94,0
2013-09-25,9.39,9.39,9.39,9.39,200
2013-09-26,9.39,9.39,9.39,9.39,0
2013-09-27,9.39,9.39,9.39,9.39,0
2013-09-30,9.39,9.39,9.39,9.39,700
2013-10-01,9.5,9.5,9.11,9.11,1000
2013-10-02,9.39,9.39,9.39,9.39,115
2013-10-03,9.39,9.39,9.39,9.39,0
2013-10-04,9.39,9.39,9.39,9.39,0
2013-10-07,9.39,9.39,9.39,9.39,0
2013-10-08,9.39,9.39,9.39,9.39,0
2013-10-09,9.39,9.39,9.39,9.39,0
2013-10-10,9.39,9.39,9.39,9.39,0
2013-10-11,9.39,9.39,9.39,9.39,0
2013-10-14,9.39,9.39,9.39,9.39,0
2013-10-15,8.84,9.17,8.84,9.17,400
2013-10-16,9.17,9.17,9.17,9.17,0
2013-10-17,9.39,9.39,9.39,9.39,100
2013-10-18,9.39,9.39,9.39,9.39,0
2013-10-21,9.39,9.39,9.39,9.39,300
2013-10-22,9.39,9.39,9.39,9.39,0
2013-10-23,9.39,9.39,9.39,9.39,700
2013-10-24,9.67,9.67,9.67,9.67,100
2013-10-25,9.67,9.67,9.67,9.67,0
2013-10-28,9.5,9.5,9.5,9.5,600
2013-10-29,9.5,9.5,9.5,9.5,800
2013-10-30,9.67,9.67,9.67,9.67,100
2013-10-31,9.67,9.67,9.67,9.67,0
2013-11-01,9.67,9.67,9.67,9.67,1900
2013-11-04,9.83,9.83,9.83,9.83,100
2013-11-05,9.83,9.83,9.83,9.83,0
2013-11-06,9.94,10.05,9.94,10.05,1500
2013-11-07,10.05,10.05,10.05,10.05,0
2013-11-08,10.22,10.94,10.22,10.94,900
2013-11-11,10.99,11.21,10.99,10.99,9100
2013-11-12,10.99,10.99,10.99,10.99,11100
2013-11-13,10.94,10.94,10.94,10.94,1100
2013-11-14,11.05,11.05,11.05,11.05,500
2013-11-15,11.05,11.05,11.05,11.05,50
2013-11-18,10.94,10.94,10.94,10.94,200
2013-11-19,11.05,11.05,11.05,11.05,100
2013-11-20,11.05,11.05,11.05,11.05,0
2013-11-21,11.16,11.16,11.16,11.16,200
2013-11-22,11.16,11.16,11.16,11.16,0
2013-11-25,11.05,11.32,11.05,11.05,2100
2013-11-26,11.05,11.05,11.05,11.05,0
2013-11-27,11.76,11.76,11.76,11.76,100
2013-11-28,11.58,11.58,11.58,11.58,100
2013-11-29,10.81,10.81,10.75,10.75,1000
2013-12-02,10.99,11.11,10.99,11.11,2200
2013-12-03,11.11,11.11,11.11,11.11,0
2013-12-04,11.11,11.11,11.11,11.11,0
2013-12-05,11.11,11.11,11.11,11.11,30
2013-12-06,11.11,11.11,11.11,11.11,100
2013-12-09,11.11,11.11,11.11,11.11,0
2013-12-10,11.35,11.35,11.17,11.17,2200
2013-12-11,11.17,11.17,11.17,11.17,0
2013-12-12,11.17,11.17,11.17,11.17,0
2013-12-13,11.23,11.35,11.23,11.35,800
2013-12-16,11.35,11.35,11.35,11.35,0
2013-12-17,10.75,10.75,10.75,10.75,500
2013-12-18,10.81,10.81,10.81,10.81,1000
2013-12-19,10.81,10.81,10.81,10.81,0
2013-12-20,10.81,10.81,10.81,10.81,0
2013-12-23,11.76,11.88,11.76,11.88,2000
2013-12-24,12.06,12.12,12.06,12.12,2500
2013-12-25,12.12,12.54,12.12,12.54,8600
2013-12-26,12.84,12.84,12.84,12.84,1400
2013-12-27,13.02,13.02,12.9,12.9,400
2013-12-30,12.9,12.9,12.9,12.9,0
2013-12-31,12.54,12.54,12.24,12.24,10000
2014-01-02,12.54,12.54,12.54,12.54,1000
2014-01-03,12.54,12.54,12.54,12.54,0
2014-01-06,13.14,13.73,13.14,13.73,3900
2014-01-07,13.14,13.32,13.14,13.26,1200
2014-01-08,13.26,13.26,13.26,13.26,0
2014-01-09,13.73,14.33,13.73,14.33,400
2014-01-10,14.33,14.93,14.33,14.93,1500
2014-01-13,14.93,14.93,14.93,14.93,0
2014-01-14,14.93,14.93,14.93,14.93,0
2014-01-15,13.73,14.75,13.73,14.75,400
2014-01-16,13.44,14.33,13.44,14.33,3700
2014-01-17,14.33,14.33,14.33,14.33,0
2014-01-20,14.33,14.33,14.33,14.33,0
2014-01-21,13.14,14.63,13.14,14.63,6200
2014-01-22,14.63,14.63,14.63,14.63,0
2014-01-23,14.63,14.63,14.63,14.63,50
2014-01-24,13.62,14.63,13.62,14.63,1100
2014-01-27,14.57,15.82,14.57,15.82,4700
2014-02-06,15.05,15.82,15.05,15.82,300
2014-02-07,15.82,15.82,15.82,15.82,100
2014-02-10,16.12,16.66,16.12,16.66,600
2014-02-11,15.11,16.42,15.11,15.23,4000
2014-02-12,16.06,16.42,16.06,16.42,500
2014-02-13,15.53,16.42,15.41,16.42,4200
2014-02-14,15.53,16.42,15.53,16.36,2300
2014-02-17,15.41,16.12,15.41,16.12,6100
2014-02-18,16.12,16.12,16.12,16.12,0
2014-02-19,15.53,16.12,15.53,16.12,3100
2014-02-20,14.51,16.12,14.51,16.12,2400
2014-02-21,16.12,16.12,16.12,16.12,0
2014-02-24,14.57,16.12,14.57,16.12,600
2014-02-25,16.12,16.12,16.12,16.12,0
2014-02-26,16.12,16.12,16.12,16.12,0
2014-02-27,16.12,16.12,16.12,16.12,20
2014-02-28,14.93,16.72,14.51,16.72,4900
2014-03-03,16.72,16.72,16.72,16.72,0
2014-03-04,16.72,16.72,16.72,16.72,0
2014-03-05,15.82,16.42,15.82,16.42,400
2014-03-06,15.05,16.42,15.05,16.42,900
2014-03-07,16.42,16.42,16.42,16.42,0
2014-03-10,15.53,16.42,15.53,16.42,1600
2014-03-11,16.12,17.85,16.12,17.85,8500
2014-03-12,17.85,17.85,17.85,17.85,0
2014-03-13,17.85,17.85,17.85,17.85,0
2014-03-14,17.85,17.85,17.85,17.85,0
2014-03-17,17.85,17.85,17.85,17.85,0
2014-03-18,17.85,17.85,17.85,17.85,0
2014-03-19,17.85,17.85,17.85,17.85,0
2014-03-20,17.85,17.85,17.85,17.85,0
2014-03-21,17.85,17.85,17.85,17.85,0
2014-03-24,17.85,17.85,17.85,17.85,0
2014-03-25,16.12,17.91,16.12,17.91,2300
2014-03-26,17.91,17.91,17.91,17.91,0
2014-03-27,16.18,17.91,16.12,17.91,1300
2014-03-28,16.18,18.51,16.12,18.21,3600
2014-03-31,18.21,18.21,18.21,18.21,0
2014-04-01,16.48,18.21,16.48,18.21,1100
2014-04-02,16.54,17.91,16.54,17.85,1000
2014-04-03,17.85,17.85,17.85,17.85,0
2014-04-04,17.85,17.85,17.85,17.85,0
2014-04-07,16.42,17.85,16.42,17.85,3800
2014-04-08,17.85,17.85,17.85,17.85,0
2014-04-10,17.91,19.05,17.91,19.05,300
2014-04-11,17.32,17.91,17.32,17.91,2410
2014-04-14,18.51,18.93,18.51,18.93,300
2014-04-15,17.08,18.51,17.08,18.51,2900
2014-04-16,18.51,18.51,18.51,18.51,0
2014-04-17,18.51,18.51,18.51,18.51,0
2014-04-18,18.51,18.51,18.51,18.51,0
2014-04-21,19.11,19.11,19.11,19.11,100
2014-04-22,19.11,19.11,19.11,19.11,300
2014-04-23,19.11,19.11,19.11,19.11,0
2014-04-24,17.32,19.11,17.32,19.11,200
2014-04-25,19.11,19.11,19.11,19.11,0
2014-04-28,19.11,19.11,19.11,19.11,0
2014-04-29,17.32,19.59,17.26,18.75,1600
2014-05-05,18.75,18.75,18.75,18.75,0
2014-05-06,18.75,18.75,18.75,18.75,0
2014-05-07,17.02,18.21,17.02,18.21,400
2014-05-08,18.21,18.21,18.21,18.21,0
2014-05-09,18.21,18.21,18.21,18.21,0
2014-05-12,18.21,18.21,18.21,18.21,0
2014-05-13,18.21,18.21,18.21,18.21,0
2014-05-14,18.21,18.21,18.21,18.21,0
2014-05-15,16.72,18.21,16.66,18.21,800
2014-05-16,18.21,18.21,18.21,18.21,0
2014-05-19,18.21,18.21,18.21,18.21,0
2014-05-20,16.72,17.85,16.72,17.85,600
2014-05-21,17.85,17.85,17.85,17.85,0
2014-05-22,16.12,18.51,16.12,18.51,500
2014-05-23,16.66,17.8,16.66,17.8,600
2014-05-26,19.41,19.41,19.41,19.41,100
2014-05-27,19.41,19.41,19.41,19.41,0
2014-05-28,19.41,19.41,19.41,19.41,0
2014-05-29,19.41,19.41,19.41,19.41,0
2014-05-30,19.41,19.41,19.41,19.41,0
2014-06-02,17.5,18.39,17.5,18.39,600
2014-06-03,16.72,17.91,16.72,17.91,500
2014-06-04,17.91,17.91,17.91,17.91,0
2014-06-05,16.72,17.8,16.12,17.8,8500
2014-06-06,17.8,17.8,17.8,17.8,0
2014-06-09,16.72,17.56,16.72,17.56,600
2014-06-10,17.56,17.56,17.56,17.56,0
2014-06-11,16.12,17.02,16.12,17.02,1100
2014-06-12,16.12,16.6,16.12,16.6,200
2014-06-13,14.99,17.26,14.99,17.26,2000
2014-06-16,17.2,17.2,17.2,17.2,100
2014-06-17,17.2,17.2,17.2,17.2,0
2014-06-18,16.12,16.42,16.12,16.42,200
2014-06-19,15.88,16.72,15.88,16.72,2300
2014-06-20,17.2,17.2,17.2,17.2,1500
2014-06-23,17.2,17.2,17.2,17.2,0
2014-06-24,17.2,17.2,17.2,17.2,0
2014-06-25,17.14,17.56,17.14,17.56,900
2014-06-26,17.56,17.56,17.56,17.56,0
2014-06-27,17.56,17.56,17.56,17.56,0
2014-06-30,19.29,19.29,19.29,19.29,100
2014-07-01,17.38,20.9,17.38,20.9,2100
2014-07-02,20.9,20.9,20.9,20.9,0
2014-07-03,20.9,20.9,20.9,20.9,0
2014-07-04,20.9,20.9,20.9,20.9,0
2014-07-07,20.9,20.9,20.9,20.9,0
2014-07-08,20.9,20.9,20.9,20.9,0
2014-07-09,20.9,20.9,20.9,20.9,0
2014-07-10,20.9,20.9,20.9,20.9,0
2014-07-11,20.9,20.9,18.81,18.81,200
2014-07-14,20.3,20.3,16.96,16.96,5500
2014-07-15,18.51,18.51,18.51,18.51,100
2014-07-16,18.51,18.51,18.51,18.51,0
2014-07-17,18.51,18.51,18.51,18.51,0
2014-07-18,18.45,18.45,18.45,18.45,200
2014-07-21,16.72,18.33,16.72,18.33,1000
2014-07-22,18.33,18.33,18.33,18.33,0
2014-07-23,16.78,17.91,16.78,17.85,400
2014-07-24,16.72,17.26,16.72,17.26,900
2014-07-25,16.72,16.96,16.24,16.96,600
2014-07-28,17.32,18.63,17.02,17.8,1500
2014-07-29,16.78,17.44,16.78,17.44,200
2014-07-30,16.12,16.72,16.0,16.72,600
2014-07-31,17.91,17.91,15.11,17.2,700
2014-08-01,16.18,16.9,15.59,16.9,300
2014-08-04,16.24,16.84,16.24,16.84,220
2014-08-05,16.72,16.72,16.72,16.72,100
2014-08-06,15.53,16.66,15.53,16.66,400
2014-08-07,16.0,16.72,16.0,16.72,420
2014-08-08,15.88,17.02,15.82,17.02,3400
2014-08-11,17.02,17.02,17.02,17.02,0
2014-08-12,17.32,17.91,16.18,16.72,1400
2014-08-13,18.39,18.39,16.18,16.72,3000
2014-08-14,16.72,16.72,16.72,16.72,100
2014-08-15,16.72,16.72,16.18,16.72,600
2014-08-18,17.85,17.85,15.11,16.9,300
2014-08-19,16.18,16.72,16.12,16.72,373
2014-08-20,17.32,18.39,16.18,18.39,1000
2014-08-21,16.72,18.51,16.6,18.51,1407
2014-08-22,16.72,17.91,16.72,17.91,900
2014-08-25,16.18,18.15,16.18,17.91,1500
2014-08-26,16.72,17.85,16.72,17.74,1400
2014-08-27,17.74,17.74,17.74,17.74,0
2014-08-28,16.48,17.85,16.48,17.85,400
2014-08-29,16.72,17.62,16.72,17.02,1200
2014-09-03,16.78,16.78,16.78,16.78,100
2014-09-04,17.32,17.32,15.94,16.78,600
