time,open,high,low,close,volume
2014-07-02,4.17,4.34,4.13,4.34,31800
2014-07-03,4.25,4.25,4.25,4.25,19200
2014-07-04,4.25,4.25,4.21,4.21,11500
2014-07-07,4.29,4.29,4.21,4.25,27500
2014-07-08,4.21,4.38,4.21,4.38,46800
2014-07-09,4.46,4.46,4.25,4.34,4600
2014-07-10,4.34,4.34,4.25,4.29,35000
2014-07-11,4.34,4.34,4.29,4.34,2700
2014-07-14,4.38,4.46,4.38,4.46,17000
2014-07-15,4.46,4.58,4.46,4.58,14100
2014-07-16,4.62,4.62,4.58,4.58,83800
2014-07-17,4.54,4.54,4.5,4.54,14600
2014-07-18,4.5,4.54,4.5,4.54,36700
2014-07-21,4.54,4.54,4.46,4.5,12300
2014-07-22,4.5,4.54,4.5,4.5,32700
2014-07-23,4.5,4.5,4.46,4.46,1500
2014-07-24,4.46,4.46,4.46,4.46,3000
2014-07-25,4.46,4.46,4.42,4.42,19000
2014-07-28,4.34,4.34,4.29,4.29,10400
2014-07-29,4.42,4.42,4.42,4.42,400
2014-07-30,4.42,4.42,4.42,4.42,1000
2014-07-31,4.29,4.34,4.29,4.34,18700
2014-08-01,4.34,4.34,4.29,4.34,38200
2014-08-04,4.34,4.34,4.34,4.34,0
2014-08-05,4.34,4.34,4.34,4.34,30800
2014-08-06,4.29,4.34,4.29,4.34,2800
2014-08-07,4.34,4.34,4.34,4.34,6500
2014-08-08,4.34,4.34,4.29,4.29,3100
2014-08-11,4.34,4.34,4.34,4.34,100
2014-08-12,4.29,4.42,4.29,4.42,85900
2014-08-13,4.38,4.42,4.38,4.42,8800
2014-08-14,4.42,4.42,4.42,4.42,48600
2014-08-15,4.42,4.42,4.29,4.29,62100
2014-08-18,4.38,4.38,4.34,4.34,800
2014-08-19,3.93,4.38,3.93,4.38,78000
2014-08-20,4.42,4.42,4.42,4.42,79000
2014-08-21,4.42,4.46,4.42,4.46,27200
2014-08-22,4.46,4.46,4.42,4.42,58600
2014-08-25,4.5,4.5,4.42,4.42,22400
2014-08-26,4.42,4.42,4.21,4.21,500
2014-08-27,4.46,4.46,4.38,4.38,2200
