time,open,high,low,close,volume
2013-01-29,5.8,6.2,5.8,6.0,386130
2013-01-30,6.0,6.1,5.9,5.9,226780
2013-01-31,5.9,5.9,5.6,5.7,355880
2013-02-01,5.7,5.7,5.5,5.7,158440
2013-02-04,5.8,5.8,5.6,5.6,160570
2013-02-05,5.6,5.7,5.5,5.6,137420
2013-02-06,5.6,5.8,5.6,5.8,118670
2013-02-07,5.9,5.9,5.6,5.8,168880
2013-02-08,6.2,6.2,6.2,6.2,362820
2013-02-18,6.6,6.6,6.6,6.6,181410
2013-02-19,7.0,7.0,7.0,7.0,368230
2013-02-20,7.1,7.3,6.7,7.1,1238100
2013-02-21,7.1,7.5,6.7,6.7,1623060
2013-02-22,7.0,7.1,6.6,7.0,1495130
2013-02-25,7.0,7.3,7.0,7.1,591570
2013-02-26,6.9,7.1,6.7,6.7,788750
2013-02-27,6.5,6.7,6.3,6.5,964060
2013-02-28,6.7,6.8,6.5,6.6,448250
2013-03-01,6.7,6.8,6.5,6.6,445660
2013-03-04,6.6,6.6,6.2,6.2,539770
2013-03-05,5.9,6.0,5.8,5.8,398500
2013-03-06,5.8,6.0,5.6,5.8,230550
2013-03-07,5.8,6.2,5.8,6.0,441750
2013-03-08,6.0,6.1,6.0,6.0,149130
2013-03-11,6.1,6.4,6.0,6.4,441920
2013-03-12,6.4,6.8,6.4,6.6,516590
2013-03-13,6.6,6.7,6.3,6.3,258630
2013-03-14,6.3,6.4,6.2,6.3,231340
2013-03-15,6.4,6.4,6.2,6.3,179860
2013-03-18,6.3,6.6,6.2,6.4,410900
2013-03-19,6.3,6.4,6.2,6.3,200370
2013-03-20,6.2,6.7,6.2,6.7,1073200
2013-03-21,6.8,7.1,6.7,6.7,813220
2013-03-22,6.7,6.8,6.4,6.6,491360
2013-03-25,6.6,6.6,6.4,6.5,230870
2013-03-26,6.5,6.6,6.4,6.5,255270
2013-03-27,6.5,6.5,6.3,6.4,131380
2013-03-28,6.4,6.5,6.3,6.3,304170
2013-03-29,6.2,6.3,6.0,6.1,403660
2013-04-01,6.1,6.5,6.1,6.5,236200
2013-04-02,6.6,6.8,6.5,6.6,499960
2013-04-03,6.6,6.6,6.3,6.4,317690
2013-04-04,6.3,6.5,6.3,6.3,252340
2013-04-05,6.3,6.5,6.3,6.4,230930
2013-04-08,6.4,6.5,6.3,6.5,243810
2013-04-09,6.4,6.6,6.3,6.4,246120
2013-04-10,6.6,6.8,6.6,6.6,1765580
2013-04-11,6.6,6.7,6.5,6.5,216310
2013-04-12,6.5,6.6,6.2,6.3,697910
2013-04-15,6.3,6.3,6.0,6.1,830660
2013-04-16,6.1,6.2,5.8,6.0,632360
2013-04-17,6.0,6.3,6.0,6.1,234010
2013-04-18,6.2,6.2,6.0,6.2,146820
2013-04-22,6.1,6.2,5.9,6.0,247600
2013-04-23,6.0,6.2,6.0,6.1,116900
2013-04-24,6.2,6.2,6.0,6.0,121650
2013-04-25,6.1,6.2,5.9,6.0,219430
2013-04-26,6.0,6.3,5.9,6.2,413540
2013-05-02,6.3,6.3,6.0,6.0,66560
2013-05-03,6.0,6.4,6.0,6.4,528680
2013-05-06,6.4,6.7,6.3,6.7,494120
2013-05-07,6.6,6.7,6.4,6.4,547090
2013-05-08,6.4,6.5,6.3,6.3,365460
2013-05-09,6.4,6.6,6.4,6.4,448320
2013-05-10,6.4,6.5,6.3,6.4,200400
2013-05-13,6.4,6.5,6.3,6.4,470270
2013-05-14,6.3,6.3,6.2,6.2,182780
2013-05-15,6.2,6.4,6.2,6.3,132000
2013-05-16,6.3,6.4,6.3,6.3,214160
2013-05-17,6.3,6.4,6.2,6.3,247260
2013-05-20,6.4,6.5,6.3,6.4,341610
2013-05-21,6.5,6.8,6.4,6.6,1016920
2013-05-22,6.7,6.7,6.5,6.6,594140
2013-05-23,6.5,6.7,6.4,6.5,646530
2013-05-24,6.5,6.6,6.5,6.5,385320
2013-05-27,6.6,6.9,6.6,6.8,1252170
2013-05-28,6.9,7.0,6.7,6.9,802870
2013-05-29,7.0,7.3,7.0,7.2,2668320
2013-05-30,7.1,7.7,7.1,7.7,1182580
2013-05-31,8.0,8.2,7.8,7.9,1401670
2013-06-03,7.8,8.2,7.6,7.9,1901990
2013-06-04,7.9,8.0,7.4,7.4,1072320
2013-06-05,7.3,7.5,7.0,7.5,873330
2013-06-06,7.3,7.6,7.2,7.5,700090
2013-06-07,7.6,7.6,7.2,7.3,1066660
2013-06-10,7.3,7.4,7.0,7.1,967720
2013-06-11,7.1,7.2,6.9,7.0,571270
2013-06-12,7.0,7.4,7.0,7.4,476880
2013-06-13,7.4,7.5,7.2,7.3,338940
2013-06-14,7.4,7.4,7.1,7.1,369270
2013-06-17,7.1,7.1,6.7,6.8,1007430
2013-06-18,6.6,6.9,6.6,6.7,253570
2013-06-19,6.8,6.9,6.7,6.7,205430
2013-06-20,6.7,6.7,6.4,6.4,624190
2013-06-21,6.3,6.5,6.2,6.4,264410
2013-06-24,6.5,6.7,6.5,6.5,439050
2013-06-25,6.4,6.6,6.2,6.3,423070
2013-06-26,6.5,6.6,6.3,6.4,271610
2013-06-27,6.5,6.6,6.4,6.5,109970
2013-06-28,6.5,6.6,6.4,6.4,287380
2013-07-01,6.3,6.4,6.2,6.3,138220
2013-07-02,6.3,6.4,6.3,6.4,206710
2013-07-03,6.4,6.4,6.2,6.3,306660
2013-07-04,6.3,6.4,6.2,6.3,217820
2013-07-05,6.4,6.5,6.4,6.5,419940
2013-07-08,6.3,6.4,6.3,6.3,92070
2013-07-09,6.4,6.4,6.3,6.3,133850
2013-07-10,6.3,6.4,6.1,6.1,203700
2013-07-11,6.2,6.2,6.0,6.1,409160
2013-07-12,6.2,6.4,6.2,6.4,190150
2013-07-15,6.4,6.5,6.2,6.3,163550
2013-07-16,6.3,6.4,6.2,6.2,230830
2013-07-17,6.2,6.3,6.2,6.3,138250
2013-07-18,6.3,6.3,6.2,6.2,147280
2013-07-19,6.3,6.3,6.1,6.1,172630
2013-07-22,6.2,6.3,6.1,6.3,289660
2013-07-23,6.2,6.2,6.1,6.2,182160
2013-07-24,6.1,6.1,5.8,6.0,370500
2013-07-25,5.9,6.0,5.8,5.8,298060
2013-07-26,5.9,5.9,5.5,5.7,396360
2013-07-29,5.7,5.7,5.4,5.4,544470
2013-07-30,5.4,5.5,5.4,5.4,68700
2013-07-31,5.4,5.5,5.3,5.3,126030
2013-08-01,5.3,5.5,5.3,5.4,163690
2013-08-02,5.4,5.5,5.3,5.3,69490
2013-08-05,5.3,5.6,5.3,5.4,362290
2013-08-06,5.4,5.5,5.3,5.4,103490
2013-08-07,5.4,5.5,5.3,5.5,64870
2013-08-08,5.4,5.5,5.3,5.3,191830
2013-08-09,5.3,5.4,5.3,5.3,115240
2013-08-12,5.4,5.4,5.2,5.2,136010
2013-08-13,5.2,5.3,5.1,5.1,285160
2013-08-14,5.1,5.2,5.1,5.2,198370
2013-08-15,5.2,5.5,5.2,5.4,487540
2013-08-16,5.4,5.6,5.4,5.5,562210
2013-08-19,5.5,5.7,5.5,5.6,330050
2013-08-20,5.5,5.6,5.5,5.6,358190
2013-08-21,5.5,5.6,5.4,5.5,227830
2013-08-22,5.5,5.5,5.3,5.3,313740
2013-08-23,5.3,5.4,5.2,5.3,156650
2013-08-26,5.3,5.4,5.2,5.4,178970
2013-08-27,5.3,5.3,5.2,5.3,70440
2013-08-28,5.2,5.2,5.0,5.0,540750
2013-08-29,5.1,5.2,5.0,5.1,109930
2013-08-30,5.1,5.1,5.0,5.1,95480
2013-09-03,5.0,5.1,4.9,5.1,117120
2013-09-04,5.1,5.1,4.8,4.9,159180
2013-09-05,4.9,5.0,4.8,4.9,154680
2013-09-06,4.9,4.9,4.8,4.9,85850
2013-09-09,4.9,4.9,4.7,4.7,223230
2013-09-10,4.8,4.8,4.7,4.8,158530
2013-09-11,4.8,4.9,4.7,4.7,121290
2013-09-12,4.7,5.0,4.6,4.8,178270
2013-09-13,4.9,5.0,4.8,4.9,260600
2013-09-16,4.9,5.0,4.8,4.9,273140
2013-09-17,4.9,4.9,4.8,4.8,131770
2013-09-18,4.8,4.8,4.5,4.5,274950
2013-09-19,4.7,4.7,4.5,4.5,180620
2013-09-20,4.6,4.6,4.5,4.5,75970
2013-09-23,4.6,4.8,4.5,4.8,210580
2013-09-24,4.8,4.9,4.7,4.7,213410
2013-09-25,4.7,5.0,4.7,5.0,788030
2013-09-26,5.0,5.0,4.8,5.0,109550
2013-09-27,5.0,5.1,4.9,5.0,224820
2013-09-30,5.0,5.3,5.0,5.1,743460
2013-10-01,5.2,5.4,5.2,5.4,1277620
2013-10-02,5.4,5.5,5.3,5.4,650240
2013-10-03,5.4,5.4,5.2,5.2,673760
2013-10-04,5.2,5.3,5.0,5.1,398220
2013-10-07,5.1,5.4,5.1,5.4,673210
2013-10-08,5.3,5.4,5.2,5.4,474230
2013-10-09,5.3,5.4,5.2,5.3,163550
2013-10-10,5.3,5.3,5.1,5.1,407690
2013-10-11,5.2,5.3,5.1,5.1,325930
2013-10-14,5.1,5.2,5.0,5.1,139840
2013-10-15,5.1,5.3,5.1,5.3,219330
2013-10-16,5.2,5.3,5.1,5.3,414720
2013-10-17,5.3,5.3,5.2,5.2,395740
2013-10-18,5.1,5.3,5.1,5.2,186830
2013-10-21,5.2,5.4,5.2,5.2,743090
2013-10-22,5.2,5.3,5.1,5.3,403870
2013-10-23,5.3,5.6,5.2,5.6,1378470
2013-10-24,5.7,5.8,5.5,5.5,839500
2013-10-25,5.5,5.5,5.3,5.4,351430
2013-10-28,5.4,5.4,5.2,5.3,367250
2013-10-29,5.2,5.3,5.1,5.3,426790
2013-10-30,5.3,5.4,5.2,5.2,188510
2013-10-31,5.3,5.3,5.2,5.3,206680
2013-11-01,5.2,5.4,5.2,5.3,309120
2013-11-04,5.3,5.5,5.2,5.4,584320
2013-11-05,5.4,5.5,5.4,5.4,402200
2013-11-06,5.6,5.7,5.6,5.7,1539640
2013-11-07,5.9,5.9,5.7,5.9,961930
2013-11-08,5.8,5.9,5.7,5.8,412190
2013-11-11,5.8,6.2,5.7,6.1,1007080
2013-11-12,6.1,6.2,5.8,5.8,1137040
2013-11-13,5.8,5.9,5.6,5.8,409420
2013-11-14,5.8,5.9,5.8,5.9,299240
2013-11-15,5.8,5.9,5.7,5.7,972280
2013-11-18,5.8,6.0,5.8,6.0,840910
2013-11-19,6.1,6.4,6.1,6.3,1388780
2013-11-20,6.2,6.5,6.2,6.5,979620
2013-11-21,6.6,6.9,6.5,6.5,1833050
2013-11-22,6.4,6.6,6.2,6.5,1031710
2013-11-25,6.5,6.6,6.2,6.3,750010
2013-11-26,6.3,6.5,6.2,6.3,1000460
2013-11-27,6.5,6.6,6.4,6.5,833560
2013-11-28,6.5,6.6,6.4,6.5,359290
2013-11-29,6.4,6.5,6.2,6.4,786900
2013-12-02,6.4,6.4,6.3,6.3,398430
2013-12-03,6.2,6.7,6.2,6.5,864680
