time,open,high,low,close,volume
2015-06-26,2.79,2.79,2.73,2.73,1720
2015-06-29,2.66,2.66,2.66,2.66,10
2015-06-30,2.82,2.82,2.82,2.82,3020
2015-07-01,2.76,2.76,2.76,2.76,10
2015-07-02,2.82,2.85,2.82,2.82,1320
2015-07-03,2.82,2.82,2.79,2.79,1110
2015-07-06,2.82,2.82,2.82,2.82,250
2015-07-07,2.82,2.88,2.79,2.82,750
2015-07-08,2.85,2.85,2.79,2.79,5490
2015-07-09,2.79,2.79,2.79,2.79,40
2015-07-10,2.88,2.88,2.79,2.85,3350
2015-07-13,2.82,2.88,2.82,2.82,11020
2015-07-14,2.85,2.91,2.79,2.82,19630
2015-07-15,2.85,2.85,2.82,2.82,4930
2015-07-16,2.82,2.82,2.82,2.82,10
2015-07-17,2.85,2.88,2.82,2.82,2050
2015-07-20,2.82,2.88,2.82,2.82,2150
2015-07-21,2.82,2.82,2.79,2.79,1910
2015-07-22,2.79,2.79,2.76,2.76,4010
2015-07-23,2.76,2.76,2.6,2.6,1600
2015-07-24,2.69,2.76,2.69,2.76,4100
2015-07-27,2.73,2.76,2.73,2.76,30
2015-07-28,2.73,2.79,2.73,2.79,40
2015-07-29,2.79,2.82,2.79,2.82,6510
2015-07-30,2.79,2.82,2.73,2.79,4220
2015-07-31,2.79,2.85,2.79,2.85,11220
2015-08-03,2.79,2.79,2.79,2.79,16850
2015-08-04,2.79,2.79,2.79,2.79,3000
2015-08-05,2.79,2.79,2.76,2.76,16260
2015-08-06,2.79,2.79,2.76,2.76,6680
2015-08-07,2.76,2.76,2.76,2.76,0
2015-08-10,2.76,2.76,2.76,2.76,0
2015-08-11,2.79,2.79,2.76,2.76,5010
2015-08-12,2.76,2.76,2.76,2.76,0
2015-08-13,2.76,2.76,2.73,2.73,8960
2015-08-14,2.66,2.73,2.66,2.73,910
2015-08-17,2.73,2.76,2.66,2.73,1060
2015-08-18,2.73,2.73,2.73,2.73,0
2015-08-19,2.73,2.73,2.73,2.73,620
2015-08-20,2.66,2.66,2.66,2.66,30
2015-08-21,2.76,2.76,2.48,2.76,30
2015-08-24,2.73,2.85,2.63,2.63,670
2015-08-25,2.76,2.79,2.6,2.6,18080
2015-08-26,2.45,2.45,2.45,2.45,2210
2015-08-27,2.57,2.6,2.42,2.48,12030
2015-08-28,2.6,2.6,2.6,2.6,6680
2015-08-31,2.6,2.63,2.57,2.57,6000
2015-09-01,2.57,2.6,2.57,2.6,2010
2015-09-03,2.6,2.63,2.57,2.57,3110
2015-09-04,2.57,2.6,2.57,2.57,2750
2015-09-07,2.6,2.6,2.54,2.54,2510
2015-09-08,2.57,2.57,2.57,2.57,11140
2015-09-09,2.57,2.57,2.57,2.57,0
2015-09-10,2.57,2.57,2.57,2.57,0
2015-09-11,2.57,2.57,2.54,2.54,13110
2015-09-14,2.57,2.57,2.51,2.51,20110
2015-09-15,2.51,2.54,2.51,2.54,310
2015-09-16,2.54,2.54,2.54,2.54,1410
2015-09-17,2.54,2.54,2.51,2.54,4120
2015-09-18,2.54,2.54,2.51,2.54,14290
2015-09-21,2.57,2.57,2.57,2.57,2000
2015-09-22,2.57,2.57,2.48,2.48,2310
2015-09-23,2.54,2.54,2.51,2.54,4010
2015-09-24,2.54,2.54,2.54,2.54,2650
2015-09-25,2.51,2.54,2.51,2.54,6610
2015-09-28,2.51,2.51,2.48,2.48,11440
2015-09-29,2.48,2.51,2.48,2.48,13950
2015-09-30,2.51,2.51,2.45,2.45,46060
2015-10-01,2.48,2.48,2.45,2.45,340
