time,open,high,low,close,volume
2024-12-27,14.51,14.51,14.51,14.51,0
2024-12-30,14.51,14.51,14.51,14.51,0
2024-12-31,14.51,14.51,14.51,14.51,0
2025-01-02,14.51,14.51,14.51,14.51,0
2025-01-03,14.51,14.51,14.51,14.51,0
2025-01-06,14.51,14.51,14.51,14.51,0
2025-01-07,14.51,14.51,14.51,14.51,0
2025-01-08,14.51,14.51,14.51,14.51,0
2025-01-09,14.51,14.51,14.51,14.51,0
2025-01-10,14.51,14.51,14.51,14.51,0
2025-01-13,14.51,14.51,14.51,14.51,0
2025-01-14,14.51,14.51,14.51,14.51,0
2025-01-15,14.51,14.51,14.51,14.51,0
2025-01-16,14.51,14.51,14.51,14.51,0
2025-01-17,14.51,14.51,14.51,14.51,0
2025-01-20,14.51,14.51,14.51,14.51,0
2025-01-21,14.51,14.51,14.51,14.51,0
2025-01-22,14.51,14.51,14.51,14.51,0
2025-01-23,14.51,14.51,14.51,14.51,500
2025-01-24,14.51,14.51,14.51,14.51,0
2025-02-03,14.51,14.51,14.51,14.51,0
2025-02-04,14.51,14.51,14.51,14.51,0
2025-02-05,14.51,14.51,14.51,14.51,0
2025-02-06,14.51,14.51,14.51,14.51,0
2025-02-07,14.51,14.51,14.51,14.51,0
2025-02-10,14.51,14.51,14.51,14.51,0
2025-02-11,14.51,14.51,14.51,14.51,0
2025-02-12,14.51,14.51,14.51,14.51,0
2025-02-13,14.51,14.51,14.51,14.51,0
2025-02-14,14.51,14.51,14.51,14.51,0
2025-02-17,14.51,14.51,14.51,14.51,0
2025-02-18,14.51,14.51,14.51,14.51,0
2025-02-19,14.51,14.51,14.51,14.51,0
2025-02-20,14.51,14.51,14.51,14.51,0
2025-02-21,14.51,14.51,14.51,14.51,0
2025-02-24,14.51,14.51,14.51,14.51,0
2025-02-25,14.51,14.51,14.51,14.51,0
2025-02-26,14.51,14.51,14.51,14.51,0
2025-02-27,14.51,14.51,14.51,14.51,0
2025-02-28,14.51,14.51,14.51,14.51,0
2025-03-03,14.51,14.51,14.51,14.51,0
2025-03-04,14.51,14.51,14.51,14.51,0
2025-03-05,14.51,14.51,14.51,14.51,0
2025-03-06,14.51,14.51,14.51,14.51,0
2025-03-07,14.51,14.51,14.51,14.51,0
2025-03-10,14.51,14.51,14.51,14.51,0
2025-03-11,14.51,14.51,14.51,14.51,0
2025-03-12,14.51,14.51,14.51,14.51,0
2025-03-13,14.51,14.51,14.51,14.51,0
2025-03-14,14.51,14.51,14.51,14.51,0
2025-03-17,14.51,14.51,14.51,14.51,0
2025-03-18,14.51,14.51,14.51,14.51,0
2025-03-19,14.51,14.51,14.51,14.51,0
2025-03-20,14.51,14.51,14.51,14.51,0
2025-03-21,14.51,14.51,14.51,14.51,0
2025-03-24,14.51,14.51,14.51,14.51,0
2025-03-25,14.51,14.51,14.51,14.51,0
2025-03-26,14.51,14.51,14.51,14.51,0
2025-03-27,14.51,14.51,14.51,14.51,0
2025-03-28,14.51,14.51,14.51,14.51,0
2025-03-31,14.51,14.51,14.51,14.51,0
2025-04-01,14.51,14.51,14.51,14.51,0
2025-04-02,14.51,14.51,14.51,14.51,0
2025-04-03,14.51,14.51,14.51,14.51,0
2025-04-04,14.51,14.51,14.51,14.51,0
2025-04-08,14.51,14.51,14.51,14.51,0
2025-04-09,14.51,14.51,14.51,14.51,0
2025-04-10,14.51,14.51,14.51,14.51,0
2025-04-11,14.51,14.51,14.51,14.51,0
2025-04-14,14.51,14.51,14.51,14.51,0
2025-04-15,14.51,14.51,14.51,14.51,0
2025-04-16,14.51,14.51,14.51,14.51,0
2025-04-17,14.51,14.51,14.51,14.51,0
2025-04-18,14.51,14.51,14.51,14.51,0
2025-04-21,14.51,14.51,14.51,14.51,0
2025-04-22,14.51,14.51,14.51,14.51,0
2025-04-23,14.51,14.51,14.51,14.51,0
2025-04-24,14.51,14.51,14.51,14.51,0
2025-04-25,14.51,14.51,14.51,14.51,0
2025-04-28,14.51,14.51,14.51,14.51,0
2025-04-29,14.51,14.51,14.51,14.51,0
2025-05-05,14.51,14.51,14.51,14.51,0
2025-05-06,14.51,14.51,14.51,14.51,0
2025-05-07,14.51,14.51,14.51,14.51,0
2025-05-08,14.51,14.51,14.51,14.51,0
2025-05-09,14.51,14.51,14.51,14.51,0
2025-05-12,14.51,14.51,14.51,14.51,0
2025-05-13,14.51,14.51,14.51,14.51,0
2025-05-14,14.51,14.51,14.51,14.51,0
2025-05-15,14.51,14.51,14.51,14.51,0
2025-05-16,20.29,20.29,20.29,20.29,500
2025-05-19,23.33,23.33,23.33,23.33,500
2025-05-20,26.76,26.76,26.76,26.76,500
2025-05-21,30.68,30.68,30.68,30.68,500
2025-05-22,30.68,30.68,30.38,30.38,502
2025-05-23,26.36,26.36,26.36,26.36,1600
2025-05-26,23.62,23.62,23.52,23.52,400
2025-05-27,23.52,23.52,23.52,23.52,1000
2025-05-28,23.52,23.72,23.52,23.72,1000
2025-05-29,23.62,24.01,23.62,24.01,1000
2025-05-30,23.91,23.91,23.91,23.91,500
2025-06-02,23.91,23.91,23.91,23.91,500
2025-06-03,23.91,23.91,23.91,23.91,0
2025-06-04,23.91,23.91,23.91,23.91,500
2025-06-05,23.91,23.91,23.91,23.91,0
2025-06-06,24.5,24.5,24.5,24.5,1000
2025-06-09,24.6,24.6,24.6,24.6,1000
2025-06-10,24.6,24.6,24.6,24.6,0
2025-06-11,25.5,25.5,25.5,25.5,100
2025-06-12,25.5,26.0,25.5,26.0,1508
2025-06-13,25.6,25.6,25.6,25.6,0
2025-06-16,26.1,26.1,26.1,26.1,1005
2025-06-17,26.2,26.2,26.2,26.2,1000
2025-06-18,26.2,26.2,26.2,26.2,0
2025-06-19,26.2,26.2,26.2,26.2,1500
2025-06-20,26.2,26.2,26.2,26.2,0
2025-06-23,26.2,26.2,26.2,26.2,0
