time,open,high,low,close,volume
2014-07-03,7.34,7.99,7.34,7.99,312220
2014-07-04,8.46,8.74,8.46,8.74,435300
2014-07-07,9.39,9.39,8.36,8.55,43810
2014-07-08,8.18,8.64,8.18,8.55,151700
2014-07-09,8.55,8.92,8.55,8.92,241900
2014-07-10,8.83,8.83,8.46,8.55,132600
2014-07-11,8.36,9.2,8.36,8.83,198190
2014-07-14,9.2,9.66,8.83,9.66,316610
2014-07-15,10.13,10.13,9.48,9.85,148310
2014-07-16,9.94,10.41,9.66,9.66,156800
2014-07-17,9.66,10.13,9.39,9.76,101300
2014-07-18,9.76,9.76,9.48,9.48,71400
2014-07-21,9.48,9.57,9.11,9.2,80300
2014-07-22,9.01,9.2,8.83,9.2,30800
2014-07-23,9.76,9.76,8.83,9.2,27200
2014-07-24,9.29,9.29,9.11,9.2,11500
2014-07-25,9.2,9.39,8.92,8.92,26300
2014-07-28,9.11,9.11,8.55,9.01,34900
2014-07-29,8.55,9.01,8.46,9.01,8200
2014-07-30,9.01,9.11,8.64,9.11,45200
2014-07-31,9.11,9.2,9.01,9.11,31000
2014-08-01,9.29,9.94,9.29,9.94,500210
2014-08-04,10.22,10.87,10.22,10.87,332100
2014-08-05,11.62,11.71,10.69,11.34,75900
2014-08-06,11.15,11.62,10.5,10.5,110300
2014-08-07,10.59,10.78,10.22,10.69,51700
2014-08-08,11.15,11.15,10.59,10.78,19606
2014-08-11,10.78,11.15,10.13,10.13,69830
2014-08-12,10.22,10.59,10.22,10.31,76400
2014-08-13,10.13,10.5,10.13,10.5,69800
2014-08-14,10.69,11.15,10.69,10.97,189110
2014-08-15,11.06,11.06,10.69,10.97,36460
2014-08-18,10.97,11.06,10.5,10.5,164500
2014-08-19,10.22,10.59,10.04,10.31,194436
2014-08-20,10.78,10.78,10.31,10.5,78200
2014-08-21,10.41,10.59,10.31,10.59,53170
2014-08-22,10.59,10.59,10.22,10.22,148100
2014-08-25,10.41,10.87,10.31,10.5,124310
2014-08-26,9.94,10.5,9.85,10.13,68500
2014-08-27,10.13,10.41,10.13,10.31,25590
2014-08-28,10.31,10.31,10.13,10.13,75005
2014-08-29,10.04,10.41,10.04,10.22,18430
2014-09-03,10.22,10.41,10.22,10.22,114937
2014-09-04,10.22,10.22,10.04,10.22,43235
2014-09-05,10.31,10.31,10.13,10.22,131920
2014-09-08,10.31,10.31,9.94,10.04,163500
2014-09-09,9.94,9.94,9.2,9.29,203350
2014-09-10,9.29,9.29,9.01,9.29,118350
2014-09-11,9.29,9.57,9.01,9.11,66400
2014-09-12,9.2,9.66,9.01,9.57,107037
2014-09-15,9.57,9.76,9.2,9.39,63680
2014-09-16,9.39,9.39,9.01,9.2,56400
2014-09-17,9.2,9.39,9.01,9.01,54450
2014-09-18,9.01,9.2,9.01,9.11,86700
2014-09-19,9.11,9.29,9.01,9.2,103070
2014-09-22,9.29,9.29,8.92,8.92,45800
2014-09-23,9.01,9.01,8.92,8.92,60230
2014-09-24,8.92,9.11,8.92,8.92,57300
2014-09-25,8.74,9.01,8.74,8.92,45200
2014-09-26,8.83,9.01,8.83,8.92,49910
2014-09-29,9.01,9.01,8.83,8.92,52800
2014-09-30,8.92,9.11,8.83,8.92,47600
2014-10-01,9.11,9.39,8.92,9.29,121380
2014-10-02,9.39,9.48,9.2,9.2,126820
2014-10-03,9.39,9.57,8.92,9.29,127600
2014-10-06,9.57,10.22,9.57,10.22,325170
2014-10-07,10.5,11.24,10.31,10.87,418887
2014-10-08,10.78,11.89,10.78,11.89,512915
2014-10-09,11.99,13.01,11.99,13.01,517880
2014-10-10,13.1,14.31,12.82,14.31,671050
2014-10-13,13.94,15.7,13.94,15.7,347610
2014-10-14,16.26,17.19,16.26,17.19,145160
2014-10-15,18.4,18.86,17.28,18.31,949110
2014-10-16,18.31,18.31,16.54,16.54,339630
2014-10-17,14.96,16.54,14.96,15.8,837760
2014-10-20,14.22,17.38,14.22,16.26,301360
2014-10-21,16.26,16.73,15.24,16.08,100850
2014-10-22,15.8,16.08,14.87,15.24,360000
2014-10-23,14.87,15.52,13.75,13.75,453710
2014-10-24,13.1,14.4,13.01,13.01,247902
2014-10-27,13.57,14.31,13.29,14.31,225500
2014-10-28,15.7,15.7,14.68,14.87,438160
2014-10-29,15.33,15.8,14.68,14.68,175830
2014-10-30,13.75,15.7,13.38,15.7,204292
2014-10-31,15.7,16.73,15.7,16.17,314130
2014-11-03,16.73,16.73,15.8,15.8,148050
2014-11-04,15.8,15.98,15.33,15.7,106000
2014-11-05,15.7,15.89,15.05,15.15,187930
2014-11-06,15.33,15.8,14.96,15.05,132900
2014-11-07,14.96,15.52,14.68,15.05,216100
2014-11-10,14.87,15.52,14.87,15.24,79750
2014-11-11,15.24,15.43,15.05,15.05,107230
2014-11-12,15.05,15.89,14.78,15.7,278820
2014-11-13,15.7,16.08,15.33,15.33,186200
2014-11-14,14.96,15.33,14.96,14.96,78200
2014-11-17,14.78,15.33,14.78,15.05,47560
2014-11-18,14.87,15.7,14.87,15.24,200400
2014-11-19,15.33,15.33,14.68,14.68,102100
2014-11-20,14.68,15.15,14.68,14.68,102300
2014-11-21,14.96,15.98,14.59,15.15,501100
2014-11-24,15.7,15.8,15.05,15.52,157130
2014-11-25,15.7,15.7,15.05,15.05,99400
2014-11-26,15.05,15.33,14.4,14.5,153920
2014-11-27,14.5,14.87,14.31,14.5,96130
2014-11-28,14.59,15.15,14.22,15.05,103730
2014-12-01,15.05,15.05,14.4,14.4,58220
2014-12-02,14.59,14.59,13.85,14.03,139340
2014-12-03,14.4,14.4,13.75,13.85,152500
2014-12-04,14.59,14.59,13.85,13.94,84230
2014-12-05,14.03,14.03,13.47,13.75,94970
2014-12-08,13.75,13.85,13.01,13.01,120500
2014-12-09,13.01,13.57,12.64,12.92,128000
2014-12-10,12.82,13.29,12.64,13.2,53640
2014-12-11,13.1,13.1,12.55,12.55,75600
2014-12-12,12.64,12.82,12.36,12.36,34400
2014-12-15,12.45,12.73,12.17,12.17,67300
2014-12-16,11.89,13.38,11.89,13.38,355630
2014-12-17,13.38,13.66,12.08,13.1,145700
2014-12-18,13.1,13.1,12.27,12.55,50400
2014-12-19,12.55,12.82,11.43,11.43,120400
2014-12-22,11.99,12.27,11.43,11.71,99530
2014-12-23,11.71,12.08,11.62,11.89,65000
2014-12-24,12.27,12.45,11.89,12.17,60000
2014-12-25,12.17,13.01,12.17,12.55,103290
2014-12-26,12.36,12.55,11.89,11.89,71200
2014-12-29,12.08,12.27,11.52,11.62,87060
2014-12-30,11.52,11.99,11.52,11.71,146220
2014-12-31,11.8,12.27,11.71,11.99,104500
2015-01-05,12.27,13.1,12.27,13.1,118780
2015-01-06,13.85,14.4,13.1,14.4,347530
2015-01-07,14.87,15.05,14.22,14.59,99800
2015-01-08,14.31,14.31,13.38,13.66,166100
2015-01-09,13.29,13.85,13.29,13.47,137420
2015-01-12,13.29,14.12,13.29,13.47,207570
2015-01-13,13.94,14.78,13.94,14.4,226720
2015-01-14,14.4,14.4,13.66,13.94,119915
2015-01-15,13.94,14.12,13.66,13.66,100600
2015-01-16,13.94,14.12,13.66,13.66,142840
2015-01-19,13.66,13.85,13.47,13.47,83220
2015-01-20,13.29,13.47,13.29,13.29,78700
2015-01-21,13.01,13.94,13.01,13.38,145500
2015-01-22,13.94,13.94,13.38,13.47,27400
2015-01-23,13.57,13.57,13.29,13.29,111900
2015-01-26,13.29,13.66,13.29,13.38,109500
2015-01-27,13.38,13.38,12.55,13.1,211000
2015-01-28,13.1,13.1,12.92,13.1,93830
2015-01-29,13.1,13.1,12.64,13.01,49400
2015-01-30,13.1,13.2,12.73,13.2,104500
2015-02-02,13.2,13.38,12.55,12.55,50000
2015-02-03,12.73,13.01,12.73,12.82,47908
2015-02-04,12.82,12.82,12.36,12.64,18900
2015-02-05,12.64,12.82,12.36,12.36,30000
2015-02-06,12.17,12.45,12.17,12.36,39900
2015-02-09,12.27,12.55,11.99,11.99,24200
2015-02-10,11.71,11.99,11.71,11.71,93300
2015-02-11,11.8,11.99,11.71,11.99,37910
2015-02-12,11.99,13.1,11.89,13.1,95880
2015-02-13,14.4,14.4,13.38,14.4,186200
2015-02-24,15.8,15.8,14.78,14.78,234920
2015-02-25,15.24,15.33,14.03,14.03,247645
2015-02-26,14.03,14.59,13.94,13.94,188200
2015-02-27,13.94,14.03,13.47,13.57,215030
2015-03-02,13.1,13.57,13.1,13.1,136900
2015-03-03,13.01,13.29,12.92,13.29,75600
2015-03-04,13.2,13.29,13.1,13.29,115250
2015-03-05,13.2,14.12,13.2,13.66,91600
2015-03-06,13.1,13.57,13.1,13.38,46200
2015-03-09,13.38,13.38,13.01,13.1,113100
2015-03-10,13.01,13.38,13.01,13.1,68770
2015-03-11,13.1,13.29,13.1,13.1,60410
2015-03-12,13.01,13.29,13.01,13.1,57900
2015-03-13,13.1,13.2,13.1,13.1,74000
2015-03-16,13.66,14.4,13.66,14.4,661840
2015-03-17,15.33,15.7,14.4,14.59,341548
2015-03-18,14.5,14.59,14.12,14.31,95025
2015-03-19,14.03,14.12,13.85,13.85,126300
2015-03-20,13.94,13.94,13.57,13.75,145800
2015-03-23,13.75,13.94,13.75,13.85,77600
2015-03-24,13.85,13.94,13.57,13.94,61200
2015-03-25,14.03,14.03,13.66,13.66,64000
2015-03-26,13.57,13.66,13.47,13.66,62800
2015-03-27,13.66,13.75,13.29,13.29,76550
2015-03-30,13.29,13.66,13.1,13.2,73404
2015-03-31,13.1,13.47,13.1,13.29,31700
2015-04-01,13.29,13.38,12.73,12.73,71000
2015-04-02,12.82,13.1,12.73,13.1,24700
2015-04-03,13.1,13.1,12.73,13.1,56600
2015-04-06,13.1,13.1,12.82,12.92,27200
2015-04-07,12.92,13.38,12.92,13.29,37800
2015-04-08,13.2,13.2,12.92,13.1,41800
2015-04-09,12.92,13.29,12.92,13.29,37450
2015-04-10,13.47,13.47,12.92,13.29,63810
2015-04-13,13.29,13.75,13.29,13.66,113200
2015-04-14,13.75,13.94,13.29,13.29,55828
2015-04-15,13.29,13.29,13.2,13.29,24600
2015-04-16,13.2,13.47,13.1,13.2,50420
2015-04-17,13.01,13.57,13.01,13.47,101170
2015-04-20,13.29,13.38,13.29,13.29,78770
2015-04-21,13.01,13.47,12.92,13.29,124900
2015-04-22,13.2,13.47,13.1,13.29,29400
2015-04-23,13.1,13.2,12.92,13.01,29600
2015-04-24,13.01,13.01,12.73,13.01,85500
2015-04-27,12.73,13.01,12.73,13.01,25772
2015-05-04,11.71,13.29,11.71,11.89,94100
2015-05-05,11.8,12.45,11.52,12.27,86950
2015-05-06,12.27,12.27,11.71,11.8,41200
2015-05-07,11.8,12.27,11.71,12.08,45420
2015-05-08,11.89,12.36,11.89,12.36,11200
2015-05-11,12.36,12.55,11.99,12.08,29050
2015-05-12,11.99,12.17,11.89,12.17,28600
2015-05-13,12.45,12.45,11.99,11.99,16300
2015-05-14,12.17,12.17,11.99,11.99,3610
2015-05-15,12.55,12.55,11.62,11.99,66800
2015-05-18,11.89,11.89,11.43,11.62,32800
2015-05-19,11.62,11.8,11.43,11.8,40000
2015-05-20,11.8,12.27,11.62,11.89,61790
2015-05-21,12.08,12.27,11.8,12.08,42100
2015-05-22,11.89,12.08,11.89,11.89,47120
2015-05-25,12.08,12.27,11.89,12.08,52702
2015-05-26,12.08,12.08,11.8,11.99,45010
2015-05-27,11.99,12.08,11.8,11.99,26600
2015-05-28,11.8,12.27,11.8,11.89,60500
2015-05-29,11.89,12.08,11.89,11.99,17900
2015-06-01,11.89,12.18,11.8,11.99,15408
2015-06-02,11.8,12.74,11.8,12.27,141780
2015-06-03,12.65,12.65,12.27,12.55,88430
2015-06-04,12.65,12.65,12.46,12.55,24050
2015-06-05,12.27,12.46,12.18,12.18,65870
2015-06-08,12.27,13.31,12.27,13.21,218020
2015-06-09,13.21,13.4,12.93,12.93,61820
2015-06-10,13.21,13.21,12.93,12.93,66610
2015-06-11,13.02,13.21,12.84,12.93,38068
2015-06-12,12.93,13.02,12.74,12.93,64800
2015-06-15,13.02,13.02,12.74,12.74,46000
2015-06-16,12.74,12.93,12.55,12.65,79490
2015-06-17,12.55,12.84,12.46,12.55,21000
2015-06-18,12.55,12.55,11.99,12.18,131300
2015-06-19,12.18,13.21,11.89,13.21,164970
2015-06-22,13.69,14.35,13.4,13.78,307935
2015-06-23,13.78,13.78,12.93,12.93,142800
2015-06-24,12.84,13.31,12.84,13.12,72700
2015-06-25,12.93,13.31,12.55,12.55,45400
2015-06-26,13.12,13.12,12.65,12.74,69828
2015-06-29,12.46,12.46,12.08,12.08,190035
2015-06-30,12.08,12.27,11.99,11.99,92025
2015-07-01,12.18,12.18,11.89,11.99,23300
2015-07-02,11.89,12.46,11.89,12.08,59950
2015-07-03,12.08,12.36,11.99,12.27,97610
2015-07-06,12.27,12.27,11.99,12.08,153100
2015-07-07,12.08,12.18,11.89,11.89,122529
2015-07-08,12.18,12.18,11.89,11.89,70800
2015-07-09,11.8,11.99,11.8,11.89,47300
2015-07-10,11.89,11.99,11.8,11.8,66530
2015-07-13,11.89,11.99,11.8,11.8,57220
2015-07-14,11.8,11.8,11.61,11.8,66930
2015-07-15,11.61,11.8,11.51,11.7,70630
2015-07-16,11.61,11.8,11.61,11.8,18740
2015-07-17,11.8,12.08,11.8,11.99,32900
2015-07-20,11.8,11.8,11.42,11.7,28100
2015-07-21,11.99,11.99,11.61,11.61,23400
2015-07-22,11.51,11.7,11.51,11.61,43640
2015-07-23,11.61,11.89,11.51,11.61,27890
2015-07-24,11.61,11.61,11.33,11.51,46000
2015-07-27,11.42,11.61,11.42,11.61,21240
2015-07-28,11.61,11.61,11.04,11.04,125921
2015-07-29,11.33,11.33,10.85,10.95,68500
2015-07-30,11.04,11.61,10.95,11.51,98140
2015-07-31,11.51,11.51,11.04,11.33,28450
2015-08-03,11.33,11.42,10.95,11.33,43000
2015-08-04,11.04,11.33,11.04,11.23,15520
