time,open,high,low,close,volume
2014-07-02,5.73,5.81,5.73,5.81,15400
2014-07-03,5.81,6.32,5.81,6.32,28089
2014-07-04,6.07,6.15,5.9,6.07,34100
2014-07-07,6.07,6.15,6.07,6.15,81500
2014-07-08,5.73,6.15,5.73,6.07,46500
2014-07-09,6.15,6.24,6.15,6.15,16700
2014-07-10,6.15,6.24,6.15,6.15,58200
2014-07-11,5.98,6.15,5.98,6.15,24100
2014-07-14,6.15,6.24,6.15,6.24,6000
2014-07-15,5.9,6.24,5.9,6.24,45000
2014-07-16,6.24,6.24,6.15,6.24,17500
2014-07-17,6.15,6.24,6.15,6.24,46500
2014-07-18,6.24,6.83,6.24,6.74,118200
2014-07-21,6.74,6.83,6.57,6.74,14400
2014-07-22,6.49,6.66,6.4,6.66,3500
2014-07-23,6.32,6.57,6.15,6.49,13400
2014-07-24,6.32,6.4,6.32,6.4,4500
2014-07-25,6.49,6.49,6.32,6.32,21300
2014-07-28,6.24,6.32,6.07,6.15,56800
2014-07-29,6.15,6.24,6.15,6.24,3600
2014-07-30,6.32,6.32,6.24,6.24,17620
2014-07-31,6.15,6.24,6.15,6.24,800
2014-08-01,6.24,6.24,6.24,6.24,11000
2014-08-04,6.15,6.24,6.15,6.24,32800
2014-08-05,6.24,6.4,6.24,6.4,13969
2014-08-06,6.32,6.4,6.32,6.4,3400
2014-08-07,6.32,6.4,6.32,6.4,10500
2014-08-08,6.4,6.4,6.24,6.4,24200
2014-08-11,6.4,6.4,6.24,6.4,19500
2014-08-12,6.4,6.49,6.4,6.49,10700
2014-08-13,6.4,6.49,6.4,6.4,9600
2014-08-14,6.49,6.49,6.4,6.4,10500
2014-08-15,6.4,6.4,6.32,6.4,13000
2014-08-18,6.4,6.4,6.32,6.4,20700
2014-08-19,6.4,6.4,6.4,6.4,15200
2014-08-20,6.4,6.57,6.4,6.49,18100
2014-08-21,6.49,6.49,6.49,6.49,2800
2014-08-22,6.49,6.74,6.49,6.74,27600
2014-08-25,6.66,6.74,6.66,6.74,11200
2014-08-26,6.74,6.74,6.57,6.66,29600
2014-08-27,6.74,6.83,6.57,6.57,31000
2014-08-28,6.49,6.66,6.4,6.66,6337
2014-08-29,6.74,6.74,6.57,6.66,45200
2014-09-03,6.74,6.74,6.66,6.74,70900
2014-09-04,6.66,6.74,6.57,6.74,224000
2014-09-05,6.74,7.25,6.74,7.16,285106
2014-09-08,7.16,7.84,7.16,7.58,198700
2014-09-09,7.5,7.58,7.08,7.08,163900
2014-09-10,7.08,7.58,6.83,7.58,235600
2014-09-11,7.33,7.5,7.33,7.5,269300
2014-09-12,7.42,7.5,7.33,7.5,62600
2014-09-15,7.5,7.58,7.42,7.5,99500
2014-09-16,7.33,7.33,7.25,7.25,65100
2014-09-17,7.25,7.92,7.25,7.75,295300
2014-09-18,7.5,7.84,7.5,7.58,376700
2014-09-19,7.5,7.84,7.5,7.67,115200
2014-09-22,7.67,7.75,7.58,7.58,99200
2014-09-23,7.67,7.75,7.58,7.67,86800
2014-09-24,7.67,7.67,7.58,7.58,61400
2014-09-25,7.5,7.58,7.42,7.42,69200
2014-09-26,7.5,7.67,7.5,7.58,68600
2014-09-29,7.42,7.58,7.42,7.42,26406
2014-09-30,7.5,7.5,7.42,7.5,10700
2014-10-01,7.84,7.84,7.5,7.58,22969
2014-10-02,7.5,7.58,7.5,7.58,60800
2014-10-03,7.58,7.75,7.5,7.67,51900
2014-10-06,7.67,7.67,7.58,7.58,33800
2014-10-07,7.67,7.84,7.5,7.84,91500
2014-10-08,7.84,7.84,7.58,7.75,95600
2014-10-09,7.67,7.84,7.67,7.84,34500
2014-10-10,7.67,7.75,7.5,7.75,84100
2014-10-13,7.58,7.67,7.58,7.67,5000
2014-10-14,7.84,7.84,7.42,7.5,84400
2014-10-15,7.5,7.58,7.42,7.58,68200
2014-10-16,7.5,7.5,7.33,7.33,34600
2014-10-17,7.25,7.33,7.16,7.33,15600
2014-10-20,7.33,7.33,7.33,7.33,24200
2014-10-21,7.33,7.33,7.16,7.33,60075
2014-10-22,7.33,7.5,7.33,7.5,1400
2014-10-23,7.42,7.42,6.91,7.08,25300
2014-10-24,7.33,7.33,6.91,7.08,8800
2014-10-27,7.08,7.08,6.4,7.08,37200
2014-10-28,6.66,6.66,6.49,6.49,4000
2014-10-29,6.74,6.83,6.66,6.83,4600
2014-10-30,6.83,6.91,6.83,6.83,6600
2014-10-31,6.83,7.16,6.83,7.16,15000
2014-11-03,7.42,7.42,6.83,6.99,8800
2014-11-04,6.83,6.91,6.83,6.91,1400
2014-11-05,6.99,6.99,6.74,6.91,17700
2014-11-06,6.91,6.99,6.24,6.91,20600
2014-11-07,6.83,6.91,6.74,6.91,33900
2014-11-10,6.91,6.99,6.74,6.99,7200
2014-11-11,6.83,6.91,6.74,6.74,18200
2014-11-12,6.74,6.99,6.74,6.99,62400
2014-11-13,6.91,6.99,6.91,6.99,19800
2014-11-14,6.83,6.91,6.83,6.91,7100
2014-11-17,6.74,6.74,6.74,6.74,5100
2014-11-18,6.91,6.91,6.91,6.91,100
2014-11-19,6.83,6.91,6.83,6.91,2100
2014-11-20,6.91,6.91,6.91,6.91,1000
2014-11-21,6.91,6.91,6.83,6.83,22000
2014-11-24,6.74,6.74,6.74,6.74,10100
2014-11-25,6.74,6.74,6.74,6.74,14800
2014-11-26,6.74,6.74,6.74,6.74,3500
2014-11-27,6.66,6.74,6.66,6.74,3200
2014-11-28,6.74,6.74,6.74,6.74,2100
2014-12-01,6.66,6.74,6.66,6.74,6000
2014-12-02,6.66,6.74,6.57,6.74,13800
2014-12-03,6.74,6.91,6.74,6.91,25200
2014-12-04,6.74,6.91,6.74,6.91,1800
2014-12-05,6.91,6.91,6.91,6.91,35
2014-12-08,6.83,6.91,6.83,6.91,5500
2014-12-09,6.74,6.74,6.74,6.74,6900
2014-12-10,6.74,6.74,6.74,6.74,19300
2014-12-11,6.74,6.74,6.74,6.74,10600
2014-12-12,6.83,6.91,6.83,6.91,8000
2014-12-15,6.91,6.99,6.91,6.99,1000
2014-12-16,6.83,6.83,6.74,6.74,20900
2014-12-17,6.66,6.66,6.66,6.66,3710
2014-12-18,6.74,6.74,6.74,6.74,1000
2014-12-19,6.66,6.74,6.57,6.74,6700
2014-12-22,6.74,6.99,6.57,6.99,30600
2014-12-23,6.99,7.16,6.99,7.16,18400
2014-12-24,7.16,7.25,6.99,7.16,4100
2014-12-25,7.08,7.16,6.99,7.16,22400
2014-12-26,7.08,7.08,6.66,7.08,436400
2014-12-29,7.08,7.16,7.08,7.16,56200
2014-12-30,7.25,7.58,7.25,7.58,70200
2014-12-31,7.58,7.84,7.58,7.84,38300
2015-01-05,7.58,7.58,7.58,7.58,1600
2015-01-06,7.58,7.75,7.58,7.67,2200
2015-01-07,7.75,7.84,7.67,7.84,51600
2015-01-08,7.58,7.84,7.58,7.75,2920
