time,open,high,low,close,volume
2015-06-26,3.27,3.27,3.27,3.27,0
2015-06-29,3.27,3.27,3.27,3.27,0
2015-06-30,3.27,3.27,3.27,3.27,0
2015-07-01,3.27,3.27,3.27,3.27,0
2015-07-02,3.27,3.27,3.27,3.27,0
2015-07-03,3.27,3.27,3.27,3.27,0
2015-07-06,3.27,3.27,3.27,3.27,0
2015-07-07,3.27,3.27,3.27,3.27,0
2015-07-08,3.27,3.27,3.27,3.27,0
2015-07-09,2.44,2.44,2.44,2.44,100
2015-07-10,2.44,2.44,2.44,2.44,0
2015-07-13,2.44,2.44,2.44,2.44,0
2015-07-14,2.44,2.44,2.44,2.44,0
2015-07-15,2.44,2.44,2.44,2.44,0
2015-07-16,2.44,2.44,2.44,2.44,0
2015-07-17,2.44,2.44,2.44,2.44,0
2015-07-20,2.44,2.44,2.44,2.44,0
2015-07-21,2.44,2.44,2.44,2.44,0
2015-07-22,2.44,2.44,2.44,2.44,0
2015-07-23,2.44,2.44,2.44,2.44,0
2015-07-24,2.58,2.58,2.58,2.58,2000
2015-07-27,2.58,2.58,2.58,2.58,0
2015-07-28,2.58,2.58,2.58,2.58,0
2015-07-29,2.58,2.58,2.58,2.58,0
2015-07-30,2.58,2.58,2.58,2.58,2000
2015-07-31,2.58,2.58,2.58,2.58,0
2015-08-03,2.58,2.58,2.58,2.58,0
2015-08-04,2.58,2.58,2.58,2.58,0
2015-08-05,2.58,2.58,2.58,2.58,0
2015-08-06,2.58,2.58,2.58,2.58,0
2015-08-07,2.58,2.58,2.58,2.58,0
2015-08-10,2.58,2.58,2.58,2.58,0
2015-08-11,2.58,2.58,2.58,2.58,0
2015-08-12,2.58,2.58,2.58,2.58,0
2015-08-13,2.58,2.58,2.58,2.58,0
2015-08-14,2.58,2.58,2.58,2.58,0
2015-08-17,2.58,2.58,2.58,2.58,0
2015-08-18,2.58,2.58,2.58,2.58,0
2015-08-19,2.58,2.58,2.58,2.58,0
2015-08-20,2.58,2.58,2.58,2.58,0
2015-08-21,2.58,2.58,2.58,2.58,0
2015-08-24,2.27,2.27,2.27,2.27,100
2015-08-25,2.27,2.27,2.27,2.27,0
2015-08-26,2.27,2.27,2.27,2.27,0
2015-08-27,2.27,2.27,2.27,2.27,0
2015-08-28,2.27,2.27,2.27,2.27,0
2015-08-31,2.58,2.58,2.58,2.58,600
2015-09-01,2.58,2.58,2.58,2.58,0
2015-09-03,2.58,2.58,2.58,2.58,0
2015-09-04,2.75,2.75,2.75,2.75,2200
2015-09-07,2.75,2.75,2.75,2.75,30
2015-09-08,2.75,2.75,2.75,2.75,0
2015-09-09,2.75,2.75,2.75,2.75,0
2015-09-10,2.75,2.75,2.75,2.75,0
2015-09-11,2.75,2.75,2.75,2.75,0
2015-09-14,2.75,2.75,2.75,2.75,0
2015-09-15,2.75,2.75,2.75,2.75,0
2015-09-16,2.75,2.75,2.75,2.75,0
2015-09-17,3.02,3.02,2.96,2.96,6000
2015-09-18,2.96,2.96,2.96,2.96,0
2015-09-21,2.54,2.54,2.54,2.54,100
2015-09-22,2.54,2.54,2.54,2.54,0
2015-09-23,2.54,2.54,2.54,2.54,0
2015-09-24,2.54,2.54,2.54,2.54,0
2015-09-25,2.54,2.54,2.54,2.54,0
2015-09-28,2.54,2.54,2.54,2.54,0
2015-09-29,2.54,2.54,2.54,2.54,0
2015-09-30,2.54,2.54,2.54,2.54,0
2015-10-01,2.54,2.54,2.54,2.54,0
2015-10-02,2.54,2.54,2.54,2.54,0
2015-10-05,2.54,2.54,2.54,2.54,0
2015-10-06,2.54,2.54,2.54,2.54,0
2015-10-07,2.54,2.54,2.54,2.54,0
2015-10-08,2.54,2.54,2.54,2.54,0
2015-10-09,2.75,2.75,2.41,2.41,300
2015-10-12,2.75,2.75,2.75,2.75,6900
2015-10-13,2.75,2.75,2.75,2.75,0
2015-10-14,2.75,2.75,2.75,2.75,0
2015-10-15,2.75,2.75,2.75,2.75,0
2015-10-16,2.75,2.75,2.75,2.75,0
2015-10-19,2.75,2.75,2.75,2.75,0
2015-10-20,2.75,2.75,2.75,2.75,0
2015-10-21,2.75,2.75,2.75,2.75,0
2015-10-22,2.75,2.75,2.75,2.75,0
2015-10-23,2.75,2.75,2.75,2.75,0
2015-10-26,2.75,2.75,2.75,2.75,0
2015-10-27,2.75,2.75,2.75,2.75,0
2015-10-28,2.75,2.75,2.75,2.75,0
2015-10-29,2.75,2.75,2.75,2.75,0
2015-10-30,2.75,2.75,2.75,2.75,0
2015-11-02,2.75,2.75,2.75,2.75,0
2015-11-03,2.75,2.75,2.75,2.75,0
2015-11-04,2.75,2.75,2.75,2.75,0
2015-11-05,2.75,2.75,2.75,2.75,0
2015-11-06,2.75,2.75,2.75,2.75,0
2015-11-09,2.75,2.75,2.75,2.75,0
2015-11-10,2.75,2.75,2.75,2.75,0
2015-11-11,2.37,2.37,2.37,2.37,100
2015-11-12,2.72,2.72,2.72,2.72,8000
2015-11-13,2.72,2.72,2.72,2.72,0
2015-11-16,2.72,2.72,2.72,2.72,0
2015-11-17,2.72,2.72,2.72,2.72,0
2015-11-18,2.72,2.72,2.72,2.72,0
2015-11-19,2.72,2.72,2.72,2.72,0
2015-11-20,2.72,2.72,2.72,2.72,0
2015-11-23,2.72,2.72,2.72,2.72,0
2015-11-24,2.72,2.72,2.72,2.72,0
2015-11-25,2.72,2.72,2.72,2.72,0
2015-11-26,2.72,2.72,2.72,2.72,0
2015-11-27,2.72,2.72,2.72,2.72,0
2015-11-30,2.72,2.72,2.72,2.72,0
2015-12-01,2.72,2.72,2.72,2.72,0
2015-12-02,2.72,2.72,2.72,2.72,0
2015-12-03,2.72,2.72,2.72,2.72,61000
2015-12-04,2.58,2.58,2.58,2.58,900
2015-12-07,2.58,2.58,2.58,2.58,0
2015-12-08,2.61,2.65,2.61,2.65,60600
2015-12-09,2.75,2.75,2.75,2.75,600
2015-12-10,2.75,2.75,2.75,2.75,0
2015-12-11,2.75,2.75,2.75,2.75,0
2015-12-14,2.75,2.75,2.75,2.75,0
2015-12-15,2.75,2.75,2.75,2.75,0
2015-12-16,2.75,2.75,2.75,2.75,0
2015-12-17,2.75,2.75,2.75,2.75,0
2015-12-18,2.75,2.75,2.75,2.75,0
2015-12-21,2.75,2.75,2.75,2.75,0
2015-12-22,2.75,2.75,2.75,2.75,0
2015-12-23,2.75,2.75,2.75,2.75,0
2015-12-24,2.75,2.75,2.75,2.75,0
2015-12-25,2.58,2.58,2.58,2.58,13100
2015-12-28,2.58,2.58,2.58,2.58,0
2015-12-29,2.58,2.58,2.58,2.58,0
2015-12-30,2.58,2.58,2.58,2.58,0
2015-12-31,2.58,2.58,2.58,2.58,0
2016-01-04,2.58,2.58,2.58,2.58,0
2016-01-05,2.58,2.58,2.58,2.58,0
2016-01-06,2.58,2.58,2.58,2.58,0
2016-01-07,2.58,2.58,2.58,2.58,0
2016-01-08,2.58,2.58,2.58,2.58,0
2016-01-11,2.58,2.58,2.58,2.58,0
2016-01-12,2.58,2.58,2.58,2.58,0
2016-01-13,2.58,2.58,2.58,2.58,0
2016-01-14,2.58,2.58,2.58,2.58,0
2016-01-15,2.58,2.58,2.58,2.58,0
2016-01-18,2.58,2.58,2.58,2.58,0
2016-01-19,2.58,2.58,2.58,2.58,0
2016-01-20,2.58,2.58,2.58,2.58,0
2016-01-21,2.23,2.23,2.23,2.23,100
2016-01-22,2.23,2.23,2.23,2.23,0
2016-01-25,2.23,2.23,2.23,2.23,0
