time,open,high,low,close,volume
2013-05-31,5.2,5.3,5.0,5.3,9960
2013-06-03,5.5,5.5,5.3,5.5,2060
2013-06-04,5.4,5.5,5.2,5.2,1530
2013-06-05,5.4,5.4,5.0,5.3,2030
2013-06-06,5.2,5.5,5.2,5.5,1940
2013-06-07,5.3,5.5,5.2,5.2,1520
2013-06-10,5.2,5.2,5.2,5.2,540
2013-06-11,5.3,5.3,4.9,5.0,19640
2013-06-12,5.2,5.3,5.1,5.1,2290
2013-06-13,5.0,5.2,5.0,5.2,180
2013-06-14,5.0,5.2,5.0,5.2,2500
2013-06-17,5.2,5.3,4.9,4.9,3700
2013-06-18,5.0,5.2,5.0,5.0,8940
2013-06-19,5.2,5.2,5.2,5.2,100
2013-06-20,5.0,5.0,5.0,5.0,120
2013-06-21,5.0,5.2,5.0,5.2,130
2013-06-24,4.9,5.1,4.9,5.1,3950
2013-06-25,5.2,5.2,4.8,5.1,17410
2013-06-26,4.8,5.1,4.8,4.8,10970
2013-06-27,5.0,5.0,4.8,4.9,140
2013-06-28,4.8,5.0,4.8,5.0,2520
2013-07-01,5.0,5.0,5.0,5.0,0
2013-07-02,5.0,5.0,5.0,5.0,0
2013-07-03,5.0,5.0,5.0,5.0,0
2013-07-04,5.0,5.0,5.0,5.0,1000
2013-07-05,4.9,5.1,4.9,5.0,6400
2013-07-08,5.0,5.0,5.0,5.0,24880
2013-07-09,5.0,5.1,5.0,5.1,8560
2013-07-10,5.1,5.2,5.1,5.1,4510
2013-07-11,5.1,5.1,5.1,5.1,510
2013-07-12,5.1,5.2,5.1,5.1,4600
2013-07-15,5.2,5.2,5.1,5.2,1600
2013-07-16,5.1,5.2,5.1,5.2,250
2013-07-17,5.2,5.2,5.1,5.2,1120
2013-07-18,5.2,5.2,5.2,5.2,10
2013-07-19,5.2,5.3,5.2,5.3,130
2013-07-22,5.3,5.3,5.3,5.3,0
2013-07-23,5.1,5.1,5.0,5.1,920
2013-07-24,5.0,5.0,5.0,5.0,600
2013-07-25,4.9,5.0,4.9,5.0,310
2013-07-26,5.0,5.0,5.0,5.0,50
2013-07-29,4.9,4.9,4.9,4.9,200
2013-07-30,4.7,4.7,4.6,4.7,1200
2013-07-31,4.8,4.8,4.6,4.7,6170
2013-08-01,4.7,5.0,4.7,5.0,700
2013-08-02,4.8,5.0,4.8,5.0,1150
2013-08-05,5.0,5.0,5.0,5.0,10
2013-08-06,4.7,4.8,4.7,4.7,6860
2013-08-07,4.8,5.0,4.7,5.0,18770
2013-08-08,5.0,5.0,5.0,5.0,0
2013-08-09,5.0,5.0,5.0,5.0,0
2013-08-12,4.7,4.7,4.7,4.7,300
2013-08-13,4.9,4.9,4.9,4.9,10
2013-08-14,5.0,5.0,5.0,5.0,100
2013-08-15,4.9,5.0,4.9,5.0,220
2013-08-16,4.9,5.0,4.9,5.0,260
2013-08-19,5.0,5.0,5.0,5.0,100
2013-08-20,4.9,5.0,4.9,5.0,280
2013-08-21,4.9,4.9,4.9,4.9,10
2013-08-22,4.9,4.9,4.9,4.9,0
2013-08-23,4.6,4.9,4.6,4.9,60
2013-08-26,4.6,5.0,4.6,5.0,2030
2013-08-27,5.0,5.0,5.0,5.0,0
2013-08-28,5.0,5.0,5.0,5.0,0
2013-08-29,4.7,4.8,4.7,4.8,200
2013-08-30,4.5,4.7,4.5,4.7,170
2013-09-03,4.4,4.7,4.4,4.7,150
2013-09-04,4.7,4.7,4.4,4.7,180
2013-09-05,4.4,4.7,4.4,4.7,430
2013-09-06,4.7,4.7,4.7,4.7,110
2013-09-09,4.6,4.6,4.6,4.6,200
2013-09-10,4.6,4.6,4.6,4.6,0
2013-09-11,4.3,4.5,4.3,4.5,550
2013-09-12,4.7,4.7,4.7,4.7,10
2013-09-13,4.5,4.5,4.4,4.5,150
2013-09-16,4.2,4.6,4.2,4.6,280
2013-09-17,4.5,4.6,4.5,4.6,60
2013-09-18,4.7,4.8,4.7,4.8,100
2013-09-19,4.5,4.8,4.5,4.8,2180
2013-09-20,4.5,4.5,4.5,4.5,2140
2013-09-23,4.6,4.6,4.6,4.6,100
2013-09-24,4.8,4.8,4.8,4.8,200
2013-09-25,4.8,4.8,4.8,4.8,0
2013-09-26,4.5,4.5,4.5,4.5,550
2013-09-27,4.7,4.8,4.7,4.8,60
2013-09-30,4.8,4.8,4.8,4.8,0
2013-10-01,4.5,4.8,4.5,4.8,2120
2013-10-02,4.5,4.7,4.5,4.7,1990
2013-10-03,4.7,4.7,4.7,4.7,0
2013-10-04,4.4,4.8,4.4,4.8,910
2013-10-07,4.5,4.5,4.5,4.5,1850
2013-10-08,4.2,4.5,4.2,4.5,2450
