time,open,high,low,close,volume
2015-06-26,6.51,6.51,6.51,6.51,0
2015-06-29,6.51,6.51,6.51,6.51,0
2015-06-30,6.13,6.15,6.13,6.13,1400
2015-07-01,6.49,6.49,6.49,6.49,2300
2015-07-02,6.49,6.49,6.49,6.49,100
2015-07-03,6.13,6.13,6.13,6.13,2000
2015-07-06,6.23,6.23,6.23,6.23,1000
2015-07-07,6.23,6.23,6.23,6.23,0
2015-07-08,6.23,6.23,6.23,6.23,0
2015-07-09,6.23,6.23,6.13,6.13,2800
2015-07-10,6.13,6.13,6.13,6.13,0
2015-07-13,6.13,6.13,6.13,6.13,2600
2015-07-14,6.13,6.13,6.13,6.13,1700
2015-07-15,6.17,6.33,6.13,6.33,2900
2015-07-16,6.33,6.49,6.33,6.49,1100
2015-07-17,6.43,6.43,6.43,6.43,400
2015-07-20,6.49,6.49,6.49,6.49,200
2015-07-21,6.53,6.92,6.53,6.63,10700
2015-07-22,7.26,7.26,7.26,7.26,100
2015-07-23,7.26,7.26,7.26,7.26,0
2015-07-24,6.92,6.92,6.92,6.92,1000
2015-07-27,6.92,7.04,6.92,6.98,1700
2015-07-28,6.98,6.98,6.98,6.98,0
2015-07-29,7.04,7.04,6.98,7.0,3600
2015-07-30,7.12,7.22,7.12,7.16,1600
2015-07-31,7.24,7.28,7.24,7.28,2150
2015-08-03,7.3,7.3,7.3,7.3,100
2015-08-04,7.32,7.36,7.32,7.36,2500
2015-08-05,7.52,7.66,7.52,7.62,2100
2015-08-06,7.7,7.72,7.7,7.72,400
2015-08-07,7.75,7.83,7.75,7.83,2550
2015-08-10,7.83,7.83,7.68,7.68,2000
2015-08-11,7.83,7.85,7.72,7.72,6000
2015-08-12,7.72,7.72,7.72,7.72,200
2015-08-13,7.72,7.72,7.72,7.72,0
2015-08-14,7.54,7.54,7.22,7.22,1500
2015-08-17,7.83,7.83,7.81,7.83,3800
2015-08-18,7.83,7.83,7.83,7.83,0
2015-08-19,7.72,7.72,7.72,7.72,500
2015-08-20,7.72,7.72,7.72,7.72,1500
2015-08-21,7.66,7.83,7.66,7.83,1200
2015-08-24,7.83,7.83,7.42,7.42,3100
2015-08-25,7.38,7.38,7.38,7.38,100
2015-08-26,7.91,7.93,7.91,7.93,4500
2015-08-27,7.75,7.75,7.75,7.75,3000
2015-08-28,7.93,7.93,7.81,7.85,14850
2015-08-31,7.83,7.85,7.83,7.85,200
2015-09-01,7.93,7.93,7.85,7.85,4600
2015-09-03,7.83,7.83,7.83,7.83,100
2015-09-04,7.83,7.83,7.83,7.83,0
2015-09-07,7.83,7.83,7.83,7.83,0
2015-09-08,7.83,7.83,7.83,7.83,0
2015-09-09,7.85,7.91,7.85,7.91,11700
2015-09-10,7.89,8.05,7.89,8.05,2100
2015-09-11,8.03,8.09,7.93,7.95,7300
2015-09-14,7.95,7.95,7.93,7.93,1100
2015-09-15,7.93,7.93,7.93,7.93,4100
2015-09-16,7.95,7.95,7.93,7.93,12000
2015-09-17,7.93,7.93,7.93,7.93,0
2015-09-18,8.03,8.03,7.89,7.89,700
2015-09-21,7.93,8.03,7.89,7.89,8300
2015-09-22,7.91,7.91,7.83,7.83,1600
2015-09-23,7.83,7.83,7.83,7.83,100
2015-09-24,7.85,7.85,7.85,7.85,500
2015-09-25,7.22,7.85,7.22,7.85,2000
2015-09-28,7.91,7.93,7.87,7.87,2600
2015-09-29,7.87,7.87,7.87,7.87,900
