time,open,high,low,close,volume
2015-06-26,1.96,1.96,1.96,1.96,0
2015-06-29,1.96,1.96,1.96,1.96,0
2015-06-30,1.83,1.83,1.83,1.83,200
2015-07-01,1.83,1.83,1.83,1.83,0
2015-07-02,1.83,1.83,1.83,1.83,0
2015-07-03,1.83,1.83,1.83,1.83,0
2015-07-06,1.83,1.83,1.83,1.83,0
2015-07-07,1.83,1.83,1.83,1.83,0
2015-07-08,1.83,1.83,1.83,1.83,300
2015-07-09,1.83,1.83,1.83,1.83,0
2015-07-10,1.83,1.83,1.83,1.83,0
2015-07-13,1.83,1.83,1.83,1.83,0
2015-07-14,1.83,1.83,1.83,1.83,0
2015-07-15,1.83,1.83,1.83,1.83,0
2015-07-16,1.83,1.83,1.83,1.83,0
2015-07-17,1.83,1.83,1.83,1.83,0
2015-07-20,1.83,1.83,1.83,1.83,0
2015-07-21,1.83,1.83,1.83,1.83,0
2015-07-22,1.83,1.83,1.83,1.83,0
2015-07-23,2.09,2.09,1.81,2.09,5400
2015-07-24,2.08,2.08,2.08,2.08,4200
2015-07-27,2.08,2.08,2.08,2.08,0
2015-07-28,2.08,2.08,2.08,2.08,1000
2015-07-29,2.08,2.08,1.81,2.08,15000
2015-07-30,2.13,2.16,2.13,2.16,1400
2015-07-31,1.99,1.99,1.84,1.84,500
2015-08-03,1.84,1.84,1.84,1.84,0
2015-08-04,2.14,2.14,2.08,2.08,1600
2015-08-05,2.08,2.08,2.08,2.08,0
2015-08-06,2.08,2.08,2.08,2.08,0
2015-08-07,2.24,2.24,2.24,2.24,500
2015-08-10,2.19,2.19,2.19,2.19,200
2015-08-11,2.19,2.19,2.19,2.19,0
2015-08-12,2.32,2.36,2.32,2.36,2000
2015-08-13,2.37,2.37,2.26,2.26,2200
2015-08-14,2.26,2.26,2.26,2.26,300
2015-08-17,2.26,2.26,2.26,2.26,0
2015-08-18,2.41,2.41,2.27,2.27,4200
2015-08-19,2.32,2.32,2.32,2.32,100
2015-08-20,2.32,2.32,2.32,2.32,0
2015-08-21,2.32,2.32,2.32,2.32,0
2015-08-24,2.32,2.32,2.32,2.32,0
2015-08-25,2.32,2.32,2.32,2.32,0
2015-08-26,2.32,2.32,2.32,2.32,0
2015-08-27,2.32,2.32,2.32,2.32,0
2015-08-28,2.32,2.32,2.32,2.32,0
2015-08-31,2.24,2.27,2.18,2.27,20000
2015-09-01,2.27,2.27,2.27,2.27,0
2015-09-03,2.27,2.27,2.27,2.27,0
2015-09-04,2.27,2.27,2.27,2.27,0
2015-09-07,2.56,2.56,2.56,2.56,100
2015-09-08,2.21,2.41,2.21,2.41,600
2015-09-09,2.41,2.41,2.41,2.41,900
2015-09-10,2.74,2.74,2.74,2.74,100
2015-09-11,2.81,2.81,2.81,2.81,100
2015-09-14,2.52,2.52,2.52,2.52,300
2015-09-15,2.52,2.52,2.52,2.52,0
2015-09-16,2.52,2.52,2.52,2.52,0
2015-09-17,2.54,2.66,2.54,2.66,3400
2015-09-18,2.66,2.66,2.66,2.66,0
2015-09-21,2.62,2.62,2.49,2.49,300
2015-09-22,2.57,2.57,2.32,2.32,2300
2015-09-23,2.32,2.32,2.32,2.32,0
2015-09-24,2.72,2.72,2.72,2.72,100
2015-09-25,2.32,2.82,2.32,2.32,3900
2015-09-28,2.13,2.13,2.03,2.03,3300
2015-09-29,2.36,2.36,1.83,1.83,500
2015-09-30,2.08,2.21,2.08,2.21,1818900
2015-10-01,2.21,2.21,2.21,2.21,6200
2015-10-02,2.21,2.21,2.21,2.21,0
2015-10-05,2.52,2.52,2.52,2.52,100
2015-10-06,2.52,2.52,2.52,2.52,0
2015-10-07,2.21,2.21,2.21,2.21,200
2015-10-08,2.21,2.21,2.21,2.21,0
2015-10-09,2.21,2.21,2.21,2.21,0
2015-10-12,2.21,2.21,2.21,2.21,0
2015-10-13,2.21,2.21,2.21,2.21,0
2015-10-14,2.24,2.24,2.24,2.24,500
2015-10-15,2.24,2.24,2.24,2.24,0
2015-10-16,2.24,2.24,2.24,2.24,0
2015-10-19,2.57,2.57,2.57,2.57,100
2015-10-20,2.57,2.57,2.57,2.57,0
2015-10-21,2.24,2.24,2.21,2.21,5000
2015-10-22,2.24,2.24,2.24,2.24,300
2015-10-23,2.24,2.24,2.24,2.24,0
2015-10-26,2.24,2.24,2.24,2.24,0
2015-10-27,2.24,2.24,2.24,2.24,0
2015-10-28,2.24,2.24,2.24,2.24,0
2015-10-29,2.24,2.24,2.24,2.24,0
2015-10-30,2.24,2.24,2.24,2.24,0
2015-11-02,2.24,2.24,2.24,2.24,0
2015-11-03,2.24,2.24,2.24,2.24,0
2015-11-04,2.24,2.24,2.24,2.24,0
2015-11-05,2.24,2.24,2.24,2.24,0
2015-11-06,2.24,2.24,2.24,2.24,0
2015-11-09,2.24,2.24,2.24,2.24,0
2015-11-10,2.24,2.24,2.24,2.24,0
2015-11-11,2.24,2.24,2.24,2.24,0
2015-11-12,2.24,2.24,2.24,2.24,0
2015-11-13,2.24,2.24,2.24,2.24,0
2015-11-16,2.24,2.24,2.24,2.24,0
2015-11-17,2.24,2.24,2.24,2.24,0
2015-11-18,2.24,2.24,2.24,2.24,0
2015-11-19,2.24,2.24,2.24,2.24,0
2015-11-20,2.24,2.24,2.24,2.24,0
2015-11-23,2.24,2.24,2.24,2.24,0
2015-11-24,2.24,2.24,2.24,2.24,0
2015-11-25,2.32,2.32,2.32,2.32,400
2015-11-26,2.32,2.32,2.32,2.32,0
2015-11-27,2.32,2.32,2.32,2.32,0
2015-11-30,2.32,2.32,2.32,2.32,500
2015-12-01,2.32,2.32,2.32,2.32,0
2015-12-02,2.32,2.32,2.32,2.32,0
2015-12-03,2.24,2.24,2.24,2.24,100
2015-12-04,2.24,2.24,2.24,2.24,0
2015-12-07,2.24,2.24,2.24,2.24,0
2015-12-08,2.24,2.24,2.24,2.24,0
2015-12-09,2.24,2.24,2.24,2.24,0
2015-12-10,2.24,2.24,2.24,2.24,0
2015-12-11,2.24,2.24,2.24,2.24,0
2015-12-14,2.24,2.24,2.24,2.24,0
2015-12-15,2.24,2.24,2.24,2.24,0
2015-12-16,2.24,2.24,2.24,2.24,0
2015-12-17,2.24,2.24,2.24,2.24,0
2015-12-18,2.24,2.24,2.24,2.24,0
2015-12-21,2.24,2.24,2.24,2.24,0
2015-12-22,2.24,2.24,2.24,2.24,0
2015-12-23,2.24,2.24,2.24,2.24,0
2015-12-24,2.24,2.24,2.24,2.24,0
2015-12-25,2.24,2.24,2.24,2.24,0
2015-12-28,2.24,2.24,2.24,2.24,0
2015-12-29,2.24,2.24,2.24,2.24,0
2015-12-30,2.24,2.24,2.24,2.24,0
2015-12-31,2.24,2.24,2.24,2.24,0
2016-01-04,2.24,2.24,2.24,2.24,0
2016-01-05,2.24,2.24,2.24,2.24,0
2016-01-06,2.24,2.24,2.24,2.24,0
2016-01-07,2.24,2.24,2.24,2.24,0
2016-01-08,2.24,2.24,2.24,2.24,0
2016-01-11,2.29,2.29,2.26,2.26,1200
2016-01-12,2.26,2.26,2.26,2.26,0
2016-01-13,2.26,2.26,2.26,2.26,0
2016-01-14,2.26,2.26,2.26,2.26,0
2016-01-15,2.26,2.26,2.26,2.26,0
2016-01-18,2.26,2.26,2.26,2.26,0
2016-01-19,2.26,2.26,2.26,2.26,0
2016-01-20,2.26,2.26,2.26,2.26,0
