time,open,high,low,close,volume
2015-06-26,5.45,5.45,5.45,5.45,0
2015-06-29,5.45,5.45,5.45,5.45,0
2015-06-30,5.45,5.45,5.45,5.45,0
2015-07-01,5.45,5.45,5.45,5.45,0
2015-07-02,5.45,5.45,5.45,5.45,0
2015-07-03,5.45,5.45,5.45,5.45,0
2015-07-06,5.45,5.45,5.45,5.45,0
2015-07-07,5.45,5.45,5.45,5.45,0
2015-07-08,5.45,5.45,5.45,5.45,0
2015-07-09,5.45,5.45,5.45,5.45,0
2015-07-10,5.45,5.45,5.45,5.45,0
2015-07-13,5.45,5.45,5.45,5.45,0
2015-07-14,5.45,5.45,5.45,5.45,0
2015-07-15,5.45,5.45,5.45,5.45,0
2015-07-16,5.45,5.45,5.45,5.45,0
2015-07-17,5.45,5.45,5.45,5.45,0
2015-07-20,5.45,5.45,5.45,5.45,0
2015-07-21,5.45,5.45,5.45,5.45,0
2015-07-22,5.45,5.45,5.45,5.45,0
2015-07-23,5.45,5.45,5.45,5.45,0
2015-07-24,5.45,5.45,5.45,5.45,0
2015-07-27,5.45,5.45,5.45,5.45,0
2015-07-28,5.45,5.45,5.45,5.45,0
2015-07-29,5.45,5.45,5.45,5.45,0
2015-07-30,5.45,5.45,5.45,5.45,0
2015-07-31,5.45,5.45,5.45,5.45,0
2015-08-03,5.45,5.45,5.45,5.45,0
2015-08-04,5.45,5.45,5.45,5.45,0
2015-08-05,5.45,5.45,5.45,5.45,0
2015-08-06,5.45,5.45,5.45,5.45,0
2015-08-07,5.45,5.45,5.45,5.45,0
2015-08-10,5.45,5.45,5.45,5.45,0
2015-08-11,5.45,5.45,5.45,5.45,0
2015-08-12,5.45,5.45,5.45,5.45,0
2015-08-13,5.45,5.45,5.45,5.45,0
2015-08-14,5.45,5.45,5.45,5.45,0
2015-08-17,5.45,5.45,5.45,5.45,0
2015-08-18,5.45,5.45,5.45,5.45,0
2015-08-19,5.45,5.45,5.45,5.45,0
2015-08-20,5.45,5.45,5.45,5.45,0
2015-08-21,5.45,5.45,5.45,5.45,0
2015-08-24,5.45,5.45,5.45,5.45,0
2015-08-25,5.45,5.45,5.45,5.45,0
2015-08-26,5.45,5.45,5.45,5.45,0
2015-08-27,5.45,5.45,5.45,5.45,0
