time,open,high,low,close,volume
2015-06-26,9.63,9.63,9.63,9.63,0
2015-06-29,9.82,9.82,9.82,9.82,10
2015-06-30,9.23,9.23,9.23,9.23,10
2015-07-01,9.23,9.23,9.23,9.23,0
2015-07-02,9.63,9.63,9.63,9.63,20
2015-07-03,9.63,9.63,9.63,9.63,0
2015-07-06,9.63,9.63,9.63,9.63,0
2015-07-07,9.03,9.63,9.03,9.63,2390
2015-07-08,9.03,9.53,9.03,9.53,20
2015-07-09,9.33,9.33,8.93,9.33,30
2015-07-10,9.33,9.33,9.33,9.33,10
2015-07-13,8.73,9.23,8.73,9.23,30
2015-07-14,8.73,8.73,8.73,8.73,30
2015-07-15,8.53,8.53,8.53,8.53,10
2015-07-16,8.44,8.93,8.04,8.93,230
2015-07-17,9.13,9.13,9.13,9.13,30
2015-07-20,9.13,9.13,9.13,9.13,0
2015-07-21,9.13,9.13,9.13,9.13,10
2015-07-22,8.53,9.63,8.53,9.63,250
2015-07-23,9.03,9.03,9.03,9.03,10
2015-07-24,8.44,9.03,8.44,9.03,2140
2015-07-27,9.63,9.63,9.63,9.63,3000
2015-07-28,9.63,9.63,9.63,9.63,0
2015-07-29,10.12,10.12,9.03,9.03,20
2015-07-30,8.83,8.83,8.83,8.83,320
2015-07-31,8.73,9.43,8.24,9.43,3060
2015-08-03,9.43,9.43,9.43,9.43,20
2015-08-04,8.83,8.93,8.83,8.83,30
2015-08-05,8.24,9.33,8.24,9.33,20
2015-08-06,9.43,9.43,9.43,9.43,30
2015-08-07,8.83,8.83,8.83,8.83,30
2015-08-10,8.34,9.33,8.34,9.33,40
2015-08-11,9.33,9.33,9.33,9.33,20
2015-08-12,8.73,9.33,8.73,9.33,2000
2015-08-13,9.33,9.33,9.33,9.33,0
2015-08-14,8.73,8.73,8.73,8.73,10
2015-08-17,8.14,8.63,8.14,8.63,30
2015-08-18,8.04,8.04,8.04,8.04,320
2015-08-19,7.64,7.64,7.64,7.64,20
2015-08-20,8.14,8.14,7.15,7.15,270
2015-08-21,7.64,7.64,7.54,7.64,3420
2015-08-24,8.04,8.04,8.04,8.04,10
2015-08-25,8.53,8.53,8.53,8.53,20
2015-08-26,7.94,9.03,7.94,9.03,30
2015-08-27,9.13,9.13,9.13,9.13,30
2015-08-28,8.53,8.53,8.53,8.53,10
2015-08-31,9.03,9.03,9.03,9.03,30
2015-09-01,8.44,8.44,8.44,8.44,10
2015-09-03,8.93,8.93,8.93,8.93,10
2015-09-04,8.34,8.34,8.34,8.34,10
2015-09-07,7.84,7.84,7.84,7.84,40
2015-09-08,8.34,8.34,7.34,8.14,2890
2015-09-09,8.44,8.44,8.44,8.44,20
2015-09-10,8.34,8.34,8.34,8.34,40
2015-09-11,8.73,8.73,8.73,8.73,20
2015-09-14,8.14,8.14,8.14,8.14,10
2015-09-15,8.63,8.63,8.63,8.63,40
2015-09-16,8.83,8.83,8.83,8.83,30
2015-09-17,8.24,8.24,8.24,8.24,10
2015-09-18,7.84,7.84,7.84,7.84,10
2015-09-21,8.14,8.14,8.14,8.14,20
2015-09-22,7.64,8.14,7.64,8.14,14180
2015-09-23,8.53,8.53,8.53,8.53,20
2015-09-24,8.53,8.53,8.53,8.53,20
2015-09-25,8.63,8.63,8.63,8.63,30
2015-09-28,8.63,8.63,8.63,8.63,0
2015-09-29,8.04,8.04,8.04,8.04,10
2015-09-30,8.44,8.44,8.44,8.44,20
2015-10-01,8.04,8.04,8.04,8.04,10
2015-10-02,8.24,8.24,8.24,8.24,10
2015-10-05,8.34,8.34,8.34,8.34,20
2015-10-06,8.34,8.34,8.34,8.34,0
2015-10-07,8.34,8.34,8.34,8.34,0
2015-10-08,8.34,8.34,8.34,8.34,0
2015-10-09,8.24,8.24,7.94,8.24,2190
2015-10-12,7.74,8.14,7.74,8.14,20
2015-10-13,8.14,8.14,8.04,8.04,50
2015-10-14,8.14,8.14,8.14,8.14,10
2015-10-15,7.64,7.64,7.64,7.64,10
2015-10-16,7.64,7.64,7.64,7.64,0
2015-10-19,7.64,8.04,7.64,8.04,30
2015-10-20,8.04,8.04,8.04,8.04,0
2015-10-21,7.84,8.14,7.84,8.14,20
2015-10-22,8.14,8.14,8.14,8.14,0
