time,open,high,low,close,volume
2015-06-26,2.7,2.8,2.5,2.8,37600
2015-06-29,2.7,2.7,2.6,2.6,36400
2015-06-30,2.4,2.8,2.4,2.5,1274600
2015-07-01,2.7,2.7,2.5,2.7,10700
2015-07-02,2.6,2.7,2.6,2.6,9400
2015-07-03,2.6,2.7,2.4,2.5,245300
2015-07-06,2.6,2.7,2.5,2.5,122500
2015-07-07,2.6,2.6,2.5,2.6,27400
2015-07-08,2.5,2.6,2.5,2.5,51100
2015-07-09,2.5,2.5,2.4,2.4,64700
2015-07-10,2.5,2.6,2.5,2.5,13700
2015-07-13,2.5,2.5,2.5,2.5,1800
2015-07-14,2.4,2.4,2.3,2.4,238600
2015-07-15,2.2,2.4,2.2,2.3,118400
2015-07-16,2.4,2.4,2.3,2.3,14900
2015-07-17,2.3,2.4,2.2,2.3,117700
2015-07-20,2.2,2.3,2.2,2.3,101600
2015-07-21,2.2,2.3,2.2,2.3,185000
2015-07-22,2.3,2.3,2.1,2.1,378300
2015-07-23,2.1,2.2,2.1,2.2,57600
2015-07-24,2.2,2.2,2.1,2.1,45000
2015-07-27,2.0,2.1,1.9,2.0,299700
2015-07-28,2.0,2.0,1.9,1.9,118400
2015-07-29,1.9,2.0,1.9,1.9,204700
2015-07-30,1.9,2.0,1.9,1.9,375400
2015-07-31,1.9,2.0,1.8,1.9,194700
2015-08-03,1.8,1.9,1.8,1.8,175900
2015-08-04,1.8,1.9,1.7,1.8,106400
2015-08-05,1.8,1.9,1.8,1.8,126200
2015-08-06,1.8,1.9,1.8,1.9,121500
2015-08-07,1.8,1.9,1.8,1.8,146500
2015-08-10,1.8,1.9,1.8,1.9,82600
2015-08-11,1.8,1.9,1.8,1.9,71600
2015-08-12,1.8,1.9,1.8,1.8,140600
2015-08-13,1.7,1.9,1.7,1.8,402800
2015-08-14,1.8,1.9,1.8,1.9,405500
2015-08-17,2.0,2.0,2.0,2.0,490400
2015-08-18,2.0,2.2,2.0,2.0,257300
2015-08-19,1.9,2.0,1.9,2.0,139800
2015-08-20,1.9,2.0,1.9,1.9,243900
2015-08-21,1.9,1.9,1.8,1.9,193900
2015-08-24,1.9,1.9,1.8,1.8,90600
2015-08-25,1.9,1.9,1.7,1.7,479800
2015-08-26,1.8,1.8,1.7,1.7,332400
2015-08-27,1.8,1.8,1.7,1.8,553500
2015-08-28,1.9,1.9,1.7,1.9,622700
2015-08-31,2.0,2.0,1.8,1.8,193800
2015-09-01,1.7,1.8,1.7,1.7,172300
2015-09-03,1.7,1.8,1.7,1.8,343100
2015-09-04,1.9,1.9,1.7,1.7,306700
2015-09-07,1.7,1.7,1.6,1.6,383600
2015-09-08,1.6,1.6,1.5,1.6,513300
2015-09-09,1.6,1.6,1.5,1.6,76800
2015-09-10,1.7,1.7,1.5,1.5,62200
2015-09-11,1.6,1.6,1.5,1.6,707800
2015-09-14,1.6,1.6,1.5,1.5,81900
2015-09-15,1.6,1.6,1.5,1.5,127900
2015-09-16,1.6,1.6,1.4,1.4,42900
2015-09-17,1.5,1.5,1.5,1.5,15800
2015-09-18,1.6,1.6,1.4,1.4,414200
2015-09-21,1.4,1.5,1.3,1.4,177000
