time,open,high,low,close,volume
2013-10-16,5.24,5.24,5.24,5.24,100
2013-10-17,5.3,5.45,5.3,5.45,300
2013-10-18,5.66,5.81,5.45,5.76,34100
2013-10-21,5.45,5.6,5.45,5.6,4000
2013-10-22,5.55,5.81,5.55,5.81,7100
2013-10-23,5.81,5.86,5.66,5.81,9800
2013-10-24,5.86,6.07,5.86,5.96,21600
2013-10-25,5.96,5.96,5.86,5.86,12400
2013-10-28,5.91,5.91,5.86,5.86,18600
2013-10-29,5.86,5.91,5.86,5.91,6900
2013-10-30,6.02,6.17,6.02,6.12,8500
2013-10-31,6.07,6.07,6.07,6.07,2300
2013-11-01,6.12,6.17,6.12,6.17,6700
2013-11-04,6.17,6.53,6.17,6.53,10500
2013-11-05,6.48,6.48,6.43,6.43,1600
2013-11-06,6.58,6.58,6.58,6.58,100
2013-11-07,6.38,6.38,6.32,6.32,10900
2013-11-08,6.32,6.38,6.32,6.38,4500
2013-11-11,6.38,6.53,6.38,6.53,3000
2013-11-12,6.48,6.53,6.38,6.43,18900
2013-11-13,6.43,6.43,6.38,6.38,16400
2013-11-14,6.43,6.53,6.43,6.53,22500
2013-11-15,6.53,6.68,6.53,6.58,33300
2013-11-18,6.68,6.68,6.68,6.68,8700
2013-11-19,6.63,6.74,6.63,6.68,4500
2013-11-20,6.63,6.68,6.63,6.68,11400
2013-11-21,6.63,6.74,6.58,6.58,11800
2013-11-22,6.53,6.68,6.53,6.58,6200
2013-11-25,6.68,6.68,6.63,6.63,6300
2013-11-26,6.63,6.68,6.63,6.68,21500
2013-11-27,6.68,6.79,6.68,6.79,13000
2013-11-28,6.68,6.68,6.68,6.68,2300
2013-11-29,6.68,6.68,6.68,6.68,15200
2013-12-02,6.68,7.3,6.68,7.3,20400
2013-12-03,6.74,6.84,6.74,6.74,6300
2013-12-04,6.74,6.84,6.74,6.79,14000
2013-12-05,6.79,6.89,6.79,6.84,7631
2013-12-06,6.84,6.89,6.79,6.79,10700
2013-12-09,6.89,6.89,6.74,6.79,18600
2013-12-10,6.68,6.84,6.68,6.68,5500
2013-12-11,6.68,6.68,6.63,6.68,23400
2013-12-12,6.68,6.74,6.68,6.74,8800
2013-12-13,6.74,6.84,6.74,6.79,3100
2013-12-16,6.79,6.84,6.79,6.79,11800
2013-12-17,6.84,6.84,6.84,6.84,8500
2013-12-18,6.84,6.84,6.84,6.84,0
2013-12-19,6.84,6.89,6.84,6.89,2300
2013-12-20,6.89,6.99,6.89,6.99,4300
2013-12-23,6.94,7.04,6.94,7.04,7000
2013-12-24,6.99,7.04,6.99,7.04,2100
2013-12-25,6.99,7.04,6.99,7.04,1500
2013-12-26,6.99,6.99,6.94,6.94,8500
2013-12-27,6.94,6.94,6.94,6.94,25800
2013-12-30,6.99,6.99,6.94,6.99,4400
2013-12-31,6.94,7.04,6.94,7.04,3800
2014-01-02,7.1,7.1,7.1,7.1,13000
2014-01-03,7.04,7.15,7.04,7.15,1700
2014-01-06,7.2,7.2,7.15,7.15,4400
2014-01-07,7.2,7.35,7.2,7.35,2700
2014-01-08,7.35,7.35,7.35,7.35,0
2014-01-09,7.2,7.4,7.2,7.4,4800
2014-01-10,7.25,7.4,7.25,7.4,1000
2014-01-13,7.35,7.46,7.35,7.46,7100
2014-01-14,7.25,7.46,7.25,7.46,3100
2014-01-15,7.46,7.46,7.46,7.46,8800
2014-01-16,7.46,8.18,7.46,8.18,65400
2014-01-17,8.74,8.95,8.69,8.95,205650
2014-01-20,9.82,9.82,8.95,9.0,104400
2014-01-21,8.74,8.89,8.64,8.89,36400
2014-01-22,8.64,8.69,8.23,8.59,36600
2014-01-23,8.43,8.74,8.43,8.69,6710
2014-01-24,8.64,8.69,8.59,8.69,9500
2014-01-27,8.64,8.69,8.64,8.69,10100
2014-02-06,8.95,9.05,8.89,9.05,87100
2014-02-07,9.31,9.51,9.25,9.41,139000
2014-02-10,9.41,9.46,9.25,9.31,81100
2014-02-11,9.31,9.41,9.25,9.25,153950
2014-02-12,9.41,9.41,9.2,9.2,85000
2014-02-13,9.25,9.25,9.15,9.2,103471
2014-02-14,9.2,9.2,9.09,9.14,29200
2014-02-17,9.26,9.26,9.14,9.14,40300
2014-02-18,9.14,9.14,8.44,8.91,35100
2014-02-19,8.91,9.09,8.73,9.03,58400
2014-02-20,9.09,9.09,8.62,8.91,46900
2014-02-21,8.79,8.79,8.62,8.73,6600
2014-02-24,8.79,8.85,8.68,8.85,23700
2014-02-25,8.79,8.91,8.79,8.85,33600
2014-02-26,8.85,8.85,8.73,8.85,32000
2014-02-27,8.79,8.85,8.73,8.73,23000
2014-02-28,8.79,8.79,8.68,8.73,29800
2014-03-03,8.21,8.73,8.21,8.56,49201
2014-03-04,8.32,8.56,8.32,8.5,21900
2014-03-05,8.62,8.73,8.62,8.73,7949
2014-03-06,8.73,8.73,8.5,8.68,12400
2014-03-07,8.73,8.79,8.56,8.56,29500
2014-03-10,8.79,9.14,8.62,9.14,90100
2014-03-11,9.2,9.2,8.97,9.09,38700
2014-03-12,8.97,8.97,8.79,8.79,18000
2014-03-13,8.79,8.91,8.79,8.85,25800
2014-03-14,8.85,8.85,8.73,8.73,17000
2014-03-17,8.79,8.79,8.68,8.79,10700
2014-03-18,8.79,8.85,8.73,8.79,22600
2014-03-19,8.85,8.91,8.79,8.85,42000
2014-03-20,8.91,9.09,8.85,8.85,21100
2014-03-21,8.91,8.91,8.79,8.79,24000
2014-03-24,8.85,9.03,8.79,8.85,36900
2014-03-25,8.85,8.85,8.62,8.62,101170
2014-03-26,8.62,8.68,8.62,8.62,32600
2014-03-27,8.56,8.62,8.56,8.62,10200
2014-03-28,8.62,8.73,8.62,8.68,23400
2014-03-31,8.68,8.73,8.68,8.73,15100
2014-04-01,8.68,8.68,8.62,8.62,11300
2014-04-02,8.56,8.62,8.21,8.62,13800
2014-04-03,8.56,8.56,8.56,8.56,2000
2014-04-04,8.73,8.85,8.73,8.79,38400
2014-04-07,8.73,8.73,8.68,8.73,5700
2014-04-08,8.68,8.68,8.62,8.68,47227
2014-04-10,8.68,8.79,8.62,8.79,2400
2014-04-11,8.68,8.73,8.68,8.73,13800
2014-04-14,8.79,8.79,8.68,8.68,1500
2014-04-15,8.62,8.68,8.62,8.68,50300
2014-04-16,8.68,8.68,8.56,8.56,51400
2014-04-17,8.5,8.73,8.5,8.73,7700
2014-04-18,8.56,8.62,8.5,8.62,34000
2014-04-21,8.5,8.62,8.5,8.62,36500
2014-04-22,8.79,9.44,8.79,9.44,147800
2014-04-23,9.5,10.02,9.5,9.85,78011
2014-04-24,9.85,9.85,9.67,9.85,26030
2014-04-25,9.73,9.73,9.55,9.67,62000
2014-04-28,9.67,9.67,9.5,9.55,15200
2014-04-29,9.55,9.73,9.55,9.73,21800
2014-05-05,9.73,9.73,9.5,9.61,14111
2014-05-06,9.44,9.61,9.38,9.61,32600
2014-05-07,9.44,9.61,9.38,9.61,9307
2014-05-08,9.2,9.38,8.79,9.38,22700
2014-05-09,9.26,9.38,9.26,9.38,18400
2014-05-12,9.09,9.09,8.5,8.56,26800
2014-05-13,8.38,8.44,8.32,8.32,24800
2014-05-14,8.32,8.79,8.32,8.5,55100
2014-05-15,8.38,8.73,8.32,8.73,32600
2014-05-16,8.73,8.79,8.73,8.73,1800
2014-05-19,8.56,8.85,8.56,8.85,13500
2014-05-20,9.03,9.03,8.79,9.03,16700
2014-05-21,9.03,9.26,9.03,9.2,5600
2014-05-22,9.38,9.38,9.14,9.14,4900
2014-05-23,9.14,9.2,9.03,9.14,3100
2014-05-26,8.97,9.14,8.79,9.14,15400
2014-05-27,9.14,9.2,9.09,9.2,5300
2014-05-28,9.26,9.38,9.26,9.38,6200
2014-05-29,9.5,9.5,9.09,9.38,9700
2014-05-30,9.38,9.44,9.2,9.38,4400
2014-06-02,9.32,9.38,9.09,9.14,21000
2014-06-03,9.32,9.44,9.26,9.44,20500
2014-06-04,9.38,9.44,9.32,9.32,12500
2014-06-05,9.38,9.38,9.38,9.38,1500
2014-06-06,9.14,9.44,9.14,9.44,27000
2014-06-09,9.44,9.5,9.44,9.44,26508
2014-06-10,9.38,9.44,9.38,9.44,17200
2014-06-11,9.44,9.5,9.38,9.5,12300
2014-06-12,9.38,9.5,9.38,9.5,10100
2014-06-13,9.5,9.55,9.5,9.55,2000
2014-06-16,9.44,9.5,9.44,9.44,3700
2014-06-17,9.5,9.55,9.5,9.55,2700
2014-06-18,9.55,9.61,9.55,9.55,4902
2014-06-19,9.5,9.5,9.38,9.44,17000
2014-06-20,9.44,9.55,9.44,9.5,6200
2014-06-23,9.44,9.67,9.44,9.61,1300
2014-06-24,9.44,9.61,9.44,9.61,7200
2014-06-25,9.61,9.73,9.61,9.73,11800
2014-06-26,9.61,9.91,9.61,9.85,41100
2014-06-27,9.91,10.73,9.91,10.73,123900
2014-06-30,10.84,11.14,10.73,10.9,46500
2014-07-01,10.9,10.9,10.43,10.61,3000
2014-07-02,10.43,10.43,10.32,10.38,26800
2014-07-03,10.32,10.55,10.32,10.55,22800
2014-07-04,10.49,10.67,10.49,10.67,7500
2014-07-07,10.61,10.67,10.43,10.55,26000
2014-07-08,10.55,10.61,10.55,10.61,15300
2014-07-09,10.55,10.61,10.55,10.61,13000
2014-07-10,10.67,11.14,10.55,11.14,27500
2014-07-11,11.14,11.14,10.9,10.9,1400
2014-07-14,11.02,11.08,10.9,10.96,22100
2014-07-15,10.84,11.02,10.84,10.96,22400
2014-07-16,10.96,11.2,10.84,10.96,29800
2014-07-17,11.02,11.14,10.9,11.08,38400
2014-07-18,11.08,11.08,10.96,11.08,13600
2014-07-21,11.08,11.14,11.02,11.08,31800
2014-07-22,11.61,11.61,11.2,11.31,150200
2014-07-23,11.25,11.31,11.08,11.14,20400
2014-07-24,11.02,11.02,10.9,10.96,34200
2014-07-25,10.96,10.96,10.79,10.79,26100
2014-07-28,10.73,10.73,10.32,10.49,47600
2014-07-29,10.26,10.55,10.26,10.55,6000
2014-07-30,10.55,10.67,10.43,10.67,11500
2014-07-31,10.43,10.61,10.32,10.43,27800
2014-08-01,10.38,10.49,10.38,10.49,10100
2014-08-04,10.43,10.55,10.43,10.49,10800
2014-08-05,10.49,10.55,10.43,10.55,20300
2014-08-06,10.55,10.67,10.43,10.67,12300
2014-08-07,10.49,10.67,10.49,10.67,10600
2014-08-08,10.55,10.67,10.43,10.67,24000
2014-08-11,10.49,10.67,10.49,10.67,10000
2014-08-12,10.61,10.73,10.61,10.61,13300
2014-08-13,10.61,10.67,10.55,10.67,9700
2014-08-14,10.73,10.84,10.67,10.73,32400
2014-08-15,10.79,10.9,10.79,10.9,11600
2014-08-18,11.49,11.49,10.9,11.2,36600
2014-08-19,11.2,11.31,11.2,11.25,11700
2014-08-20,11.2,11.2,11.14,11.14,28800
2014-08-21,11.14,11.2,11.14,11.2,11100
2014-08-22,11.14,11.25,11.14,11.2,20400
2014-08-25,11.31,11.31,11.08,11.08,27700
2014-08-26,11.14,11.2,11.08,11.2,13400
2014-08-27,11.2,11.2,10.96,11.08,15500
2014-08-28,11.02,11.2,10.96,11.14,39200
2014-08-29,10.96,11.08,10.96,11.08,18900
2014-09-03,11.08,11.25,11.08,11.25,15800
2014-09-04,11.14,11.25,11.08,11.14,20400
2014-09-05,11.14,11.25,11.14,11.14,33200
2014-09-08,11.14,11.2,11.14,11.14,58130
2014-09-09,11.14,11.14,10.9,11.02,15500
2014-09-10,11.02,11.2,11.02,11.2,2600
2014-09-11,11.02,11.2,11.02,11.14,10900
2014-09-12,11.14,11.14,11.02,11.08,32600
2014-09-15,11.08,11.2,10.96,11.2,11100
2014-09-16,11.08,11.14,10.96,11.14,3100
2014-09-17,11.14,12.25,11.14,12.13,40500
2014-09-18,12.02,12.02,11.25,11.72,25300
2014-09-19,11.61,11.61,11.14,11.61,14200
2014-09-22,11.37,11.55,11.31,11.55,29800
2014-09-23,11.43,11.61,11.37,11.55,11600
2014-09-24,11.43,11.55,11.43,11.55,16500
2014-09-25,11.67,11.67,11.43,11.61,5300
2014-09-26,11.55,11.61,11.55,11.61,1600
2014-09-29,11.72,12.66,11.72,12.43,31313
2014-09-30,12.37,12.37,12.08,12.08,9400
2014-10-01,12.13,12.31,12.13,12.19,18100
2014-10-02,12.25,12.9,12.25,12.66,77600
2014-10-03,12.37,12.43,12.25,12.43,17300
2014-10-06,12.43,12.49,12.31,12.31,60400
2014-10-07,12.37,12.43,12.31,12.37,5900
2014-10-08,12.31,12.49,12.31,12.37,29217
2014-10-09,12.31,12.43,12.31,12.43,22400
2014-10-10,12.6,12.6,12.31,12.31,26500
2014-10-13,12.43,12.43,12.31,12.37,6086
2014-10-14,12.43,12.43,12.31,12.37,17200
